Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;BEN;TOL;OXL
3 DE MARZO;-2.667784995;42.85604797;2015-10-01;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;2. ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-29;5. MUY BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-28;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-27;5. MUY BAJO;5. MUY BAJO;2. ALTO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-26;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-25;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-24;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-23;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-22;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-21;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-20;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-19;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-18;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-17;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-16;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-15;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-14;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-13;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-12;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;4. BAJO;1. MUY ALTO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-11;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-09;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-08;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;1. MUY ALTO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-07;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;2. ALTO;4. BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-06;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-05;5. MUY BAJO;5. MUY BAJO;3. MEDIO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-04;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-03;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-02;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-09-01;5. MUY BAJO;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-08-31;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-08-30;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO;4. BAJO;2. ALTO;5. MUY BAJO;;;;
3 DE MARZO;-2.667784995;42.85604797;2015-08-29;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;1. MUY ALTO;5. MUY BAJO;;;;
