Nombre;Longitud;Latitud;Fecha;SO2;NO;PM10;PM25;CO;O3;BEN
Avenida Argentina;-5.69611;43.54111;2015-10-23 14:00;5. MUY BAJO;5. MUY BAJO;;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 13:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 12:00;4. BAJO;4. BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 11:00;4. BAJO;1. MUY ALTO;3. MEDIO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 10:00;3. MEDIO;1. MUY ALTO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 9:00;3. MEDIO;1. MUY ALTO;2. ALTO;;1. MUY ALTO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 8:00;4. BAJO;1. MUY ALTO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 7:00;5. MUY BAJO;1. MUY ALTO;2. ALTO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 6:00;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 5:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 4:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 3:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 2:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 1:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-23 0:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 23:00;5. MUY BAJO;5. MUY BAJO;2. ALTO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 22:00;5. MUY BAJO;4. BAJO;2. ALTO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 21:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 20:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 19:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 18:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 17:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 16:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;3. MEDIO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 15:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;3. MEDIO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 14:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 13:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;3. MEDIO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 12:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 11:00;4. BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 10:00;3. MEDIO;3. MEDIO;2. ALTO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 9:00;3. MEDIO;1. MUY ALTO;2. ALTO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 8:00;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 7:00;3. MEDIO;1. MUY ALTO;1. MUY ALTO;;4. BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 6:00;4. BAJO;3. MEDIO;2. ALTO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 5:00;4. BAJO;4. BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 4:00;4. BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 3:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 2:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 1:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-22 0:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 23:00;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 22:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 21:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 20:00;5. MUY BAJO;5. MUY BAJO;4. BAJO;;5. MUY BAJO;5. MUY BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 19:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
Avenida Argentina;-5.69611;43.54111;2015-10-21 18:00;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;5. MUY BAJO;4. BAJO;
