Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;PM25;CO;O3;BEN
Ciutadella;2.186455;41.386095;2015-01-01;;5. MUY BAJO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-02;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-03;;2. ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-04;;3. MEDIO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-05;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-06;;2. ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-07;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-08;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-09;;2. ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-10;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-11;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-12;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-13;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-14;;2. ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-15;;3. MEDIO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-16;;1. MUY ALTO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-17;;5. MUY BAJO;4. BAJO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-18;;3. MEDIO;2. ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-19;;5. MUY BAJO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-20;;5. MUY BAJO;3. MEDIO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-21;;5. MUY BAJO;3. MEDIO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-22;;4. BAJO;2. ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-23;;3. MEDIO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-24;;5. MUY BAJO;5. MUY BAJO;;;;4. BAJO;
Ciutadella;2.186455;41.386095;2015-01-25;;5. MUY BAJO;4. BAJO;;;;4. BAJO;
Ciutadella;2.186455;41.386095;2015-01-26;;5. MUY BAJO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-27;;4. BAJO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-28;;4. BAJO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-29;;5. MUY BAJO;2. ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-01-30;;5. MUY BAJO;4. BAJO;;;;4. BAJO;
Ciutadella;2.186455;41.386095;2015-01-31;;5. MUY BAJO;5. MUY BAJO;;;;4. BAJO;
Ciutadella;2.186455;41.386095;2015-02-01;;5. MUY BAJO;5. MUY BAJO;;;;4. BAJO;
Ciutadella;2.186455;41.386095;2015-02-02;;4. BAJO;1. MUY ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-02-03;;4. BAJO;2. ALTO;;;;5. MUY BAJO;
Ciutadella;2.186455;41.386095;2015-02-04;;5. MUY BAJO;2. ALTO;;;;5. MUY BAJO;
