Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3
Ochando;-0.0618187;39.9443121;2015-01-01;;;;;5. MUY BAJO;3. MEDIO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-02;;;;;5. MUY BAJO;2. ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-03;;;;;5. MUY BAJO;2. ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-04;;;;;5. MUY BAJO;3. MEDIO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-05;5. MUY BAJO;;;;4. BAJO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-06;5. MUY BAJO;;;;5. MUY BAJO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-07;5. MUY BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;4. BAJO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-08;4. BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;2. ALTO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-09;4. BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;2. ALTO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-10;4. BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-11;4. BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;4. BAJO;2. ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-12;4. BAJO;;;;4. BAJO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-13;3. MEDIO;;;;3. MEDIO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-14;2. ALTO;;;;2. ALTO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-15;3. MEDIO;;;;2. ALTO;1. MUY ALTO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-16;5. MUY BAJO;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-17;5. MUY BAJO;2. ALTO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-18;5. MUY BAJO;3. MEDIO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;
Ochando;-0.0618187;39.9443121;2015-01-19;5. MUY BAJO;5. MUY BAJO;4. BAJO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;
