Nombre;Longitud;Latitud;Fecha;SO2;SO2_categorizado;NO;NO_categorizado;NO2;NO2_categorizado;PM10;PM10_categorizado;PM25;PM25_categorizado;CO;CO_categorizado;O3;O3_categorizado;BEN;BEN_categorizado;EBN;EBN_categorizado;TOL;TOL_categorizado;XIL;XIL_categorizado;dd;vv;TMP;TMP_categorizado;HR;PRB;RS;RS_categorizado;RUV;RUV_categorizado;LL
Pza. de Espana;-3.712222222;40.42361111;2015-01-15;12;MEDIO;115;MUY ALTO;63;MUY ALTO;;;;;0.7;ALTO;;;;;;;;;;;6;1;5.7;2;80;;;;;;0.45
Pza. de Espana;-3.712222222;40.42361111;2015-02-15;7;MUY BAJO;27;MEDIO;46;MUY ALTO;;;;;0.3;MUY BAJO;;;;;;;;;;;7;1.5;7.6;4;80;;;;;;0.55
Pza. de Espana;-3.712222222;40.42361111;2015-03-15;8;BAJO;42;MUY ALTO;54;MUY ALTO;;;;;0.4;BAJO;;;;;;;;;;;6;1.72;11.8;3;72;;;;;;1.06
Pza. de Espana;-3.712222222;40.42361111;2015-04-15;6;MUY BAJO;17;BAJO;46;MUY ALTO;;;;;0.3;MUY BAJO;;;;;;;;;;;6;1.09;15.5;3;70;;;;;;1.17
Pza. de Espana;-3.712222222;40.42361111;2015-05-15;6;MUY BAJO;15;MUY BAJO;42;MUY ALTO;;;;;0.3;MUY BAJO;;;;;;;;;;;6;1.24;20.6;1;67;;;;;;
Pza. de Espana;-3.712222222;40.42361111;2015-06-15;5;MUY BAJO;11;MUY BAJO;48;MUY ALTO;;;;;0.2;MUY BAJO;;;;;;;;;;;98;0.68;25;4;63;;;;;;1.53
Pza. de Espana;-3.712222222;40.42361111;2015-07-15;5;MUY BAJO;11;MUY BAJO;48;MUY ALTO;;;;;0.3;MUY BAJO;;;;;;;;;;;150;0.46;30;5;62;;;;;;0.48
Pza. de Espana;-3.712222222;40.42361111;2015-08-15;6;MUY BAJO;10;MUY BAJO;33;ALTO;;;;;0.2;MUY BAJO;;;;;;;;;;;132;0.53;26;2;72;;;;;;0.06
Pza. de Espana;-3.712222222;40.42361111;2015-09-15;7;MUY BAJO;24;MEDIO;47;MUY ALTO;;;;;0.3;MUY BAJO;;;;;;;;;;;151;0.46;20.7;3;78;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-01-15;14;MEDIO;85;MUY ALTO;80;MUY ALTO;21;BAJO;14;3;0.7;ALTO;17;MUY BAJO;1.4;5;2.1;4;13.2;3;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-02-15;11;BAJO;26;MEDIO;51;MUY ALTO;16;MUY BAJO;;;0.6;MEDIO;37;MUY BAJO;0.7;4;0.8;2;6.3;4;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-03-15;11;BAJO;34;ALTO;56;MUY ALTO;22;BAJO;12;5;0.7;ALTO;37;MUY BAJO;0.8;5;0.7;2;3.2;4;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-04-15;8;BAJO;15;MUY BAJO;45;MUY ALTO;20;BAJO;10;3;0.6;MEDIO;55;BAJO;0.4;3;0.5;2;2.2;1;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-05-15;9;BAJO;16;BAJO;47;MUY ALTO;24;BAJO;11;4;0.4;BAJO;59;BAJO;0.4;3;0.5;4;2.5;1;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-06-15;12;MEDIO;9;MUY BAJO;53;MUY ALTO;25;BAJO;14;2;0.4;BAJO;70;MEDIO;0.4;4;0.3;4;2.2;1;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-07-15;11;BAJO;10;MUY BAJO;57;MUY ALTO;;;;;0.4;BAJO;64;BAJO;0.5;4;0.2;2;1.9;4;;;;;;;;;;;;;
Escuelas Aguirre;-3.682222222;40.42138889;2015-08-15;12;MEDIO;10;MUY BAJO;43;MUY ALTO;27;BAJO;12;5;0.4;BAJO;59;BAJO;0.2;2;0.2;4;1.5;5;;;;;;;;;;;;;
