Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;O3
Alsasua;-2.1859693;42.8990415;2015-10-03;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-04;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-06;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-07;4. BAJO;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-08;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-09;4. BAJO;4. BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO
Alsasua;-2.1859693;42.8990415;2015-10-10;4. BAJO;5. MUY BAJO;3. MEDIO;2. ALTO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-11;4. BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-12;4. BAJO;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-13;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;4. BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-14;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-15;5. MUY BAJO;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;;4. BAJO
Alsasua;-2.1859693;42.8990415;2015-10-16;4. BAJO;2. ALTO;2. ALTO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO
Alsasua;-2.1859693;42.8990415;2015-10-17;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-18;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;;3. MEDIO
Alsasua;-2.1859693;42.8990415;2015-10-19;5. MUY BAJO;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;;5. MUY BAJO
Alsasua;-2.1859693;42.8990415;2015-10-20;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;;3. MEDIO
