Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;PM10;PM25;CO;O3
Bonavista;1.191976;41.115881;2015-01-01;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Bonavista;1.191976;41.115881;2015-01-02;5. MUY BAJO;4. BAJO;1. MUY ALTO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-03;5. MUY BAJO;5. MUY BAJO;2. ALTO;;;;
Bonavista;1.191976;41.115881;2015-01-04;5. MUY BAJO;4. BAJO;1. MUY ALTO;;;;
Bonavista;1.191976;41.115881;2015-01-05;5. MUY BAJO;4. BAJO;2. ALTO;4. BAJO;;;
Bonavista;1.191976;41.115881;2015-01-06;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Bonavista;1.191976;41.115881;2015-01-07;5. MUY BAJO;4. BAJO;3. MEDIO;4. BAJO;;;
Bonavista;1.191976;41.115881;2015-01-08;5. MUY BAJO;2. ALTO;2. ALTO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-09;5. MUY BAJO;3. MEDIO;2. ALTO;4. BAJO;;;
Bonavista;1.191976;41.115881;2015-01-10;5. MUY BAJO;4. BAJO;2. ALTO;;;;
Bonavista;1.191976;41.115881;2015-01-11;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Bonavista;1.191976;41.115881;2015-01-12;5. MUY BAJO;5. MUY BAJO;2. ALTO;;;;
Bonavista;1.191976;41.115881;2015-01-13;5. MUY BAJO;4. BAJO;2. ALTO;;;;
Bonavista;1.191976;41.115881;2015-01-14;5. MUY BAJO;4. BAJO;2. ALTO;4. BAJO;;;
Bonavista;1.191976;41.115881;2015-01-15;5. MUY BAJO;4. BAJO;2. ALTO;2. ALTO;;;
Bonavista;1.191976;41.115881;2015-01-16;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-17;5. MUY BAJO;5. MUY BAJO;4. BAJO;;;;
Bonavista;1.191976;41.115881;2015-01-18;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Bonavista;1.191976;41.115881;2015-01-19;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-20;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-21;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Bonavista;1.191976;41.115881;2015-01-22;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-23;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-24;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Bonavista;1.191976;41.115881;2015-01-25;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Bonavista;1.191976;41.115881;2015-01-26;5. MUY BAJO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-27;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-28;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-29;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-01-30;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Bonavista;1.191976;41.115881;2015-01-31;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Bonavista;1.191976;41.115881;2015-02-01;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Bonavista;1.191976;41.115881;2015-02-02;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-02-03;5. MUY BAJO;5. MUY BAJO;4. BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-02-04;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
Bonavista;1.191976;41.115881;2015-02-05;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-02-06;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;
Bonavista;1.191976;41.115881;2015-02-07;5. MUY BAJO;5. MUY BAJO;3. MEDIO;;;;
Bonavista;1.191976;41.115881;2015-02-08;5. MUY BAJO;5. MUY BAJO;5. MUY BAJO;;;;
