Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;BEN;TOL;XIL
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-01;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-02;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-03;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-04;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-05;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-06;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-07;5. MUY BAJO;;;;5. MUY BAJO;2. ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-08;5. MUY BAJO;;;;4. BAJO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-09;5. MUY BAJO;;;;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-10;;;;;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-11;5. MUY BAJO;;;;2. ALTO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-12;;;;;3. MEDIO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-13;;;;;5. MUY BAJO;1. MUY ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-14;;;;;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-15;5. MUY BAJO;;;;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-16;5. MUY BAJO;;;;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-17;;;;;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-18;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;2. ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-19;5. MUY BAJO;5. MUY BAJO;3. MEDIO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-20;5. MUY BAJO;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-21;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-22;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;2. ALTO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-23;5. MUY BAJO;3. MEDIO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-24;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-25;5. MUY BAJO;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-26;5. MUY BAJO;5. MUY BAJO;4. BAJO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-27;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-28;5. MUY BAJO;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-29;5. MUY BAJO;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-30;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-01-31;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-01;5. MUY BAJO;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-02;5. MUY BAJO;5. MUY BAJO;3. MEDIO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-03;5. MUY BAJO;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-04;;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-05;;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-06;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;5. MUY BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-07;;5. MUY BAJO;3. MEDIO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-08;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-09;;5. MUY BAJO;4. BAJO;3. MEDIO;5. MUY BAJO;3. MEDIO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-10;5. MUY BAJO;5. MUY BAJO;3. MEDIO;2. ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-11;;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;4. BAJO;;;
Avd. Francia (6A);-0.3518996;39.4596761;2014-02-12;5. MUY BAJO;5. MUY BAJO;2. ALTO;1. MUY ALTO;5. MUY BAJO;4. BAJO;5. MUY BAJO;5. MUY BAJO;;;
