Nombre;Longitud;Latitud;Fecha;SO2;NO;NO2;NOX;PM10;PM25;CO;O3;SH2;BEN;TOL;OXL
ABANTO;-3.074155996;43.32047399;2015-10-01;3. MEDIO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;4. BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-30;4. BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;3. MEDIO;1. MUY ALTO;
ABANTO;-3.074155996;43.32047399;2015-09-29;4. BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-28;4. BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-09-27;4. BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-26;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;2. ALTO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-25;4. BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-09-24;;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-09-23;;5. MUY BAJO;1. MUY ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-22;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-21;4. BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;4. BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-20;4. BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-19;3. MEDIO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-18;3. MEDIO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;4. BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-17;4. BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-16;5. MUY BAJO;5. MUY BAJO;2. ALTO;5. MUY BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-15;4. BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-14;4. BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-13;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-12;5. MUY BAJO;5. MUY BAJO;4. BAJO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-11;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-10;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;2. ALTO;4. BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-09;5. MUY BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;4. BAJO;;;;;4. BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-09-08;4. BAJO;4. BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-09-07;4. BAJO;5. MUY BAJO;1. MUY ALTO;1. MUY ALTO;5. MUY BAJO;;;;;5. MUY BAJO;3. MEDIO;
ABANTO;-3.074155996;43.32047399;2015-09-06;5. MUY BAJO;5. MUY BAJO;1. MUY ALTO;3. MEDIO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-05;5. MUY BAJO;5. MUY BAJO;2. ALTO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
ABANTO;-3.074155996;43.32047399;2015-09-04;5. MUY BAJO;5. MUY BAJO;3. MEDIO;4. BAJO;5. MUY BAJO;;;;;5. MUY BAJO;5. MUY BAJO;
