Fecha;CO;NO;NO2;NOX;PM10;PM25;SO2;O3
01/10/2015;0.38;22;68;69;27;16;6;
30/09/2015;0.32;10;86;44;15;9;6;
29/09/2015;0.36;32;77;85;26;15;6;
28/09/2015;0.28;14;62;56;21;;6;
27/09/2015;0.22;7;38;29;15;;6;
26/09/2015;0.26;9;49;34;17;;6;
25/09/2015;0.32;23;61;70;24;;6;
24/09/2015;0.27;13;69;47;14;6;6;
23/09/2015;0.23;11;46;41;6;2;5;
22/09/2015;0.26;9;47;33;12;5;5;
21/09/2015;0.33;25;62;69;25;15;5;
20/09/2015;0.22;9;49;37;10;4;5;
19/09/2015;0.22;10;49;34;11;6;5;
18/09/2015;0.27;18;61;58;15;6;5;
17/09/2015;0.23;8;44;31;9;3;5;
16/09/2015;0.24;6;29;22;6;2;5;
15/09/2015;0.25;8;53;36;13;5;6;
14/09/2015;0.23;10;55;41;13;6;6;
13/09/2015;0.28;5;33;20;12;6;5;
12/09/2015;0.3;9;41;33;21;12;5;
11/09/2015;0.4;26;75;72;28;16;6;
10/09/2015;0.35;9;44;40;22;14;5;
09/09/2015;0.37;22;66;69;33;18;6;
08/09/2015;0.31;18;75;65;19;10;6;
07/09/2015;0.39;21;62;62;19;9;6;
06/09/2015;0.24;7;27;29;10;6;5;
05/09/2015;0.24;6;24;24;7;4;5;
04/09/2015;0.24;10;41;37;11;;5;
03/09/2015;0.24;10;41;42;10;;5;
02/09/2015;0.24;11;49;40;14;;5;
01/09/2015;0.3;9;39;36;12;;5;
31/08/2015;0.3;10;58;41;24;10;5;
30/08/2015;0.19;5;19;16;25;9;5;
29/08/2015;0.3;7;40;26;22;10;5;
28/08/2015;0.25;10;60;34;12;7;5;
27/08/2015;0.23;6;30;24;18;5;5;
26/08/2015;0.25;8;71;41;28;10;5;
25/08/2015;0.27;13;45;43;15;6;5;
24/08/2015;0.24;7;18;23;10;4;5;
23/08/2015;0.34;5;12;16;10;4;5;
22/08/2015;0.36;7;38;28;24;13;5;
21/08/2015;0.37;13;65;50;25;14;5;
20/08/2015;0.27;12;45;43;21;;5;
19/08/2015;0.25;11;49;35;12;6;5;
18/08/2015;0.24;8;43;31;16;7;5;
17/08/2015;0.25;9;45;30;15;8;5;
16/08/2015;0.25;11;40;36;12;6;5;
15/08/2015;0.23;7;25;19;10;5;5;
14/08/2015;0.24;8;25;27;10;5;5;
13/08/2015;0.26;7;31;27;18;9;5;
12/08/2015;0.28;7;39;30;37;19;5;
11/08/2015;0.31;13;73;52;28;17;5;
10/08/2015;0.28;10;34;36;16;9;5;
09/08/2015;0.25;6;22;22;13;6;5;
08/08/2015;0.26;8;21;26;9;4;5;
07/08/2015;0.29;9;39;32;13;7;5;
06/08/2015;0.28;7;32;28;21;12;5;
05/08/2015;0.27;8;24;29;23;11;5;
04/08/2015;0.29;8;25;27;11;5;5;
03/08/2015;0.3;12;82;53;25;14;5;
02/08/2015;0.3;9;57;38;20;10;5;
01/08/2015;0.26;6;28;26;14;8;5;
31/07/2015;0.23;10;43;39;14;7;5;
30/07/2015;0.28;10;38;37;13;7;5;
29/07/2015;0.29;15;45;43;16;8;5;
28/07/2015;0.27;10;36;34;20;9;5;
27/07/2015;0.29;10;33;31;19;9;5;
26/07/2015;0.28;6;23;24;17;8;5;
25/07/2015;0.23;7;20;24;19;6;5;
24/07/2015;0.4;18;55;60;28;12;5;
23/07/2015;0.3;10;49;35;18;8;5;
22/07/2015;0.31;11;36;37;17;7;5;
21/07/2015;0.35;12;41;42;25;;5;
20/07/2015;0.34;16;76;58;30;17;5;
19/07/2015;0.38;7;43;28;24;11;5;
18/07/2015;0.38;10;63;40;28;16;5;
17/07/2015;0.39;16;60;60;45;24;5;
16/07/2015;0.41;17;81;64;44;22;5;
15/07/2015;0.29;11;70;44;32;16;5;
14/07/2015;0.29;10;64;42;27;11;5;
13/07/2015;0.29;12;45;43;20;7;5;
12/07/2015;0.24;10;45;32;13;5;5;
11/07/2015;0.34;8;36;27;18;7;5;
10/07/2015;0.34;13;52;49;39;15;5;
09/07/2015;0.25;9;40;35;18;6;5;
08/07/2015;0.22;11;46;37;14;5;5;
07/07/2015;0.29;12;68;44;27;14;6;
06/07/2015;0.27;8;79;35;33;13;5;
05/07/2015;0.25;8;24;25;16;6;5;
04/07/2015;0.26;12;57;46;26;12;5;
03/07/2015;0.21;8;54;35;39;13;5;
02/07/2015;0.32;11;36;36;23;12;5;
01/07/2015;0.37;14;83;57;41;19;5;
30/06/2015;0.34;9;87;48;45;;5;
29/06/2015;0.32;7;39;30;31;;5;
28/06/2015;0.26;13;69;43;26;12;5;
27/06/2015;0.27;9;53;31;29;14;5;
26/06/2015;0.37;17;88;67;51;23;5;
