Fecha;BEN;NO;NO2;NOX;PM10;SO2;TOL;O3;dd;HR;LL;TMP;vv
01/10/2015;0.73;4;62;31;23;12;3.04;;304;70;46.8;19.2;4.65
30/09/2015;1.16;20;77;77;29;10;9.1;;104;69;0.5;20.8;2.44
29/09/2015;0.77;19;61;60;23;11;4.76;;20;74;0;18.7;1.35
28/09/2015;0.75;17;70;64;23;10;4.82;;96;71;0;19.9;2.45
27/09/2015;0.51;3;34;21;13;9;1.95;;329;74;0;18.9;1.89
26/09/2015;0.41;7;43;35;16;7;2.91;;349;74;0.2;19.8;0.51
25/09/2015;0.51;16;65;59;19;8;5;;90;71;0.2;19.1;1.43
24/09/2015;0.56;19;65;67;16;;5.89;;87;74;0.1;19;1.03
23/09/2015;0.34;3;64;22;5;;0.83;;296;79;13.1;16.6;2.61
22/09/2015;0.43;4;25;20;8;7;0.55;;294;75;2.3;17.7;7.52
21/09/2015;0.71;16;59;53;18;10;3.37;;338;76;0;19.3;2.06
20/09/2015;0.58;5;63;30;12;10;2.16;;88;71;0.2;19.5;2.79
19/09/2015;0.5;5;42;28;16;12;2.02;;77;74;0.1;20.4;4.27
18/09/2015;0.66;18;60;52;12;12;2.8;;318;71;0.8;19.4;4.46
17/09/2015;0.24;3;28;17;6;9;0.54;;298;71;0.8;19.2;5.78
16/09/2015;0.15;3;34;15;9;6;0.17;;254;60;0.4;23.3;4.66
15/09/2015;0.34;14;71;45;13;8;4.14;;181;67;2.5;20.1;4.31
14/09/2015;0.3;3;37;20;13;9;0.78;;302;73;1.6;18.6;4.06
13/09/2015;0.33;3;27;16;10;4;1.32;;233;71;1.4;20.6;2.28
12/09/2015;0.62;2;23;17;12;4;0.94;;336;82;2.1;21.3;0.82
11/09/2015;0.58;13;55;47;18;6;4.48;;351;80;0;20.3;0.81
10/09/2015;1.41;4;71;26;13;5;3.27;;304;83;0.2;20.7;2.42
09/09/2015;0.76;19;77;61;22;7;6.01;;357;81;0;19.6;1.17
08/09/2015;0.56;18;65;62;17;9;5.89;;62;73;0.1;19.4;1.19
07/09/2015;0.4;13;68;45;12;8;5.82;;27;71;0;19;1.84
06/09/2015;0.31;4;43;28;10;6;1.99;;47;73;0;18.9;1.19
05/09/2015;0.31;2;36;17;5;5;1.11;;316;81;0;18.7;1.2
04/09/2015;0.23;3;30;21;5;3;0.76;;333;84;15.9;17.7;0.37
03/09/2015;0.41;3;45;22;7;4;0.67;;300;89;21.3;17.8;2.25
02/09/2015;0.7;16;68;52;17;4;3.34;;15;84;3.7;19.2;0.64
01/09/2015;0.44;3;37;21;9;3;0.99;;301;86;5.2;19;2.42
31/08/2015;0.54;5;67;26;17;4;0.98;;309;90;9.9;22;4.05
30/08/2015;0.73;3;55;25;22;4;1.24;;112;76;2.5;26.4;0.49
29/08/2015;0.7;6;37;27;19;4;1.59;;314;94;0;22.8;1.79
28/08/2015;0.31;8;50;29;11;4;1.26;;302;90;0;22.9;2.31
27/08/2015;0.31;4;48;24;9;5;1.04;;209;62;0;26.8;1.6
26/08/2015;0.56;4;66;36;14;9;1.63;;312;73;0;24.9;2.26
25/08/2015;0.42;8;56;38;14;8;1.81;;75;72;0;23;2.61
24/08/2015;0.29;4;28;20;15;9;0.48;;305;74;0.1;21;4.64
23/08/2015;0.23;3;20;13;5;5;0.43;;260;69;0.2;22.4;2.01
22/08/2015;0.57;3;37;22;21;3;1.21;;316;97;11.5;21.4;1.14
21/08/2015;0.93;14;69;53;27;5;3.13;;339;85;0.6;22;1.07
20/08/2015;;11;53;47;15;7;;;62;78;0;21.4;1.45
19/08/2015;;10;46;41;30;7;;;360;80;0.1;21.5;1.25
18/08/2015;0.42;9;64;40;18;6;2.41;;349;87;0.1;22.5;1.56
17/08/2015;0.44;8;56;34;33;6;1.32;;327;87;0.1;21.9;2.46
16/08/2015;0.32;5;30;25;12;6;1.13;;55;91;0.3;19.7;1.02
15/08/2015;0.18;2;30;14;8;5;0.35;;305;91;2.8;19.8;1.99
14/08/2015;0.31;3;25;20;10;22;0.28;;298;81;4.4;20;7.95
13/08/2015;0.7;5;61;27;13;15;1.44;;296;88;1.5;21.8;4.75
12/08/2015;0.57;9;70;40;26;4;2.46;;319;95;0.2;22.8;1.46
11/08/2015;0.52;7;63;33;23;4;2.26;;310;96;0;22.5;2.55
10/08/2015;0.41;9;50;40;16;7;2.79;;91;79;0.1;23.6;2.87
09/08/2015;0.27;2;21;13;9;9;0.39;;308;81;0.1;21.9;3.03
08/08/2015;0.39;2;15;12;7;7;0.38;;301;84;0.8;19.3;4.31
07/08/2015;0.66;4;40;21;9;6;1.77;;296;94;0.2;20.3;3.33
06/08/2015;0.44;14;62;51;20;7;3.37;;47;91;0.3;22.5;1.15
05/08/2015;0.58;10;49;38;18;5;3.77;;313;91;0;22;2.56
04/08/2015;0.36;3;30;20;8;5;2.8;;304;93;2.4;20.4;0.99
03/08/2015;0.5;8;80;38;15;8;1.83;;40;91;0;23.2;1.14
02/08/2015;0.38;3;40;23;14;8;1.03;;181;70;0;24.9;0.39
01/08/2015;0.6;2;37;21;11;9;1.1;;49;79;0;21.1;1.29
31/07/2015;0.43;3;39;23;10;6;4.2;;320;91;10.1;18.9;1.07
30/07/2015;0.24;6;59;33;11;5;4.99;;18;84;0.1;20.8;0.92
29/07/2015;0.3;3;41;26;8;6;1.49;;49;96;10.9;20.6;1.01
28/07/2015;0.26;5;48;31;11;8;1.12;;335;81;0;23.8;1.26
27/07/2015;0.27;3;24;17;10;7;0.49;;301;92;0.4;20.9;4.08
26/07/2015;0.26;3;39;22;11;10;1.23;;319;79;0.2;22.3;2.91
25/07/2015;0.26;2;28;14;11;8;0.58;;316;79;0.2;20.4;2.01
24/07/2015;0.61;14;64;50;14;7;8.55;;305;90;0.7;21.6;2.71
23/07/2015;0.42;10;53;38;15;5;6.86;;324;90;0;22.7;0.8
22/07/2015;0.33;3;31;21;9;4;1.12;;296;96;3.1;21.3;3.08
21/07/2015;0.28;4;44;28;10;4;1.78;;308;98;19;23.1;0.77
20/07/2015;0.49;11;61;43;16;4;2.06;;312;85;0.2;25;1.22
19/07/2015;0.35;6;36;29;15;4;2.17;;328;91;0.1;24.1;0.9
18/07/2015;0.33;5;39;27;14;3;2.16;;315;92;3;23.2;1.28
17/07/2015;0.52;10;53;43;19;4;3.38;;324;93;0;22.6;1.09
16/07/2015;0.48;4;40;25;14;3;4.56;;312;96;0;22.3;1.86
15/07/2015;0.28;4;44;24;16;4;1.61;;348;95;0;22.5;1
14/07/2015;0.38;5;60;28;14;5;3.29;;4;89;0.1;22.8;0.81
13/07/2015;0.33;10;50;33;9;5;1.78;;19;87;0;21.6;1.15
12/07/2015;0.19;2;25;15;6;4;0.89;;59;86;0.2;21.5;1.16
11/07/2015;0.24;2;17;12;11;7;0.35;;330;90;0.4;21.5;1.66
10/07/2015;0.53;11;61;46;21;10;3.58;;306;79;0.2;22.7;3.42
09/07/2015;1.17;4;43;23;10;6;6.4;;73;77;0;21.7;1.39
08/07/2015;0.59;3;35;15;11;5;3.09;;318;83;2.2;20.1;2.16
07/07/2015;0.57;3;28;17;14;4;1.5;;303;88;1.7;21.7;3.02
06/07/2015;0.53;7;60;35;15;4;3.08;;327;88;0.1;21.8;1.01
05/07/2015;0.25;3;24;15;6;3;0.49;;305;95;2.9;20.7;1.56
04/07/2015;0.29;4;51;23;12;5;1.58;;52;81;0.3;22.7;1.91
03/07/2015;0.68;10;51;40;24;4;4.03;;20;76;0;25.6;0.5
02/07/2015;0.58;3;24;20;;3;1.3;;311;97;0;20.5;2.6
01/07/2015;0.33;3;39;18;26;4;0.67;;313;95;0.1;21.7;1.78
30/06/2015;0.47;4;57;27;27;4;3.03;;354;82;0;24.4;1.04
29/06/2015;0.31;4;38;23;15;4;1.95;;18;90;0;22.5;0.66
28/06/2015;0.31;3;34;21;13;5;1.21;;2;91;0.1;21.6;0.73
27/06/2015;0.33;3;21;15;18;4;0.78;;321;84;0;22.1;1.08
26/06/2015;0.84;6;58;32;30;4;2.71;;318;92;0;20.4;1.95
25/06/2015;0.83;10;52;42;21;6;3.58;;341;81;0;21.9;0.96
24/06/2015;0.88;7;38;29;17;6;2.43;;327;84;0;20.9;1.21
23/06/2015;0.78;4;35;21;10;4;2.43;;333;82;0;21.1;1.63
22/06/2015;0.5;12;53;44;19;5;2.19;;334;90;0;20.4;1.07
21/06/2015;0.47;3;31;23;17;6;1.59;;331;86;0;20;0.91
20/06/2015;0.4;5;28;23;16;6;1.48;;322;90;0;19.3;0.9
19/06/2015;0.44;4;51;22;10;5;1.09;;306;99;0.4;18.4;1.97
18/06/2015;0.34;5;61;23;15;5;0.99;;313;91;0;19.3;2.02
17/06/2015;0.35;2;14;13;12;5;0.36;;300;96;0;18.3;4.28
16/06/2015;0.37;2;16;12;8;5;0.3;;300;91;0;16.8;5.56
15/06/2015;0.54;3;33;15;9;3;0.44;;302;94;15.8;16.9;4.65
14/06/2015;0.46;3;33;19;10;5;0.84;;312;92;0;17.6;1.68
13/06/2015;0.35;3;56;19;10;2;0.56;;326;95;1.1;18.1;0.93
12/06/2015;0.45;5;71;27;18;3;1.36;;32;97;4.7;18.6;0.96
11/06/2015;0.61;5;76;32;18;3;2.25;;318;94;2.9;18.2;0.82
10/06/2015;0.93;10;79;57;24;4;4.27;;87;99;9.6;17.7;0.39
09/06/2015;0.61;3;57;24;24;5;1.59;;316;97;1;18.4;1.6
08/06/2015;0.47;5;49;24;25;4;1.24;;308;96;0;19.9;2.27
