Fecha;PM25;PM10
09/01/2015;14;
10/01/2015;11;
11/01/2015;13;
12/01/2015;9;
13/01/2015;15;
14/01/2015;12;
16/01/2015;;23
17/01/2015;;12
18/01/2015;;14
19/01/2015;;8
20/01/2015;;12
21/01/2015;;10
22/01/2015;;8
23/01/2015;;9
24/01/2015;;16
25/01/2015;;11
26/01/2015;;16
27/01/2015;;12
28/01/2015;;12
29/01/2015;;16
30/01/2015;;18
31/01/2015;;7
01/02/2015;;6
02/02/2015;;8
03/02/2015;;6
04/02/2015;;6
07/02/2015;11;
08/02/2015;8;
09/02/2015;10;
10/02/2015;5;
11/02/2015;10;
12/02/2015;12;
14/02/2015;;9
16/02/2015;;8
19/02/2015;;17
20/02/2015;;16
23/02/2015;;12
25/02/2015;;7
28/02/2015;;18
03/03/2015;;27
06/03/2015;9;
07/03/2015;13;
08/03/2015;13;
09/03/2015;20;
10/03/2015;16;
11/03/2015;19;
13/03/2015;;40
14/03/2015;;21
15/03/2015;;12
16/03/2015;;15
17/03/2015;;10
18/03/2015;;14
19/03/2015;;21
20/03/2015;;27
21/03/2015;;24
22/03/2015;;15
23/03/2015;;24
24/03/2015;;19
25/03/2015;;10
26/03/2015;;9
27/03/2015;;9
28/03/2015;;9
29/03/2015;;13
30/03/2015;;10
31/03/2015;;15
01/04/2015;;18
02/04/2015;;
03/04/2015;12;
04/04/2015;9;
05/04/2015;8;
06/04/2015;5;
07/04/2015;6;
08/04/2015;6;
10/04/2015;;24
11/04/2015;;30
12/04/2015;;31
13/04/2015;;37
14/04/2015;;39
15/04/2015;;36
16/04/2015;;22
17/04/2015;;13
18/04/2015;;15
19/04/2015;;9
20/04/2015;;13
21/04/2015;;12
22/04/2015;;20
23/04/2015;;33
24/04/2015;;43
25/04/2015;;31
26/04/2015;;12
27/04/2015;;7
28/04/2015;;9
29/04/2015;;22
01/05/2015;13;
02/05/2015;7;
03/05/2015;9;
04/05/2015;13;
05/05/2015;10;
06/05/2015;7;
08/05/2015;20;
09/05/2015;;26
10/05/2015;16;
11/05/2015;;15
12/05/2015;24;
13/05/2015;34;
14/05/2015;;63
15/05/2015;;37
16/05/2015;17;
17/05/2015;14;
18/05/2015;;14
19/05/2015;18;
20/05/2015;;11
21/05/2015;;14
22/05/2015;;15
23/05/2015;;13
24/05/2015;;12
25/05/2015;;21
26/05/2015;;26
27/05/2015;;20
29/05/2015;8;
30/05/2015;9;
31/05/2015;9;
01/06/2015;10;
02/06/2015;9;
03/06/2015;8;
05/06/2015;;15
06/06/2015;;12
07/06/2015;;10
08/06/2015;;16
09/06/2015;;21
10/06/2015;;19
11/06/2015;;22
12/06/2015;;24
13/06/2015;;23
14/06/2015;;20
15/06/2015;;20
16/06/2015;;12
17/06/2015;;13
18/06/2015;;13
19/06/2015;;17
20/06/2015;;20
21/06/2015;;16
22/06/2015;;17
23/06/2015;;26
24/06/2015;;19
26/06/2015;11;
27/06/2015;10;
28/06/2015;11;
29/06/2015;10;
30/06/2015;11;
01/07/2015;10;
04/07/2015;;24
05/07/2015;;18
06/07/2015;;19
07/07/2015;;33
08/07/2015;;43
09/07/2015;;30
10/07/2015;;32
11/07/2015;;27
12/07/2015;;23
13/07/2015;;30
14/07/2015;;23
15/07/2015;;23
16/07/2015;;22
17/07/2015;;22
18/07/2015;;32
19/07/2015;;27
20/07/2015;;33
21/07/2015;;35
22/07/2015;;40
24/07/2015;21;
25/07/2015;17;
26/07/2015;10;
27/07/2015;19;
28/07/2015;19;
29/07/2015;18;
31/07/2015;;19
01/08/2015;;19
02/08/2015;;21
03/08/2015;;29
04/08/2015;;25
05/08/2015;;26
06/08/2015;;27
07/08/2015;;51
08/08/2015;;46
09/08/2015;;28
10/08/2015;;35
11/08/2015;;32
12/08/2015;;41
13/08/2015;;53
14/08/2015;;34
21/08/2015;9;
22/08/2015;1;
24/08/2015;23;
25/08/2015;11;
26/08/2015;7;
