Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;1;334;10.9;56;1024;110;0;3;0.4;4;26;24;32;58
02/01/2015;0.7;277;10.3;66;1026;119;0;3;0.4;12;41;29;59;48
03/01/2015;0.8;259;11.7;50;1025;121;0;4;0.3;16;41;28;64;46
04/01/2015;1;298;14.1;48;1023;119;0;3;0.3;2;23;20;24;58
05/01/2015;0.8;344;12.4;73;1022;109;0;3;0.4;10;38;30;53;47
06/01/2015;0.8;281;10.9;79;1020;109;0;4;0.3;3;27;31;29;45
07/01/2015;1.1;339;12.1;73;1022;80;0;3;0.2;9;37;28;51;51
08/01/2015;0.8;295;11.4;76;1025;104;0;3;0.4;17;42;76;68;43
09/01/2015;0.6;284;11.2;66;1027;115;0;4;0.4;42;56;37;120;39
10/01/2015;0.9;265;12.4;50;1024;118;0;4;0.4;11;43;35;59;45
11/01/2015;0.9;301;14.4;41;1022;112;0;3;0.2;7;30;21;40;55
12/01/2015;0.9;1;13.2;68;1023;81;0;3;0.3;9;34;24;48;51
13/01/2015;0.8;307;13.4;67;1020;103;0;4;0.4;17;48;32;74;48
14/01/2015;0.6;284;14.1;58;1020;111;0;4;0.2;19;50;36;79;45
15/01/2015;0.6;275;12.7;71;1017;110;0;4;0.2;19;55;45;83;39
16/01/2015;1.2;292;12.3;61;1015;66;0;3;0.4;15;40;36;63;47
17/01/2015;1.2;318;10.3;52;1019;122;0;3;0.3;5;28;16;35;61
18/01/2015;0.5;290;9.1;61;1016;86;0;4;0.4;2;22;23;22;55
19/01/2015;1.3;325;9.8;79;1012;37;0;3;0.4;4;22;8;27;51
20/01/2015;1.4;316;9.1;50;1013;121;0;3;0.3;12;32;17;50;57
21/01/2015;1.5;293;9.9;54;1013;123;0;3;0.2;6;22;25;30;59
22/01/2015;2.2;299;10.4;53;1014;98;0;3;0.4;7;23;9;34;67
23/01/2015;1.7;300;10.9;44;1017;133;0;3;0.2;5;23;8;30;67
24/01/2015;2;294;10.8;38;1019;128;0;3;0.1;4;18;12;23;67
25/01/2015;2.2;333;13.2;44;1019;133;0;3;0.1;4;17;13;22;71
26/01/2015;1.1;312;11.2;53;1020;128;0;3;0.1;14;36;22;57;56
27/01/2015;1;295;13.3;48;1019;128;0;3;0.1;9;35;20;49;51
28/01/2015;1.1;288;12.5;55;1018;131;0;4;0.1;7;34;20;44;58
29/01/2015;2.1;267;15.7;47;1014;124;0;4;0.1;3;19;17;24;69
30/01/2015;4.8;262;20.5;45;1008;111;4;3;0.1;2;6;20;7;71
31/01/2015;5.2;289;16.3;43;1007;122;24.5;3;0.2;2;6;13;8;81
01/02/2015;4.9;296;11.2;36;1014;151;21.7;4;0.2;3;7;9;12;84
02/02/2015;1.4;265;11.4;46;1014;110;0;3;0.2;5;18;11;24;70
03/02/2015;2.1;263;13.1;52;1010;102;1.8;3;0.2;3;12;;15;70
04/02/2015;3.4;297;9.6;46;1009;113;3;3;0.2;3;10;9;12;84
05/02/2015;3.5;302;8.4;35;1012;128;0;3;0.1;3;11;16;14;78
06/02/2015;2.5;306;8.9;36;1014;122;0;3;0.1;4;21;11;27;72
07/02/2015;0.6;317;7.9;49;1016;82;0;3;0.1;3;16;14;19;65
08/02/2015;1;275;9.2;52;1018;150;0;3;0.1;3;16;;18;66
09/02/2015;2.6;27;10.2;62;1019;86;0;3;0.1;2;15;;18;77
10/02/2015;1.6;30;10.9;79;1019;74;0.4;3;0.1;3;24;;28;73
11/02/2015;1.8;30;12.4;79;1018;99;0;3;0.1;3;22;22;26;77
12/02/2015;0.7;320;11.3;83;1018;27;0;3;0.2;4;35;22;40;56
13/02/2015;0.8;272;12.6;71;1018;146;0;3;0.2;9;37;30;50;48
14/02/2015;1.4;265;15;56;1016;123;0;3;0.2;;;14;;73
15/02/2015;2.1;299;15.5;63;1014;94;0;4;0.1;;;9;;62
16/02/2015;2.2;330;16.3;59;1016;141;0;4;0.1;4;19;12;25;66
17/02/2015;2.4;32;13.5;67;1018;74;0;3;0.1;4;14;10;20;77
18/02/2015;3;50;13.7;66;1021;110;0;3;0.1;;;;;84
19/02/2015;2;32;13;64;1021;164;0;3;0.1;;;21;;89
20/02/2015;1.5;7;12.5;67;1018;142;0;3;0.1;9;22;21;35;82
21/02/2015;1.3;288;11.7;65;1012;88;0;3;0.1;8;13;17;25;65
22/02/2015;2.5;314;13.3;43;1014;179;0;3;0.2;9;21;12;34;81
23/02/2015;1.7;277;16.4;52;1015;140;0;3;0.3;6;23;14;32;63
24/02/2015;3.6;306;15.1;33;1018;166;0;4;0.2;4;12;16;18;88
25/02/2015;3.2;304;14.9;40;1019;117;0;3;0.1;3;12;11;16;82
26/02/2015;2.9;321;18.4;45;1017;165;0;3;0.1;4;6;11;12;74
27/02/2015;2.3;293;17.5;41;1017;174;0;3;0.1;4;18;15;23;80
28/02/2015;1.2;320;13.3;57;1018;192;0;4;0.2;6;34;16;43;77
01/03/2015;1.4;261;18.8;47;1018;173;0;3;0.2;6;10;15;19;72
02/03/2015;1.4;260;21.9;47;1018;195;0;3;0.1;11;17;21;33;62
03/03/2015;1.1;62;17.8;68;1019;189;0;3;0.1;13;13;24;34;60
04/03/2015;0.7;233;15;80;1020;151;0;3;0.2;5;7;36;15;67
05/03/2015;1.5;283;13.2;28;1022;218;0;3;0.1;9;18;15;32;77
06/03/2015;0.9;10;11.9;41;1022;214;0;3;0.1;17;21;22;46;67
07/03/2015;1;275;13;53;1021;214;0;3;0.1;9;17;29;29;75
08/03/2015;0.8;27;13.1;65;1019;160;0;3;0.1;4;21;30;26;79
09/03/2015;1;199;14.2;77;1019;197;0;3;0.1;5;28;31;34;81
10/03/2015;0.7;30;13.9;76;1020;206;0;3;0.1;12;27;31;44;73
11/03/2015;1.2;314;15.2;69;1019;215;0;3;0.1;10;33;47;48;72
12/03/2015;1;92;16.5;59;1017;219;0;3;0.3;4;32;46;36;71
13/03/2015;1.2;54;14.6;78;1018;200;0;3;0.2;2;12;35;15;95
14/03/2015;0.8;50;11.3;80;1018;93;1.4;3;0.1;5;17;23;24;67
15/03/2015;0.9;9;11.8;69;1016;194;0;3;0.2;6;11;17;20;73
16/03/2015;1.1;53;11.5;78;1017;197;5.6;3;0.3;4;17;15;23;73
17/03/2015;2;39;11.5;74;1017;180;0;3;;5;11;12;18;84
18/03/2015;1.6;23;12.7;81;1016;42;4.4;3;;3;20;15;24;77
19/03/2015;3.3;29;14.4;85;1013;82;0.2;3;;5;10;20;15;81
20/03/2015;2.8;54;15.7;76;1011;68;0;3;0.1;6;7;26;16;89
21/03/2015;0.8;164;14.4;88;1011;131;2.8;3;0.1;4;11;21;16;76
22/03/2015;0.9;76;14.7;86;1012;177;0;3;0.1;2;9;15;11;80
