Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3
01/01/2014;00:00:00;3;1;15;43;13;58
01/01/2014;01:00:00;3;1;8;38;8;61
01/01/2014;02:00:00;3;1;6;25;5;60
01/01/2014;03:00:00;3;1;5;24;6;61
01/01/2014;04:00:00;3;1;6;28;9;64
01/01/2014;05:00:00;3;1;3;23;6;66
01/01/2014;06:00:00;3;1;5;22;7;65
01/01/2014;07:00:00;3;1;15;22;7;61
01/01/2014;08:00:00;3;1;7;18;6;72
01/01/2014;09:00:00;3;1;4;16;4;76
01/01/2014;10:00:00;3;1;3;19;5;76
01/01/2014;11:00:00;3;1;4;19;4;75
01/01/2014;12:00:00;3;1;6;21;4;75
01/01/2014;13:00:00;3;1;4;22;5;79
01/01/2014;14:00:00;3;1;6;21;6;77
01/01/2014;15:00:00;3;1;4;20;6;76
01/01/2014;16:00:00;3;1;10;18;6;66
01/01/2014;17:00:00;3;1;22;16;6;50
01/01/2014;18:00:00;3;1;13;15;6;61
01/01/2014;19:00:00;3;1;9;15;6;65
01/01/2014;20:00:00;3;1;3;16;6;73
01/01/2014;21:00:00;3;1;2;14;5;75
01/01/2014;22:00:00;3;1;8;14;4;63
01/01/2014;23:00:00;3;1;29;16;5;45
02/01/2014;00:00:00;3;1;31;20;6;41
02/01/2014;01:00:00;6;5;49;19;6;26
02/01/2014;02:00:00;3;1;11;20;6;59
02/01/2014;03:00:00;3;1;4;20;6;64
02/01/2014;04:00:00;3;1;7;20;6;64
02/01/2014;05:00:00;3;1;27;18;6;45
02/01/2014;06:00:00;5;7;52;16;6;29
02/01/2014;07:00:00;3;1;8;17;7;67
02/01/2014;08:00:00;3;1;4;14;5;71
02/01/2014;09:00:00;3;1;6;13;4;71
02/01/2014;10:00:00;3;1;6;13;4;77
02/01/2014;11:00:00;3;1;5;14;4;80
02/01/2014;12:00:00;3;1;5;13;4;81
02/01/2014;13:00:00;3;1;5;12;4;84
02/01/2014;14:00:00;3;1;5;12;4;85
02/01/2014;15:00:00;3;1;8;12;4;80
02/01/2014;16:00:00;3;1;21;15;5;61
02/01/2014;17:00:00;3;1;38;17;6;45
02/01/2014;18:00:00;3;1;24;10;4;47
02/01/2014;19:00:00;3;1;17;5;4;55
02/01/2014;20:00:00;4;1;32;7;4;42
02/01/2014;21:00:00;4;2;19;6;4;59
02/01/2014;22:00:00;3;1;5;8;4;70
02/01/2014;23:00:00;9;24;56;12;6;25
03/01/2014;00:00:00;4;1;26;14;6;48
03/01/2014;01:00:00;3;1;16;9;4;55
03/01/2014;02:00:00;3;1;10;6;4;57
03/01/2014;03:00:00;3;1;7;5;4;58
03/01/2014;04:00:00;3;1;8;6;4;63
03/01/2014;05:00:00;3;1;13;8;4;58
03/01/2014;06:00:00;3;1;17;6;4;49
03/01/2014;07:00:00;3;3;19;16;8;50
03/01/2014;08:00:00;3;3;15;14;6;55
03/01/2014;09:00:00;3;3;14;13;5;58
03/01/2014;10:00:00;3;1;8;13;4;69
03/01/2014;11:00:00;3;1;5;50;4;78
03/01/2014;12:00:00;3;1;7;35;4;74
03/01/2014;13:00:00;3;1;9;24;6;76
03/01/2014;14:00:00;4;2;22;23;6;64
03/01/2014;15:00:00;4;1;13;23;5;71
03/01/2014;16:00:00;3;1;7;18;5;75
03/01/2014;17:00:00;3;1;6;14;4;72
03/01/2014;18:00:00;3;1;6;14;4;73
03/01/2014;19:00:00;3;1;7;14;5;65
03/01/2014;20:00:00;3;1;5;9;4;63
03/01/2014;21:00:00;3;1;2;4;4;66
03/01/2014;22:00:00;3;1;2;4;5;69
03/01/2014;23:00:00;3;1;2;5;6;69
04/01/2014;00:00:00;3;1;2;9;4;65
04/01/2014;01:00:00;3;1;2;9;4;64
04/01/2014;02:00:00;3;1;3;6;4;62
04/01/2014;03:00:00;3;1;3;6;4;60
04/01/2014;04:00:00;3;1;6;7;4;56
04/01/2014;05:00:00;3;1;3;9;4;59
04/01/2014;06:00:00;3;1;3;8;4;59
04/01/2014;07:00:00;3;1;3;8;4;60
04/01/2014;08:00:00;3;1;3;7;4;61
04/01/2014;09:00:00;3;1;5;7;4;59
04/01/2014;10:00:00;3;2;9;8;4;58
04/01/2014;11:00:00;3;1;4;7;4;61
04/01/2014;12:00:00;3;1;6;8;4;58
04/01/2014;13:00:00;3;1;4;8;4;59
04/01/2014;14:00:00;3;1;3;7;4;59
04/01/2014;15:00:00;3;1;6;6;4;56
04/01/2014;16:00:00;3;1;6;6;4;55
04/01/2014;17:00:00;3;1;6;6;4;54
04/01/2014;18:00:00;3;1;5;4;4;56
04/01/2014;19:00:00;3;1;6;4;4;55
04/01/2014;20:00:00;3;1;2;4;4;60
04/01/2014;21:00:00;3;1;5;5;4;57
04/01/2014;22:00:00;3;1;3;4;4;59
04/01/2014;23:00:00;3;1;4;6;4;57
05/01/2014;00:00:00;3;1;6;7;4;56
05/01/2014;01:00:00;3;1;3;8;4;61
05/01/2014;02:00:00;3;1;2;8;4;64
05/01/2014;03:00:00;3;1;4;8;4;63
05/01/2014;04:00:00;3;1;4;6;4;62
05/01/2014;05:00:00;3;1;10;6;4;58
05/01/2014;06:00:00;6;7;37;10;5;37
05/01/2014;07:00:00;8;12;42;12;5;36
05/01/2014;08:00:00;6;7;27;12;5;50
05/01/2014;09:00:00;5;4;19;11;4;58
05/01/2014;10:00:00;4;3;14;12;4;64
05/01/2014;11:00:00;3;2;9;12;4;68
05/01/2014;12:00:00;3;1;7;11;4;70
05/01/2014;13:00:00;3;1;7;12;4;71
05/01/2014;14:00:00;3;2;12;12;4;68
05/01/2014;15:00:00;3;1;17;12;5;60
05/01/2014;16:00:00;4;1;29;12;4;45
05/01/2014;17:00:00;4;1;16;12;4;58
05/01/2014;18:00:00;3;1;12;12;4;58
05/01/2014;19:00:00;3;1;20;12;5;51
05/01/2014;20:00:00;3;1;26;13;6;46
05/01/2014;21:00:00;4;1;30;13;5;44
05/01/2014;22:00:00;4;1;25;13;5;49
05/01/2014;23:00:00;4;1;24;13;5;49
06/01/2014;00:00:00;4;1;24;13;6;51
06/01/2014;01:00:00;4;1;29;12;5;45
06/01/2014;02:00:00;5;1;33;12;4;39
06/01/2014;03:00:00;3;1;13;11;4;56
06/01/2014;04:00:00;3;1;22;12;5;46
06/01/2014;05:00:00;4;1;30;13;5;42
06/01/2014;06:00:00;7;9;51;14;6;20
06/01/2014;07:00:00;7;8;40;14;8;33
06/01/2014;08:00:00;3;2;11;14;7;63
06/01/2014;09:00:00;3;1;7;14;5;66
06/01/2014;10:00:00;3;1;4;14;4;69
06/01/2014;11:00:00;3;1;3;14;4;72
06/01/2014;12:00:00;3;1;4;13;4;72
06/01/2014;13:00:00;3;1;3;14;5;76
06/01/2014;14:00:00;3;1;5;14;6;76
06/01/2014;15:00:00;3;1;9;15;6;71
06/01/2014;16:00:00;3;1;25;15;6;49
06/01/2014;17:00:00;4;1;23;15;7;49
06/01/2014;18:00:00;3;1;14;17;8;52
06/01/2014;19:00:00;4;1;37;16;8;32
06/01/2014;20:00:00;5;1;45;14;8;30
06/01/2014;21:00:00;7;3;60;14;8;18
06/01/2014;22:00:00;5;1;45;14;7;31
06/01/2014;23:00:00;6;1;46;13;6;28
07/01/2014;00:00:00;6;1;47;13;6;25
07/01/2014;01:00:00;4;1;33;10;6;35
07/01/2014;02:00:00;3;1;22;10;5;43
07/01/2014;03:00:00;4;1;32;10;5;32
07/01/2014;04:00:00;4;1;31;10;6;35
07/01/2014;05:00:00;3;1;19;13;8;44
07/01/2014;06:00:00;3;1;22;15;8;42
07/01/2014;07:00:00;3;1;15;15;9;53
07/01/2014;08:00:00;3;2;10;16;4;59
07/01/2014;09:00:00;3;3;16;19;5;52
07/01/2014;10:00:00;3;6;19;28;8;51
07/01/2014;11:00:00;3;2;11;16;4;56
07/01/2014;12:00:00;3;3;15;13;6;53
07/01/2014;13:00:00;3;2;13;17;9;56
07/01/2014;14:00:00;3;4;19;20;11;50
07/01/2014;15:00:00;3;9;32;24;14;37
07/01/2014;16:00:00;3;12;46;30;17;24
07/01/2014;17:00:00;3;1;20;26;12;37
07/01/2014;18:00:00;3;1;20;25;11;34
07/01/2014;19:00:00;3;1;29;27;10;24
07/01/2014;20:00:00;3;1;28;26;11;26
07/01/2014;21:00:00;3;1;15;14;5;34
07/01/2014;22:00:00;3;1;17;6;4;35
07/01/2014;23:00:00;7;1;45;9;5;16
08/01/2014;00:00:00;5;1;27;10;6;25
08/01/2014;01:00:00;3;1;27;10;6;22
08/01/2014;02:00:00;3;5;27;12;8;27
08/01/2014;03:00:00;3;3;17;12;6;44
08/01/2014;04:00:00;3;9;31;6;4;33
08/01/2014;05:00:00;3;20;33;4;4;31
08/01/2014;06:00:00;3;23;49;10;6;16
08/01/2014;07:00:00;3;15;40;14;9;21
08/01/2014;08:00:00;3;10;21;18;7;39
08/01/2014;09:00:00;3;6;11;22;4;48
08/01/2014;10:00:00;3;6;10;22;4;49
08/01/2014;11:00:00;3;8;12;22;6;48
08/01/2014;12:00:00;3;9;16;22;8;48
08/01/2014;13:00:00;3;5;12;23;9;51
08/01/2014;14:00:00;3;6;16;28;10;47
08/01/2014;15:00:00;3;8;17;18;5;46
08/01/2014;16:00:00;3;6;12;10;4;49
08/01/2014;17:00:00;3;5;14;10;4;48
08/01/2014;18:00:00;3;6;26;13;7;40
