Fecha;NO;NO2;NOX;O3;PM10
01/10/2015;14;58;45;101;19
30/09/2015;4;13;16;93;9
29/09/2015;11;34;35;79;20
28/09/2015;6;34;30;85;12
27/09/2015;4;38;18;77;10
26/09/2015;9;34;29;81;
25/09/2015;17;55;51;69;18
24/09/2015;11;51;40;75;14
23/09/2015;9;33;25;71;5
22/09/2015;7;39;22;78;11
21/09/2015;20;50;55;106;18
20/09/2015;7;46;28;81;8
19/09/2015;7;31;27;86;11
18/09/2015;11;39;36;80;10
17/09/2015;6;31;26;70;9
16/09/2015;5;20;20;72;10
15/09/2015;10;48;34;72;16
14/09/2015;5;25;22;72;10
13/09/2015;4;24;17;77;9
12/09/2015;4;27;18;96;21
11/09/2015;6;32;22;98;20
10/09/2015;5;40;27;85;24
09/09/2015;9;45;37;97;24
08/09/2015;8;45;34;94;16
07/09/2015;8;38;30;87;12
06/09/2015;3;25;18;93;8
05/09/2015;3;18;13;86;7
04/09/2015;4;34;18;81;8
03/09/2015;5;33;18;84;7
02/09/2015;4;29;19;89;11
01/09/2015;3;10;11;71;6
31/08/2015;4;29;17;93;25
30/08/2015;2;7;10;103;26
29/08/2015;2;6;10;105;17
28/08/2015;5;36;25;81;14
27/08/2015;5;32;22;82;14
26/08/2015;3;32;15;101;
25/08/2015;7;35;26;80;9
24/08/2015;5;25;17;71;10
23/08/2015;3;15;13;86;7
22/08/2015;3;15;13;103;18
21/08/2015;7;41;32;117;20
20/08/2015;6;51;29;104;11
19/08/2015;4;26;18;85;8
18/08/2015;3;25;14;82;10
17/08/2015;4;18;15;76;12
16/08/2015;4;18;17;68;9
15/08/2015;9;60;24;68;8
14/08/2015;4;16;12;85;8
13/08/2015;5;16;16;78;13
12/08/2015;5;26;19;95;33
11/08/2015;6;43;24;107;20
10/08/2015;6;34;27;105;10
09/08/2015;4;20;14;78;11
08/08/2015;3;17;10;75;8
07/08/2015;4;16;11;77;9
06/08/2015;5;26;19;108;20
05/08/2015;4;18;16;100;18
04/08/2015;4;18;15;73;9
03/08/2015;4;31;19;110;23
02/08/2015;3;30;16;114;16
01/08/2015;4;20;13;99;11
31/07/2015;4;19;14;89;10
30/07/2015;5;28;19;73;9
29/07/2015;6;21;18;60;9
28/07/2015;4;20;13;85;13
27/07/2015;4;14;11;77;13
26/07/2015;4;17;13;105;10
25/07/2015;3;16;9;92;12
24/07/2015;5;18;17;100;12
23/07/2015;5;23;19;93;12
22/07/2015;4;23;15;63;11
21/07/2015;5;20;20;92;25
20/07/2015;5;23;21;112;20
19/07/2015;3;20;13;90;17
18/07/2015;3;13;13;112;23
17/07/2015;5;21;19;116;34
16/07/2015;5;16;19;114;33
15/07/2015;4;23;19;108;33
14/07/2015;4;18;17;103;21
13/07/2015;6;24;21;97;16
12/07/2015;4;14;12;77;11
11/07/2015;3;8;10;105;14
10/07/2015;7;31;25;135;23
09/07/2015;4;19;13;95;13
08/07/2015;3;10;10;73;9
07/07/2015;5;35;21;112;26
06/07/2015;4;19;17;105;28
05/07/2015;3;10;12;68;17
04/07/2015;5;23;16;118;24
03/07/2015;4;15;15;122;28
02/07/2015;7;26;22;88;16
01/07/2015;5;22;18;128;34
30/06/2015;3;16;13;138;33
29/06/2015;4;30;17;120;18
28/06/2015;4;23;16;89;17
27/06/2015;3;13;14;99;24
26/06/2015;6;39;26;130;29
25/06/2015;6;28;26;132;17
24/06/2015;4;18;15;95;14
23/06/2015;5;18;16;81;15
22/06/2015;7;28;25;104;22
21/06/2015;4;28;16;97;14
20/06/2015;4;12;15;96;13
19/06/2015;6;28;19;92;13
18/06/2015;5;34;19;104;19
17/06/2015;4;15;11;108;16
16/06/2015;4;19;12;95;11
15/06/2015;4;25;13;95;12
14/06/2015;3;13;12;92;14
13/06/2015;4;17;16;83;14
12/06/2015;5;19;18;90;14
11/06/2015;4;16;15;101;13
10/06/2015;4;31;19;93;13
09/06/2015;3;20;14;118;29
08/06/2015;3;13;13;109;24
07/06/2015;4;13;12;87;15
06/06/2015;3;5;8;75;8
05/06/2015;4;23;14;114;20
04/06/2015;3;21;16;124;19
03/06/2015;5;26;21;82;23
02/06/2015;4;19;19;97;21
01/06/2015;4;23;16;78;11
31/05/2015;4;16;12;84;10
30/05/2015;5;28;19;92;10
29/05/2015;3;24;14;88;12
28/05/2015;4;23;17;101;18
27/05/2015;13;96;35;107;16
26/05/2015;4;19;12;76;11
25/05/2015;4;14;11;73;8
24/05/2015;4;12;11;66;6
23/05/2015;3;8;9;92;11
22/05/2015;6;50;17;95;12
21/05/2015;3;5;9;89;9
20/05/2015;4;13;14;85;6
19/05/2015;3;7;9;86;6
18/05/2015;4;22;17;85;11
17/05/2015;4;26;13;75;7
16/05/2015;3;8;11;86;6
15/05/2015;5;16;15;85;6
14/05/2015;5;28;19;89;24
13/05/2015;5;33;26;125;42
12/05/2015;4;22;18;125;31
11/05/2015;4;17;14;121;24
10/05/2015;5;29;22;102;16
09/05/2015;5;25;23;91;13
08/05/2015;5;20;19;109;16
07/05/2015;5;34;22;110;19
06/05/2015;5;39;22;100;15
05/05/2015;6;27;23;95;14
04/05/2015;4;14;15;81;16
03/05/2015;4;32;18;72;18
02/05/2015;5;25;20;46;6
01/05/2015;6;27;21;73;8
30/04/2015;10;36;33;79;13
29/04/2015;7;43;28;82;12
28/04/2015;3;27;15;88;12
27/04/2015;5;25;18;83;5
26/04/2015;4;15;15;83;5
25/04/2015;5;16;18;83;13
24/04/2015;13;46;46;92;20
23/04/2015;5;35;24;107;15
22/04/2015;3;18;15;109;12
21/04/2015;7;56;29;105;13
20/04/2015;10;50;36;102;11
19/04/2015;4;32;18;90;9
18/04/2015;4;44;20;81;16
17/04/2015;10;56;42;68;17
16/04/2015;5;21;22;108;24
15/04/2015;3;14;13;118;16
14/04/2015;3;10;12;118;18
13/04/2015;3;17;14;113;29
12/04/2015;5;33;23;105;24
11/04/2015;4;26;20;88;18
10/04/2015;4;27;19;105;16
