Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;6;3;0.1;2;7;8;9;39
02/01/2015;8;3;0.1;5;16;11;24;29
03/01/2015;8;3;0.1;3;17;11;21;30
04/01/2015;4;3;0.1;2;11;6;13;44
05/01/2015;6;3;0.1;3;11;8;14;32
06/01/2015;12;3;0.1;3;10;13;13;27
07/01/2015;11;3;0.1;3;11;13;14;31
08/01/2015;28;3;0.2;6;18;31;26;22
09/01/2015;10;3;0.1;9;20;14;34;17
10/01/2015;7;3;0.1;5;20;10;26;25
11/01/2015;4;3;0.1;2;9;6;11;46
12/01/2015;7;3;0.1;3;15;9;18;36
13/01/2015;10;3;0.1;4;21;13;26;24
14/01/2015;6;3;0.1;5;23;10;30;24
15/01/2015;7;3;0.1;3;13;13;17;45
16/01/2015;3;3;0.1;2;5;6;8;75
17/01/2015;3;3;0.1;2;8;6;9;64
18/01/2015;5;3;0.1;2;9;6;11;49
19/01/2015;2;3;0.1;2;6;3;8;53
20/01/2015;3;3;0.1;2;11;3;13;57
21/01/2015;2;3;0.1;2;6;2;8;60
22/01/2015;1;3;0.1;2;6;2;8;75
23/01/2015;1;3;0.1;2;4;2;6;85
24/01/2015;1;3;0.1;2;4;2;6;86
25/01/2015;2;3;0.1;2;4;3;6;93
26/01/2015;5;3;0.1;3;16;9;18;57
27/01/2015;3;3;0.1;2;9;5;11;56
28/01/2015;3;3;0.1;3;12;5;16;67
29/01/2015;3;3;0.1;2;5;10;7;72
30/01/2015;2;3;0.1;2;4;6;6;67
31/01/2015;1;3;0.1;2;4;1;6;81
01/02/2015;1;3;0.1;2;4;2;6;88
02/02/2015;1;3;0.1;2;5;2;7;68
03/02/2015;1;3;0.1;2;5;1;7;79
04/02/2015;2;3;0.1;2;4;3;7;78
05/02/2015;3;3;0.1;2;4;8;6;81
06/02/2015;1;3;0.1;2;4;2;6;77
07/02/2015;5;3;0.1;2;9;6;12;33
08/02/2015;4;3;0.1;2;6;4;8;63
09/02/2015;8;3;0.1;2;10;10;12;58
10/02/2015;9;3;0.1;2;13;13;15;65
11/02/2015;10;3;0.1;2;13;14;15;61
12/02/2015;11;3;0.1;2;14;14;16;33
13/02/2015;7;3;0.1;3;15;10;19;31
14/02/2015;4;3;0.1;2;7;5;9;52
15/02/2015;2;3;0.1;2;4;2;6;69
16/02/2015;3;3;0.1;2;8;4;10;69
17/02/2015;2;3;0.1;2;7;3;9;62
18/02/2015;4;3;0.1;2;8;5;11;69
19/02/2015;9;3;0.1;2;9;11;10;71
20/02/2015;10;3;0.1;2;12;13;15;65
21/02/2015;6;3;0.1;2;6;7;7;71
22/02/2015;1;3;0.1;2;5;2;6;91
23/02/2015;2;3;0.1;2;4;3;7;65
24/02/2015;1;3;0.1;2;4;2;6;91
25/02/2015;1;3;0.1;2;4;1;6;86
26/02/2015;2;3;0.1;2;7;2;8;71
27/02/2015;1;3;0.1;2;4;2;6;90
28/02/2015;3;3;0.1;2;7;5;9;83
01/03/2015;2;3;0.1;2;7;3;8;60
02/03/2015;4;3;0.1;3;13;7;16;35
03/03/2015;8;3;0.1;2;12;12;14;38
04/03/2015;6;3;0.1;3;8;8;13;56
05/03/2015;3;3;0.1;2;10;6;11;80
06/03/2015;6;3;0.1;2;12;11;14;66
07/03/2015;7;3;0.1;3;21;12;24;56
08/03/2015;8;3;0.1;2;11;12;13;65
09/03/2015;9;3;0.1;3;17;13;20;54
10/03/2015;10;4;0.1;2;25;15;27;58
11/03/2015;13;4;0.1;3;28;19;31;53
12/03/2015;11;5;0.1;3;23;17;26;80
13/03/2015;18;3;0.1;2;13;23;15;74
14/03/2015;4;3;0.1;2;6;7;8;82
15/03/2015;7;3;0.1;2;5;9;6;84
16/03/2015;8;3;0.1;2;8;10;10;67
17/03/2015;8;3;0.1;2;9;10;11;82
18/03/2015;6;3;0.1;2;6;7;8;94
19/03/2015;9;3;0.1;2;5;11;7;104
20/03/2015;7;3;0.1;2;5;9;7;104
