Fecha;NO;NO2;SO2;O3;TMP;HR;NOX;dd;PRB;RS;vv;XIL;PM10
01/01/2014;5;26;3;47;11;55;34;205;;;1;1.6;16
02/01/2014;19;35;3;25;12;70;64;258;;;1;2.4;19
03/01/2014;31;38;4;23;15;68;86;330;;;1;3.1;15
04/01/2014;9;22;3;49;16;51;36;255;;;4;2.1;14
05/01/2014;2;13;2;72;13;40;16;259;;;2;1.3;8
06/01/2014;7;19;2;49;12;60;29;242;;;1;1.4;11
07/01/2014;63;57;6;21;10;51;153;274;;;1;3.7;37
08/01/2014;51;47;5;29;9;59;125;274;;;1;4.7;35
09/01/2014;35;39;4;32;9;73;93;305;;;1;4.7;30
10/01/2014;10;40;3;27;10;77;54;331;;;1;4.3;43
11/01/2014;30;41;3;19;10;82;87;249;;;0;4.1;36
12/01/2014;19;31;3;30;11;72;61;221;;;1;1.8;24
13/01/2014;16;37;2;28;11;67;62;272;;;1;1.7;15
14/01/2014;13;30;3;49;12;48;50;267;;;2;1.4;9
15/01/2014;19;38;3;30;13;60;67;220;;;1;1.7;21
16/01/2014;54;46;4;7;10;81;128;236;;;0;6.8;39
17/01/2014;26;36;3;34;11;63;77;174;;154;1;2;21
18/01/2014;10;31;3;34;11;76;46;237;;112;1;2.3;22
19/01/2014;3;17;3;46;8;66;23;280;;80;2;1.5;6
20/01/2014;6;22;3;60;10;43;31;276;;158;4;1.3;10
21/01/2014;8;28;2;48;10;51;40;240;;;1;1.4;15
22/01/2014;20;37;3;27;10;68;66;270;;;1;2.9;18
23/01/2014;7;27;2;46;12;52;39;287;;;3;1.3;10
24/01/2014;5;25;2;58;13;41;33;274;;;2;1.3;10
25/01/2014;3;9;2;63;18;41;13;291;;;4;1.3;13
26/01/2014;3;22;2;46;16;45;27;268;;;1;1.2;8
27/01/2014;8;20;2;57;16;40;32;279;;;4;1.2;17
28/01/2014;9;24;2;61;12;40;38;249;;;2;1.3;12
29/01/2014;15;29;4;52;10;53;51;252;;;2;3.6;21
30/01/2014;4;18;2;65;10;39;24;275;;;3;;10
31/01/2014;8;31;3;45;11;46;43;270;;;2;2.6;13
01/02/2014;6;28;2;44;14;47;36;250;;;2;2.9;19
02/02/2014;4;14;2;70;11;32;19;285;;;2;1.1;11
03/02/2014;26;42;3;30;7;51;81;238;;;1;2.4;29
04/02/2014;10;27;3;57;11;42;42;218;;;2;1.4;23
05/02/2014;16;40;3;31;14;54;64;263;;;1;3.8;31
06/02/2014;29;40;4;32;15;60;84;197;;;1;3.4;29
07/02/2014;8;29;2;55;14;39;42;274;;;3;1;14
08/02/2014;3;17;2;59;14;45;22;239;;;2;1;14
09/02/2014;4;26;3;48;11;59;31;347;;;1;1.3;22
10/02/2014;4;14;2;72;13;37;20;265;;;6;0.9;19
11/02/2014;5;23;3;60;10;42;29;261;;;3;1.4;16
12/02/2014;11;26;2;46;12;62;42;244;;;1;1.7;13
13/02/2014;15;30;8;27;17;54;52;267;;;1;4.2;16
14/02/2014;22;30;6;31;17;57;64;247;;;1;1.7;18
15/02/2014;21;28;6;35;15;56;59;243;;183;1;1.6;58
16/02/2014;5;15;5;58;13;56;22;260;;132;1;1.3;23
17/02/2014;5;27;6;38;11;70;35;312;;;1;2.4;21
18/02/2014;5;23;5;42;13;62;32;286;;;2;2.5;32
19/02/2014;9;25;5;51;13;48;38;288;;;2;1.3;22
20/02/2014;15;29;5;49;13;47;51;247;;;2;1.9;19
21/02/2014;15;22;5;50;14;48;44;274;;;2;2.5;17
22/02/2014;4;21;5;63;13;38;26;278;;;2;1.6;12
23/02/2014;6;22;5;60;11;48;31;183;;;1;1.3;19
24/02/2014;13;38;5;37;8;69;58;248;;;1;2;25
25/02/2014;9;23;5;58;13;49;36;264;;;2;1.8;11
26/02/2014;11;27;5;58;12;41;44;281;;;2;1.9;17
27/02/2014;16;47;5;42;11;46;72;244;;;1;1.5;18
28/02/2014;8;30;5;58;16;41;42;258;;200;3;1.3;18
01/03/2014;4;24;5;58;15;49;29;269;;84;1;1.2;10
02/03/2014;5;18;4;47;19;45;25;292;;207;4;1.2;5
03/03/2014;5;20;5;65;16;37;28;281;;;5;1.1;14
04/03/2014;4;21;5;71;15;30;28;286;;;5;1;12
05/03/2014;5;24;5;58;16;43;31;285;;;3;1.1;14
06/03/2014;18;36;5;52;14;60;64;172;;;1;1.9;20
07/03/2014;8;33;6;74;14;62;46;124;;;1;1.4;19
08/03/2014;9;41;6;64;12;50;55;16;;281;1;1.9;21
09/03/2014;3;27;6;79;12;52;31;13;;272;1;1.5;20
10/03/2014;17;42;6;64;12;56;68;219;;;1;1.9;23
11/03/2014;19;48;6;61;11;52;78;353;;220;1;2.7;27
12/03/2014;7;48;6;54;11;62;58;345;;;1;4.3;31
13/03/2014;13;42;5;50;11;68;62;331;;;1;2;17
14/03/2014;5;38;6;57;12;59;46;260;;;1;1.5;17
15/03/2014;12;41;6;71;14;47;60;211;;227;1;1.6;28
16/03/2014;4;34;5;73;16;39;41;240;;236;1;1.3;25
17/03/2014;17;48;7;64;17;39;74;189;;;1;2.6;31
18/03/2014;18;50;7;65;17;53;78;84;;;1;3.1;38
19/03/2014;3;26;6;79;15;62;31;34;;;1;1.7;24
20/03/2014;4;33;6;70;15;62;40;166;;;1;1.5;25
21/03/2014;11;35;6;62;16;62;52;228;;227;1;1.8;28
22/03/2014;5;30;6;58;19;52;38;270;;171;1;2.2;22
23/03/2014;3;22;5;77;15;31;26;312;;222;2;1.2;9
24/03/2014;17;35;6;64;15;39;61;248;;257;2;1.8;20
25/03/2014;3;16;6;94;18;28;20;289;;;5;1.2;31
26/03/2014;4;18;5;82;13;37;23;289;;;6;1.1;6
27/03/2014;4;22;6;77;14;37;28;258;;;2;1.1;9
28/03/2014;3;25;6;78;13;66;29;47;;;1;2.5;29
29/03/2014;2;12;5;99;16;58;16;96;;192;2;1.1;47
30/03/2014;2;17;5;79;16;48;20;289;;203;1;1.1;17
31/03/2014;12;35;6;65;16;40;53;200;;;1;2;22
01/04/2014;7;29;6;74;16;63;39;28;;;1;1.8;29
02/04/2014;8;32;6;70;17;61;44;338;;;1;2.3;53
