Fecha;Hora;SO2;NO;NO2;PM10;O3;dd;vv;TMP;PRB
01/01/2015;1:00:00;1;;;18;74;61;2.3;11.0;1028
01/01/2015;2:00:00;0;;;18;73;66;3.0;11.2;1029
01/01/2015;3:00:00;0;;;18;72;61;2.6;10.8;1030
01/01/2015;4:00:00;0;;;18;70;59;2.6;10.8;1030
01/01/2015;5:00:00;0;;;16;69;64;2.2;11.1;1030
01/01/2015;6:00:00;1;;;15;71;63;2.0;11.3;1031
01/01/2015;7:00:00;0;;;14;69;56;1.7;11.1;1031
01/01/2015;8:00:00;0;;;14;68;60;1.4;11.0;1032
01/01/2015;9:00:00;1;;;14;66;57;1.5;11.3;1032
01/01/2015;10:00:00;1;;;14;66;61;1.4;11.3;1033
01/01/2015;11:00:00;2;;;13;65;65;1.9;12.1;1034
01/01/2015;12:00:00;2;;;12;67;93;2.0;12.7;1034
01/01/2015;13:00:00;2;;;11;71;88;1.7;13.2;1034
01/01/2015;14:00:00;1;;;11;79;62;1.9;13.3;1033
01/01/2015;15:00:00;1;;;11;82;87;1.6;13.4;1033
01/01/2015;16:00:00;1;;;12;85;110;1.6;13.4;1034
01/01/2015;17:00:00;0;;;13;85;87;1.0;12.8;1034
01/01/2015;18:00:00;1;;;15;78;64;0.6;11.6;1034
01/01/2015;19:00:00;4;;;20;72;25;0.2;10.0;1034
01/01/2015;20:00:00;9;;;24;62;101;0.7;8.9;1035
01/01/2015;21:00:00;6;;;24;62;47;0.6;8.5;1035
01/01/2015;22:00:00;7;;;23;49;132;0.3;7.5;1035
01/01/2015;23:00:00;9;;;26;40;271;0.3;6.8;1035
01/01/2015;0:00:00;12;;;27;25;355;0.1;6.5;1035
02/01/2015;1:00:00;10;0.5;11;31;28;328;0.3;6.4;1035
02/01/2015;2:00:00;10;0.5;9;32;29;282;0.6;6.1;1034
02/01/2015;3:00:00;8;0.6;10;30;27;118;0.5;5.8;1034
02/01/2015;4:00:00;7;0.5;7;28;32;205;0.8;6.2;1034
02/01/2015;5:00:00;6;0.5;9;26;36;275;0.6;6.0;1034
02/01/2015;6:00:00;6;1.2;19;25;26;294;0.6;5.8;1034
02/01/2015;7:00:00;6;3.0;28;23;21;294;0.3;6.2;1034
02/01/2015;8:00:00;8;11.3;38;22;13;280;0.5;6.1;1035
02/01/2015;9:00:00;6;3.1;28;22;17;218;0.7;5.8;1035
02/01/2015;10:00:00;5;4.4;23;20;32;239;0.5;7.0;1036
02/01/2015;11:00:00;4;4.3;16;17;40;222;0.7;8.8;1037
02/01/2015;12:00:00;4;5.2;18;17;46;232;0.7;11.0;1037
02/01/2015;13:00:00;6;3.5;18;16;55;258;0.3;14.3;1036
02/01/2015;14:00:00;9;7.4;35;13;52;311;0.6;16.4;1035
02/01/2015;15:00:00;6;2.9;17;14;74;127;0.7;17.1;1035
02/01/2015;16:00:00;2;0.0;1;12;84;47;1.1;16.4;1035
02/01/2015;17:00:00;2;0.0;6;12;78;51;0.7;16.3;1035
02/01/2015;18:00:00;2;0.3;14;15;64;178;0.7;14.5;1035
02/01/2015;19:00:00;6;0.4;34;27;35;322;0.5;11.6;1035
02/01/2015;20:00:00;8;5.1;57;29;16;307;0.2;10.7;1035
02/01/2015;21:00:00;13;6.3;54;35;16;267;0.3;10.1;1035
02/01/2015;22:00:00;14;0.4;30;40;28;233;0.5;9.5;1036
02/01/2015;23:00:00;14;0.5;34;42;20;265;0.6;9.1;1036
02/01/2015;0:00:00;12;0.5;26;36;28;210;1.2;8.4;1036
03/01/2015;1:00:00;11;0.5;20;33;30;201;1.2;8.1;1035
03/01/2015;2:00:00;10;0.5;26;32;28;184;1.1;7.9;1035
03/01/2015;3:00:00;10;0.6;25;31;22;271;0.4;6.9;1035
03/01/2015;4:00:00;8;0.4;21;29;33;203;1.2;8.1;1035
03/01/2015;5:00:00;6;0.4;15;24;36;165;1.1;7.9;1035
03/01/2015;6:00:00;5;0.4;12;21;39;182;0.8;7.4;1034
03/01/2015;7:00:00;4;0.4;12;20;37;201;0.5;7.5;1034
03/01/2015;8:00:00;3;0.3;11;17;47;197;1.2;7.9;1034
03/01/2015;9:00:00;4;4.5;17;17;50;219;1.7;9.6;1034
03/01/2015;10:00:00;4;1.7;16;16;52;211;1.6;10.5;1034
03/01/2015;11:00:00;4;2.8;19;15;53;168;0.5;12.2;1035
03/01/2015;12:00:00;3;0.7;9;14;67;220;1.1;14.8;1034
03/01/2015;13:00:00;2;0.2;5;14;74;227;1.4;16.5;1033
03/01/2015;14:00:00;3;0.6;10;15;71;179;0.7;18.2;1033
03/01/2015;15:00:00;3;0.1;8;13;72;119;1.3;19.7;1032
03/01/2015;16:00:00;3;0.2;11;13;69;121;1.4;19.2;1032
03/01/2015;17:00:00;2;0.0;6;14;76;121;1.5;17.8;1032
03/01/2015;18:00:00;2;0.0;6;16;77;167;1.5;15.8;1032
03/01/2015;19:00:00;3;0.0;5;21;75;213;2.3;14.1;1032
03/01/2015;20:00:00;3;0.1;6;24;72;200;1.7;13.2;1032
03/01/2015;21:00:00;4;0.0;6;23;69;200;2.5;12.8;1032
03/01/2015;22:00:00;4;0.1;7;24;61;213;1.6;12.1;1032
03/01/2015;23:00:00;5;0.0;8;26;52;196;0.6;11.3;1032
03/01/2015;0:00:00;4;0.0;7;26;51;172;1.0;11.3;1031
04/01/2015;1:00:00;0;0.3;9;24;43;197;0.7;11.0;1031
04/01/2015;2:00:00;0;0.6;13;25;39;115;0.5;10.7;1031
04/01/2015;3:00:00;6;0.3;8;29;46;286;0.4;10.7;1031
04/01/2015;4:00:00;5;0.1;7;22;61;280;0.7;11.1;1030
04/01/2015;5:00:00;3;0.0;5;15;62;247;0.9;10.8;1030
04/01/2015;6:00:00;3;0.0;5;13;57;257;0.4;10.0;1030
04/01/2015;7:00:00;3;0.0;4;14;51;209;0.4;9.0;1030
04/01/2015;8:00:00;4;0.0;4;14;44;247;0.3;8.6;1030
04/01/2015;9:00:00;6;0.6;11;16;27;244;1.0;7.9;1030
04/01/2015;10:00:00;7;4.6;14;14;31;255;0.6;8.2;1031
04/01/2015;11:00:00;6;1.4;9;12;41;26;0.3;10.9;1031
04/01/2015;12:00:00;5;1.3;9;11;46;167;0.6;12.6;1031
04/01/2015;13:00:00;4;0.8;9;11;62;262;1.2;15.8;1030
04/01/2015;14:00:00;15;5.4;25;14;51;272;0.9;17.9;1029
04/01/2015;15:00:00;14;1.4;19;15;62;268;0.9;19.1;1029
04/01/2015;16:00:00;7;2.8;13;16;73;253;1.6;18.6;1029
04/01/2015;17:00:00;6;0.8;15;16;71;253;1.6;18.0;1028
04/01/2015;18:00:00;3;0.2;9;15;64;240;0.7;16.3;1029
04/01/2015;19:00:00;7;0.0;10;22;52;135;1.0;13.2;1029
04/01/2015;20:00:00;6;0.0;8;23;52;23;0.6;12.5;1030
04/01/2015;21:00:00;6;0.0;7;23;53;144;0.5;12.1;1030
04/01/2015;22:00:00;7;0.1;6;24;51;170;0.5;11.6;1030
04/01/2015;23:00:00;8;0.3;8;23;40;275;0.9;10.6;1030
04/01/2015;0:00:00;9;0.4;8;25;37;201;1.1;9.9;1030
05/01/2015;1:00:00;6;0.4;4;23;46;74;1.5;9.9;1030
05/01/2015;2:00:00;5;0.2;2;21;54;37;1.3;10.3;1030
