Fecha;Hora;SO2;NO;NO2;CO;O3;PM10;PM25
01/01/2014;1:00:00;2.6;9.1;27;0.28;4.3;38;17
01/01/2014;2:00:00;2.8;4.3;23.7;0.26;6.4;35;13
01/01/2014;3:00:00;2.5;2.7;17.4;0.26;9.9;27;10
01/01/2014;4:00:00;2.9;7;20.8;0.27;5.1;43;17
01/01/2014;5:00:00;2.5;0.8;22.3;0.26;5.5;29;12
01/01/2014;6:00:00;2.7;1.5;18.2;0.27;6.4;35;13
01/01/2014;7:00:00;2.5;2;15;0.29;4.9;29;9
01/01/2014;8:00:00;2.4;0.6;9.9;0.26;13.7;24;9
01/01/2014;9:00:00;3;2.9;8.6;0.26;10.9;29;9
01/01/2014;10:00:00;2.9;5.2;9.5;0.29;13.9;41;12
01/01/2014;11:00:00;3;8.1;12.9;0.31;14.1;44;12
01/01/2014;12:00:00;3.2;2;4.2;0.37;47.1;42;11
01/01/2014;13:00:00;3.1;0.7;3.5;0.38;50.9;24;7
01/01/2014;14:00:00;2.8;0.6;3;0.38;53.1;16;5
01/01/2014;15:00:00;3.2;0.6;3.1;0.39;54.1;12;3
01/01/2014;16:00:00;2.5;0.6;3.4;0.38;54.8;8;3
01/01/2014;17:00:00;3;0.8;3.8;0.39;54.6;16;5
01/01/2014;18:00:00;2.8;0.6;4.3;0.39;54.7;17;5
01/01/2014;19:00:00;3;0.7;4.4;0.39;57.1;13;4
01/01/2014;20:00:00;2.9;0.6;4.4;0.39;56.6;15;5
01/01/2014;21:00:00;3;0.6;5.1;0.38;51.7;10;3
01/01/2014;22:00:00;3.1;0.6;3.7;0.39;55.3;6;3
01/01/2014;23:00:00;3;0.6;3.7;0.4;56;15;4
01/01/2014;0:00:00;3.3;0.6;3.8;0.41;55.1;5;2
02/01/2014;1:00:00;3.2;0.6;4;0.41;55.1;13;4
02/01/2014;2:00:00;3.2;0.6;3.4;0.41;54.5;11;3
02/01/2014;3:00:00;3;0.6;2.8;0.39;56.2;13;4
02/01/2014;4:00:00;3.3;0.6;2.6;0.38;56.8;14;4
02/01/2014;5:00:00;3.4;0.6;3;0.39;55;4;5
02/01/2014;6:00:00;3.2;0.7;10.5;0.38;25.1;3;4
02/01/2014;7:00:00;3;1;13.3;0.36;20.3;2;6
02/01/2014;8:00:00;2.9;1.8;17.9;0.35;19;3;7
02/01/2014;9:00:00;3.3;3.8;18.3;0.35;20.4;15;9
02/01/2014;10:00:00;3.4;10.9;22;0.35;16.9;24;13
02/01/2014;11:00:00;3;9.4;19.2;0.38;20;37;11
02/01/2014;12:00:00;2.9;5;14.1;0.4;26.7;25;11
02/01/2014;13:00:00;3.5;3.4;14.4;0.41;40.6;24;5
02/01/2014;14:00:00;3.5;1.7;6.6;0.45;52.3;22;7
02/01/2014;15:00:00;3.1;1.4;11.8;0.44;61.6;28;9
02/01/2014;16:00:00;3.2;1.5;18.7;0.42;51.6;20;10
02/01/2014;17:00:00;3.1;1.3;23.5;0.4;42.8;13;9
02/01/2014;18:00:00;3.1;1.2;21.6;0.37;38;10;8
02/01/2014;19:00:00;3;1.4;34.3;0.36;25.1;16;13
02/01/2014;20:00:00;3;1.2;29.5;0.37;28.2;14;11
02/01/2014;21:00:00;3.2;1;23.3;0.38;29.3;7;7
02/01/2014;22:00:00;3;0.8;15.3;0.38;29.5;20;7
02/01/2014;23:00:00;3.1;0.8;9.9;0.38;28.6;9;7
02/01/2014;0:00:00;2.8;1;10.6;0.37;27.4;16;6
03/01/2014;1:00:00;2.8;1;7.1;0.37;31.8;14;5
03/01/2014;2:00:00;2.7;0.9;6.8;0.36;30.3;20;6
03/01/2014;3:00:00;2.9;1.2;8.8;0.36;25.2;15;7
03/01/2014;4:00:00;3;1;10.9;0.36;28.7;10;8
03/01/2014;5:00:00;2.8;1;14.9;0.37;15.9;22;9
03/01/2014;6:00:00;2.5;1.7;18.7;0.36;10.6;21;11
03/01/2014;7:00:00;2.9;2.1;18.5;0.35;13.4;16;9
03/01/2014;8:00:00;2.7;1.8;19;0.36;13.6;19;12
03/01/2014;9:00:00;2.5;5.3;23.4;0.36;8.1;23;11
03/01/2014;10:00:00;2.2;4.4;18.3;0.37;14.1;34;14
03/01/2014;11:00:00;2.7;5;16.9;0.38;14;33;12
03/01/2014;12:00:00;2.5;3.4;14.8;0.4;16.3;36;12
03/01/2014;13:00:00;2.5;2.9;13.8;0.41;19.1;40;14
03/01/2014;14:00:00;2.8;3.3;18.3;0.41;19;33;13
03/01/2014;15:00:00;2.3;3.6;23.5;0.41;18;20;15
03/01/2014;16:00:00;2.5;2.9;30.2;0.41;16.9;19;10
03/01/2014;17:00:00;2.7;2.5;26;0.4;15.3;21;13
03/01/2014;18:00:00;2.5;1.7;27.4;0.39;11.8;24;14
03/01/2014;19:00:00;2.2;2;29;0.39;11.3;25;16
03/01/2014;20:00:00;2.8;2.5;27.8;0.39;16.3;16;13
03/01/2014;21:00:00;2.7;0.9;16.5;0.39;48.9;21;6
03/01/2014;22:00:00;2.7;1;4.5;0.38;70.3;24;6
