Fecha;Hora;SO2 ;NO ;NO2 ;PM10 ;PM25;O3 ;CO;dd;vv;TMP;HR;PRB;RS;LL
01/01/2014;0:00:00;1;2;15;49;15;19;0.2;160;0.5;7.6;74;998;0;0.0
01/01/2014;1:00:00;2;2;18;53;19;17;0.2;77;0.5;7.9;79;998;0;0.0
01/01/2014;2:00:00;1;3;22;61;20;11;0.3;114;0.5;7.5;83;997;0;0.0
01/01/2014;3:00:00;2;3;23;56;23;7;0.2;155;0.5;7.2;85;997;0;0.0
01/01/2014;4:00:00;2;3;16;40;16;10;0.2;116;0.5;7.0;87;996;0;0.0
01/01/2014;5:00:00;2;1;11;40;16;17;0.1;145;0.5;7.5;88;996;0;0.0
01/01/2014;6:00:00;1;1;11;29;16;11;0.1;90;0.5;7.2;89;996;0;0.0
01/01/2014;7:00:00;1;2;12;32;15;10;0.1;168;0.5;7.6;90;997;0;0.0
01/01/2014;8:00:00;1;3;11;33;12;12;0.1;100;0.5;8.5;90;997;0;0.0
01/01/2014;9:00:00;1;2;9;31;11;43;0.1;285;0.5;13.2;90;998;153;0.0
01/01/2014;10:00:00;1;1;8;16;11;84;0.1;79;0.5;16.8;73;998;363;0.0
01/01/2014;11:00:00;2;1;8;24;11;85;0.1;56;1.1;17.7;62;998;457;0.0
01/01/2014;12:00:00;1;1;5;23;20;88;0.1;46;1.7;17.3;64;998;376;0.0
01/01/2014;13:00:00;2;1;3;27;14;90;0.1;34;1.2;17.6;64;998;512;0.0
01/01/2014;14:00:00;1;1;3;21;10;91;0.1;45;1.7;17.6;63;996;276;0.0
01/01/2014;15:00:00;1;1;3;18;8;91;0.1;46;1.5;17.4;63;996;202;0.0
01/01/2014;16:00:00;1;1;3;12;10;90;0.1;34;1.1;17.4;64;996;254;0.0
01/01/2014;17:00:00;1;1;4;14;10;86;0.1;170;0.6;15.9;67;997;4;0.0
01/01/2014;18:00:00;1;1;9;14;8;71;0.1;226;0.5;14.2;72;997;0;0.0
01/01/2014;19:00:00;1;1;11;19;3;53;0.1;183;0.5;12.3;78;997;0;0.0
01/01/2014;20:00:00;2;2;13;24;9;40;0.1;158;0.5;10.9;82;997;0;0.0
01/01/2014;21:00:00;2;2;15;30;15;26;0.1;95;0.5;9.8;85;998;0;0.0
01/01/2014;22:00:00;2;1;15;24;14;28;0.2;155;0.5;9.9;86;998;0;0.0
01/01/2014;23:00:00;2;1;12;23;12;26;0.1;249;0.5;9.1;88;998;0;0.0
02/01/2014;0:00:00;1;1;10;11;9;36;0.1;113;0.5;9.0;89;997;0;0.0
02/01/2014;1:00:00;1;1;7;9;8;54;0.1;136;0.5;10.2;90;997;0;0.0
02/01/2014;2:00:00;1;1;6;10;8;57;0.1;225;0.5;10.2;90;996;0;0.0
02/01/2014;3:00:00;2;1;6;14;10;51;0.1;260;0.5;8.3;85;995;0;0.0
02/01/2014;4:00:00;1;1;6;14;11;49;0.1;293;0.5;9.4;83;996;0;0.0
02/01/2014;5:00:00;2;1;5;18;8;49;0.1;260;0.5;9.9;86;995;0;0.0
02/01/2014;6:00:00;2;1;7;24;10;55;0.1;147;0.5;10.5;88;996;0;0.0
02/01/2014;7:00:00;1;1;7;17;11;75;0.1;124;0.5;11.9;89;996;0;0.0
02/01/2014;8:00:00;2;1;8;17;8;70;0.1;135;0.5;11.8;86;997;0;0.0
02/01/2014;9:00:00;2;2;8;16;5;80;0.1;158;0.6;16.0;77;998;151;0.0
02/01/2014;10:00:00;2;2;11;21;23;76;0.1;102;1.3;17.8;67;998;363;0.0
02/01/2014;11:00:00;2;3;17;24;11;71;0.2;68;1.9;19.5;55;997;501;0.0
02/01/2014;12:00:00;4;7;26;29;11;62;0.2;68;2.3;20.0;50;997;579;0.0
02/01/2014;13:00:00;2;4;18;31;18;76;0.2;56;2.8;19.7;51;996;594;0.0
02/01/2014;14:00:00;1;2;12;38;15;83;0.2;68;2.2;19.7;51;996;323;0.0
02/01/2014;15:00:00;2;2;13;35;15;87;0.2;68;2.1;19.4;45;996;175;0.0
02/01/2014;16:00:00;2;1;16;14;11;85;0.2;102;1.2;19.5;50;996;276;0.0
02/01/2014;17:00:00;2;1;22;28;9;78;0.2;125;0.6;17.6;53;996;29;0.0
02/01/2014;18:00:00;1;1;30;24;12;66;0.2;137;0.5;15.1;66;997;0;0.0
02/01/2014;19:00:00;1;1;26;33;11;39;0.2;296;0.5;11.9;71;997;0;0.0
02/01/2014;20:00:00;1;2;29;21;9;19;0.2;89;0.5;9.5;72;997;0;0.0
02/01/2014;21:00:00;1;2;30;40;10;15;0.2;247;0.5;8.5;73;998;0;0.0
02/01/2014;22:00:00;1;2;28;56;8;17;0.2;285;0.5;7.7;69;998;0;0.0
02/01/2014;23:00:00;1;2;25;8;2;20;0.2;101;0.5;8.3;71;998;0;0.0
03/01/2014;0:00:00;1;2;20;28;2;26;0.2;91;0.5;9.1;78;998;0;0.0
03/01/2014;1:00:00;1;1;10;21;7;52;0.1;305;0.5;10.3;83;997;0;0.0
03/01/2014;2:00:00;1;1;10;7;7;54;0.1;282;0.5;10.5;84;997;0;0.0
03/01/2014;3:00:00;1;1;7;8;6;50;0.1;293;0.5;8.6;79;997;0;0.0
03/01/2014;4:00:00;1;1;7;8;5;47;0.1;171;0.5;9.0;69;997;0;0.0
03/01/2014;5:00:00;1;1;10;10;3;34;0.1;182;0.5;7.7;71;997;0;0.0
03/01/2014;6:00:00;1;1;15;11;3;31;0.1;170;0.5;8.8;79;997;0;0.0
03/01/2014;7:00:00;1;4;41;9;3;19;0.2;283;0.5;10.6;86;998;0;0.0
03/01/2014;8:00:00;1;6;37;11;8;26;0.3;191;0.5;11.6;88;998;0;0.0
03/01/2014;9:00:00;1;2;13;14;10;62;0.1;113;1.0;15.6;84;999;147;0.0
03/01/2014;10:00:00;2;4;19;11;7;58;0.2;91;1.4;18.2;70;999;348;0.0
03/01/2014;11:00:00;3;5;21;21;8;58;0.2;67;1.4;19.5;62;999;488;0.0
03/01/2014;12:00:00;3;4;17;35;8;71;0.2;57;1.6;19.6;60;998;561;0.0
03/01/2014;13:00:00;2;2;11;40;9;84;0.2;46;1.9;19.3;58;998;574;0.0
03/01/2014;14:00:00;1;1;5;20;11;90;0.2;46;1.4;18.5;64;998;245;0.0
03/01/2014;15:00:00;1;1;4;15;8;96;0.1;44;1.2;18.2;68;998;112;0.0
03/01/2014;16:00:00;2;1;8;12;6;89;0.1;190;0.8;17.4;71;998;21;0.0
03/01/2014;17:00:00;1;1;6;9;7;94;0.1;190;0.5;16.9;71;998;1;0.0
03/01/2014;18:00:00;1;1;13;8;6;71;0.2;202;0.5;15.6;74;999;0;0.0
03/01/2014;19:00:00;1;1;18;20;7;46;0.1;65;0.5;13.3;80;999;0;0.0
03/01/2014;20:00:00;1;1;16;65;8;36;0.1;183;0.5;11.7;84;999;0;0.0
03/01/2014;21:00:00;2;1;22;40;9;34;0.2;126;0.5;11.0;85;1000;0;0.0
03/01/2014;22:00:00;1;2;24;19;11;24;0.2;200;0.5;10.4;84;1000;0;0.0
03/01/2014;23:00:00;1;1;18;33;10;40;0.2;238;0.6;11.4;84;1000;0;0.0
04/01/2014;0:00:00;1;1;15;14;23;38;0.2;81;0.5;12.2;85;1000;0;0.0
04/01/2014;1:00:00;1;1;9;14;9;44;0.1;168;0.5;12.8;86;999;0;0.0
04/01/2014;2:00:00;1;1;6;10;5;56;0.1;250;0.5;13.1;86;1000;0;0.0
04/01/2014;3:00:00;1;1;6;10;7;51;0.1;135;0.5;12.9;85;1000;0;0.0
04/01/2014;4:00:00;1;1;6;11;7;57;0.1;179;0.5;13.4;85;999;0;0.0
04/01/2014;5:00:00;2;1;7;8;2;63;0.1;169;0.6;15.2;83;999;0;0.0
04/01/2014;6:00:00;1;1;6;9;4;59;0.1;193;0.5;15.7;79;1000;0;0.0
04/01/2014;7:00:00;1;1;8;9;8;53;0.1;94;0.5;15.5;81;1001;0;0.0
04/01/2014;8:00:00;1;1;11;9;8;54;0.1;247;0.5;15.2;82;1001;0;0.0
04/01/2014;9:00:00;1;1;8;10;7;66;0.1;182;0.5;17.3;78;1002;31;0.0
04/01/2014;10:00:00;1;1;7;12;6;69;0.1;188;0.8;18.7;70;1002;153;0.0
04/01/2014;11:00:00;1;1;5;13;7;70;0.1;68;1.6;19.5;67;1002;279;0.0
04/01/2014;12:00:00;1;1;4;22;6;72;0.1;47;1.1;19.0;66;1002;190;0.0
04/01/2014;13:00:00;1;1;4;24;6;72;0.1;67;1.1;18.9;67;1001;181;0.0
04/01/2014;14:00:00;1;1;4;35;8;72;0.1;45;0.8;18.4;69;1000;67;0.0
04/01/2014;15:00:00;1;1;3;15;4;71;0.1;46;0.7;18.4;70;1000;65;0.0
04/01/2014;16:00:00;1;1;4;14;3;69;0.1;68;0.6;18.5;69;1000;20;0.0
04/01/2014;17:00:00;1;1;5;19;6;68;0.1;68;0.6;18.0;73;1000;0;0.0
04/01/2014;18:00:00;1;1;5;14;4;68;0.1;114;0.9;17.7;77;1000;0;0.0
04/01/2014;19:00:00;1;1;10;11;4;60;0.1;170;0.5;17.5;75;1000;0;0.0
04/01/2014;20:00:00;1;1;11;7;9;59;0.1;148;0.6;17.7;70;1000;0;0.0
04/01/2014;21:00:00;1;1;8;5;10;62;0.1;170;0.5;16.9;70;1000;0;0.0
04/01/2014;22:00:00;1;1;7;6;7;63;0.1;136;0.5;16.8;68;1000;0;0.0
04/01/2014;23:00:00;1;1;14;13;6;40;0.1;179;0.5;14.9;73;1000;0;0.0
05/01/2014;0:00:00;2;1;14;18;6;56;0.2;114;0.5;16.6;80;1000;0;0.0
05/01/2014;1:00:00;2;1;7;16;8;62;0.1;136;0.5;16.6;84;999;0;0.0
05/01/2014;2:00:00;1;1;7;15;6;62;0.1;159;0.5;16.1;86;999;0;0.0
05/01/2014;3:00:00;1;1;10;14;7;65;0.1;158;0.5;16.1;86;999;0;0.0
05/01/2014;4:00:00;1;1;9;14;8;64;0.1;147;0.6;16.0;85;998;0;0.0
05/01/2014;5:00:00;1;1;9;14;7;62;0.1;112;0.7;14.7;85;998;0;0.0
05/01/2014;6:00:00;1;1;6;11;10;63;0.1;124;0.5;13.2;79;998;0;0.0
05/01/2014;7:00:00;2;1;7;9;7;66;0.1;136;0.5;13.1;81;998;0;0.0
05/01/2014;8:00:00;1;2;12;8;6;50;0.1;168;0.5;13.4;84;998;0;0.0
05/01/2014;9:00:00;3;4;24;10;7;57;0.1;148;0.6;16.8;79;999;137;0.0
05/01/2014;10:00:00;3;4;20;15;7;68;0.1;90;1.6;18.4;68;999;356;0.0
05/01/2014;11:00:00;3;2;10;25;9;78;0.1;68;2.7;18.4;67;999;490;0.0
05/01/2014;12:00:00;3;2;9;30;10;79;0.1;68;2.9;18.7;65;998;566;0.0
05/01/2014;13:00:00;1;1;5;33;14;84;0.1;68;2.2;19.2;63;997;584;0.0
05/01/2014;14:00:00;1;2;7;39;14;83;0.1;68;2.5;18.8;64;996;275;0.0
05/01/2014;15:00:00;2;2;6;34;12;84;0.1;57;2.4;18.4;66;996;158;0.0
05/01/2014;16:00:00;1;2;9;26;12;81;0.1;57;2.0;18.4;67;996;265;0.0
05/01/2014;17:00:00;1;1;6;31;8;84;0.2;57;1.4;17.3;70;996;28;0.0
05/01/2014;18:00:00;1;1;7;38;8;81;0.1;79;0.7;16.3;72;996;0;0.0
