Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;;3;0.2;2;4;;6;51
02/01/2015;;3;0.2;3;7;;10;54
03/01/2015;;3;0.2;3;5;;8;52
04/01/2015;;3;0.1;3;5;;7;59
05/01/2015;;3;0.1;3;5;;8;47
06/01/2015;;3;0.1;2;4;;7;33
07/01/2015;;3;0.1;3;4;;7;39
08/01/2015;;4;0.1;2;6;;9;38
09/01/2015;11;3;0.1;3;9;14;12;36
10/01/2015;8;3;0.1;2;7;11;10;46
11/01/2015;4;3;0.1;2;4;6;6;47
12/01/2015;10;3;0.1;2;5;12;8;38
13/01/2015;16;3;0.1;3;7;20;11;29
14/01/2015;7;3;0.1;3;4;10;7;43
15/01/2015;9;3;0.1;3;4;13;7;47
16/01/2015;4;3;0.1;2;4;6;6;56
17/01/2015;5;3;0.1;2;4;7;6;54
18/01/2015;6;3;0.2;2;4;7;6;46
19/01/2015;3;3;0.1;3;4;4;6;44
20/01/2015;3;3;0.1;3;4;4;7;51
21/01/2015;3;3;0.3;3;4;4;7;53
22/01/2015;2;3;0.1;3;4;3;6;63
23/01/2015;2;3;0.1;2;4;3;6;63
24/01/2015;3;3;0.1;2;4;3;6;64
25/01/2015;2;3;0.1;2;4;3;6;66
26/01/2015;6;3;0.1;2;5;10;8;52
27/01/2015;4;3;0.1;3;4;6;7;55
28/01/2015;4;3;0.1;3;5;6;7;63
29/01/2015;4;3;;2;4;6;6;68
30/01/2015;1;3;0.1;2;4;2;6;69
31/01/2015;1;4;0.1;2;4;1;6;88
01/02/2015;1;3;;2;4;2;6;77
02/02/2015;3;3;0.1;3;4;3;6;62
03/02/2015;1;3;0.1;2;4;1;6;65
04/02/2015;3;;0.1;3;4;4;6;70
05/02/2015;4;4;;2;4;8;6;70
06/02/2015;3;3;;2;4;3;7;67
07/02/2015;7;3;;2;4;9;7;39
08/02/2015;7;3;;3;4;8;7;56
09/02/2015;10;3;;3;4;12;7;59
10/02/2015;10;3;;2;4;12;7;65
11/02/2015;13;3;;3;4;16;7;53
12/02/2015;16;3;;2;4;19;7;35
13/02/2015;9;3;;3;4;12;7;41
14/02/2015;5;3;;2;4;7;6;63
15/02/2015;2;3;;2;4;2;6;60
16/02/2015;3;3;;2;4;4;6;64
17/02/2015;4;3;;2;4;5;6;70
18/02/2015;7;4;;3;4;8;6;70
19/02/2015;15;3;;3;4;17;6;69
20/02/2015;17;3;;2;4;19;7;78
21/02/2015;10;3;;3;4;10;6;67
22/02/2015;1;3;;2;4;2;6;78
23/02/2015;2;3;0.1;2;4;3;6;68
24/02/2015;1;3;0.1;2;4;2;6;75
25/02/2015;1;3;0.1;3;4;1;6;89
26/02/2015;1;3;0.1;2;4;2;6;78
27/02/2015;1;4;0.1;2;4;1;6;95
28/02/2015;3;3;0.1;3;4;4;6;93
01/03/2015;3;3;0.1;2;4;4;6;72
02/03/2015;5;3;0.1;2;4;8;6;57
03/03/2015;10;3;0.1;2;4;13;6;50
04/03/2015;7;3;0.1;2;4;8;6;67
05/03/2015;3;3;;2;4;5;6;93
06/03/2015;6;5;;2;4;10;6;83
07/03/2015;10;5;;3;4;14;6;80
08/03/2015;12;5;;3;4;15;6;84
09/03/2015;15;7;0.2;3;6;19;9;77
10/03/2015;17;6;0.2;2;8;21;11;92
11/03/2015;17;5;0.1;3;7;21;10;91
12/03/2015;19;10;0.2;2;7;25;11;99
13/03/2015;32;5;0.2;3;6;36;9;93
14/03/2015;5;3;0.1;2;4;8;7;95
15/03/2015;12;3;0.2;2;5;14;8;88
16/03/2015;13;4;0.1;2;5;14;8;76
17/03/2015;17;3;0.1;2;5;18;8;88
18/03/2015;8;3;0.1;2;5;9;8;104
19/03/2015;12;3;0.1;2;4;14;7;117
20/03/2015;9;3;0.1;2;4;10;7;115
21/03/2015;6;3;0.1;2;5;7;7;93
22/03/2015;3;3;0.1;2;4;4;7;85
25/03/2015;1;3;0.1;3;4;2;6;99
26/03/2015;2;3;0.1;2;4;3;6;96
27/03/2015;1;3;0.1;2;4;1;6;80
28/03/2015;3;3;0.1;2;4;4;6;77
29/03/2015;5;3;0.1;2;5;7;7;72
30/03/2015;2;4;0.1;2;4;4;6;92
31/03/2015;4;4;0.1;2;5;7;7;92
01/04/2015;5;3;0.1;2;4;8;7;94
02/04/2015;9;4;0.1;3;5;13;8;80
03/04/2015;13;5;0.1;2;4;17;7;77
04/04/2015;10;4;0.1;2;4;12;6;70
05/04/2015;6;4;0.1;2;4;9;6;73
06/04/2015;9;4;0.1;2;4;11;6;86
07/04/2015;9;4;0.1;2;4;10;6;90
08/04/2015;7;3;0.1;2;4;8;6;87
09/04/2015;7;3;0.2;2;4;9;7;88
10/04/2015;7;4;0.1;3;4;10;7;95
11/04/2015;15;4;0.1;3;4;18;7;82
12/04/2015;15;7;0.1;2;4;19;7;90
13/04/2015;9;5;0.1;2;4;14;7;101
14/04/2015;10;4;0.1;2;5;17;7;85
15/04/2015;17;4;0.1;2;5;23;8;74
16/04/2015;12;5;0.1;2;4;16;7;69
17/04/2015;4;4;0.1;2;4;5;7;79
18/04/2015;7;5;0.1;2;4;9;6;93
19/04/2015;2;3;0.1;2;4;4;6;98
20/04/2015;4;4;0.1;2;4;6;6;94
21/04/2015;6;5;0.1;2;4;8;6;88
22/04/2015;9;4;0.1;2;4;10;7;82
23/04/2015;10;5;0.1;2;4;13;7;80
24/04/2015;19;4;0.1;2;5;22;7;92
