Fecha;CO;NO;NO2;NOX;O3;PM10;PM25;SO2;dd;HR;PRB;RUV;TMP;vv
01/10/2015;0.56;4;44;21;89;24;18;;325;82;1013.3;22.1;17.7;2.92
30/09/2015;0.52;9;66;45;70;24;17;;131;75;1009.5;22.5;18.3;0.5
29/09/2015;0.65;18;53;52;80;29;21;;91;82;1011.1;20;15.8;0.83
28/09/2015;0.33;9;50;37;79;21;15;;112;78;1015.1;27.1;17.5;1.08
27/09/2015;0.32;6;32;25;74;18;13;;74;81;1015.4;28.5;16.5;0.68
26/09/2015;0.51;6;32;27;68;23;5;;84;80;1012.6;24.9;17.7;1.18
25/09/2015;0.42;12;41;38;68;27;;;108;78;1012.1;25.5;17.3;0.76
24/09/2015;0.35;6;34;26;63;16;9;;99;80;1014;25.6;17.7;1.08
23/09/2015;0.15;3;21;14;71;12;2;;329;93;1012;13.5;15.7;2.39
22/09/2015;0.14;3;12;11;83;17;4;;317;84;1009.6;19.8;16.4;5.84
21/09/2015;0.52;13;45;37;86;19;13;;333;81;1011.4;29.1;16.8;0.94
20/09/2015;0.28;4;39;21;78;12;7;;101;73;1015.5;34.8;17.1;0.75
19/09/2015;0.3;5;29;25;77;15;8;;89;75;1018.4;34;16.9;0.99
18/09/2015;0.27;7;39;27;86;16;7;;325;74;1014.7;26.6;16.6;0.65
17/09/2015;0.21;4;37;20;71;16;5;;306;74;1004.9;14.3;16.1;2.18
16/09/2015;0.17;3;10;10;75;15;4;;251;59;988.2;31.4;22.1;3.23
15/09/2015;0.28;7;49;27;65;18;8;;204;71;993.4;11.1;17.9;3.59
14/09/2015;0.15;3;32;14;80;27;7;;320;71;1005.6;27.4;17.4;3.68
13/09/2015;0.28;3;20;14;65;13;7;;235;77;999.6;15.4;18.9;1.28
12/09/2015;0.18;3;17;13;84;22;11;;14;84;1005;12.3;19.2;0.69
11/09/2015;0.25;6;39;26;90;20;13;;360;82;1005.8;33.8;19.3;0.58
10/09/2015;0.32;7;42;27;73;23;12;;341;83;1008.8;24.1;19.2;1.22
09/09/2015;0.36;7;50;34;90;26;18;;339;82;1007.1;25.4;18.3;0.91
08/09/2015;0.3;8;43;37;85;20;12;;104;74;1011.4;36.3;17.3;0.99
07/09/2015;0.35;8;44;33;77;19;10;;90;71;1016.3;36.3;17;1.42
06/09/2015;0.37;5;37;23;85;13;8;;107;72;1016.8;31.1;17;1.4
05/09/2015;0.24;4;32;20;77;11;5;;49;72;1015.4;27.4;17.2;0.58
04/09/2015;0.22;4;18;14;74;9;4;;48;84;1012.6;20.8;16.2;0.59
03/09/2015;0.19;4;47;18;73;10;5;;333;84;1011.2;22.4;16.9;1.62
02/09/2015;0.54;9;33;30;81;20;10;;94;79;1011.1;15;17.4;0.81
01/09/2015;0.18;3;30;12;78;13;5;;357;77;1013.4;23.8;18.9;1.78
31/08/2015;0.25;3;23;12;77;;13;;336;88;1007.1;19.2;21.4;2.3
30/08/2015;0.24;2;32;11;81;;14;;236;72;1005.9;32.4;24.8;0.12
29/08/2015;0.3;3;24;15;60;;18;;329;88;1008.3;33.7;21.8;1.83
28/08/2015;0.28;3;26;12;54;;7;;357;80;1009.3;47.7;22.7;1.25
27/08/2015;0.21;2;31;13;60;;4;;216;61;1004.1;27.5;24.9;0.8
26/08/2015;0.22;3;34;17;65;25;7;;33;62;1005.3;38.5;23.2;0.36
25/08/2015;0.2;4;26;19;62;12;5;;108;62;1010.3;44.3;21.4;1.82
24/08/2015;0.16;2;25;9;68;22;6;;322;66;1006.7;34.2;19.2;3.45
23/08/2015;0.25;2;16;10;64;14;;;283;65;999.8;41.4;21.8;1.36
22/08/2015;0.26;2;17;10;75;;24;;360;87;1005;19.3;20.4;0.89
21/08/2015;0.37;4;38;22;90;27;;;336;83;1011.4;38.7;20.9;1.41
20/08/2015;0.25;3;28;19;90;;13;;303;76;1013.9;47.5;20.4;0.51
19/08/2015;0.26;3;22;14;68;15;7;;70;71;1013.4;47.5;19.6;1.28
18/08/2015;0.49;4;29;17;82;20;11;;59;74;1010.7;37.9;19.7;0.82
17/08/2015;0.57;5;41;21;78;19;9;;46;75;1009.2;47.5;19.5;0.81
16/08/2015;0.19;3;25;14;61;20;7;;108;79;1007.9;26.5;17.7;1.01
15/08/2015;0.22;2;20;13;61;18;7;;344;80;1010.4;43;18.4;1.03
