Fecha;NO;NO2;NOX;SO2;O3;PM10;dd;vv;TMP;HR;PRB;RS
01/01/2014;7;22;33;6;38;21;253;1;13;65;1018;79
02/01/2014;8;19;31;6;39;17;250;1;16;70;1015;18
03/01/2014;10;23;38;5;24;21;224;1;16;82;1017;85
04/01/2014;7;15;25;4;45;22;236;1;17;63;1015;89
05/01/2014;6;15;24;5;63;19;258;1;14;45;1021;88
06/01/2014;7;18;29;4;40;16;244;1;13;68;1018;86
07/01/2014;14;30;51;6;27;34;297;1;14;65;1019;79
08/01/2014;8;25;38;4;31;27;337;1;12;72;1021;85
09/01/2014;10;25;40;4;34;23;339;1;11;89;1019;75
10/01/2014;7;21;30;5;39;25;349;1;13;92;1015;15
11/01/2014;7;22;33;5;30;25;309;1;13;92;1016;31
12/01/2014;7;19;30;4;32;31;260;1;14;83;1021;81
13/01/2014;10;21;35;3;34;25;280;1;14;69;1018;26
14/01/2014;6;14;23;;56;12;272;1;15;48;1014;78
15/01/2014;8;20;31;;35;17;239;1;14;73;1014;77
16/01/2014;11;24;42;4;18;18;262;1;13;92;1009;20
17/01/2014;6;14;24;5;49;15;217;1;13;72;1004;109
18/01/2014;7;14;24;7;47;19;239;2;13;80;995;93
19/01/2014;6;11;19;7;51;7;292;1;11;74;996;21
20/01/2014;7;17;28;8;54;15;283;1;12;50;1012;109
21/01/2014;7;16;26;9;51;16;276;1;11;63;1016;84
22/01/2014;7;21;32;13;38;13;298;1;12;75;1011;58
23/01/2014;7;18;28;10;50;10;322;2;13;60;1018;96
24/01/2014;7;17;27;10;64;12;304;1;16;40;1020;94
25/01/2014;6;13;23;12;53;22;320;2;19;44;1018;55
26/01/2014;7;20;30;14;47;16;271;1;17;49;1019;100
27/01/2014;7;15;25;17;54;20;299;1;18;41;1010;101
28/01/2014;7;16;26;16;61;16;273;2;13;48;1008;102
29/01/2014;7;18;28;12;60;19;257;1;14;55;998;38
30/01/2014;6;13;22;6;62;12;307;2;12;42;1005;126
31/01/2014;7;21;32;6;48;17;293;1;13;49;1009;96
01/02/2014;7;18;28;5;50;13;281;1;16;50;1008;43
02/02/2014;6;13;22;6;64;19;313;2;12;40;1015;117
03/02/2014;8;26;37;6;45;29;268;1;11;63;1011;76
04/02/2014;8;23;35;;51;22;249;1;12;52;1013;112
05/02/2014;7;23;33;;45;41;213;2;15;72;1008;54
06/02/2014;10;29;45;;32;27;234;1;15;76;1011;116
07/02/2014;6;17;27;7;59;30;274;1;15;41;1014;101
08/02/2014;7;18;29;10;50;42;228;2;14;62;1011;73
09/02/2014;7;15;24;10;50;43;237;2;15;69;1006;90
10/02/2014;6;13;23;10;68;40;284;3;15;40;1003;96
11/02/2014;7;21;32;12;60;20;270;2;12;43;1015;34
12/02/2014;8;26;39;11;38;20;217;1;13;71;1015;119
13/02/2014;8;17;28;8;37;17;241;1;19;57;1014;106
14/02/2014;9;19;32;;35;23;207;2;18;64;1012;118
15/02/2014;8;20;31;13;40;76;219;1;17;60;1008;107
16/02/2014;6;17;27;15;42;40;105;1;14;73;1011;114
17/02/2014;6;16;24;15;47;23;42;1;13;87;1010;29
18/02/2014;6;19;29;17;37;42;313;1;14;71;1007;30
19/02/2014;6;19;29;17;47;21;303;1;15;54;1015;145
20/02/2014;6;19;28;12;51;;264;1;14;53;1016;87
21/02/2014;11;20;36;6;42;;250;2;16;53;1015;131
22/02/2014;6;14;23;11;64;;314;2;14;40;1020;144
23/02/2014;5;17;25;7;57;;272;1;12;65;1018;146
24/02/2014;6;18;27;11;55;;284;1;11;78;1014;43
25/02/2014;;;;10;56;;261;2;13;58;1017;86
26/02/2014;9;21;35;9;50;16;294;1;14;50;1020;117
27/02/2014;7;17;27;10;57;15;267;1;13;47;1024;94
28/02/2014;7;16;25;8;54;17;266;1;17;42;1016;134
01/03/2014;6;15;24;4;51;10;258;1;18;46;1006;63
02/03/2014;6;11;19;5;40;6;307;2;21;45;1002;124
03/03/2014;6;12;21;3;59;15;297;2;18;35;1005;152
04/03/2014;6;13;22;5;63;13;297;1;17;30;1010;192
05/03/2014;6;15;25;6;48;21;303;2;17;48;1012;178
06/03/2014;12;21;39;8;45;17;239;1;15;75;1017;163
07/03/2014;7;22;32;;62;22;14;1;14;76;1021;177
08/03/2014;6;19;28;6;68;23;330;1;12;64;1021;189
09/03/2014;6;15;24;8;75;24;6;1;13;65;1021;188
10/03/2014;7;21;32;9;60;26;13;1;13;73;1018;180
11/03/2014;6;20;28;8;61;28;7;1;12;72;1016;176
