Fecha;SO2;CO;NO2;PM10;O3;NO;NOX
03/10/2015;6;0,3;23;15;63;7;33
04/10/2015;5;0,3;11;14;71;4;17
05/10/2015;6;0,3;9;13;71;5;17
06/10/2015;7;0,3;19;10;67;7;30
07/10/2015;8;0,3;21;10;61;7;32
08/10/2015;7;0,3;19;10;65;6;28
09/10/2015;9;0,3;31;17;38;17;57
10/10/2015;8;0,4;25;15;51;9;38
11/10/2015;9;0,4;20;18;62;6;29
12/10/2015;8;0,4;18;14;49;11;35
13/10/2015;7;0,4;21;21;70;6;30
14/10/2015;6;0,4;21;17;77;6;30
15/10/2015;7;0,4;34;15;50;12;52
16/10/2015;8;0,4;35;17;41;32;83
17/10/2015;5;0,4;18;19;68;7;29
18/10/2015;5;0,5;19;13;68;9;32
19/10/2015;5;0,5;30;16;42;15;53
20/10/2015;5;0,4;16;14;72;5;24
21/10/2015;5;0,5;25;15;66;7;35
22/10/2015;5;0,5;29;18;59;7;40
23/10/2015;8;0,3;35;16;57;15;57
24/10/2015;8;0,3;24;19;77;8;36
25/10/2015;7;0,3;10;15;111;5;17
26/10/2015;7;0,2;8;18;116;5;15
27/10/2015;8;0,3;26;11;76;13;46
28/10/2015;9;0,2;22;8;87;7;32
29/10/2015;8;0,3;25;8;70;8;37
30/10/2015;8;0,2;11;12;99;5;19
31/10/2015;6;0,3;11;12;112;5;19
01/11/2015;7;0,3;7;15;127;4;14
