Fecha;NO;NO2;NOX;O3;PM10;XIL;SO2
01/01/2014;5;26;34;53;21;1.8;12
02/01/2014;7;38;49;34;31;1.5;14
03/01/2014;;;;;14;;
04/01/2014;4;15;21;70;18;1.1;9
05/01/2014;4;18;24;55;17;1.3;10
06/01/2014;5;27;34;40;19;2.1;12
07/01/2014;6;28;36;45;25;;8
08/01/2014;4;18;25;60;25;;7
09/01/2014;5;25;32;39;30;;8
10/01/2014;5;25;32;40;35;;9
11/01/2014;5;31;39;31;26;;9
12/01/2014;4;20;26;60;13;;8
13/01/2014;14;33;54;34;17;;29
14/01/2014;9;35;48;29;23;;21
15/01/2014;10;28;42;46;17;;38
16/01/2014;6;22;31;53;17;;19
17/01/2014;4;14;20;61;9;;8
18/01/2014;4;18;24;58;11;;9
19/01/2014;7;27;38;46;17;;14
20/01/2014;8;31;43;43;16;;23
21/01/2014;4;19;25;49;11;;8
22/01/2014;4;20;26;53;13;;9
23/01/2014;4;17;23;49;15;;9
24/01/2014;4;23;29;44;14;;9
25/01/2014;5;23;30;46;18;;9
26/01/2014;6;20;30;55;17;;17
27/01/2014;7;25;36;56;22;;19
28/01/2014;4;18;24;60;11;;8
29/01/2014;4;21;28;48;13;;8
03/02/2014;6;28;37;47;25;3.3;13
04/02/2014;9;27;41;49;20;3.4;30
05/02/2014;7;23;34;54;38;1.3;21
06/02/2014;9;29;43;39;27;3.3;13
07/02/2014;6;11;21;68;17;1.1;7
08/02/2014;6;13;23;58;31;2;8
09/02/2014;6;10;20;57;18;3.2;5
10/02/2014;6;8;18;72;18;1.1;4
11/02/2014;6;15;25;67;20;1.1;10
12/02/2014;6;22;32;46;17;3.6;7
13/02/2014;7;26;37;39;23;2.7;8
14/02/2014;12;30;47;29;24;4.4;7
15/02/2014;7;23;33;45;82;3.2;9
16/02/2014;5;15;23;52;35;2.6;6
17/02/2014;5;11;19;60;22;1.1;4
18/02/2014;8;22;35;43;42;1.9;5
19/02/2014;6;22;31;44;30;1.6;8
20/02/2014;10;28;44;45;28;2.1;20
21/02/2014;9;27;41;42;25;3.9;7
22/02/2014;5;14;22;64;16;1.1;6
23/02/2014;5;16;23;60;17;2.9;7
24/02/2014;6;23;32;52;18;1.7;5
25/02/2014;6;19;28;49;14;3;5
26/02/2014;7;22;32;50;15;2.5;6
27/02/2014;6;20;29;54;17;2;6
28/02/2014;6;19;29;50;24;2.7;6
01/03/2014;5;14;22;52;;2.1;6
02/03/2014;5;15;22;42;;1.6;6
03/03/2014;5;14;23;59;;1.4;6
04/03/2014;5;15;23;64;17;1.5;6
05/03/2014;6;16;25;53;19;2.1;6
06/03/2014;9;22;35;45;20;2.4;20
07/03/2014;6;15;23;64;15;2.7;7
08/03/2014;5;18;26;64;16;1.4;6
09/03/2014;5;14;22;73;19;1;6
10/03/2014;6;15;23;64;16;1.8;6
11/03/2014;5;18;25;64;19;1.4;6
12/03/2014;5;12;20;70;20;0.9;6
13/03/2014;5;14;22;63;18;1;4
14/03/2014;5;19;28;56;18;1.4;6
15/03/2014;17;33;58;58;23;2.5;40
16/03/2014;19;27;57;69;22;3.8;9
17/03/2014;7;32;43;55;29;2.5;9
18/03/2014;7;42;53;55;36;4.2;11
19/03/2014;6;18;27;64;32;1.2;7
20/03/2014;7;21;31;54;29;2.4;12
21/03/2014;22;45;79;46;45;3;64
22/03/2014;19;38;67;55;48;2.4;66
23/03/2014;5;16;24;63;16;1.5;8
24/03/2014;6;22;31;61;22;3;8
25/03/2014;6;17;26;71;46;1.3;6
26/03/2014;6;14;22;69;28;0.8;6
27/03/2014;12;26;44;58;20;1.7;37
28/03/2014;7;19;30;61;32;2.4;6
29/03/2014;7;14;24;71;40;1;11
30/03/2014;6;15;23;60;17;1.1;7
31/03/2014;8;22;34;57;20;2.9;15
01/04/2014;6;19;28;58;29;1.3;6
02/04/2014;6;20;29;64;45;1.2;5
03/04/2014;7;21;31;57;19;1.4;6
04/04/2014;6;19;28;64;19;1.5;6
05/04/2014;6;16;24;56;14;2.3;6
06/04/2014;6;22;31;47;12;4.3;9
07/04/2014;7;26;37;45;16;2.3;12
08/04/2014;8;29;40;50;18;3.8;13
09/04/2014;5;16;24;62;24;1;5
10/04/2014;12;34;53;53;29;3.4;38
11/04/2014;10;31;47;48;31;2.3;26
12/04/2014;6;18;27;62;27;1.3;6
13/04/2014;6;17;25;65;24;3.3;6
14/04/2014;6;18;27;60;23;1.3;6
15/04/2014;7;30;40;66;21;2.9;11
16/04/2014;7;33;44;67;24;5;15
17/04/2014;6;18;27;61;22;2.9;6
18/04/2014;6;22;32;63;20;1.7;18
19/04/2014;6;30;40;63;35;3.1;8
20/04/2014;6;17;26;58;26;2.1;7
21/04/2014;9;22;35;67;30;2.6;24
22/04/2014;10;27;42;67;22;2;21
23/04/2014;16;31;56;61;28;2.4;51
24/04/2014;9;24;38;65;31;4.3;17
25/04/2014;6;16;25;99;27;1.5;7
26/04/2014;6;17;25;89;23;3.9;8
27/04/2014;6;19;27;69;18;2.9;11
28/04/2014;12;33;50;67;23;3.8;41
29/04/2014;12;38;57;75;35;4.2;32
30/04/2014;6;19;27;90;27;3;7
01/05/2014;6;14;22;78;16;3.2;6
02/05/2014;6;18;27;72;21;2.4;5
03/05/2014;6;13;21;80;19;3.9;6
04/05/2014;6;15;23;78;16;4.1;7
05/05/2014;6;16;25;78;24;1.4;6
06/05/2014;6;14;22;83;26;1.6;4
07/05/2014;7;19;29;77;29;2.5;10
08/05/2014;5;11;19;97;27;0.9;7
09/05/2014;5;13;22;85;26;1.3;6
10/05/2014;6;19;28;81;19;2.6;9
11/05/2014;6;21;30;93;28;3.5;7
12/05/2014;6;12;20;87;29;0.9;6
13/05/2014;5;10;19;87;28;0.8;5
14/05/2014;5;10;18;95;26;1.1;5
15/05/2014;5;12;21;82;24;1.2;5
16/05/2014;6;11;20;104;30;1.1;5
17/05/2014;5;12;20;102;29;1.1;6
18/05/2014;5;10;18;112;18;1.5;6
19/05/2014;12;28;46;90;18;2.6;35
20/05/2014;16;36;61;68;35;2.3;53
21/05/2014;9;22;35;81;43;;17
22/05/2014;8;19;31;78;27;3.1;16
23/05/2014;6;20;30;76;24;2.5;7
24/05/2014;6;19;28;72;21;4.8;6
25/05/2014;7;17;27;77;21;3.7;7
26/05/2014;7;21;31;83;30;2.4;6
27/05/2014;7;21;32;72;32;4.1;14
28/05/2014;7;21;31;73;31;2.8;10
29/05/2014;6;19;29;70;25;4.1;8
30/05/2014;9;28;42;72;29;4.3;23
31/05/2014;6;11;20;83;26;0.9;5
01/06/2014;6;14;22;70;12;0.9;5
02/06/2014;6;19;28;80;16;2;5
03/06/2014;7;21;31;96;19;1.5;7
04/06/2014;8;33;44;76;30;3.7;9
05/06/2014;6;14;23;86;29;2.1;6
06/06/2014;6;13;23;86;24;1.4;6
07/06/2014;7;18;28;84;32;1.9;11
08/06/2014;6;16;26;60;29;4.6;8
09/06/2014;6;13;22;62;22;3;6
10/06/2014;;;;76;37;;5
11/06/2014;;;;89;28;;6
12/06/2014;4;10;16;100;27;;7
13/06/2014;4;17;24;92;29;;12
14/06/2014;4;16;21;97;28;12;12
15/06/2014;3;7;13;97;40;7.5;6
16/06/2014;3;7;12;89;24;;6
17/06/2014;4;8;14;87;21;8.1;5
18/06/2014;4;12;18;86;19;7.6;11
19/06/2014;3;7;12;88;23;3.4;5
20/06/2014;3;7;12;91;24;2.5;5
21/06/2014;4;13;20;80;30;4.2;10
22/06/2014;4;16;22;69;28;5.4;9
23/06/2014;3;9;14;67;32;3.4;6
24/06/2014;4;14;21;68;25;1.8;5
25/06/2014;5;14;23;75;15;3.8;11
26/06/2014;4;17;23;89;25;5;10
27/06/2014;4;18;24;93;23;8.3;7
28/06/2014;4;16;22;86;24;3.2;11
29/06/2014;4;13;19;73;28;5.3;10
30/06/2014;6;13;23;67;27;5.3;14
01/07/2014;12;25;44;70;32;4.4;43
02/07/2014;7;16;26;73;37;4.4;22
03/07/2014;6;13;22;73;31;5.6;17
04/07/2014;7;21;31;71;31;5.3;11
05/07/2014;4;28;35;85;28;5.7;16
06/07/2014;4;13;19;83;31;4.1;7
07/07/2014;6;22;31;50;30;3.7;16
08/07/2014;3;6;10;73;23;3.4;6
09/07/2014;;;;63;18;3.1;5
10/07/2014;3;11;16;63;22;3.9;7
11/07/2014;4;11;17;55;20;4.1;11
12/07/2014;3;7;12;53;19;6.3;6
13/07/2014;10;10;26;56;19;;7
14/07/2014;3;9;15;64;26;;7
15/07/2014;2;5;8;63;19;1.4;5
16/07/2014;1;7;9;57;18;1.3;5
17/07/2014;2;9;13;60;21;1.3;5
18/07/2014;3;9;14;71;27;1.1;6
19/07/2014;6;17;27;74;38;4.1;13
20/07/2014;3;15;21;64;24;3.9;8
23/07/2014;5;16;23;71;18;5.3;10
24/07/2014;4;14;20;72;20;7;4
25/07/2014;3;11;16;72;24;2.6;4
26/07/2014;3;8;13;72;20;3.6;5
27/07/2014;6;15;23;67;21;4.3;12
28/07/2014;9;26;40;71;33;2.7;21
29/07/2014;4;11;17;82;25;2.4;9
30/07/2014;4;10;16;70;18;7.7;6
31/07/2014;5;22;30;63;22;5.3;11
01/08/2014;12;31;49;65;40;5.4;31
02/08/2014;7;20;31;70;36;4.8;25
03/08/2014;3;13;17;68;24;5.7;6
04/08/2014;7;17;27;64;27;5;12
