Fecha;vv;dd;TMP;HR;PRB;RS;LL;SO2;CO;NO;NO2;PM10;NOX;O3
01/01/2015;0.3;205;11.5;69;1027;85;0;3;0.3;7;23;21;33;35
02/01/2015;0.3;193;12.7;60;1029;97;0;3;0.4;9;30;19;43;36
03/01/2015;0.6;201;15.5;44;1027;99;0;3;0.3;7;25;13;35;43
04/01/2015;;178;15.5;55;1024;96;0;3;0.4;7;23;13;34;43
05/01/2015;0.3;206;13.5;81;1022;90;0.2;3;0.3;7;29;24;39;28
06/01/2015;;221;12.3;80;1018;88;0.2;3;0.3;8;26;29;37;28
07/01/2015;;206;12.7;80;1023;56;0;3;0.3;11;33;42;50;22
08/01/2015;;218;11.7;79;1030;86;0.4;3;0.2;11;35;37;52;21
09/01/2015;;201;13.2;67;1033;95;0;3;0.2;8;35;28;48;26
10/01/2015;0.5;200;16.9;44;1025;103;0;3;0.1;7;25;14;35;42
11/01/2015;0.5;214;16.3;46;1021;98;0;3;0.1;7;23;;34;45
12/01/2015;;244;13.4;81;1025;79;0;3;0.4;;;;;19
13/01/2015;;220;14.5;68;1018;94;0;3;0.3;;;27;;23
14/01/2015;;207;14.9;62;1018;93;0;3;0.3;;;22;;30
15/01/2015;;212;15;62;1011;98;0;3;0.3;;;28;;30
16/01/2015;1.7;229;15.4;52;1006;56;0;3;0.3;;;12;;58
17/01/2015;0.5;212;12.6;52;1014;109;0;3;0.3;;;11;;52
18/01/2015;;208;10.7;63;1008;81;1.3;3;0.4;;;14;;46
19/01/2015;;265;10.5;93;1001;2;13.1;3;0.4;2;14;8;15;23
20/01/2015;0.1;209;10.1;65;1002;83;0;3;0.4;2;12;7;14;37
21/01/2015;0.8;222;10.8;64;1002;84;0;3;0.4;2;8;7;9;43
22/01/2015;0.2;227;11.5;63;1004;96;0;3;0.3;3;11;6;14;40
23/01/2015;0.1;218;11;58;1011;118;0;3;0.3;6;16;11;23;39
24/01/2015;0.3;209;12;48;1015;122;0;3;0.3;2;7;8;9;53
25/01/2015;0.1;197;13.6;52;1015;121;0;3;0.3;2;9;10;11;51
26/01/2015;0.2;207;11.1;62;1019;121;0;3;0.3;2;18;20;20;34
27/01/2015;0.3;224;13.2;62;1016;114;0;3;0.3;3;18;20;22;28
28/01/2015;0.2;192;12.6;67;1014;126;0;3;0.3;2;16;18;18;34
29/01/2015;1.8;222;16.4;56;1004;90;0;3;0.3;2;8;20;10;49
30/01/2015;4.9;245;21.9;52;989;97;2.8;3;0.3;2;4;16;6;60
31/01/2015;2;256;17.2;55;988;117;5.6;3;0.3;2;4;4;6;66
01/02/2015;1.6;240;12.8;45;1003;136;0;3;0.3;2;4;4;6;67
02/02/2015;1.3;231;13.2;54;1003;86;0;3;0.2;2;5;5;7;59
03/02/2015;2.1;245;15.7;54;994;139;0;3;0.1;2;5;3;7;66
04/02/2015;1.6;281;11.1;47;993;78;0.8;3;0.1;2;4;5;6;73
05/02/2015;0.8;249;9.8;41;1000;123;0;3;0.1;2;10;14;12;57
06/02/2015;0.5;252;9.6;45;1003;110;0;3;0.2;3;10;9;14;56
07/02/2015;0.2;222;8.1;63;1011;72;0;3;0.2;3;10;16;14;33
08/02/2015;0.2;222;10.4;57;1014;153;0;3;0.1;2;6;14;8;42
09/02/2015;0.1;227;9.4;83;1018;19;10.7;3;0.2;3;21;24;24;20
10/02/2015;0.1;265;12.2;86;1017;60;5;3;0.1;2;15;20;16;40
11/02/2015;0.2;298;12.5;92;1015;19;0.4;3;0.1;3;15;20;18;32
12/02/2015;0.1;303;12.9;91;1014;4;6.8;3;0.1;3;20;23;22;33
13/02/2015;0.5;219;14.7;70;1013;141;0.2;3;0.1;2;11;18;12;46
14/02/2015;1.2;237;17.4;57;1009;70;0;3;0.1;2;4;10;6;68
15/02/2015;0.5;239;18.6;60;1004;142;0;4;0.1;2;4;4;6;58
16/02/2015;0.4;268;17;67;1009;109;1.4;3;;2;9;11;10;47
17/02/2015;0.7;18;14.1;;1017;22;6.6;3;;2;8;13;10;44
18/02/2015;1;25;14.5;72;1023;46;0;3;;2;10;17;12;49
19/02/2015;0.7;5;12.8;84;1023;50;6;3;;3;16;25;19;44
20/02/2015;0.2;204;13.6;76;1014;159;0;3;;3;12;24;15;45
21/02/2015;1;259;13.5;67;1001;70;2.2;3;;2;7;10;8;52
22/02/2015;1.4;239;14;55;1004;152;0.6;3;;2;6;7;8;59
23/02/2015;2;238;18.1;55;1006;122;0;3;0.1;2;4;7;6;56
24/02/2015;0.4;259;16.3;40;1014;145;0;3;0.1;2;4;;6;72
25/02/2015;0.9;246;15.9;49;1015;96;0;4;0.1;2;4;;6;65
26/02/2015;0.9;231;18.6;56;1011;186;0;3;0.1;3;13;;17;42
