Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO;dd;vv;TMP;HR;PRB;RS;LL;;;;
01/01/2014;00:00:00;3;1;14;44;N;48;0.4;282;2.5;13.3;74;994;0;0.0;;;;
01/01/2014;01:00:00;3;1;15;40;18;47;0.3;292;2.6;12.6;58;993;0;0.0;;;;
01/01/2014;02:00:00;2;1;12;25;7;49;0.3;293;2.2;11.7;59;993;0;0.1;;;;
01/01/2014;03:00:00;2;1;8;21;11;54;0.2;294;2.2;11.2;49;992;0;0.0;;;;
01/01/2014;04:00:00;3;1;7;17;10;54;0.2;294;2.0;11.0;51;992;0;0.0;;;;
01/01/2014;05:00:00;3;1;7;17;3;56;0.2;295;2.3;11.0;52;992;0;0.0;;;;
01/01/2014;06:00:00;3;1;5;17;3;58;0.1;294;2.5;10.9;49;992;0;0.0;;;;
01/01/2014;07:00:00;3;2;8;8;6;57;0.2;295;2.4;10.6;58;992;0;0.0;;;;
01/01/2014;08:00:00;2;1;7;9;8;58;0.2;282;1.5;12.3;67;993;68;0.0;;;;
01/01/2014;09:00:00;3;1;4;22;7;73;0.2;183;0.4;16.5;64;994;250;0.0;;;;
01/01/2014;10:00:00;4;1;4;19;5;75;0.2;158;1.1;17.5;60;994;413;0.1;;;;
01/01/2014;11:00:00;4;2;5;24;7;80;0.2;91;2.3;18.2;63;994;528;0.0;;;;
01/01/2014;12:00:00;4;1;4;19;6;84;0.2;101;3.1;18.2;65;994;505;0.0;;;;
01/01/2014;13:00:00;4;1;4;17;2;84;0.2;68;3.4;17.9;67;993;498;0.0;;;;
01/01/2014;14:00:00;3;1;4;8;1;85;0.2;90;2.7;17.6;69;992;360;0.0;;;;
01/01/2014;15:00:00;3;1;4;8;2;89;0.2;91;2.5;18.1;67;992;389;0.0;;;;
01/01/2014;16:00:00;3;1;4;9;3;86;0.2;68;2.2;16.6;73;992;123;0.0;;;;
01/01/2014;17:00:00;3;1;5;12;3;82;0.3;67;1.5;16.0;76;992;32;0.0;;;;
01/01/2014;18:00:00;3;1;8;9;2;70;0.3;210;0.9;15.1;81;992;0;0.0;;;;
01/01/2014;19:00:00;3;1;15;6;4;50;0.3;292;1.4;14.6;80;993;0;0.0;;;;
01/01/2014;20:00:00;3;1;7;7;7;59;0.2;295;3.0;14.1;76;993;0;0.0;;;;
01/01/2014;21:00:00;3;1;7;7;7;60;0.2;294;2.6;13.6;73;993;0;0.0;;;;
01/01/2014;22:00:00;2;1;8;7;4;57;0.2;295;2.4;13.0;65;993;0;0.0;;;;
01/01/2014;23:00:00;2;1;7;7;2;58;0.2;294;1.7;11.7;68;993;0;0.1;;;;
02/01/2014;00:00:00;3;1;6;7;1;59;0.2;304;1.8;11.4;63;993;0;0.0;;;;
