Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;1;5;65;5;;;;3
02/01/2014;;4;11;62;5;;;;3
03/01/2014;;3;10;63;7;;;;2
04/01/2014;;2;6;79;5;;;;3
05/01/2014;;2;6;72;8;;;;3
06/01/2014;;5;14;45;10;;;;2
07/01/2014;;13;21;30;9;;;;4
08/01/2014;;8;17;40;13;;;;6
09/01/2014;;12;21;34;18;;;;4
10/01/2014;;42;27;15;29;;;;3
11/01/2014;;22;21;13;27;;;;4
12/01/2014;;6;15;26;19;;;;2
13/01/2014;;5;17;62;9;;;;5
14/01/2014;;8;20;54;9;;;;4
15/01/2014;;8;13;45;12;;;;3
16/01/2014;;4;11;66;10;;;;3
17/01/2014;;9;16;53;9;;;;3
18/01/2014;;5;12;56;4;;;;3
19/01/2014;;3;11;51;7;;;;2
20/01/2014;;7;21;56;10;;;;3
21/01/2014;;7;22;49;9;;;;3
22/01/2014;;8;28;44;10;;;;4
23/01/2014;;9;25;45;14;;;;3
24/01/2014;;9;24;39;18;;;;2
25/01/2014;;5;17;46;8;;;;3
26/01/2014;;1;6;52;7;;;;2
27/01/2014;;9;24;56;13;;;;1
28/01/2014;;5;13;68;8;;;;2
29/01/2014;;5;22;58;8;;;;2
30/01/2014;;6;18;55;8;;;;2
31/01/2014;;5;19;55;9;;;;3
01/02/2014;;2;7;72;7;;;;2
02/02/2014;;4;11;57;11;;;;2
03/02/2014;;7;14;52;7;;;;2
04/02/2014;;4;11;70;5;;;;2
05/02/2014;;5;14;75;13;;;;2
06/02/2014;;4;9;61;8;;;;2
07/02/2014;;4;11;72;10;;;;2
08/02/2014;;2;4;81;7;;;;2
09/02/2014;;2;8;73;7;;;;2
10/02/2014;;2;7;82;8;;;;4
11/02/2014;;7;21;55;7;;;;3
12/02/2014;;5;17;56;9;;;;1
13/02/2014;;3;9;66;9;;;;1
14/02/2014;;3;6;54;7;;;;3
15/02/2014;;3;10;75;7;;;;4
16/02/2014;;4;11;53;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
17/02/2014;;11;21;40;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
18/02/2014;;10;23;39;14;;;;2
19/02/2014;;8;25;40;17;;;;2
20/02/2014;;4;12;42;12;;;;4
21/02/2014;;3;16;67;9;;;;3
22/02/2014;;5;14;56;14;;;;2
23/02/2014;;3;9;54;11;;;;2
24/02/2014;;5;14;61;11;;;;2
25/02/2014;;3;10;76;15;;;;1
26/02/2014;;3;16;70;11;;;;2
27/02/2014;;6;19;56;11;;;;2
28/02/2014;;2;7;79;12;;;;1
01/03/2014;;2;7;68;7;;;;1
02/03/2014;;1;4;56;3;;;;2
03/03/2014;;2;7;81;8;;;;3
04/03/2014;;3;8;70;9;;;;3
05/03/2014;;4;18;56;12;;;;4
06/03/2014;;11;29;40;19;;;;3
07/03/2014;;8;20;54;21;;;;3
08/03/2014;;4;12;76;23;;;;3
09/03/2014;;2;6;86;22;;;;3
10/03/2014;;4;20;75;23;;;;3
11/03/2014;;6;20;66;25;;;;3
12/03/2014;;5;15;90;38;;;;3
13/03/2014;;5;14;81;33;;;;2
14/03/2014;;6;25;54;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;;2
15/03/2014;;4;15;70;;;;;1
16/03/2014;;4;17;68;;;;;1
17/03/2014;;7;21;51;;;;;2
18/03/2014;;6;17;54;;;;;2
19/03/2014;;6;20;54;;;;;2
