Fecha;CO;NO;NO2;PM10;PM25
01/01/2015;0.8;74;51;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
02/01/2015;0.8;108;61;38;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
03/01/2015;0.8;98;65;38;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
04/01/2015;0.4;29;41;27;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
05/01/2015;0.7;83;45;27;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
06/01/2015;0.5;30;30;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
07/01/2015;0.4;15;31;18;20
08/01/2015;0.3;15;25;10;9
09/01/2015;0.7;73;41;27;24
10/01/2015;0.5;38;27;29;26
11/01/2015;0.5;25;33;18;16
12/01/2015;0.6;55;38;24;22
13/01/2015;0.6;48;37;26;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
14/01/2015;0.5;32;45;19;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
15/01/2015;0.4;11;22;8;8
16/01/2015;0.3;7;15;6;3
17/01/2015;0.5;14;27;13;11
18/01/2015;0.4;11;21;7;7
19/01/2015;0.4;18;31;8;6
20/01/2015;0.5;25;36;12;11
21/01/2015;0.4;14;28;6;6
22/01/2015;0.4;14;28;8;6
23/01/2015;0.6;49;45;23;18
24/01/2015;0.7;54;52;26;24
25/01/2015;0.6;37;31;25;21
26/01/2015;0.7;46;48;31;26
27/01/2015;0.7;54;48;29;25
28/01/2015;0.7;56;29;40;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
29/01/2015;0.4;8;14;8;6
30/01/2015;0.4;4;2;3;2
31/01/2015;0.4;5;5;3;1
01/02/2015;0.4;4;4;4;3
02/02/2015;0.5;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;5;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
03/02/2015;0.5;;;4;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
04/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
05/02/2015;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
06/02/2015;0.6;12;33;8;6
07/02/2015;0.6;8;25;10;10
08/02/2015;0.5;2;11;15;15
09/02/2015;0.6;11;29;15;11
10/02/2015;0.8;39;55;26;18
11/02/2015;0.7;30;45;24;20
12/02/2015;0.7;23;42;21;14
13/02/2015;0.6;7;32;14;11
14/02/2015;0.5;2;16;8;6
15/02/2015;0.5;2;8;3;2
16/02/2015;0.6;6;23;6;4
17/02/2015;0.6;6;22;7;6
18/02/2015;0.6;10;30;10;8
19/02/2015;0.8;43;53;21;20
20/02/2015;0.7;18;40;18;19
21/02/2015;0.6;2;15;5;4
22/02/2015;0.5;2;9;3;2
