Fecha;Hora;SO2;NO;NO2;PM10;PM25
01/01/2014;00:00:00;3;1;8;56;15
01/01/2014;01:00:00;3;1;6;50;13
01/01/2014;02:00:00;3;1;7;41;10
01/01/2014;03:00:00;3;1;5;34;8
01/01/2014;04:00:00;3;1;6;30;8
01/01/2014;05:00:00;3;1;5;24;6
01/01/2014;06:00:00;3;1;8;20;6
01/01/2014;07:00:00;3;2;8;24;8
01/01/2014;08:00:00;3;1;2;21;7
01/01/2014;09:00:00;3;1;2;21;6
01/01/2014;10:00:00;3;1;2;22;5
01/01/2014;11:00:00;3;1;2;24;5
01/01/2014;12:00:00;3;1;2;26;7
01/01/2014;13:00:00;3;1;2;26;7
01/01/2014;14:00:00;3;1;2;24;6
01/01/2014;15:00:00;3;1;2;26;6
01/01/2014;16:00:00;3;1;3;23;5
01/01/2014;17:00:00;3;1;5;18;6
01/01/2014;18:00:00;3;1;16;18;7
01/01/2014;19:00:00;3;1;9;18;8
01/01/2014;20:00:00;3;1;8;19;7
01/01/2014;21:00:00;3;1;5;15;6
01/01/2014;22:00:00;3;1;9;14;5
01/01/2014;23:00:00;3;1;11;18;6
02/01/2014;00:00:00;3;1;9;23;7
02/01/2014;01:00:00;3;1;10;26;7
02/01/2014;02:00:00;3;1;9;27;7
02/01/2014;03:00:00;3;1;5;27;7
02/01/2014;04:00:00;3;1;10;27;7
02/01/2014;05:00:00;3;1;19;24;8
02/01/2014;06:00:00;3;2;28;24;8
02/01/2014;07:00:00;3;2;12;22;8
02/01/2014;08:00:00;3;2;7;22;7
02/01/2014;09:00:00;3;1;2;19;6
02/01/2014;10:00:00;3;1;2;18;5
02/01/2014;11:00:00;3;1;3;16;4
02/01/2014;12:00:00;3;1;2;16;4
02/01/2014;13:00:00;3;1;3;18;5
02/01/2014;14:00:00;3;1;4;17;5
02/01/2014;15:00:00;3;1;4;18;5
02/01/2014;16:00:00;3;1;3;19;5
02/01/2014;17:00:00;3;1;2;13;5
02/01/2014;18:00:00;3;1;38;15;5
02/01/2014;19:00:00;3;1;35;14;5
02/01/2014;20:00:00;3;1;28;14;6
02/01/2014;21:00:00;3;1;15;10;5
02/01/2014;22:00:00;3;1;10;7;4
02/01/2014;23:00:00;3;1;13;9;4
03/01/2014;00:00:00;3;1;9;10;5
03/01/2014;01:00:00;3;1;9;8;4
03/01/2014;02:00:00;3;1;6;7;4
03/01/2014;03:00:00;3;1;6;9;4
03/01/2014;04:00:00;3;1;8;9;4
03/01/2014;05:00:00;3;1;13;8;4
03/01/2014;06:00:00;3;1;14;15;4
03/01/2014;07:00:00;3;2;13;19;6
03/01/2014;08:00:00;3;2;8;20;6
03/01/2014;09:00:00;3;1;5;18;4
03/01/2014;10:00:00;3;1;2;15;4
03/01/2014;11:00:00;3;1;2;14;4
03/01/2014;12:00:00;3;1;5;12;4
03/01/2014;13:00:00;3;1;3;14;5
03/01/2014;14:00:00;3;1;3;19;6
03/01/2014;15:00:00;3;1;3;14;5
03/01/2014;16:00:00;3;1;3;10;5
03/01/2014;17:00:00;3;1;3;10;5
03/01/2014;18:00:00;3;1;15;12;6
03/01/2014;19:00:00;3;1;18;16;8
03/01/2014;20:00:00;3;1;14;12;7
03/01/2014;21:00:00;3;1;12;5;4
03/01/2014;22:00:00;3;1;2;4;4
03/01/2014;23:00:00;3;1;4;4;4
04/01/2014;00:00:00;3;1;8;6;4
04/01/2014;01:00:00;3;1;10;5;4
04/01/2014;02:00:00;3;1;7;4;4
04/01/2014;03:00:00;3;1;13;6;4
04/01/2014;04:00:00;3;1;13;10;4
04/01/2014;05:00:00;3;1;21;9;5
04/01/2014;06:00:00;3;1;17;8;4
04/01/2014;07:00:00;3;2;14;12;5
04/01/2014;08:00:00;3;2;7;11;4
04/01/2014;09:00:00;3;1;2;12;4
04/01/2014;10:00:00;3;1;2;12;4
04/01/2014;11:00:00;3;1;2;14;4
04/01/2014;12:00:00;3;1;3;6;4
04/01/2014;13:00:00;3;1;5;12;4
04/01/2014;14:00:00;3;1;4;9;4
04/01/2014;15:00:00;3;1;10;11;4
04/01/2014;16:00:00;3;1;6;9;4
04/01/2014;17:00:00;3;1;11;6;4
04/01/2014;18:00:00;3;1;10;9;4
04/01/2014;19:00:00;3;1;15;5;4
04/01/2014;20:00:00;3;1;9;4;4
04/01/2014;21:00:00;3;1;11;11;4
04/01/2014;22:00:00;3;1;17;17;6
04/01/2014;23:00:00;3;1;2;16;6
05/01/2014;00:00:00;3;1;2;12;4
05/01/2014;01:00:00;3;1;3;11;4
05/01/2014;02:00:00;3;1;3;12;4
05/01/2014;03:00:00;3;1;3;10;4
05/01/2014;04:00:00;3;1;4;12;4
05/01/2014;05:00:00;3;1;15;11;4
05/01/2014;06:00:00;3;1;12;13;4
05/01/2014;07:00:00;3;2;12;13;4
05/01/2014;08:00:00;3;1;2;10;4
05/01/2014;09:00:00;3;1;2;11;4
05/01/2014;10:00:00;3;1;2;14;4
05/01/2014;11:00:00;3;1;2;15;4
05/01/2014;12:00:00;3;1;2;14;4
05/01/2014;13:00:00;3;1;2;13;4
05/01/2014;14:00:00;3;1;2;16;4
05/01/2014;15:00:00;3;1;2;14;4
05/01/2014;16:00:00;3;1;2;12;4
05/01/2014;17:00:00;3;1;2;13;4
05/01/2014;18:00:00;3;1;2;12;4
05/01/2014;19:00:00;3;1;10;14;4
05/01/2014;20:00:00;3;1;8;16;5
05/01/2014;21:00:00;3;1;11;16;5
05/01/2014;22:00:00;3;1;13;18;5
05/01/2014;23:00:00;3;1;12;15;5
06/01/2014;00:00:00;3;1;13;14;5
06/01/2014;01:00:00;3;1;9;14;5
06/01/2014;02:00:00;3;1;9;18;5
06/01/2014;03:00:00;3;1;6;18;6
06/01/2014;04:00:00;3;1;5;21;6
06/01/2014;05:00:00;3;1;8;18;6
06/01/2014;06:00:00;3;1;13;17;6
06/01/2014;07:00:00;3;1;5;22;6
06/01/2014;08:00:00;3;1;2;23;7
06/01/2014;09:00:00;3;1;2;18;5
06/01/2014;10:00:00;3;1;2;15;4
06/01/2014;11:00:00;3;1;2;18;4
06/01/2014;12:00:00;3;1;2;16;4
06/01/2014;13:00:00;3;1;2;17;6
06/01/2014;14:00:00;3;1;2;17;5
06/01/2014;15:00:00;3;1;6;15;6
06/01/2014;16:00:00;3;1;3;14;4
06/01/2014;17:00:00;3;1;4;18;7
06/01/2014;18:00:00;3;1;5;18;7
06/01/2014;19:00:00;3;1;13;17;7
06/01/2014;20:00:00;3;1;18;16;7
06/01/2014;21:00:00;3;1;23;16;6
06/01/2014;22:00:00;3;1;14;18;8
06/01/2014;23:00:00;3;1;23;23;7
07/01/2014;00:00:00;3;1;40;22;8
07/01/2014;01:00:00;3;1;28;13;8
07/01/2014;02:00:00;3;1;18;11;7
07/01/2014;03:00:00;3;1;23;12;7
07/01/2014;04:00:00;3;1;15;13;7
07/01/2014;05:00:00;3;1;9;16;8
07/01/2014;06:00:00;3;1;7;16;8
07/01/2014;07:00:00;3;1;7;21;10
07/01/2014;08:00:00;3;1;5;26;11
07/01/2014;09:00:00;3;1;2;27;11
07/01/2014;10:00:00;3;1;2;26;11
07/01/2014;11:00:00;3;1;2;30;11
07/01/2014;12:00:00;3;1;2;28;10
07/01/2014;13:00:00;3;1;3;26;11
07/01/2014;14:00:00;3;1;2;33;11
07/01/2014;15:00:00;3;1;2;19;9
07/01/2014;16:00:00;3;1;2;14;7
07/01/2014;17:00:00;3;1;5;26;10
07/01/2014;18:00:00;3;1;29;31;11
07/01/2014;19:00:00;3;2;46;34;12
07/01/2014;20:00:00;3;1;36;34;13
07/01/2014;21:00:00;3;1;44;35;13
07/01/2014;22:00:00;3;1;36;37;13
07/01/2014;23:00:00;3;1;45;38;11
08/01/2014;00:00:00;3;1;23;38;19
08/01/2014;01:00:00;3;1;9;22;18
08/01/2014;02:00:00;3;1;5;14;10
08/01/2014;03:00:00;3;1;3;4;4
08/01/2014;04:00:00;3;1;4;4;4
08/01/2014;05:00:00;3;1;5;4;4
08/01/2014;06:00:00;3;3;25;31;5
08/01/2014;07:00:00;3;11;30;50;19
08/01/2014;08:00:00;3;1;3;36;15
08/01/2014;09:00:00;3;6;15;17;4
08/01/2014;10:00:00;3;2;4;30;7
08/01/2014;11:00:00;3;1;2;28;9
08/01/2014;12:00:00;3;1;3;22;6
08/01/2014;13:00:00;3;1;4;26;5
08/01/2014;14:00:00;3;1;4;36;10
08/01/2014;15:00:00;3;2;18;25;6
08/01/2014;16:00:00;3;1;8;16;4
08/01/2014;17:00:00;3;1;28;22;5
08/01/2014;18:00:00;3;1;40;31;11
08/01/2014;19:00:00;3;1;15;30;12
08/01/2014;20:00:00;3;1;14;27;11
08/01/2014;21:00:00;3;1;17;19;7
08/01/2014;22:00:00;3;1;4;14;6
08/01/2014;23:00:00;3;1;2;15;6
09/01/2014;00:00:00;3;1;3;11;4
09/01/2014;01:00:00;3;1;4;6;4
09/01/2014;02:00:00;3;1;3;5;4
09/01/2014;03:00:00;3;1;6;4;4
09/01/2014;04:00:00;3;1;6;8;4
09/01/2014;05:00:00;3;1;10;5;4
09/01/2014;06:00:00;3;3;29;15;5
09/01/2014;07:00:00;3;1;11;11;6
09/01/2014;08:00:00;3;2;16;4;4
09/01/2014;09:00:00;3;1;3;5;4
09/01/2014;10:00:00;3;1;2;4;4
09/01/2014;11:00:00;3;1;3;4;4
09/01/2014;12:00:00;3;1;3;6;4
09/01/2014;13:00:00;3;1;6;4;4
09/01/2014;14:00:00;3;1;4;4;4
09/01/2014;15:00:00;3;1;3;4;4
09/01/2014;16:00:00;3;1;7;4;4
09/01/2014;17:00:00;3;1;6;4;4
09/01/2014;18:00:00;3;1;6;4;4
09/01/2014;19:00:00;3;1;9;4;4
09/01/2014;20:00:00;3;1;13;7;4
09/01/2014;21:00:00;3;1;18;6;4
09/01/2014;22:00:00;3;1;20;4;4
09/01/2014;23:00:00;3;1;3;4;4
10/01/2014;00:00:00;3;1;3;4;4
10/01/2014;01:00:00;3;1;2;4;4
10/01/2014;02:00:00;3;1;2;4;4
10/01/2014;03:00:00;3;1;3;10;4
10/01/2014;04:00:00;3;1;5;13;6
10/01/2014;05:00:00;3;1;8;9;4
10/01/2014;06:00:00;3;1;14;8;4
10/01/2014;07:00:00;3;2;9;14;6
10/01/2014;08:00:00;3;1;6;13;5
10/01/2014;09:00:00;3;1;5;15;5
10/01/2014;10:00:00;3;2;6;15;4
10/01/2014;11:00:00;3;1;5;8;4
10/01/2014;12:00:00;3;1;4;14;4
10/01/2014;13:00:00;3;1;3;13;4
10/01/2014;14:00:00;3;1;7;14;4
10/01/2014;15:00:00;3;1;8;11;4
10/01/2014;16:00:00;3;1;14;10;4
10/01/2014;17:00:00;3;1;16;12;4
10/01/2014;18:00:00;3;1;15;13;5
10/01/2014;19:00:00;3;1;9;6;4
10/01/2014;20:00:00;3;1;19;14;6
10/01/2014;21:00:00;3;1;17;7;4
10/01/2014;22:00:00;3;1;9;5;4
10/01/2014;23:00:00;3;1;10;9;4
11/01/2014;00:00:00;3;1;9;14;4
11/01/2014;01:00:00;3;1;9;16;4
11/01/2014;02:00:00;3;1;5;16;4
11/01/2014;03:00:00;3;1;8;15;4
11/01/2014;04:00:00;3;1;8;13;4
11/01/2014;05:00:00;3;1;17;19;5
11/01/2014;06:00:00;3;1;14;16;5
11/01/2014;07:00:00;3;2;15;21;6
11/01/2014;08:00:00;3;1;6;23;7
11/01/2014;09:00:00;3;1;3;14;4
11/01/2014;10:00:00;3;1;2;12;4
11/01/2014;11:00:00;3;1;2;13;4
11/01/2014;12:00:00;3;1;2;18;4
11/01/2014;13:00:00;3;1;2;27;8
11/01/2014;14:00:00;3;1;2;26;8
11/01/2014;15:00:00;3;1;2;14;4
11/01/2014;16:00:00;3;1;2;11;4
11/01/2014;17:00:00;3;1;3;22;5
11/01/2014;18:00:00;3;1;3;10;4
11/01/2014;19:00:00;3;1;2;11;5
11/01/2014;20:00:00;3;1;2;10;5
11/01/2014;21:00:00;3;1;6;6;4
11/01/2014;22:00:00;3;1;11;12;4
11/01/2014;23:00:00;3;1;16;23;6
12/01/2014;00:00:00;3;1;43;33;11
12/01/2014;01:00:00;3;1;42;29;9
12/01/2014;02:00:00;3;1;22;42;14
12/01/2014;03:00:00;3;1;14;34;12
12/01/2014;04:00:00;3;1;7;28;9
12/01/2014;05:00:00;3;1;5;27;8
12/01/2014;06:00:00;3;1;5;30;10
12/01/2014;07:00:00;3;1;5;34;11
12/01/2014;08:00:00;3;1;4;39;11
12/01/2014;09:00:00;3;1;3;36;9
12/01/2014;10:00:00;3;1;2;53;11
12/01/2014;11:00:00;3;1;2;52;12
12/01/2014;12:00:00;3;1;2;50;10
12/01/2014;13:00:00;3;1;2;53;10
12/01/2014;14:00:00;3;1;2;57;11
12/01/2014;15:00:00;3;1;4;55;11
12/01/2014;16:00:00;3;1;4;51;12
