Fecha;CH4;NO;NO2;NOX;O3;PM10;SO2;dd;HR;PRB;TMP;vv
01/10/2015;1.53;5;44;22;95;18;7;291;79;981;17;2.37
30/09/2015;1.52;7;41;32;70;18;6;70;77;977.5;17.9;0.18
29/09/2015;1.57;6;49;26;73;18;6;305;90;978.7;15.1;1.16
28/09/2015;1.69;6;35;25;76;15;4;322;84;982.7;16.3;0.29
27/09/2015;1.62;4;13;14;77;10;4;303;88;982.8;15.5;1.28
26/09/2015;1.52;5;21;19;66;13;4;320;87;980.4;16.8;0.95
25/09/2015;;5;27;23;68;13;5;29;84;981.2;16.1;0.29
24/09/2015;;5;26;21;58;9;4;13;85;981.8;16.4;0.23
23/09/2015;;5;20;19;70;5;3;282;96;979.4;13.8;1.96
22/09/2015;;5;12;15;79;7;4;281;86;976.9;14.8;3.58
21/09/2015;;7;45;25;83;15;8;311;85;978.8;15.9;1.72
20/09/2015;;5;27;20;0;9;10;324;80;983.1;16.2;0.76
19/09/2015;;5;21;16;0;7;6;323;80;985.7;15.6;0.78
18/09/2015;;7;30;24;60;8;6;298;80;982;14.3;1.2
17/09/2015;1.48;5;16;15;71;5;5;263;76;972.4;14.3;3.42
16/09/2015;1.36;5;20;14;76;6;5;217;63;957.1;21;5.41
15/09/2015;1.55;5;22;16;74;8;6;209;70;963.2;17.7;6.03
14/09/2015;1.4;5;15;16;75;8;6;287;79;973.2;15.3;1.73
13/09/2015;1.5;5;18;15;73;11;6;227;80;967.7;17.8;3.03
12/09/2015;1.56;5;15;18;85;13;10;329;90;972.8;17.4;0.39
11/09/2015;1.55;7;28;25;87;16;7;313;88;973.5;17.5;1.42
10/09/2015;1.55;5;20;21;87;14;8;318;90;976.4;17.3;1.26
09/09/2015;1.47;7;36;26;88;19;8;317;79;974.8;18.2;1.19
08/09/2015;1.51;7;31;24;86;12;8;312;75;978.3;16.5;0.99
07/09/2015;1.52;6;20;18;88;10;6;311;79;983.4;15.4;1.31
06/09/2015;1.48;5;11;14;89;7;6;308;76;984;15.7;0.4
05/09/2015;1.59;5;14;16;81;7;6;314;83;982.6;15;0.72
04/09/2015;1.53;5;14;17;71;6;6;341;90;979.7;14.3;0.71
03/09/2015;1.52;5;18;17;74;8;7;295;90;978.6;15.2;1.35
02/09/2015;1.48;6;31;21;77;8;6;326;84;978.4;16;0.71
01/09/2015;1.39;6;22;22;72;8;6;307;89;981;16.3;1.95
31/08/2015;1.39;5;30;23;81;20;5;315;86;975.2;20.9;1.91
30/08/2015;1.44;5;19;17;87;19;5;193;66;974.2;25.6;0.32
29/08/2015;1.5;5;31;21;77;17;6;327;86;976.1;21.7;1.14
