Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO;dd;vv;TMP;HR;PRB
01/01/2014;00:00:00;8;4;13;34;10;63;0.2;327;6.7;13.6;78;1020
01/01/2014;01:00:00;7;4;11;29;7;68;0.2;328;6.7;13.3;77;1020
01/01/2014;02:00:00;4;4;7;23;5;76;0.2;329;6.7;13.0;74;1019
01/01/2014;03:00:00;5;4;9;23;4;70;0.2;318;6.7;12.3;73;1019
01/01/2014;04:00:00;7;3;8;32;6;69;0.2;321;6.7;11.8;76;1019
01/01/2014;05:00:00;7;4;9;28;6;72;0.2;325;6.7;11.8;76;1019
01/01/2014;06:00:00;8;4;10;37;6;66;0.2;322;6.7;11.6;76;1020
01/01/2014;07:00:00;7;3;9;32;6;64;0.2;322;5.3;11.9;77;1020
01/01/2014;08:00:00;6;4;8;32;8;79;0.2;251;2.6;15.6;71;1020
01/01/2014;09:00:00;2;5;10;20;6;86;0.1;52;2.2;19.0;59;1021
01/01/2014;10:00:00;3;24;37;25;6;57;0.2;71;2.7;19.6;58;1021
01/01/2014;11:00:00;5;4;6;15;4;96;0.2;84;2.5;19.8;57;1021
01/01/2014;12:00:00;5;4;7;14;3;98;0.2;85;2.5;20.1;57;1020
01/01/2014;13:00:00;5;5;8;10;3;97;0.2;84;2.5;19.8;58;1019
01/01/2014;14:00:00;5;5;9;10;2;97;0.2;82;2.5;19.5;59;1019
01/01/2014;15:00:00;7;30;48;14;3;42;0.2;56;2.8;19.1;60;1019
01/01/2014;16:00:00;7;3;7;12;3;94;0.2;31;2.9;17.8;64;1019
01/01/2014;17:00:00;5;3;9;10;2;86;0.2;20;4.6;16.1;69;1019
01/01/2014;18:00:00;3;4;14;12;2;69;0.2;237;6.6;15.2;71;1020
01/01/2014;19:00:00;2;4;12;13;3;69;0.2;335;6.7;14.5;73;1020
01/01/2014;20:00:00;2;4;10;20;3;64;0.2;328;6.7;13.5;75;1020
01/01/2014;21:00:00;3;3;8;26;4;72;0.2;312;6.7;13.2;77;1020
01/01/2014;22:00:00;6;4;8;21;4;67;0.2;317;6.7;12.8;78;1020
01/01/2014;23:00:00;2;5;7;12;3;76;0.2;313;6.7;12.6;80;1020
02/01/2014;00:00:00;4;2;6;22;2;82;0.2;320;6.7;12.6;81;1020
02/01/2014;01:00:00;5;3;7;8;1;79;0.1;317;6.7;12.4;82;1019
02/01/2014;02:00:00;3;4;6;8;1;79;0.1;330;6.7;12.0;83;1019
02/01/2014;03:00:00;3;3;8;5;1;81;0.1;329;6.7;12.4;82;1019
02/01/2014;04:00:00;4;4;6;7;1;80;0.1;332;6.7;12.3;83;1018
02/01/2014;05:00:00;4;5;9;7;1;75;0.2;331;6.7;12.4;83;1019
02/01/2014;06:00:00;3;5;17;9;2;64;0.2;332;6.7;12.4;83;1019
02/01/2014;07:00:00;3;7;29;19;4;44;0.2;330;5.5;13.0;83;1020
02/01/2014;08:00:00;2;6;26;18;5;64;0.2;153;2.4;16.3;75;1020
02/01/2014;09:00:00;2;11;18;10;3;80;0.2;56;2.2;18.5;66;1021
02/01/2014;10:00:00;4;39;62;14;3;39;0.2;51;2.8;19.4;63;1020
02/01/2014;11:00:00;7;36;51;13;4;48;0.2;58;3.1;19.7;62;1020
02/01/2014;12:00:00;6;25;47;10;3;57;0.2;70;2.8;19.7;62;1019
02/01/2014;13:00:00;6;6;14;8;3;82;0.2;85;2.4;20.0;62;1019
02/01/2014;14:00:00;3;8;14;9;1;84;0.2;71;3.0;19.4;64;1019
02/01/2014;15:00:00;11;58;70;15;3;29;0.2;57;3.0;19.1;65;1019
02/01/2014;16:00:00;6;9;22;17;4;74;0.2;47;3.0;18.4;68;1019
02/01/2014;17:00:00;5;4;16;8;1;79;0.2;27;6.7;16.6;74;1019
02/01/2014;18:00:00;2;4;26;10;2;55;0.3;83;6.6;15.8;77;1020
02/01/2014;19:00:00;2;4;19;11;3;66;0.2;309;6.7;15.2;78;1020
02/01/2014;20:00:00;3;4;18;9;2;62;0.2;324;6.7;14.6;78;1021
