Fecha;Hora;SO2;CO;NO;NO2;PM10;O3;PM25;NOX
01/01/2014;1:00:00;2;0.5;11.1;8;27;14;18;25
01/01/2014;2:00:00;2;0.5;11.4;8;28;14;11;25
01/01/2014;3:00:00;2;0.5;11.6;7;31;14;14;25
01/01/2014;4:00:00;2;0.5;11.6;7;30;14;14;25
01/01/2014;5:00:00;3;0.5;11.3;7;29;14;11;24
01/01/2014;6:00:00;2;0.5;10.7;7;29;14;17;23
01/01/2014;7:00:00;3;0.5;9.9;7;23;14;9;22
01/01/2014;8:00:00;3;0.5;9.9;7;21;14;13;22
01/01/2014;9:00:00;2;0.5;10.4;7;19;14;15;23
01/01/2014;10:00:00;3;0.5;11;7;9;14;12;24
01/01/2014;11:00:00;2;0.5;10.9;7;15;15;17;24
01/01/2014;12:00:00;3;0.5;12.2;7;10;17;19;26
01/01/2014;13:00:00;3;0.5;12.9;7;18;19;7;27
01/01/2014;14:00:00;3;0.5;13.2;7;19;21;5;27
01/01/2014;15:00:00;3;0.5;13.1;7;22;21;10;28
01/01/2014;16:00:00;3;0.54;14.1;8;27;22;13;29
01/01/2014;17:00:00;3;0.55;13.3;8;31;20;17;28
01/01/2014;18:00:00;3;0.55;14.1;7;25;18;13;29
01/01/2014;19:00:00;3;0.55;13.9;7;30;17;13;28
01/01/2014;20:00:00;3;0.55;15.1;7;24;16;16;30
01/01/2014;21:00:00;3;0.54;15.8;7;21;14;10;31
01/01/2014;22:00:00;3;0.55;17;8;20;15;11;34
01/01/2014;23:00:00;3;0.55;16.7;8;16;15;7;33
01/01/2014;0:00:00;3;0.55;15.8;8;14;15;6;32
02/01/2014;1:00:00;3;0.54;14.3;7;3;15;7;29
02/01/2014;2:00:00;3;0.53;13.9;7;12;14;10;28
02/01/2014;3:00:00;3;0.53;14.9;7;11;14;5;30
02/01/2014;4:00:00;3;0.52;14.7;7;15;14;4;29
02/01/2014;5:00:00;3;0.54;13.9;7;6;14;7;29
02/01/2014;6:00:00;3;0.55;14;7;7;14;12;29
02/01/2014;7:00:00;3;0.55;14.6;7;12;14;10;30
02/01/2014;8:00:00;3;0.52;14.6;7;5;14;8;30
02/01/2014;9:00:00;3;0.5;15.4;7;6;14;9;31
02/01/2014;10:00:00;3;0.53;13.1;8;11;14;23;28
02/01/2014;11:00:00;3;0.55;12.9;8;17;15;7;28
02/01/2014;12:00:00;3;0.56;11.5;9;19;17;21;27
02/01/2014;13:00:00;3;0.56;10;9;14;25;9;24
02/01/2014;14:00:00;3;0.56;9.9;8;9;33;6;23
02/01/2014;15:00:00;3;0.56;9.4;8;4;34;12;22
02/01/2014;16:00:00;3;0.56;8.9;8;20;31;15;22
02/01/2014;17:00:00;3;0.55;9.4;8;34;25;19;23
02/01/2014;18:00:00;3;0.56;10.9;9;32;17;13;26
02/01/2014;19:00:00;3;0.56;12.4;10;28;14;18;29
02/01/2014;20:00:00;3;0.56;13.2;9;25;14;21;29
02/01/2014;21:00:00;3;0.56;13.4;9;26;14;20;30
02/01/2014;22:00:00;3;0.58;13.7;9;23;14;13;30
02/01/2014;23:00:00;3;0.59;13.9;9;19;14;13;30
02/01/2014;0:00:00;3;0.59;13.1;9;12;14;13;29
03/01/2014;1:00:00;3;0.58;12.4;8;6;14;8;27
03/01/2014;2:00:00;3;0.56;12;8;10;14;8;26
03/01/2014;3:00:00;3;0.56;11.7;8;9;14;7;26
03/01/2014;4:00:00;3;0.56;11.6;8;13;14;10;26
03/01/2014;5:00:00;3;0.56;11.6;8;16;14;10;25
03/01/2014;6:00:00;3;0.56;11;8;17;15;10;25
03/01/2014;7:00:00;3;0.56;11.3;8;20;15;11;25
03/01/2014;8:00:00;3;0.55;11.2;8;20;14;11;25
03/01/2014;9:00:00;3;0.56;11.1;8;14;14;15;25
03/01/2014;10:00:00;3;0.56;11;8;15;15;14;25
03/01/2014;11:00:00;3;0.56;10.2;9;6;16;19;24
03/01/2014;12:00:00;3;0.56;7.7;9;4;20;9;21
03/01/2014;13:00:00;3;0.56;6.3;8;27;24;9;18
03/01/2014;14:00:00;3;0.56;7.2;8;8;26;7;19
03/01/2014;15:00:00;3;0.56;7.4;8;10;25;5;19
03/01/2014;16:00:00;3;0.56;8.1;8;5;27;6;20
03/01/2014;17:00:00;3;0.55;8.6;8;9;25;4;21
03/01/2014;18:00:00;3;0.56;8.9;8;12;22;2;22
03/01/2014;19:00:00;3;0.56;9.4;8;14;21;5;22
03/01/2014;20:00:00;3;0.56;9.8;8;8;20;4;23
03/01/2014;21:00:00;3;0.56;10.2;8;9;20;3;24
03/01/2014;22:00:00;2;0.56;10.8;8;8;20;5;24
03/01/2014;23:00:00;3;0.56;11;8;8;16;1;24
03/01/2014;0:00:00;2;0.56;11.8;7;5;15;3;25
04/01/2014;1:00:00;2;0.56;12.3;7;8;14;7;26
04/01/2014;2:00:00;3;0.56;12.8;8;14;14;3;27
