Fecha;CO;NO;NO2;NOX;PM10;PM25
01/10/2015;0.41;;23;;28;10
30/09/2015;0.48;;32;;20;10
29/09/2015;0.43;;34;;24;11
28/09/2015;0.41;;0;;22;9
27/09/2015;0.33;;18;;17;6
26/09/2015;0.41;;16;;21;8
25/09/2015;0.46;;0;;19;7
24/09/2015;0.35;;18;;15;4
23/09/2015;0.33;;22;;19;4
22/09/2015;0.34;;57;;21;5
21/09/2015;0.38;23;40;60;18;8
20/09/2015;0.29;17;33;42;13;5
19/09/2015;0.3;18;31;46;15;5
18/09/2015;0.3;23;34;57;17;6
17/09/2015;0.33;27;50;70;17;5
16/09/2015;0.26;15;25;38;16;4
15/09/2015;0.39;32;41;72;20;6
14/09/2015;0.31;19;46;50;25;5
13/09/2015;0.45;26;31;61;18;8
12/09/2015;0.37;20;40;54;21;9
11/09/2015;0.44;26;39;61;23;10
10/09/2015;0.51;34;57;81;25;13
09/09/2015;0.37;23;40;58;24;11
08/09/2015;0.34;19;37;54;21;7
07/09/2015;0.34;23;34;56;18;6
06/09/2015;0.29;17;38;44;15;6
05/09/2015;0.26;17;29;44;13;4
04/09/2015;0.33;23;44;56;13;4
03/09/2015;0.38;27;48;65;15;5
02/09/2015;0.31;21;34;49;15;4
01/09/2015;0.25;14;37;36;16;3
31/08/2015;0.52;16;50;45;35;12
30/08/2015;0.33;13;50;37;26;10
29/08/2015;0.43;18;36;45;30;8
28/08/2015;0.45;21;34;46;18;6
27/08/2015;0.49;31;46;78;25;10
26/08/2015;0.4;15;29;41;17;6
25/08/2015;0.41;17;29;44;16;4
24/08/2015;0.33;17;52;43;25;4
23/08/2015;0.29;10;42;31;12;3
22/08/2015;0.58;11;29;34;24;13
21/08/2015;0.41;16;46;45;33;12
20/08/2015;0.46;19;44;52;21;9
19/08/2015;0.29;15;34;41;12;5
18/08/2015;0.31;18;35;48;16;6
17/08/2015;0.27;15;31;39;21;6
16/08/2015;0.26;13;18;33;17;4
15/08/2015;0.26;14;25;37;14;4
14/08/2015;0.24;13;35;39;26;5
13/08/2015;0.29;13;36;40;22;8
12/08/2015;0.38;19;46;54;33;14
11/08/2015;0.43;15;50;46;29;13
10/08/2015;0.42;17;34;44;23;8
09/08/2015;0.33;12;32;35;18;4
08/08/2015;0.34;16;47;50;13;5
