Fecha;NO;NO2;PM10;PM25
01/01/2015;18;46;Sense dades;18
02/01/2015;22;44;Sense dades;Sense dades
03/01/2015;8;26;Sense dades;16
04/01/2015;45;56;Sense dades;Sense dades
05/01/2015;26;51;Sense dades;21
06/01/2015;22;36;Sense dades;Sense dades
07/01/2015;78;75;54;30
08/01/2015;56;52;39;Sense dades
09/01/2015;25;30;79;32
10/01/2015;26;29;Sense dades;Sense dades
11/01/2015;57;47;60;34
12/01/2015;30;47;49;Sense dades
13/01/2015;65;64;48;24
14/01/2015;19;47;62;Sense dades
15/01/2015;30;58;Sense dades;29
16/01/2015;74;56;Sense dades;Sense dades
17/01/2015;15;29;Sense dades;13
18/01/2015;10;30;31;Sense dades
19/01/2015;8;45;14;11
20/01/2015;7;30;20;Sense dades
21/01/2015;7;27;24;15
22/01/2015;20;42;Sense dades;Sense dades
23/01/2015;7;31;Sense dades;14
24/01/2015;2;14;Sense dades;Sense dades
25/01/2015;4;29;27;21
26/01/2015;7;35;23;Sense dades
27/01/2015;18;41;25;16
28/01/2015;22;47;26;Sense dades
29/01/2015;11;38;Sense dades;20
30/01/2015;4;23;Sense dades;Sense dades
31/01/2015;3;17;Sense dades;9
01/02/2015;3;12;17;Sense dades
02/02/2015;12;37;23;12
03/02/2015;21;48;9;Sense dades
04/02/2015;5;34;Sense dades;9
05/02/2015;8;35;14;Sense dades
06/02/2015;6;31;Sense dades;11
07/02/2015;11;36;Sense dades;Sense dades
08/02/2015;4;22;30;25
09/02/2015;20;52;30;Sense dades
10/02/2015;47;57;46;20
11/02/2015;81;95;Sense dades;Sense dades
12/02/2015;55;84;44;23
13/02/2015;32;62;Sense dades;Sense dades
14/02/2015;24;48;Sense dades;18
15/02/2015;9;35;18;Sense dades
16/02/2015;26;57;25;11
17/02/2015;15;56;24;Sense dades
18/02/2015;8;38;Sense dades;11
19/02/2015;20;56;37;Sense dades
20/02/2015;16;54;Sense dades;20
21/02/2015;6;42;Sense dades;Sense dades
22/02/2015;3;21;19;9
23/02/2015;19;47;18;Sense dades
24/02/2015;3;16;13;6
25/02/2015;6;30;Sense dades;Sense dades
26/02/2015;27;56;24;10
27/02/2015;14;45;Sense dades;Sense dades
28/02/2015;3;27;Sense dades;6
01/03/2015;12;47;32;Sense dades
02/03/2015;8;39;24;9
03/03/2015;5;36;24;Sense dades
04/03/2015;16;54;Sense dades;7
05/03/2015;14;33;32;Sense dades
06/03/2015;31;56;Sense dades;11
07/03/2015;6;36;Sense dades;Sense dades
08/03/2015;14;55;36;18
09/03/2015;13;60;43;Sense dades
10/03/2015;27;74;52;23
11/03/2015;51;85;65;Sense dades
12/03/2015;51;66;42;30
13/03/2015;6;38;Sense dades;Sense dades
14/03/2015;2;24;Sense dades;4
15/03/2015;6;34;Sense dades;Sense dades
16/03/2015;4;35;23;8
17/03/2015;12;34;19;12
18/03/2015;2;15;Sense dades;5
19/03/2015;2;23;30;13
20/03/2015;2;19;Sense dades;Sense dades
21/03/2015;1;9;Sense dades;Sense dades
22/03/2015;2;16;21;8
23/03/2015;2;14;22;Sense dades
24/03/2015;3;24;Sense dades;6
25/03/2015;5;28;Sense dades;Sense dades
26/03/2015;6;37;21;3
27/03/2015;19;57;Sense dades;Sense dades
28/03/2015;9;35;Sense dades;6
29/03/2015;6;38;21;Sense dades
30/03/2015;8;49;26;14
31/03/2015;6;33;27;Sense dades
01/04/2015;4;28;31;9
02/04/2015;3;28;Sense dades;Sense dades
03/04/2015;3;26;Sense dades;13
04/04/2015;2;22;Sense dades;Sense dades
05/04/2015;2;17;20;8
06/04/2015;1;16;Sense dades;Sense dades
07/04/2015;7;31;Sense dades;10
08/04/2015;5;37;22;Sense dades
09/04/2015;16;51;24;10
10/04/2015;19;50;Sense dades;Sense dades
11/04/2015;2;21;Sense dades;8
12/04/2015;2;37;25;Sense dades
13/04/2015;30;79;42;16
14/04/2015;33;71;Sense dades;Sense dades
15/04/2015;24;56;38;14
16/04/2015;8;48;35;Sense dades
17/04/2015;14;48;Sense dades;16
18/04/2015;6;39;Sense dades;Sense dades
19/04/2015;2;19;18;8
20/04/2015;9;38;19;Sense dades
21/04/2015;17;44;Sense dades;7
22/04/2015;19;76;Sense dades;Sense dades
23/04/2015;9;42;27;13
24/04/2015;6;36;Sense dades;Sense dades
25/04/2015;2;19;Sense dades;16
26/04/2015;2;22;46;Sense dades
27/04/2015;3;21;19;6
28/04/2015;5;25;Sense dades;Sense dades
29/04/2015;6;37;24;12
30/04/2015;6;29;Sense dades;Sense dades
01/05/2015;4;31;Sense dades;19
02/05/2015;5;34;Sense dades;Sense dades
03/05/2015;3;27;31;15
04/05/2015;6;40;45;Sense dades
05/05/2015;19;45;36;24
06/05/2015;14;44;Sense dades;Sense dades
07/05/2015;11;45;32;13
08/05/2015;6;37;Sense dades;Sense dades
09/05/2015;2;28;Sense dades;16
10/05/2015;6;37;41;Sense dades
11/05/2015;10;50;26;16
12/05/2015;9;43;32;Sense dades
13/05/2015;10;38;Sense dades;18
14/05/2015;9;43;42;Sense dades
15/05/2015;3;21;Sense dades;26
16/05/2015;2;18;Sense dades;Sense dades
17/05/2015;3;28;27;13
18/05/2015;8;37;27;Sense dades
19/05/2015;8;42;14;12
20/05/2015;5;23;12;Sense dades
21/05/2015;5;23;Sense dades;9
22/05/2015;4;24;Sense dades;Sense dades
23/05/2015;2;20;Sense dades;11
24/05/2015;3;24;21;Sense dades
25/05/2015;6;34;22;21
26/05/2015;3;21;24;Sense dades
27/05/2015;4;22;Sense dades;13
28/05/2015;5;26;33;Sense dades
29/05/2015;7;36;Sense dades;16
30/05/2015;2;27;Sense dades;Sense dades
31/05/2015;3;24;26;14
01/06/2015;4;29;Sense dades;Sense dades
02/06/2015;4;29;29;14
03/06/2015;10;47;36;Sense dades
04/06/2015;23;55;25;18
05/06/2015;10;51;Sense dades;Sense dades
06/06/2015;7;43;Sense dades;17
07/06/2015;4;35;32;Sense dades
08/06/2015;7;47;31;18
09/06/2015;2;41;28;Sense dades
10/06/2015;6;43;27;18
11/06/2015;2;23;Sense dades;Sense dades
12/06/2015;6;30;Sense dades;13
13/06/2015;2;18;Sense dades;Sense dades
14/06/2015;2;16;22;12
15/06/2015;3;28;18;Sense dades
16/06/2015;3;34;Sense dades;8
17/06/2015;4;25;23;Sense dades
18/06/2015;4;23;Sense dades;15
19/06/2015;4;31;26;Sense dades
20/06/2015;3;25;Sense dades;17
21/06/2015;8;34;Sense dades;Sense dades
22/06/2015;4;26;27;16
23/06/2015;6;37;88;Sense dades
24/06/2015;2;17;Sense dades;36
25/06/2015;4;31;29;Sense dades
26/06/2015;5;29;30;17
27/06/2015;3;24;Sense dades;Sense dades
28/06/2015;3;27;Sense dades;16
29/06/2015;10;42;29;Sense dades
30/06/2015;4;33;31;15
01/07/2015;12;50;25;Sense dades
02/07/2015;2;27;29;13
03/07/2015;8;52;Sense dades;Sense dades
04/07/2015;4;49;Sense dades;19
05/07/2015;3;36;Sense dades;Sense dades
06/07/2015;7;49;40;21
07/07/2015;12;43;37;Sense dades
08/07/2015;3;29;38;16
09/07/2015;4;23;39;Sense dades
10/07/2015;7;35;Sense dades;17
11/07/2015;3;19;Sense dades;Sense dades
12/07/2015;3;16;Sense dades;17
13/07/2015;4;25;38;Sense dades
14/07/2015;10;37;38;19
15/07/2015;10;37;38;Sense dades
16/07/2015;12;45;34;21
17/07/2015;7;38;Sense dades;Sense dades
18/07/2015;3;25;Sense dades;21
19/07/2015;3;22;Sense dades;Sense dades
20/07/2015;4;24;33;19
21/07/2015;6;28;28;Sense dades
22/07/2015;4;27;31;15
23/07/2015;4;24;31;Sense dades
24/07/2015;3;19;Sense dades;15
25/07/2015;3;19;Sense dades;Sense dades
26/07/2015;3;16;Sense dades;12
27/07/2015;5;24;28;Sense dades
28/07/2015;4;25;Sense dades;11
29/07/2015;5;25;Sense dades;Sense dades
30/07/2015;3;21;Sense dades;10
31/07/2015;3;31;30;Sense dades
