Fecha;BEN;CO;EBN;NO;NO2;NOX;OXL;PM10;PM25;TOL
01/10/2015;0.59;0.38;0.75;20;69;63;3.98;25;13;4.17
30/09/2015;0.36;0.28;0.55;8;94;44;1.87;15;8;2.21
29/09/2015;0.6;0.38;1.76;23;72;67;8.94;26;14;4.07
28/09/2015;0.4;0.26;0.52;12;64;54;2.24;20;10;2.23
27/09/2015;0.24;0.27;0.27;6;40;28;0.88;13;;1.23
26/09/2015;0.27;0.27;0.36;8;41;34;0.89;14;8;1.57
25/09/2015;0.57;0.33;0.59;26;75;73;1.86;21;10;3.18
24/09/2015;0.28;0.25;0.34;7;60;36;1.12;13;7;1.54
23/09/2015;0.14;0.23;0.4;5;37;28;1.52;6;2;0.85
22/09/2015;0.14;0.21;0.13;3;22;17;0.34;10;;0.45
21/09/2015;0.7;0.46;0.74;28;62;79;2.95;38;20;4.24
20/09/2015;0.25;0.26;0.27;9;49;40;0.69;10;;0.97
19/09/2015;0.29;0.25;0.33;10;53;39;0.99;13;5;1.51
18/09/2015;0.37;0.27;1.01;14;60;50;4.95;13;5;2.08
17/09/2015;0.11;0.25;0.24;4;37;20;0.61;7;2;0.81
16/09/2015;0.04;0.19;0.11;3;26;12;0.23;8;3;0.53
15/09/2015;0.19;0.2;0.39;5;46;28;1.11;14;5;1.25
14/09/2015;0.14;0.19;0.27;7;43;30;0.68;13;4;0.64
13/09/2015;0.1;0.27;0.21;2;25;13;0.57;10;5;0.63
12/09/2015;0.24;0.28;0.23;4;26;20;0.46;20;13;0.63
11/09/2015;0.36;0.31;0.8;14;56;50;4.02;28;15;2.06
10/09/2015;0.28;0.27;0.31;5;38;30;0.75;20;11;0.94
09/09/2015;0.52;0.44;0.61;18;65;60;2.62;30;14;3.34
08/09/2015;0.47;0.33;0.68;19;59;66;2.49;21;9;3.07
07/09/2015;0.37;0.33;0.61;15;59;51;2.17;16;8;2.51
06/09/2015;0.17;0.21;0.32;6;27;27;1.11;11;5;1.22
05/09/2015;0.11;0.22;0.21;4;33;21;0.47;9;3;0.54
04/09/2015;0.18;0.22;0.23;6;36;27;0.5;9;3;0.7
03/09/2015;0.18;0.21;0.23;5;31;29;0.47;9;5;0.74
