Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX;O3;vv
01/01/2014;5;0;0.1;;;9;;56;0.7
02/01/2014;5;0;0.2;;;9;;42;0.6
03/01/2014;5;0;0.1;;;9;;33;0.6
04/01/2014;4;0;0.1;;;9;;58;1.3
05/01/2014;5;0;0.1;;;9;;60;1.3
06/01/2014;5;0;0.1;;;8;;53;0.8
07/01/2014;9;2;0.2;;;17;;25;0.4
08/01/2014;13;3;0.2;;;24;;28;0.6
09/01/2014;35;1;0.2;;;64;;20;0.4
10/01/2014;34;0;0.2;;;62;;13;0.3
11/01/2014;25;1;0.3;;;45;;11;0.2
12/01/2014;21;0;0.2;;;39;;18;0.5
13/01/2014;10;0;0.1;;;18;;25;0.6
14/01/2014;5;0;0.1;;;10;;38;0.6
15/01/2014;7;1;0.2;;;12;;30;0.7
16/01/2014;7;1;0.2;;;13;;28;0.4
17/01/2014;7;0;0.3;;;13;;33;0.6
18/01/2014;8;0;0.2;22;56;14;90;25;0.3
19/01/2014;5;3;0.1;6;27;9;36;46;0.5
20/01/2014;4;3;0.1;7;31;8;42;51;0.7
21/01/2014;6;2;0.1;9;47;11;61;37;0.4
22/01/2014;8;2;0.2;43;56;15;122;20;0.3
23/01/2014;7;2;0.2;30;72;13;118;19;0.4
24/01/2014;6;0;0.1;12;47;11;65;41;0.5
25/01/2014;5;1;0.2;6;31;9;40;43;0.9
26/01/2014;5;1;0.2;7;22;10;33;44;0.8
27/01/2014;5;1;0.1;5;22;10;30;55;1.8
28/01/2014;5;2;0.1;6;20;9;28;57;1.9
29/01/2014;5;1;0.2;6;33;9;42;55;0.8
30/01/2014;5;3;0.1;6;45;10;54;42;0.6
31/01/2014;6;3;0.2;17;53;12;79;31;0.3
01/02/2014;6;1;0.2;8;30;11;42;44;0.7
02/02/2014;5;2;0.1;5;25;9;32;58;0.4
03/02/2014;7;2;0.1;7;38;12;49;41;0.6
04/02/2014;7;;0.2;7;43;12;53;43;0.6
05/02/2014;6;;0.1;10;37;13;53;50;0.8
06/02/2014;7;;0.2;18;48;13;76;41;0.6
07/02/2014;5;;0.1;11;26;10;43;59;1.1
08/02/2014;5;;0.1;7;18;12;29;64;1.6
09/02/2014;7;;0.2;4;22;13;28;58;0.7
10/02/2014;4;1;0.1;7;25;8;35;58;1
11/02/2014;5;;0.1;4;34;10;40;51;0.9
12/02/2014;5;3;0.2;9;38;10;52;41;0.7
13/02/2014;4;2;0.1;4;20;9;27;40;1.1
14/02/2014;5;;0.1;3;25;11;29;37;1
15/02/2014;8;;0.1;14;37;17;58;38;0.6
16/02/2014;7;;0.2;3;33;12;38;33;0.2
17/02/2014;7;;0.2;12;30;13;48;34;0.6
18/02/2014;11;;0.2;29;56;20;100;25;0.4
19/02/2014;9;;0.2;25;51;20;89;29;0.7
20/02/2014;8;;0.1;14;44;17;65;31;0.5
21/02/2014;5;;0.1;5;30;11;39;44;1
22/02/2014;;;0.2;7;31;;42;55;0.6
23/02/2014;;;0.2;10;37;;53;48;0.7
24/02/2014;;;0.2;14;40;;61;53;0.6
25/02/2014;10;;0.2;15;39;21;62;44;0.9
26/02/2014;7;;0.2;8;34;14;46;51;0.8
27/02/2014;7;;0.2;15;55;13;77;30;0.5
28/02/2014;6;;0.1;5;29;16;37;51;1.2
01/03/2014;6;;0.1;9;28;12;41;44;0.5
02/03/2014;6;;0.1;10;29;11;44;38;0.8
03/03/2014;4;;0;3;13;12;18;68;2.1
04/03/2014;5;;0.1;8;20;9;33;60;1.3
05/03/2014;6;;0.2;11;32;10;49;45;1.1
06/03/2014;8;;0.2;24;44;16;81;40;1.2
07/03/2014;10;;0.2;8;47;18;60;54;0.7
08/03/2014;13;;0.2;4;45;23;51;57;0.8
09/03/2014;15;;0.2;1;23;27;24;72;1
10/03/2014;11;;0.2;5;55;21;63;47;0.4
11/03/2014;12;;0.2;12;49;21;68;54;1
12/03/2014;17;;0.3;0;30;31;30;54;1.4
