Fecha;NO;NO2;NOX;PM10;PM25;SO2;O3;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;26;74;62;25;13;4;;226;84;1019.5;6;139.3;16.7;0.81
30/09/2015;26;64;77;21;11;4;;;;1016.7;1;127.3;;
29/09/2015;27;57;66;25;14;4;;;;1017.6;0;107.5;;
28/09/2015;20;68;55;20;11;4;;13;86;1022;0;164.4;16.5;0.08
27/09/2015;9;22;29;15;7;4;;254;86;1021.7;0;154.6;15.8;0.34
26/09/2015;11;39;37;18;7;4;;327;88;1019.3;0;141.9;16.7;0.37
25/09/2015;24;58;63;20;9;4;;76;85;1020.4;0;154.9;16;0.13
24/09/2015;18;46;51;16;6;4;;;;1021;0;158.1;;
23/09/2015;11;43;34;11;4;3;;222;88;1018.3;7.6;91.7;15.6;0.61
22/09/2015;10;45;31;11;5;4;;;;1015.9;22.6;106.6;;
21/09/2015;26;63;65;16;10;4;;205;86;1018;0;156;15.4;0.58
20/09/2015;8;24;29;9;4;4;;28;82;1022.7;0;184.9;16.2;0.26
19/09/2015;9;32;30;10;4;4;;313;80;1025.2;0;189.5;16.6;0.28
18/09/2015;16;66;45;14;6;4;;;;1021.4;0;171.7;;
17/09/2015;14;62;41;9;5;3;;228;77;1011.4;0.9;66;15.8;1.78
16/09/2015;8;22;24;13;4;3;;204;60;995.8;0.3;142.9;22.3;3.21
15/09/2015;24;59;61;14;8;3;;209;74;1002.7;1.8;59.4;17.2;2.21
14/09/2015;11;52;34;15;5;3;;;;1012.4;3.7;99.2;;
13/09/2015;11;29;31;11;6;3;;225;78;1006.2;0.5;61.5;19.3;1.61
12/09/2015;8;40;29;16;9;3;;235;89;1011.4;0.6;28;19.4;0.26
11/09/2015;18;59;50;21;11;4;;253;85;1012.2;0;186.2;18.5;0.3
10/09/2015;12;56;42;18;11;3;;240;88;1015.2;5.2;47.7;18.6;0.51
09/09/2015;23;61;61;23;12;4;;;;1013.5;0;173;;
08/09/2015;16;64;47;15;8;4;;;;1017.8;0;190.7;;
07/09/2015;20;55;53;14;7;4;;;;1022.8;0;192.5;;
06/09/2015;8;34;29;11;6;3;;332;77;1023.4;0;195.3;16.5;0.63
05/09/2015;6;29;23;8;3;3;;257;73;1021.9;0;103.2;16.8;0.47
04/09/2015;11;56;36;11;4;3;;;;1018.8;0;112;;
03/09/2015;8;33;28;10;4;3;;273;83;1017.3;0.2;79.8;17.7;0.6
02/09/2015;10;38;33;13;6;4;;;;1017.4;15.9;182.9;;
01/09/2015;8;42;27;14;4;3;;292;83;1019.7;1.4;131.5;18.7;0.41
31/08/2015;11;63;33;24;10;3;;245;80;1013;11.3;86.5;23.2;1.34
30/08/2015;7;55;28;22;9;3;;230;65;1012.3;0.3;148.7;26.8;0.5
29/08/2015;7;20;23;17;6;3;;7;88;1014.2;0;194.5;22.3;1.09
28/08/2015;17;53;42;12;;3;;16;84;1015.5;0;200.5;21.9;0.63
27/08/2015;19;52;57;19;8;4;;224;71;1010.6;0;134;23.7;0.79
26/08/2015;7;22;23;14;6;4;;215;71;1011.7;0.1;197.4;22.9;1.04
25/08/2015;12;46;32;12;6;3;;199;73;1017.1;0;215.7;19.5;0.04
24/08/2015;9;50;27;10;;3;;240;65;1012.8;0;164.3;19.8;1.05
23/08/2015;6;26;18;8;;3;;261;71;1006.3;3.1;203.4;21.1;0.87
22/08/2015;6;28;22;15;;3;;334;91;1011.4;22.9;102.7;20.7;0.48
21/08/2015;15;43;42;19;11;3;;292;85;1017.5;0;222.4;20.9;0.56
20/08/2015;12;41;39;13;;3;;29;82;1020.5;0;230.6;20.1;0.62
19/08/2015;10;29;32;10;5;3;;16;79;1019.9;0;235;18.5;0.51
18/08/2015;10;35;30;11;6;3;;359;79;1016.9;0;232.2;18.5;0.58
17/08/2015;10;36;27;12;6;3;;333;83;1015.3;0.4;214.5;18.9;0.83
16/08/2015;7;17;21;11;5;3;;10;83;1014.4;0.5;167.7;17.6;0.49
15/08/2015;7;20;20;7;3;3;;265;86;1016.6;4.4;143.5;17.7;0.78
14/08/2015;8;18;21;9;5;3;;226;76;1017.3;8.4;148.5;18.5;3.49
13/08/2015;7;30;21;14;4;3;;;;1015.2;4.9;218.5;;
12/08/2015;10;50;34;21;;3;;341;86;1013.9;1;228.7;22;0.42
11/08/2015;11;37;32;19;;3;;264;87;1012.3;0;157.9;20.7;0.8
10/08/2015;11;32;35;14;8;3;;25;83;1016.7;0;257.1;20.1;0.75
09/08/2015;7;23;24;8;;3;;245;86;1022.5;6.8;143.2;18.8;0.77
08/08/2015;8;25;27;4;3;3;;221;94;1022.9;38.6;45.1;17;0.88
07/08/2015;7;21;22;10;7;3;;234;92;1018.3;20.9;70.2;19.6;1.22
06/08/2015;13;48;37;17;11;3;;14;88;1014.8;0;165.3;20.7;0.54
05/08/2015;11;31;32;19;10;3;;256;86;1013.5;0;203.5;21.3;0.52
04/08/2015;7;25;25;6;;3;;12;90;1017.9;15.7;102.6;19.6;0.59
03/08/2015;10;54;27;16;8;3;;312;81;1015.1;3;216.9;21.5;0.73
02/08/2015;8;37;32;14;;4;;235;66;1013;0;269.2;23.7;0.35
01/08/2015;6;32;22;13;5;3;;281;71;1016.8;0.1;188.3;19.2;0.33
31/07/2015;6;31;27;8;;3;;275;81;1012.2;0.4;73.6;18;0.43
30/07/2015;11;39;37;13;7;4;;;;1016.5;0.2;143.3;;
29/07/2015;14;41;41;9;;3;;34;89;1015.2;3.5;41;18.3;0.41
28/07/2015;10;33;29;12;;4;;347;77;1015.1;0.8;265.6;21.1;0.41
27/07/2015;9;38;26;13;5;3;;245;81;1016.7;2.4;133.2;20.4;0.94
26/07/2015;8;27;25;12;6;4;;233;69;1014.4;0;222;21.6;0.53
25/07/2015;6;28;20;14;4;3;;252;78;1019.7;5.9;160.6;18.8;1.04
24/07/2015;12;33;33;16;7;4;;237;83;1012.9;7.5;235.2;21.2;0.52
23/07/2015;10;35;31;12;5;3;;18;82;1016.5;0.1;273;21.6;1.05
22/07/2015;10;29;28;8;;3;;241;96;1019.1;20.1;47;20.7;1.2
21/07/2015;12;45;36;17;;3;;320;90;1015.8;5.4;99.4;22.3;0.43
20/07/2015;14;44;39;16;;3;;;;1016.1;0;273.7;;
19/07/2015;7;18;22;15;8;3;;14;85;1016.5;0;255.2;22.3;0.86
18/07/2015;8;30;24;17;9;3;;292;88;1015.1;3;212.8;22.5;0.51
17/07/2015;15;42;41;14;;3;;10;86;1017.2;1.1;207.9;21.1;0.58
16/07/2015;7;28;24;16;9;3;;298;86;1014.8;0;86.8;21.7;0.51
15/07/2015;8;36;25;19;11;4;;329;84;1017.6;0;237;21.5;0.95
14/07/2015;8;39;26;13;6;3;;;;1021.6;0;228.9;;
