Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
23/10/2015;14:00:00;3;6;0.15;;47;;;;;;;;
23/10/2015;13:00:00;4;7;0.16;20;42;;;;;;;;
23/10/2015;12:00:00;9;17;0.24;23;29;;;;;;;;
23/10/2015;11:00:00;11;62;0.36;31;7;;;;;;;;
23/10/2015;10:00:00;13;51;0.29;27;8;;;;;;;;
23/10/2015;9:00:00;13;77;1.57;40;7;;;;;;;;
23/10/2015;8:00:00;8;49;0.29;23;6;;;;;;;;
23/10/2015;7:00:00;7;47;0.34;44;6;;;;;;;;
23/10/2015;6:00:00;6;26;0.29;17;5;;;;;;;;
23/10/2015;5:00:00;5;6;0.22;16;7;;;;;;;;
23/10/2015;4:00:00;5;5;0.22;24;5;;;;;;;;
23/10/2015;3:00:00;4;5;0.35;33;7;;;;;;;;
23/10/2015;2:00:00;4;4;0.28;35;10;;;;;;;;
23/10/2015;1:00:00;4;1;0.28;33;18;;;;;;;;
23/10/2015;0:00:00;4;2;0.28;28;14;;;;;;;;
22/10/2015;23:00:00;5;9;0.28;43;8;;;;;;;;
22/10/2015;22:00:00;5;18;0.28;41;6;;;;;;;;
22/10/2015;21:00:00;6;8;0.32;27;27;;;;;;;;
22/10/2015;20:00:00;5;7;0.27;22;47;;;;;;;;
22/10/2015;19:00:00;5;6;0.24;21;43;;;;;;;;
22/10/2015;18:00:00;5;4;0.17;28;50;;;;;;;;
22/10/2015;17:00:00;5;4;0.21;22;61;;;;;;;;
22/10/2015;16:00:00;5;4;0.21;21;67;;;;;;;;
22/10/2015;15:00:00;6;5;0.19;20;66;;;;;;;;
22/10/2015;14:00:00;7;6;0.19;20;64;;;;;;;;
22/10/2015;13:00:00;6;5;0.16;19;70;;;;;;;;
22/10/2015;12:00:00;7;6;0.17;13;65;;;;;;;;
22/10/2015;11:00:00;9;9;0.2;26;48;;;;;;;;
22/10/2015;10:00:00;13;29;0.33;41;13;;;;;;;;
22/10/2015;9:00:00;13;54;0.33;49;7;;;;;;;;
22/10/2015;8:00:00;12;68;0.36;58;5;;;;;;;;
22/10/2015;7:00:00;13;54;0.47;86;6;;;;;;;;
22/10/2015;6:00:00;9;29;0.31;40;6;;;;;;;;
22/10/2015;5:00:00;9;16;0.31;37;7;;;;;;;;
22/10/2015;4:00:00;8;5;0.26;31;9;;;;;;;;
22/10/2015;3:00:00;5;2;0.17;27;18;;;;;;;;
22/10/2015;2:00:00;4;1;0.2;26;24;;;;;;;;
22/10/2015;1:00:00;4;1;0.16;18;26;;;;;;;;
22/10/2015;0:00:00;4;2;0.16;30;21;;;;;;;;
21/10/2015;23:00:00;5;2;0.17;33;23;;;;;;;;
21/10/2015;22:00:00;4;4;0.2;27;23;;;;;;;;
21/10/2015;21:00:00;4;9;0.21;23;27;;;;;;;;
21/10/2015;20:00:00;5;3;0.17;24;43;;;;;;;;
21/10/2015;19:00:00;5;4;0.17;19;53;;;;;;;;
21/10/2015;18:00:00;5;4;0.17;16;55;;;;;;;;
21/10/2015;17:00:00;5;5;0.17;17;63;;;;;;;;
21/10/2015;16:00:00;5;5;0.17;13;66;;;;;;;;
21/10/2015;15:00:00;5;4;0.17;16;70;;;;;;;;
21/10/2015;14:00:00;5;4;0.16;17;69;;;;;;;;
21/10/2015;13:00:00;5;10;0.24;21;55;;;;;;;;
21/10/2015;12:00:00;6;13;0.22;25;45;;;;;;;;
21/10/2015;11:00:00;6;6;0.19;15;55;;;;;;;;
21/10/2015;10:00:00;7;20;0.33;32;24;;;;;;;;
21/10/2015;9:00:00;9;64;0.68;49;7;;;;;;;;
21/10/2015;8:00:00;7;59;0.49;42;5;;;;;;;;
21/10/2015;7:00:00;5;46;1.04;40;6;;;;;;;;
21/10/2015;6:00:00;6;46;0.54;27;6;;;;;;;;
21/10/2015;5:00:00;4;3;0.28;22;17;;;;;;;;
21/10/2015;4:00:00;4;2;0.22;27;21;;;;;;;;
21/10/2015;3:00:00;4;2;0.32;32;18;;;;;;;;
21/10/2015;2:00:00;5;2;0.3;28;19;;;;;;;;
21/10/2015;1:00:00;4;1;0.26;22;30;;;;;;;;
21/10/2015;0:00:00;4;1;0.29;22;32;;;;;;;;
20/10/2015;23:00:00;4;1;0.29;20;29;;;;;;;;
20/10/2015;22:00:00;4;2;0.38;21;35;;;;;;;;
20/10/2015;21:00:00;4;2;0.28;20;53;;;;;;;;
20/10/2015;20:00:00;4;6;0.28;28;50;;;;;;;;
20/10/2015;19:00:00;4;4;0.3;31;49;;;;;;;;
20/10/2015;18:00:00;5;4;0.28;33;54;;;;;;;;
20/10/2015;17:00:00;5;6;0.29;38;57;;;;;;;;
20/10/2015;16:00:00;4;4;0.27;42;63;;;;;;;;
20/10/2015;15:00:00;5;4;0.28;36;65;;;;;;;;
20/10/2015;14:00:00;4;4;0.28;30;63;;;;;;;;
20/10/2015;13:00:00;4;4;0.2;25;59;;;;;;;;
20/10/2015;7:00:00;2;7;0.28;47;31;;;;;;;;
20/10/2015;6:00:00;2;4;0.83;44;43;;;;;;;;
20/10/2015;5:00:00;2;1;0.16;40;52;;;;;;;;
20/10/2015;4:00:00;2;1;0.16;40;53;;;;;;;;
20/10/2015;3:00:00;2;1;0.16;47;53;;;;;;;;
20/10/2015;2:00:00;2;1;0.15;55;55;;;;;;;;
