Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
23/10/2015;13:00:00;5;25;0.28;29;29;344;0.62;66;1013;431;0;0.38;18
23/10/2015;12:00:00;5;33;0.22;37;24;14;0.54;69;1014;494;0;0.45;15
23/10/2015;11:00:00;10;48;0.27;31;15;2;0.11;72;1014;435;0;0.39;18
23/10/2015;10:00:00;5;48;0.29;23;14;142;0.12;84;1015;338;0;0.67;20
23/10/2015;9:00:00;7;66;0.34;33;13;222;0.21;93;1015;212;0;0.46;27
23/10/2015;8:00:00;3;64;0.35;26;12;222;0.1;90;1015;79;0;0.33;9
23/10/2015;7:00:00;2;35;0.32;16;12;166;0.1;86;1015;26;0;0.35;15
23/10/2015;6:00:00;3;40;0.37;23;12;186;0.12;85;1016;26;0;0.29;15
23/10/2015;5:00:00;2;7;0.24;17;18;122;0.1;84;1016;26;0;0.22;32
23/10/2015;4:00:00;2;10;0.26;17;17;252;0.12;85;1016;26;0;0.26;8
23/10/2015;3:00:00;2;2;0.18;31;24;195;0.1;86;1017;26;0;0.22;22
23/10/2015;2:00:00;2;3;0.18;31;24;211;0.1;86;1018;26;0;0.27;17
23/10/2015;1:00:00;2;3;0.24;24;19;140;0.1;86;1019;26;0;0.39;22
23/10/2015;0:00:00;2;16;0.32;36;13;141;0.1;86;1019;27;0;0.52;21
22/10/2015;23:00:00;2;10;0.3;29;14;145;0.1;86;1019;27;0;0.51;24
22/10/2015;22:00:00;2;30;0.4;33;12;136;0.1;85;1020;27;0;0.64;21
22/10/2015;21:00:00;2;14;0.4;32;15;139;0.1;84;1020;27;0;0.37;19
22/10/2015;20:00:00;2;5;0.34;23;33;140;0.21;80;1020;27;0;0.31;16
22/10/2015;19:00:00;2;4;0.29;23;41;357;0.49;79;1020;27;0;0.37;15
22/10/2015;18:00:00;2;4;0.25;18;47;351;1.17;78;1020;27;0;0.36;14
22/10/2015;17:00:00;3;8;0.28;31;45;9;0.62;79;1020;62;0;0.43;15
22/10/2015;16:00:00;4;9;0.3;34;47;19;0.91;76;1020;235;0;0.47;19
22/10/2015;15:00:00;5;8;0.25;26;55;5;1.27;76;1020;360;0;0.32;17
22/10/2015;14:00:00;3;8;0.18;24;58;15;1.13;72;1020;450;0;0.32;18
22/10/2015;13:00:00;3;11;0.2;24;52;4;0.75;70;1020;500;0;0.4;16
22/10/2015;12:00:00;3;11;0.16;26;48;7;0.96;70;1021;492;0;0.24;20
22/10/2015;11:00:00;5;10;0.19;27;46;14;0.48;70;1021;422;0;0.32;17
22/10/2015;10:00:00;11;34;0.27;33;19;306;0.17;73;1021;308;0;0.48;19
22/10/2015;9:00:00;10;66;0.36;35;14;249;0.14;81;1021;211;0;0.63;29
22/10/2015;8:00:00;9;73;0.38;36;12;153;0.1;85;1020;57;0;0.81;27
22/10/2015;7:00:00;8;81;0.45;38;12;317;0.11;85;1020;27;0;0.71;22
22/10/2015;6:00:00;4;47;0.39;35;12;210;0.1;85;1020;27;0;0.41;32
22/10/2015;5:00:00;3;21;0.28;33;13;240;0.1;85;1019;27;0;0.34;12
22/10/2015;4:00:00;3;9;0.28;23;19;288;0.1;84;1019;26;0;0.19;21
22/10/2015;3:00:00;2;3;0.19;22;30;181;0.1;83;1019;26;0;0.14;10
22/10/2015;2:00:00;2;4;0.17;24;35;269;0.1;82;1019;26;0;0.13;13
22/10/2015;1:00:00;2;2;0.17;18;38;274;0.1;82;1019;27;0;0.23;24
22/10/2015;0:00:00;2;3;0.18;27;23;191;0.1;83;1020;27;0;0.26;19
21/10/2015;23:00:00;2;3;0.19;28;21;145;0.1;82;1020;27;0;0.3;15
21/10/2015;22:00:00;2;4;0.25;29;23;150;0.1;80;1020;27;0;0.31;21
21/10/2015;21:00:00;2;3;0.26;28;25;151;0.1;78;1020;27;0;0.32;19
21/10/2015;20:00:00;2;5;0.24;22;32;133;0.12;76;1020;27;0;0.28;16
21/10/2015;19:00:00;2;4;0.25;25;45;290;0.26;72;1020;27;0;0.22;19
21/10/2015;18:00:00;2;4;0.17;18;49;6;0.36;71;1019;27;0;0.2;11
21/10/2015;17:00:00;2;11;0.19;30;46;7;0.59;69;1019;51;0;0.17;11
21/10/2015;16:00:00;2;7;0.14;21;55;14;1.18;68;1019;203;0;0.25;13
21/10/2015;15:00:00;2;10;0.16;29;50;18;1.11;68;1019;366;0;0.22;14
21/10/2015;14:00:00;2;8;0.14;25;53;16;1.55;68;1020;456;0;0.16;15
21/10/2015;13:00:00;3;11;0.27;21;46;119;1.02;70;1020;366;0;0.24;19
21/10/2015;12:00:00;2;10;0.26;32;45;18;1.1;68;1020;408;0;0.21;14
21/10/2015;11:00:00;2;12;0.15;28;40;125;0.55;70;1020;303;0;0.38;24
21/10/2015;10:00:00;3;32;0.26;25;24;18;0.14;75;1021;281;0;0.6;18
21/10/2015;9:00:00;4;66;0.38;34;14;92;0.1;88;1021;186;0;0.73;23
21/10/2015;8:00:00;5;98;0.5;46;12;134;0.1;88;1021;39;0;0.68;23
21/10/2015;7:00:00;3;52;0.5;38;12;138;0.1;89;1020;27;0;0.54;14
21/10/2015;6:00:00;2;17;0.38;25;12;140;0.1;88;1020;27;0;0.45;11
21/10/2015;5:00:00;2;5;0.2;22;26;143;0.1;85;1020;27;0;0.3;10
21/10/2015;4:00:00;2;1;0.13;20;38;159;0.1;85;1020;27;0;0.32;12
21/10/2015;3:00:00;2;1;0.17;26;32;153;0.1;84;1021;27;0;0.37;11
21/10/2015;2:00:00;2;2;0.17;22;37;236;0.1;83;1021;27;0;0.34;12
21/10/2015;1:00:00;2;3;0.16;23;32;210;0.1;82;1021;27;0;0.4;15
21/10/2015;0:00:00;2;3;0.16;25;33;189;0.1;80;1021;27;0;0.43;10
20/10/2015;23:00:00;2;8;0.29;27;26;290;0.1;77;1021;27;0;0.5;9
20/10/2015;22:00:00;2;2;0.18;20;46;135;0.1;74;1022;27;0;0.43;13
20/10/2015;21:00:00;2;3;0.2;32;36;138;0.1;76;1022;27;0;0.47;17
20/10/2015;20:00:00;2;5;0.26;28;35;152;0.1;77;1022;27;0;0.47;11
20/10/2015;19:00:00;2;5;0.25;23;39;139;0.18;74;1022;27;0;0.49;13
20/10/2015;18:00:00;2;4;0.25;23;45;127;0.65;72;1022;27;0;0.43;15
20/10/2015;17:00:00;2;3;0.16;28;51;98;0.96;71;1021;29;0;0.42;20
20/10/2015;16:00:00;2;3;0.19;25;58;116;2.15;70;1021;155;0;0.35;10
20/10/2015;15:00:00;2;3;0.16;27;59;21;1.7;71;1020;166;0;0.35;14
20/10/2015;14:00:00;2;4;0.17;30;55;147;1.87;71;1020;296;0;0.38;14
20/10/2015;13:00:00;2;7;0.2;33;51;13;1.74;74;1021;394;0;0.41;14
20/10/2015;12:00:00;2;6;0.19;30;41;6;0.96;79;1020;103;0;0.47;14
20/10/2015;11:00:00;2;5;0.27;29;42;16;1.12;72;1020;41;0;0.44;10
20/10/2015;10:00:00;2;6;0.2;31;43;31;1.33;70;1020;357;0;0.46;10
20/10/2015;9:00:00;2;10;0.27;32;34;114;0.34;77;1020;178;0;0.45;10
20/10/2015;8:00:00;2;7;0.23;37;31;75;0.36;79;1019;49;0;0.47;10
20/10/2015;7:00:00;2;6;0.3;26;31;165;0.36;79;1018;27;0;0.39;10
20/10/2015;6:00:00;2;3;0.25;30;45;220;0.79;80;1018;27;0;0.33;10
20/10/2015;5:00:00;2;1;0.19;31;54;5;0.92;80;1017;27;0;0.26;10
20/10/2015;4:00:00;2;1;0.17;37;57;14;0.96;79;1017;27;0;0.22;10
20/10/2015;3:00:00;2;1;0.14;34;58;19;0.87;82;1016;27;0;0.2;10
20/10/2015;2:00:00;2;1;0.17;30;58;305;0.9;87;1016;27;0;0.21;10
20/10/2015;1:00:00;2;1;0.15;35;56;13;0.46;95;1015;27;0;0.2;10
20/10/2015;0:00:00;2;1;0.17;25;57;37;0.31;95;1014;27;0.2;0.18;10
19/10/2015;23:00:00;2;1;0.15;24;58;310;0.49;83;1014;27;0;0.2;10
19/10/2015;22:00:00;2;2;0.17;20;55;11;0.88;72;1013;27;0.6;0.22;10
19/10/2015;21:00:00;2;2;0.19;28;51;19;0.77;71;1012;27;0.2;0.2;10
19/10/2015;20:00:00;2;4;0.23;21;48;8;0.67;73;1011;27;0.6;0.22;10
19/10/2015;19:00:00;2;7;0.23;28;43;19;0.88;72;1011;27;1.2;0.63;10
19/10/2015;18:00:00;2;9;0.25;23;38;16;0.9;71;1010;27;0.4;0.25;10
19/10/2015;17:00:00;2;5;0.2;30;40;18;0.79;71;1009;27;1.4;0.25;10
19/10/2015;16:00:00;2;6;0.21;25;38;16;0.65;72;1008;27;1;0.26;10
19/10/2015;15:00:00;2;5;0.21;23;35;16;0.56;73;1008;30;1.2;0.3;10
19/10/2015;14:00:00;2;10;0.22;22;29;19;0.34;74;1008;30;1.2;0.34;10
19/10/2015;13:00:00;2;7;0.22;25;32;24;0.76;77;1008;29;0.6;0.34;10
19/10/2015;7:00:00;2;6;0.33;22;36;7;0.97;78;1006;27;1;0.25;
19/10/2015;6:00:00;2;4;0.26;16;36;121;1.37;79;1005;27;1;0.2;
19/10/2015;5:00:00;2;3;0.25;14;43;16;0.77;82;1005;27;0.6;0.16;
19/10/2015;4:00:00;2;1;0.18;24;50;15;0.65;81;1005;27;0.2;0.16;
19/10/2015;3:00:00;2;2;0.18;22;37;17;0.37;80;1005;27;0.6;0.18;
19/10/2015;2:00:00;2;1;0.18;24;38;335;0.1;82;1005;27;0.8;0.17;
19/10/2015;1:00:00;2;4;0.18;26;35;342;0.1;83;1006;27;0.2;0.19;
19/10/2015;0:00:00;2;3;0.19;16;40;359;0.1;85;1006;27;0.2;0.31;
18/10/2015;23:00:00;2;4;0.27;22;33;345;0.1;87;1007;27;0.6;0.3;
18/10/2015;22:00:00;2;6;0.25;34;34;13;0.13;89;1007;27;0.2;0.44;
18/10/2015;21:00:00;2;13;0.4;43;26;338;0.1;90;1006;27;0;0.5;
18/10/2015;20:00:00;2;5;0.37;39;36;8;0.21;90;1006;27;0;0.38;
18/10/2015;19:00:00;3;12;0.34;41;30;18;0.38;88;1006;27;0;0.76;
18/10/2015;18:00:00;2;9;0.37;57;34;323;0.1;88;1006;27;0;0.5;
18/10/2015;17:00:00;3;5;0.37;39;41;15;0.27;88;1006;34;0;0.31;
18/10/2015;16:00:00;2;4;0.25;34;44;18;0.3;88;1006;54;0;0.32;
18/10/2015;15:00:00;3;4;0.26;31;50;17;0.48;87;1006;100;0;0.34;
18/10/2015;14:00:00;2;4;0.22;37;51;16;0.51;86;1006;150;0;0.3;
18/10/2015;13:00:00;2;5;0.2;37;50;354;0.79;85;1006;324;0;0.28;
18/10/2015;12:00:00;4;7;0.17;49;44;124;0.72;83;1006;316;0;0.44;
18/10/2015;11:00:00;6;9;0.33;50;34;18;0.72;80;1007;212;0;0.46;
18/10/2015;10:00:00;10;14;0.31;21;25;219;0.15;78;1007;252;0;0.4;
18/10/2015;9:00:00;4;18;0.28;28;19;315;0.1;85;1007;138;0;0.38;
18/10/2015;8:00:00;3;10;0.24;23;24;225;0.14;86;1006;39;0;0.3;
18/10/2015;7:00:00;3;4;0.22;20;27;158;0.11;85;1006;27;0;0.5;
18/10/2015;6:00:00;3;4;0.3;23;22;134;0.11;85;1005;27;0;0.4;
18/10/2015;5:00:00;3;3;0.33;25;26;139;0.12;84;1005;27;0;0.59;
18/10/2015;4:00:00;7;6;0.57;37;18;117;0.46;84;1004;27;0;0.67;
18/10/2015;3:00:00;7;3;0.73;47;15;153;0.28;86;1004;27;0;0.56;
18/10/2015;2:00:00;3;6;0.53;39;17;341;0.16;87;1003;26;0;0.42;
18/10/2015;1:00:00;2;10;0.52;36;16;158;0.1;86;1003;27;0;0.47;
18/10/2015;0:00:00;2;8;0.38;39;15;140;0.1;86;1003;27;0;0.51;
17/10/2015;23:00:00;2;13;0.33;38;13;143;0.1;84;1003;27;0;0.67;
17/10/2015;22:00:00;2;7;0.27;31;23;205;0.1;82;1003;27;0;0.52;
17/10/2015;21:00:00;2;9;0.29;43;21;158;0.14;77;1003;27;0;0.5;
17/10/2015;20:00:00;2;6;0.22;35;35;27;0.4;76;1002;27;0;0.36;
17/10/2015;19:00:00;3;4;0.22;26;43;14;1.29;72;1002;27;0;0.32;
17/10/2015;18:00:00;3;5;0.17;24;43;22;1.83;66;1002;27;0;0.23;
17/10/2015;17:00:00;3;4;0.15;24;50;18;1.81;64;1002;50;0;0.2;
17/10/2015;16:00:00;3;4;0.15;26;53;7;0.8;60;1002;252;0;0.19;
17/10/2015;15:00:00;3;3;0.09;28;53;51;1.73;62;1002;309;0;0.2;
17/10/2015;14:00:00;3;4;0.16;20;49;125;1.69;61;1003;386;0;0.23;
17/10/2015;13:00:00;4;5;0.14;19;45;163;2.18;62;1004;456;0;0.26;
17/10/2015;12:00:00;3;5;0.12;18;40;11;1.71;63;1005;230;0;0.3;
17/10/2015;11:00:00;3;15;0.28;28;26;154;0.61;69;1006;218;0;0.46;
17/10/2015;10:00:00;3;27;0.32;28;17;355;0.1;78;1006;140;0;0.63;
