Fecha;Hora;SO2;NO;CO;PM10;O3;dd;vv;HR;PRB;RS;LL;BEN;PM25
23/10/2015;14:00:00;5;26;0.63;;20;;;;;;;;
23/10/2015;13:00:00;6;29;0.67;50;19;;;;;;;;
23/10/2015;12:00:00;6;35;0.61;35;19;;;;;;;;
23/10/2015;11:00:00;5;47;0.61;16;9;;;;;;;;
23/10/2015;10:00:00;13;48;0.61;10;5;;;;;;;;
23/10/2015;9:00:00;13;53;0.69;7;3;;;;;;;;
23/10/2015;8:00:00;13;61;0.75;10;1;;;;;;;;
23/10/2015;7:00:00;11;44;0.69;10;1;;;;;;;;
23/10/2015;6:00:00;10;15;0.55;10;5;;;;;;;;
23/10/2015;5:00:00;10;3;0.48;11;14;;;;;;;;
23/10/2015;4:00:00;9;4;0.49;13;17;;;;;;;;
23/10/2015;3:00:00;8;1;0.49;28;19;;;;;;;;
23/10/2015;2:00:00;8;1;0.48;19;23;;;;;;;;
23/10/2015;1:00:00;8;1;0.51;27;18;;;;;;;;
23/10/2015;0:00:00;8;6;0.58;28;6;;;;;;;;
22/10/2015;23:00:00;8;11;0.57;17;12;;;;;;;;
22/10/2015;22:00:00;7;9;0.63;18;10;;;;;;;;
22/10/2015;21:00:00;8;3;0.57;21;43;;;;;;;;
22/10/2015;20:00:00;7;5;0.62;14;36;;;;;;;;
22/10/2015;19:00:00;7;9;0.63;23;35;;;;;;;;
22/10/2015;18:00:00;9;10;0.62;23;44;;;;;;;;
22/10/2015;17:00:00;10;8;0.61;20;51;;;;;;;;
22/10/2015;16:00:00;9;6;0.59;35;58;;;;;;;;
22/10/2015;15:00:00;13;15;0.7;17;43;;;;;;;;
22/10/2015;14:00:00;13;12;0.62;29;51;;;;;;;;
22/10/2015;13:00:00;13;19;0.61;28;37;;;;;;;;
22/10/2015;12:00:00;14;21;0.6;16;36;;;;;;;;
22/10/2015;11:00:00;14;20;0.55;4;31;;;;;;;;
22/10/2015;10:00:00;10;33;0.58;12;10;;;;;;;;
22/10/2015;9:00:00;9;53;0.69;22;3;;;;;;;;
22/10/2015;8:00:00;7;55;0.77;23;1;;;;;;;;
22/10/2015;7:00:00;6;37;0.64;12;1;;;;;;;;
22/10/2015;6:00:00;5;19;0.56;13;1;;;;;;;;
22/10/2015;5:00:00;3;5;0.48;21;5;;;;;;;;
22/10/2015;4:00:00;3;1;0.45;9;20;;;;;;;;
22/10/2015;3:00:00;3;1;0.43;9;34;;;;;;;;
22/10/2015;2:00:00;3;1;0.45;10;24;;;;;;;;
22/10/2015;1:00:00;4;2;0.45;18;18;;;;;;;;
22/10/2015;0:00:00;3;3;0.48;14;25;;;;;;;;
21/10/2015;23:00:00;3;3;0.47;25;28;;;;;;;;
21/10/2015;22:00:00;4;8;0.63;11;13;;;;;;;;
21/10/2015;21:00:00;3;6;0.57;14;26;;;;;;;;
21/10/2015;20:00:00;3;8;0.53;13;36;;;;;;;;
21/10/2015;19:00:00;4;7;0.52;20;48;;;;;;;;
21/10/2015;18:00:00;5;8;0.52;18;51;;;;;;;;
21/10/2015;17:00:00;5;6;0.45;20;60;;;;;;;;
21/10/2015;16:00:00;5;6;0.46;19;61;;;;;;;;
21/10/2015;15:00:00;5;4;0.44;26;66;;;;;;;;
21/10/2015;14:00:00;7;7;0.47;15;64;;;;;;;;
21/10/2015;13:00:00;9;14;0.8;22;41;;;;;;;;
21/10/2015;12:00:00;7;16;0.67;15;41;;;;;;;;
21/10/2015;11:00:00;6;26;0.62;28;27;;;;;;;;
21/10/2015;10:00:00;8;48;0.75;50;10;;;;;;;;
21/10/2015;9:00:00;10;81;0.83;30;2;;;;;;;;
21/10/2015;8:00:00;9;76;0.89;6;1;;;;;;;;
21/10/2015;7:00:00;7;50;0.83;23;1;;;;;;;;
21/10/2015;6:00:00;6;13;0.83;10;9;;;;;;;;
21/10/2015;5:00:00;5;4;0.49;26;26;;;;;;;;
21/10/2015;4:00:00;6;1;0.46;12;31;;;;;;;;
21/10/2015;3:00:00;6;1;0.57;15;29;;;;;;;;
21/10/2015;2:00:00;5;1;0.51;5;38;;;;;;;;
21/10/2015;1:00:00;6;3;0.5;4;36;;;;;;;;
21/10/2015;0:00:00;5;1;0.58;17;36;;;;;;;;
20/10/2015;23:00:00;6;1;0.59;15;50;;;;;;;;
20/10/2015;22:00:00;6;1;0.6;34;48;;;;;;;;
20/10/2015;21:00:00;6;2;0.57;36;51;;;;;;;;
20/10/2015;20:00:00;7;4;0.62;24;44;;;;;;;;
20/10/2015;19:00:00;7;6;0.58;22;44;;;;;;;;
20/10/2015;18:00:00;8;7;0.59;18;50;;;;;;;;
20/10/2015;17:00:00;6;8;0.56;28;53;;;;;;;;
20/10/2015;16:00:00;7;4;0.55;26;67;;;;;;;;
20/10/2015;15:00:00;8;4;0.53;23;66;;;;;;;;
20/10/2015;14:00:00;7;4;0.54;27;62;;;;;;;;
20/10/2015;13:00:00;7;7;0.55;17;59;;;;;;;;
20/10/2015;12:00:00;7;10;0.57;25;44;;;;;;;;
20/10/2015;11:00:00;7;7;0.56;14;45;;;;;;;;
20/10/2015;10:00:00;4;9;0.56;30;45;;;;;;;;
20/10/2015;9:00:00;4;8;0.6;34;38;;;;;;;;
20/10/2015;8:00:00;4;14;0.67;29;26;;;;;;;;
20/10/2015;7:00:00;4;8;0.64;39;36;;;;;;;;
20/10/2015;6:00:00;3;3;0.55;16;52;;;;;;;;
20/10/2015;5:00:00;3;1;0.49;18;64;;;;;;;;
