Fecha;NO;NO2;O3;PM10;SO2
01/01/2014;1;6;50;9;1
02/01/2014;2;9;48;11;1
03/01/2014;1;11;50;11;2
04/01/2014;1;1;70;10;2
05/01/2014;1;5;58;13;1
06/01/2014;2;4;54;15;3
07/01/2014;2;11;47;16;4
08/01/2014;2;13;56;21;4
09/01/2014;3;19;48;25;3
10/01/2014;11;24;25;19;2
11/01/2014;6;21;29;20;3
12/01/2014;4;14;33;20;2
13/01/2014;1;3;64;12;1
14/01/2014;1;2;60;12;1
15/01/2014;5;13;49;13;2
16/01/2014;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
22/01/2014;1;2;;;
23/01/2014;1;5;;;
24/01/2014;7;10;;;
25/01/2014;1;3;;;
26/01/2014;2;4;;;
27/01/2014;1;1;;;
28/01/2014;1;2;;;
29/01/2014;1;1;;;
30/01/2014;1;1;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
31/01/2014;1;4;56;11;1
01/02/2014;1;1;64;11;2
02/02/2014;2;11;53;12;2
03/02/2014;2;4;63;11;2
04/02/2014;2;7;58;10;2
05/02/2014;1;4;63;11;1
06/02/2014;1;2;60;11;1
07/02/2014;1;4;61;12;1
08/02/2014;1;1;65;11;1
09/02/2014;1;4;60;10;1
10/02/2014;1;1;67;11;2
11/02/2014;2;5;57;13;2
12/02/2014;4;10;42;11;2
13/02/2014;2;5;56;10;2
14/02/2014;2;2;48;11;3
15/02/2014;1;2;63;10;1
16/02/2014;1;9;55;13;2
17/02/2014;2;12;52;14;3
18/02/2014;1;5;54;17;1
19/02/2014;5;16;47;15;1
20/02/2014;6;12;42;14;2
21/02/2014;1;3;68;11;1
22/02/2014;2;13;51;18;3
23/02/2014;1;6;63;15;3
24/02/2014;1;5;63;12;2
25/02/2014;1;3;64;14;2
26/02/2014;1;4;66;14;3
27/02/2014;2;6;59;15;2
28/02/2014;1;1;68;15;1
01/03/2014;1;1;56;9;1
02/03/2014;1;1;51;10;1
03/03/2014;1;1;71;13;1
04/03/2014;1;1;63;14;5
05/03/2014;1;6;57;15;2
06/03/2014;4;11;47;17;2
07/03/2014;2;18;52;25;2
08/03/2014;1;9;76;17;2
09/03/2014;1;5;87;18;2
10/03/2014;2;13;72;20;2
11/03/2014;3;16;63;26;1
12/03/2014;2;12;79;26;2
13/03/2014;2;14;64;28;1
14/03/2014;2;16;58;22;1
15/03/2014;2;15;61;28;2
16/03/2014;1;17;52;24;2
17/03/2014;3;16;52;21;1
18/03/2014;5;12;58;23;1
19/03/2014;3;13;55;28;2
20/03/2014;2;17;53;26;2
21/03/2014;3;11;58;27;1
22/03/2014;1;1;66;13;1
23/03/2014;1;7;66;12;1
24/03/2014;3;9;53;14;2
25/03/2014;1;2;71;25;1
26/03/2014;1;2;65;13;1
27/03/2014;2;10;60;15;2
28/03/2014;2;11;62;25;2
29/03/2014;1;6;64;24;1
30/03/2014;1;3;65;14;2
31/03/2014;2;5;61;14;2
01/04/2014;1;4;63;13;3
02/04/2014;1;6;62;13;2
03/04/2014;1;3;62;14;1
04/04/2014;1;3;61;12;1
05/04/2014;1;3;49;9;1
06/04/2014;1;7;42;12;2
07/04/2014;4;8;50;13;1
08/04/2014;4;7;52;15;1
09/04/2014;2;7;55;19;1
10/04/2014;3;9;56;29;2
11/04/2014;3;8;61;23;2
12/04/2014;1;6;60;20;1
13/04/2014;1;6;61;20;1
14/04/2014;2;10;63;25;1
15/04/2014;2;15;52;18;2
16/04/2014;3;9;53;16;1
17/04/2014;1;6;63;19;1
18/04/2014;1;7;62;15;1
19/04/2014;1;5;56;19;1
20/04/2014;1;2;62;10;1
21/04/2014;1;3;54;10;1
22/04/2014;1;2;64;14;1
23/04/2014;1;3;49;12;1
24/04/2014;2;4;59;12;1
25/04/2014;2;3;74;25;2
26/04/2014;1;3;54;9;1
27/04/2014;1;1;68;15;2
28/04/2014;1;2;52;13;2
29/04/2014;1;2;57;13;1
30/04/2014;1;3;55;12;1
01/05/2014;1;5;56;13;1
02/05/2014;1;3;61;13;1
03/05/2014;1;2;66;11;1
04/05/2014;1;6;71;11;1
05/05/2014;2;7;57;13;1
06/05/2014;7;8;68;16;1
07/05/2014;8;9;73;18;1
08/05/2014;8;7;87;19;1
09/05/2014;8;8;90;20;1
10/05/2014;7;5;80;19;1
11/05/2014;7;4;85;11;1
12/05/2014;8;7;79;19;1
13/05/2014;7;3;90;18;1
14/05/2014;7;7;94;19;1
15/05/2014;7;7;103;20;1
16/05/2014;7;3;116;23;1
17/05/2014;7;6;109;22;2
18/05/2014;7;4;121;23;1
19/05/2014;7;3;114;30;1
20/05/2014;7;4;100;16;1
21/05/2014;7;3;97;12;1
22/05/2014;7;2;89;12;1
23/05/2014;7;2;96;15;1
24/05/2014;7;4;85;11;1
25/05/2014;7;3;87;15;1
26/05/2014;7;4;96;12;1
27/05/2014;7;5;90;15;1
28/05/2014;7;3;77;13;1
29/05/2014;7;2;77;14;1
30/05/2014;7;3;77;13;1
31/05/2014;7;2;82;14;1
01/06/2014;7;2;88;13;1
02/06/2014;8;6;93;14;1
03/06/2014;8;6;90;15;1
04/06/2014;7;2;91;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
05/06/2014;5;6;85;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
06/06/2014;6;5;79;38;1
07/06/2014;8;4;56;15;1
08/06/2014;9;8;63;11;1
09/06/2014;9;8;61;14;1
10/06/2014;10;9;64;12;1
11/06/2014;9;7;71;19;1
12/06/2014;9;5;81;17;1
13/06/2014;10;9;73;16;1
14/06/2014;10;6;73;17;1
15/06/2014;10;3;77;14;1
16/06/2014;10;4;69;16;1
17/06/2014;11;7;74;15;1
18/06/2014;11;8;72;15;1
19/06/2014;11;8;64;31;1
20/06/2014;12;4;67;37;1
21/06/2014;13;6;55;18;1
22/06/2014;13;5;54;15;2
23/06/2014;14;6;52;16;2
24/06/2014;13;7;55;12;2
25/06/2014;13;4;66;18;1
26/06/2014;8;7;54;14;1
27/06/2014;2;10;49;15;1
28/06/2014;1;7;39;12;1
29/06/2014;1;7;54;14;1
30/06/2014;1;9;50;12;1
01/07/2014;1;6;45;12;1
02/07/2014;1;5;47;17;1
03/07/2014;1;8;51;12;2
04/07/2014;2;10;50;15;2
05/07/2014;1;10;52;14;2
06/07/2014;1;3;31;12;1
07/07/2014;1;5;52;15;2
08/07/2014;1;6;52;15;2
09/07/2014;1;5;49;17;1
10/07/2014;1;5;52;19;1
11/07/2014;1;6;43;20;1
12/07/2014;1;8;47;17;1
13/07/2014;1;7;51;14;1
14/07/2014;1;9;47;19;2
15/07/2014;1;10;56;20;2
16/07/2014;1;14;60;29;1
17/07/2014;2;13;53;52;1
18/07/2014;1;8;57;45;1
19/07/2014;1;6;38;18;1
20/07/2014;1;5;41;12;1
21/07/2014;1;8;44;15;2
22/07/2014;1;10;51;14;2
23/07/2014;2;11;56;15;1
24/07/2014;1;10;58;22;1
25/07/2014;1;10;60;23;1
26/07/2014;1;9;62;24;1
27/07/2014;1;8;61;26;2
28/07/2014;1;7;57;27;2
29/07/2014;1;4;48;13;1
30/07/2014;1;9;51;19;1
31/07/2014;1;10;51;25;1
01/08/2014;2;10;51;26;1
02/08/2014;1;4;37;15;1
03/08/2014;1;7;35;12;1
04/08/2014;1;9;45;15;2
05/08/2014;1;10;53;16;2
06/08/2014;1;9;43;17;1
