Fecha;NO;NO2;NOX;O3;PM10;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;14;39;42;81;21;263;80;1012.8;9.5;127.2;18.1;0.55
30/09/2015;12;48;40;69;17;182;74;1009.7;0;160.2;19.5;0.61
29/09/2015;9;29;32;66;16;118;86;1010.7;0;149.8;17.1;0.63
28/09/2015;9;29;30;76;16;81;84;1015.2;0;165.6;17.2;0.42
27/09/2015;5;24;19;68;10;99;86;1015.1;0;153.6;16.4;0.04
26/09/2015;7;25;26;72;13;83;84;1012.4;0;141;17.9;0.17
25/09/2015;12;27;36;65;14;65;84;1013.5;0;151;16.9;0.98
24/09/2015;17;28;43;68;13;62;81;1014.1;0.2;160.5;17.4;0.73
23/09/2015;9;47;34;60;10;128;87;1011.7;14.8;78.1;16.6;0.21
22/09/2015;8;46;30;63;10;248;81;1009.1;6.2;83.7;18.1;0.77
21/09/2015;10;26;30;8;13;84;82;1011.2;0;178.8;17.5;0.66
20/09/2015;5;23;19;0;8;73;81;1015.9;0;195.6;16.9;0.85
19/09/2015;7;23;23;60;12;107;80;1018.4;0;187.1;16.9;0.3
18/09/2015;10;53;40;79;13;143;78;1014.7;0;174;16.4;0.34
17/09/2015;9;59;42;65;11;235;72;1004.7;2;71.6;17.5;0.86
16/09/2015;6;27;21;67;12;211;61;989;1.1;177.1;23.4;1.99
15/09/2015;15;45;42;64;16;214;72;996.4;2.2;75.5;18.9;1.59
14/09/2015;6;36;27;70;13;195;76;1005.5;1.6;120.4;17.8;0.36
13/09/2015;5;28;22;76;11;233;70;999.5;0;97.5;20.8;1.24
12/09/2015;4;18;17;85;17;16;83;1004.5;0;40.7;20.9;0.21
11/09/2015;8;24;25;91;16;104;78;1005.3;0;223.4;21.2;0.29
10/09/2015;9;48;36;67;17;206;88;1008.4;2.1;61;19.4;0.33
09/09/2015;13;31;39;98;22;124;75;1006.8;0;188.3;20.6;0.12
08/09/2015;11;30;34;86;17;359;78;1010.9;0;242.2;17.5;0.09
07/09/2015;8;25;28;78;12;47;77;1016;0;214.7;16.9;0.57
06/09/2015;5;29;19;91;10;42;77;1016.7;0;208.6;17.1;0.39
05/09/2015;5;21;21;77;9;195;78;1015.1;0;120.8;17.5;0.13
04/09/2015;6;28;25;73;9;101;80;1011.9;0;103.3;17.9;0.12
03/09/2015;6;33;25;74;9;94;87;1010.5;8.5;73.9;18.2;0.26
02/09/2015;7;23;23;91;11;67;78;1010.4;13.4;130.7;19.1;0.36
01/09/2015;5;27;21;68;10;297;85;1012.8;2.6;67.9;19.5;0.19
31/08/2015;5;34;21;75;19;66;78;1006.2;11.2;90.3;24.6;0.29
30/08/2015;6;19;20;93;21;216;55;1005.8;4.4;237.2;29.1;0.93
29/08/2015;9;26;24;95;16;344;69;1007.1;0;248.6;27;0.19
28/08/2015;6;23;23;67;13;40;79;1008.3;0;254.6;23.8;0.12
27/08/2015;11;57;40;65;17;199;64;1004;0;135.5;26.1;0.43
26/08/2015;4;21;19;82;14;162;65;1005;0;245.5;25.2;0.47
25/08/2015;6;25;22;85;12;114;68;1010.3;0;263.1;21.4;0.38
24/08/2015;5;29;18;69;14;145;63;1005.9;0;140;20.7;0.24
23/08/2015;3;11;11;73;6;222;60;999.3;0;250.5;24;1.51
22/08/2015;4;20;16;86;18;190;87;1004.1;16.9;164.5;22.6;0.16
21/08/2015;5;21;19;110;18;7;77;1010.4;0;259.9;24.1;0.39
20/08/2015;4;20;18;102;15;55;75;1013.4;0;273.6;22.5;0.66
19/08/2015;5;18;16;83;11;98;77;1012.9;0;280.8;19.9;0.14
18/08/2015;4;18;16;80;12;66;74;1009.9;0;239.6;20;0.1
17/08/2015;4;14;15;81;14;72;80;1008.3;0.2;221.8;20.3;0.86
16/08/2015;4;8;12;68;12;82;83;1007.4;0.2;158.1;18.5;0.33
15/08/2015;4;12;12;58;9;209;85;1009.7;1.4;128.5;18.7;0.32
14/08/2015;4;15;13;75;8;281;67;1010.4;3.9;156.1;20.7;1.35
13/08/2015;4;26;17;78;9;285;75;1008.2;0.8;176.6;22.6;0.69
12/08/2015;4;21;18;107;21;53;81;1006.8;1.4;221.6;24.3;0.46
11/08/2015;4;15;17;98;18;65;82;1005.3;0;226.2;22.9;0.69
10/08/2015;5;17;18;101;14;66;80;1009.8;0;294.6;21.2;0.31
09/08/2015;4;13;14;69;10;254;82;1015.8;0.8;118.9;19.7;0.36
08/08/2015;4;19;16;58;8;197;90;1016.2;7.3;62.8;18.5;0.56
07/08/2015;4;19;16;65;9;230;86;1011.5;2;76.1;21.5;0.23
06/08/2015;4;20;16;80;18;98;83;1007.7;0;247.1;22;0.43
05/08/2015;6;21;19;87;15;112;79;1006.5;0.1;238.9;23.3;0.49
04/08/2015;4;19;16;58;8;73;85;1010.9;0.2;120.1;21.1;0.66
03/08/2015;7;33;25;85;15;50;78;1008;0;232.2;23.1;0.83
02/08/2015;9;48;32;107;16;185;64;1006.3;0;309.3;25.1;0.47
01/08/2015;6;43;23;97;12;133;72;1010;0;267.4;20.1;0.37
31/07/2015;6;30;26;75;13;258;82;1005.4;0.5;77.9;18.8;0.65
30/07/2015;11;32;34;65;13;88;80;1009.5;0.8;150.5;18.9;0.21
29/07/2015;9;26;27;56;9;195;90;1008.4;1.8;99.4;19.3;0.15
28/07/2015;8;23;26;80;10;165;71;1008;0.4;318.3;23.3;0.2
27/07/2015;7;25;25;53;11;197;82;1009.8;0.9;101.9;21.1;0.41
26/07/2015;9;18;25;84;11;51;70;1007.5;0.3;276.5;22.6;0.28
25/07/2015;9;23;25;71;11;253;76;1012.8;0.6;159.6;19.9;0.52
24/07/2015;7;21;23;75;11;248;76;1006;1.1;232.5;23.1;0.24
23/07/2015;7;28;25;78;11;74;79;1009.4;0.4;315.4;23.1;0.47
22/07/2015;9;29;30;45;8;240;92;1012.2;4.9;56.7;22.3;0.45
21/07/2015;9;33;30;51;14;265;87;1008.9;10.4;113.9;23.5;0.28
20/07/2015;10;22;28;99;14;49;76;1008.9;0;308.3;25.2;0.85
19/07/2015;5;14;15;68;11;82;81;1009.3;0;309.7;24.3;0.54
18/07/2015;6;18;18;78;16;53;80;1007.9;2.4;266.5;25.3;0.6
17/07/2015;6;20;22;70;15;90;82;1009.9;1.3;238.6;23.7;0.38
16/07/2015;6;23;22;68;15;25;85;1007.5;0;160.1;23.2;0.39
15/07/2015;6;22;20;74;22;52;80;1010.3;0;318.7;23.1;0.48
14/07/2015;6;24;19;71;14;46;75;1014.2;0;314.5;22.7;0.81
13/07/2015;7;23;22;73;10;27;76;1015.6;0;284.9;21.3;0.88
12/07/2015;5;26;16;67;6;40;74;1016;0;314;21.7;0.56
11/07/2015;5;12;14;86;14;319;76;1016.5;0.4;93.7;21.5;0.37
10/07/2015;8;30;26;115;21;260;69;1009.3;0;322.8;23.8;0.68
09/07/2015;7;31;23;76;11;52;70;1014;0;329.7;20.8;1.14
08/07/2015;6;21;20;62;9;48;80;1015.3;3.5;129.1;20.3;0.55
