Fecha;Hora;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP
01/05/2015;1:00:00;5.25;35;3;33.5;295;0.1;65.9;0;941;14.85
01/05/2015;2:00:00;5.25;30;2.5;34;315;0;69.1;0;941.25;14.45
01/05/2015;3:00:00;5.75;33.75;3;19.75;177;0;75.725;0;941;13.2
01/05/2015;4:00:00;6;26.25;2.75;19;180;0;81.2;0;940.75;12.075
01/05/2015;5:00:00;5.5;25.5;2.25;18;123;0;84.325;0;940;11.825
01/05/2015;6:00:00;5.75;24.5;2.75;13.75;121;0;84.2;0;940;11.65
01/05/2015;7:00:00;5;15.5;2.5;45.25;230;0.6;76.875;0;939.25;12.4
01/05/2015;8:00:00;5.25;11;2;54.75;246;0.8;75.7;0;940;12.45
01/05/2015;9:00:00;5;9;2.5;62;228;1;73.7;0;940;13.25
01/05/2015;10:00:00;5.75;8.25;2.75;66;247;1.2;70.225;0;940;14.35
01/05/2015;11:00:00;5.5;12.25;3.5;63.75;240;1.1;67;0;940;15
01/05/2015;12:00:00;5.5;14;4;65.5;249;1.2;59.3;0;940.25;16.5
01/05/2015;13:00:00;5.25;13;4.75;73.25;229;1.5;50.7;0;940;18.275
01/05/2015;14:00:00;5.75;10.75;3.5;82.5;247;1.8;42.775;0;940;19.325
01/05/2015;15:00:00;5.75;10.75;4;87;245;1.9;37.625;0;940;20.4
01/05/2015;16:00:00;6;7.75;4;92.75;228;2.5;36.075;0;939.5;21.55
01/05/2015;17:00:00;5.75;5.25;2.75;96;247;1.9;35.675;0;939;22.625
01/05/2015;18:00:00;5.25;7;2.25;92.25;234;1.8;38.55;0;939;21.375
01/05/2015;19:00:00;5.75;7.25;2;86.75;265;1.3;38.95;0;938.5;21.875
01/05/2015;20:00:00;5.25;8.75;2.25;78;247;1.1;41.825;0;938.5;21.4
01/05/2015;21:00:00;5;12.75;2.5;62.5;271;0.9;47.825;0;938;20.5
01/05/2015;22:00:00;5;18.75;3;47.5;249;1;54.075;0;939;19.475
01/05/2015;23:00:00;5.25;19.25;2.25;40.5;252;0.9;59.225;0;939;18.625
01/05/2015;0:00:00;5;24.25;2.75;33.25;180;0.8;62.675;0;940;17.85
02/05/2015;1:00:00;5;17.5;2.25;32.25;211;0.8;71.25;0;940;16.85
02/05/2015;2:00:00;5;20.5;2.25;21.5;355;0.1;79.975;0;940;15.55
02/05/2015;3:00:00;5;13.75;2.25;26;268;0.2;83.15;0;940;15.075
02/05/2015;4:00:00;5.5;6.75;2.25;30.5;276;0.1;86.25;0;939;14.65
02/05/2015;5:00:00;5;8.25;2.25;26.25;289;0.2;92.1;0;938.25;13.925
02/05/2015;6:00:00;5.25;9.75;2;21.25;309;0.1;97.45;0;938;13.225
02/05/2015;7:00:00;5.5;16.25;3;10.75;353;0.1;100;0;938;12.7
02/05/2015;8:00:00;6;17.25;5.75;6.5;8;0;100;0;938.25;12.1
02/05/2015;9:00:00;5.75;15;6.75;10.25;341;0.1;100;0;939;13.05
02/05/2015;10:00:00;5.25;10;4.25;22.5;234;1.3;99.65;0;939;14.75
02/05/2015;11:00:00;5.25;5.25;3.75;29.25;247;1.3;88.675;0;939;16.725
02/05/2015;12:00:00;5.5;4.75;4.25;35;255;1.3;71.475;0;939;19.675
02/05/2015;13:00:00;6;5;4;45;225;1.5;58.425;0;939;21.9
02/05/2015;14:00:00;6;4;3.25;52;255;2;53.775;0;938;23.025
02/05/2015;15:00:00;6;3.75;3.25;57.25;264;1.8;49.6;0;937.75;24.15
02/05/2015;16:00:00;6;3;2.75;60.25;231;2.4;44.375;0;936.75;25.025
02/05/2015;17:00:00;6;3.25;2.5;59;229;2.2;42.475;0;936;25.45
02/05/2015;18:00:00;6;2;2.5;55;248;2.5;41.075;0;935.25;25.4
02/05/2015;19:00:00;6;4.25;2.5;55.5;265;2;42.45;0;935;24.8
02/05/2015;20:00:00;6;6.75;2.75;52.5;262;1.5;44.55;0;935;24.275
02/05/2015;21:00:00;6;11.75;3;43.5;301;0.8;48.3;0;935;22.85
02/05/2015;22:00:00;6;20;3.25;34;215;0.8;50.675;0;935;21.6
02/05/2015;23:00:00;6;30.75;5;18.5;280;0.3;58.3;0;935.5;20.15
02/05/2015;0:00:00;6;33.5;5.25;8.5;352;0;66;0;936;18.725
03/05/2015;1:00:00;6;30.25;6.5;5;357;0;74.125;0;936;17.1
03/05/2015;2:00:00;6;30.25;8.75;2.75;176;0;75.825;0;935;16.7
03/05/2015;3:00:00;6;25.75;3.75;16.25;264;0.3;74.7;0;935;16.925
03/05/2015;4:00:00;6;18;2.5;27.25;247;0.3;72.675;0;935;17.2
03/05/2015;5:00:00;6;14.5;2;24.25;357;0;80.375;0;935;15.825
03/05/2015;6:00:00;6;12.5;2;25;252;0.1;84.65;0;935;15.075
03/05/2015;7:00:00;6;11.25;2.5;33.75;298;0.1;77.525;0;935;14.975
03/05/2015;8:00:00;6;9.5;2.25;55.5;228;1.3;59.35;0;935;16.25
03/05/2015;9:00:00;6;7.25;2.25;56.75;222;1;57.025;0;935;16.575
03/05/2015;10:00:00;6;7;2.75;57.75;270;1;55.65;0;935.5;17.175
03/05/2015;11:00:00;6;7.25;3;63.25;243;1.5;52.3;0;936;17.925
03/05/2015;12:00:00;6;7.5;3.25;69.75;232;1.8;43.55;0;936;19.675
03/05/2015;13:00:00;6.5;9;4.5;74.25;251;1.8;36.225;0;936;21.225
03/05/2015;14:00:00;7;9.5;4.5;79.5;265;2;32.95;0;936;21.65
03/05/2015;15:00:00;6;6.75;3.5;88.5;242;1.9;29.8;0;936;22.1
03/05/2015;16:00:00;6;6;2.75;84.25;277;2;24.925;0;936;22.275
03/05/2015;17:00:00;6;6.75;3;83.5;241;2.1;25.25;0;936;21.975
03/05/2015;18:00:00;6;7.5;3;79;243;1.8;27.25;0;935.25;21.425
03/05/2015;19:00:00;6;10.5;3.25;73;234;1.5;30.45;0;935;21.175
03/05/2015;20:00:00;6.25;18;3.25;66;226;1.3;31.75;0;935;20.8
03/05/2015;21:00:00;6;29;3.5;52.75;245;0.2;35.825;0;935;20.275
03/05/2015;22:00:00;6;47;4.5;31.75;230;0.7;43;0;936;19.4
