Fecha;dd;HR;TMP;vv
01/10/2015;286;75;16.7;2.98
30/09/2015;130;75;17.7;1.55
29/09/2015;180;83;14.9;0.48
28/09/2015;128;80;16.3;1.85
27/09/2015;228;81;15.7;0.54
26/09/2015;100;82;16.8;0.93
25/09/2015;108;84;15.9;2.24
24/09/2015;115;85;16.5;2.07
23/09/2015;296;97;14;1.89
22/09/2015;289;85;14.9;6.01
21/09/2015;300;84;15.5;0.9
20/09/2015;149;79;16.2;0.94
19/09/2015;123;79;15.8;0.88
18/09/2015;222;78;14.5;0.82
17/09/2015;242;75;14.7;2.97
16/09/2015;228;58;21.2;6.66
15/09/2015;204;70;17.2;7.75
14/09/2015;300;74;15.5;2.45
13/09/2015;234;77;18.1;3.15
12/09/2015;37;85;18.1;0.78
11/09/2015;286;84;17.8;0.67
10/09/2015;313;88;17.9;1.74
09/09/2015;250;80;17.5;0.67
08/09/2015;187;74;16.5;1.36
07/09/2015;138;75;15.6;1.42
06/09/2015;125;75;15.7;1.97
05/09/2015;141;82;15.3;0.51
04/09/2015;360;88;14.7;0.99
03/09/2015;297;89;15.4;2.15
02/09/2015;83;85;16;0.73
01/09/2015;302;87;16.7;2.5
31/08/2015;321;86;20.7;2.8
30/08/2015;146;67;25.2;1.36
29/08/2015;339;86;21.5;1.4
28/08/2015;307;86;21.3;3.23
27/08/2015;214;59;24.9;1.67
26/08/2015;252;60;22.9;0.47
25/08/2015;133;65;20.3;1.8
24/08/2015;305;64;17.8;2.7
23/08/2015;228;65;20.6;3.93
22/08/2015;337;94;19;1.26
21/08/2015;7;85;19.9;0.8
20/08/2015;116;75;19.6;0.15
19/08/2015;247;72;18.9;0.46
18/08/2015;28;79;18.4;0.56
17/08/2015;316;81;18.1;0.82
16/08/2015;118;84;16.3;0.89
15/08/2015;286;85;16.9;0.81
14/08/2015;297;73;17.4;6.11
13/08/2015;293;82;19.2;3.48
12/08/2015;327;88;20.7;1.1
11/08/2015;319;86;20.4;1.88
10/08/2015;105;73;21.1;2.97
09/08/2015;301;76;18.9;1.96
08/08/2015;301;85;16.6;3.51
07/08/2015;298;93;17.8;3.13
06/08/2015;324;81;20.3;0.59
05/08/2015;316;84;19.8;0.93
