Fecha;CO;NO;NO2;NOX;PM10;SO2;O3;dd;HR;TMP;vv
01/10/2015;0.36;14;77;55;36;7;;296;84;18.3;1.35
30/09/2015;0.39;19;76;76;32;6;;145;79;19.2;0.55
29/09/2015;0.36;18;54;59;32;6;;176;88;16.6;0.04
28/09/2015;0.37;11;60;48;;5;;133;83;17.8;0.88
27/09/2015;0.37;7;43;32;;5;;324;85;17.3;0.33
26/09/2015;0.42;10;41;40;;4;;285;86;18.5;0.1
25/09/2015;0.36;19;49;58;;7;;103;81;18.2;0.72
24/09/2015;0.35;15;52;51;;4;;93;82;18.5;0.69
23/09/2015;0.29;7;63;38;13;3;;298;94;16.3;0.99
22/09/2015;0.26;5;30;25;19;5;;293;85;17.3;2.72
21/09/2015;0.27;15;52;47;21;10;;321;85;17.5;0.74
20/09/2015;0.3;7;67;35;15;10;;145;78;17.8;0.33
19/09/2015;0.29;8;36;32;13;8;;65;80;17.7;0.18
18/09/2015;0.25;12;42;43;15;10;;96;77;16.9;0.17
17/09/2015;0.23;6;42;29;12;5;;234;76;17.1;0.96
16/09/2015;0.2;5;23;19;12;5;;234;61;23.2;2.69
15/09/2015;0.25;15;56;45;15;7;;186;73;19.2;2.67
14/09/2015;0.24;5;44;26;20;5;;300;74;18;1.46
13/09/2015;0.47;7;31;27;12;5;;207;77;19.9;0.85
12/09/2015;0.3;5;34;23;17;5;;348;89;20.2;0.44
11/09/2015;0.61;16;52;49;21;7;;327;84;19.9;0.73
10/09/2015;0.3;11;75;47;21;6;;309;90;19.8;0.72
09/09/2015;0.29;13;55;53;30;10;;343;85;19.2;0.15
08/09/2015;0.31;12;54;53;23;11;;142;77;18;0.19
07/09/2015;0.27;10;45;39;17;6;;106;77;17.4;0.34
06/09/2015;0.27;6;37;26;11;6;;110;75;17.4;0.68
05/09/2015;0.27;5;37;25;9;5;;115;80;17.7;0.1
04/09/2015;0.35;5;31;25;8;5;;310;85;17;0.3
03/09/2015;0.32;8;55;38;14;5;;293;87;17.7;1.13
02/09/2015;0.67;9;46;34;16;5;;67;83;18.1;0.29
01/09/2015;0.37;5;35;27;17;5;;287;84;18.9;1.46
31/08/2015;0.4;8;49;33;38;5;;325;90;22.7;1.56
30/08/2015;0.43;5;71;25;55;5;;37;74;26.2;0.24
29/08/2015;0.32;7;25;24;34;5;;332;89;22.9;1.13
28/08/2015;0.46;11;41;34;24;6;;303;88;22.9;1.66
27/08/2015;0.47;9;45;35;;6;;238;62;26.5;0.43
26/08/2015;0.32;9;60;45;;11;;284;69;23.7;0.54
25/08/2015;0.26;7;39;28;14;9;;129;65;22.5;0.62
24/08/2015;0.36;5;43;22;15;6;;299;65;20.3;1.79
23/08/2015;0.26;4;17;15;5;5;;224;61;23;1.28
22/08/2015;0.52;5;25;21;28;5;;323;93;20.9;0.72
21/08/2015;0.38;8;44;37;34;7;;342;88;21.6;0.81
20/08/2015;0.3;10;38;41;24;11;;309;76;21.3;0.27
19/08/2015;0.42;10;35;34;12;8;;294;72;20.4;0.63
18/08/2015;0.36;8;41;30;18;6;;343;79;20.3;0.31
17/08/2015;0.32;7;30;26;17;6;;316;80;19.9;0.57
16/08/2015;0.27;6;21;24;15;7;;116;82;18.5;0.24
15/08/2015;0.26;5;23;19;12;6;;289;83;19;0.56
14/08/2015;0.24;5;17;18;14;7;;301;72;19.7;3.04
13/08/2015;0.36;6;38;25;17;7;;301;80;21.5;1.88
12/08/2015;0.44;11;61;48;34;6;;336;89;22.7;0.98
11/08/2015;0.43;11;45;41;34;7;;335;87;22.2;1.27
10/08/2015;0.42;9;35;33;19;7;;96;72;23.2;1.45
09/08/2015;0.25;5;25;19;13;7;;306;75;21;1.56
08/08/2015;0.24;5;23;20;11;7;;301;81;19.1;1.66
07/08/2015;0.37;7;43;27;11;5;;293;89;20.2;1.49
06/08/2015;0.43;12;45;38;25;7;;325;82;22.2;0.58
05/08/2015;0.36;9;34;35;20;6;;343;84;21.8;0.74
04/08/2015;0.27;6;29;28;10;5;;294;92;19.8;0.64
03/08/2015;0.32;8;51;32;18;6;;307;82;22;0.68
02/08/2015;0.26;5;33;27;17;6;;151;65;24.9;0.42
01/08/2015;0.24;5;39;22;12;6;;94;74;19.7;0.73
31/07/2015;0.25;5;38;26;14;5;;346;87;18;0.23
30/07/2015;0.3;9;52;34;13;5;;57;78;18.8;0.19
29/07/2015;0.3;8;45;32;15;6;;79;92;19.3;0.2
28/07/2015;0.28;8;41;32;15;7;;342;73;22.8;0.41
27/07/2015;0.22;5;31;22;19;6;;302;81;21.2;2.51
26/07/2015;0.23;6;32;27;17;9;;326;70;22.2;0.95
25/07/2015;0.2;5;25;17;13;7;;301;70;20.1;1.63
24/07/2015;0.35;13;50;42;;7;;302;81;21.6;1.28
23/07/2015;0.5;10;38;35;;5;;306;79;22.7;0.73
22/07/2015;0.28;6;31;26;19;4;;303;91;21.6;1.44
21/07/2015;0.37;11;41;39;25;4;;309;94;22.7;0.7
20/07/2015;0.45;10;49;37;18;5;;298;77;25.1;1.19
19/07/2015;0.35;9;26;28;20;4;;323;80;24.1;0.77
18/07/2015;0.3;7;29;27;22;4;;317;89;23.2;0.61
17/07/2015;0.36;10;41;37;21;5;;320;86;22.4;0.89
16/07/2015;0.36;6;32;27;18;4;;336;89;22.1;1.15
15/07/2015;0.78;8;47;31;30;4;;307;89;22;1.16
14/07/2015;0.35;8;39;29;14;5;;308;80;22.2;0.5
13/07/2015;0.28;11;35;32;11;5;;285;77;21;0.6
12/07/2015;0.28;4;21;17;7;4;;11;81;21;0.36
11/07/2015;0.24;5;14;16;16;5;;317;82;21;1.27
10/07/2015;0.28;11;44;41;31;7;;322;71;22.7;1.11
09/07/2015;0.24;7;56;27;13;4;;64;69;21.3;1.01
08/07/2015;0.27;5;40;19;9;;;315;76;20.1;1.6
07/07/2015;0.31;7;37;27;19;;;321;82;22.1;1.78
06/07/2015;0.47;8;46;35;27;5;;333;82;22.5;1.19
05/07/2015;0.27;5;18;19;12;4;;312;93;20.7;0.99
04/07/2015;0.28;5;34;21;17;6;;54;75;23;0.95
03/07/2015;0.4;11;39;42;32;6;;59;69;26;0.5
02/07/2015;0.26;6;30;27;18;5;;335;91;20.5;1.49
01/07/2015;0.28;6;37;24;27;6;;326;87;21.7;1.4
30/06/2015;0.46;9;74;42;37;6;;349;78;24.7;0.85
29/06/2015;0.39;7;49;35;47;5;;3;81;23.5;0.87
28/06/2015;0.26;6;21;21;11;6;;8;87;21.1;0.58
27/06/2015;0.27;5;29;22;20;6;;292;80;21.8;1.14
26/06/2015;0.47;7;56;34;32;6;;316;89;20.6;1.22
25/06/2015;0.33;11;44;44;37;8;;11;73;22.8;0.37
24/06/2015;0.31;7;29;27;16;7;;288;76;20.6;0.67
23/06/2015;0.34;10;40;31;18;7;;304;74;20.7;1.23
22/06/2015;0.36;11;43;38;25;7;;317;85;20.5;0.92
21/06/2015;0.33;6;30;25;19;8;;296;76;20.1;0.98
20/06/2015;0.3;7;30;28;18;7;;294;78;19.1;0.77
19/06/2015;0.26;8;47;34;17;7;;313;90;17.8;0.62
18/06/2015;0.26;7;45;30;22;7;;302;79;18.8;0.87
17/06/2015;0.25;5;35;24;18;6;;314;83;18.3;1.89
16/06/2015;0.27;5;30;21;17;6;;305;79;17.1;2.49
15/06/2015;0.27;5;49;25;20;5;;309;85;17.3;1.99
14/06/2015;0.34;5;27;21;29;8;;318;80;17.5;1.17
13/06/2015;0.38;5;42;24;13;5;;341;90;18.1;0.66
12/06/2015;0.65;9;66;33;18;5;;327;90;17.8;0.76
11/06/2015;0.76;7;72;39;;5;;323;87;19.2;0.67
10/06/2015;0.52;12;62;58;19;6;;104;94;17.1;0.27
09/06/2015;0.37;6;56;31;16;5;;317;87;17.6;0.7
08/06/2015;0.39;6;39;28;;6;;320;87;19.6;1.1
07/06/2015;0.36;4;18;16;;5;;319;86;19.3;1.2
06/06/2015;0.24;4;22;16;;5;;330;93;17.4;0.71
05/06/2015;0.48;10;66;39;;7;;329;88;19.3;1.49
04/06/2015;0.47;11;50;45;;8;;37;70;24.7;0.63
03/06/2015;0.38;4;35;21;16;7;;40;86;19.4;0.66
