Fecha;PM10;SO2;NO2;NO;CO;SH2
01/01/2015;28;0;43;46;0.9;1
02/01/2015;;1;56;94;1;2
03/01/2015;;0;48;49;0.8;0
04/01/2015;;0;39;30;0.8;0
05/01/2015;;0;41;56;0.9;2
06/01/2015;30;0;39;37;0.8;1
07/01/2015;38;0;49;73;1;2
08/01/2015;36;0;57;77;0.9;1
09/01/2015;34;1;50;80;1;1
10/01/2015;30;0;36;25;0.9;0
11/01/2015;22;0;32;11;0.7;0
12/01/2015;25;0;48;41;0.6;1
13/01/2015;17;0;34;15;0.4;0
14/01/2015;23;1;49;64;0.6;2
15/01/2015;15;0;28;10;0.4;1
16/01/2015;12;0;29;16;0.4;1
17/01/2015;16;0;41;30;0.6;1
18/01/2015;9;0;25;8;0.5;2
19/01/2015;12;0;23;10;0.5;0
20/01/2015;10;1;36;25;0.5;2
21/01/2015;10;0;22;10;0.4;0
22/01/2015;13;0;23;12;0.5;0
23/01/2015;19;1;49;43;0.7;1
24/01/2015;17;0;35;19;0.7;0
25/01/2015;21;0;40;24;0.6;0
26/01/2015;25;1;45;37;0.6;1
27/01/2015;16;0;33;11;0.4;1
28/01/2015;17;1;38;20;0.4;3
29/01/2015;15;2;26;17;0.4;2
30/01/2015;11;1;7;4;0.3;2
31/01/2015;10;1;5;4;0.3;2
01/02/2015;11;0;9;4;0.4;0
02/02/2015;10;2;41;31;0.5;3
03/02/2015;11;1;33;13;0.5;3
04/02/2015;13;1;29;11;0.6;1
05/02/2015;15;0;29;15;0.6;0
06/02/2015;12;1;40;25;0.7;0
07/02/2015;28;1;36;22;0.9;0
08/02/2015;26;0;31;12;0.7;0
09/02/2015;26;1;44;38;0.7;1
10/02/2015;29;1;50;60;0.6;1
11/02/2015;26;0;63;52;0.5;0
12/02/2015;30;0;52;51;0.6;0
13/02/2015;15;0;37;24;0.4;0
14/02/2015;12;0;45;17;0.4;1
15/02/2015;11;0;;;0.3;1
16/02/2015;12;0;;;0.2;0
17/02/2015;22;1;28;23;0.6;0
18/02/2015;21;1;31;33;0.5;1
19/02/2015;26;3;38;48;0.6;2
20/02/2015;20;2;41;32;0.5;4
21/02/2015;10;0;4;6;0.3;3
22/02/2015;13;1;23;15;0.4;3
23/02/2015;11;1;17;16;0.4;2
24/02/2015;12;0;10;3;0.3;0
25/02/2015;12;0;8;2;0.3;0
26/02/2015;8;0;10;3;0.3;0
27/02/2015;17;0;21;6;0.4;0
28/02/2015;12;0;37;13;0.4;2
01/03/2015;12;0;32;10;0.4;2
02/03/2015;14;0;40;14;0.4;2
03/03/2015;15;0;32;13;0.4;2
04/03/2015;14;0;19;5;0.4;0
05/03/2015;17;0;;;0.5;1
06/03/2015;24;0;9;5;0.5;1
07/03/2015;28;2;10;4;0.7;1
08/03/2015;27;0;7;0;0.6;1
09/03/2015;42;2;32;15;0.6;1
10/03/2015;41;3;45;30;0.5;1
11/03/2015;40;0;38;12;0.4;0
12/03/2015;40;0;38;18;0.4;1
13/03/2015;17;0;16;6;0.3;0
14/03/2015;13;0;13;4;0.3;1
15/03/2015;22;0;32;14;0.4;
16/03/2015;25;1;37;28;0.5;
17/03/2015;26;2;45;36;0.5;
18/03/2015;26;0;34;20;0.5;1
19/03/2015;25;0;34;21;0.5;1
20/03/2015;32;0;32;7;0.5;1
21/03/2015;16;0;27;8;0.5;1
22/03/2015;19;0;14;3;0.4;1
23/03/2015;14;0;36;22;0.4;1
24/03/2015;16;0;36;10;0.4;0
25/03/2015;11;0;12;2;0.3;0
26/03/2015;10;0;27;11;0.2;0
27/03/2015;11;0;25;14;0.3;0
28/03/2015;23;0;25;13;0.3;0
29/03/2015;18;0;26;6;0.3;0
30/03/2015;17;0;20;12;0.3;0
31/03/2015;15;0;7;2;0.2;0
01/04/2015;22;0;37;12;0.3;0
02/04/2015;23;0;35;14;0.3;1
03/04/2015;17;0;17;8;0.3;1
04/04/2015;13;0;17;2;0.3;1
05/04/2015;11;0;14;1;0.3;2
06/04/2015;17;1;25;11;0.3;1
07/04/2015;25;1;39;15;0.4;1
08/04/2015;17;0;16;2;0.3;1
09/04/2015;26;1;32;13;0.4;1
10/04/2015;15;0;27;7;0.3;0
11/04/2015;16;0;26;8;0.3;0
12/04/2015;;;;;;
13/04/2015;;;;;;
14/04/2015;34;1;50;14;0.3;1
15/04/2015;35;2;47;9;0.2;2
16/04/2015;24;3;40;19;0.3;2
17/04/2015;15;1;32;4;0.2;0
18/04/2015;12;1;26;9;0.2;0
19/04/2015;8;0;20;3;0.2;0
20/04/2015;15;2;34;14;0.3;0
21/04/2015;23;0;36;21;0.3;1
22/04/2015;18;0;28;4;0.2;1
23/04/2015;17;0;31;12;0.2;0
24/04/2015;21;0;35;15;0.3;0
25/04/2015;16;0;25;11;0.3;1
26/04/2015;11;0;17;2;0.2;1
27/04/2015;12;0;14;3;0.2;0
28/04/2015;14;0;33;14;0.2;0
29/04/2015;16;0;36;12;0.2;0
30/04/2015;17;1;50;21;0.3;1
01/05/2015;12;0;27;11;0.2;1
02/05/2015;12;1;27;14;0.3;1
03/05/2015;11;1;21;6;0.2;1
04/05/2015;15;0;21;7;0.2;2
05/05/2015;20;0;24;4;0.2;1
06/05/2015;23;0;32;11;0.3;0
07/05/2015;33;2;31;11;0.2;1
08/05/2015;20;2;23;7;0.2;0
09/05/2015;14;0;16;3;0.1;0
10/05/2015;22;3;15;9;0.2;0
11/05/2015;31;0;13;2;0.2;0
12/05/2015;36;1;17;4;0.2;0
13/05/2015;35;0;19;4;0.2;0
14/05/2015;27;0;15;7;0.2;0
15/05/2015;20;0;4;2;0.1;0
16/05/2015;18;0;17;5;0.2;0
17/05/2015;17;0;16;4;0.2;0
18/05/2015;22;0;18;13;0.2;0
19/05/2015;16;0;13;5;0.2;0
20/05/2015;14;0;11;3;0.2;0
21/05/2015;20;0;20;10;0.2;0
22/05/2015;20;0;27;9;0.2;0
23/05/2015;15;0;11;3;0.2;0
24/05/2015;10;0;7;3;0.1;0
25/05/2015;16;0;10;5;0.2;0
26/05/2015;19;0;12;4;0.2;0
27/05/2015;21;1;27;13;0.2;0
28/05/2015;24;4;27;13;0.2;0
29/05/2015;29;0;20;4;0.2;0
30/05/2015;28;2;21;5;0.2;0
31/05/2015;19;2;12;5;0.2;0
01/06/2015;20;0;14;6;0.2;0
02/06/2015;29;5;20;10;0.2;0
03/06/2015;26;1;19;6;0.2;0
04/06/2015;35;4;22;11;0.2;1
05/06/2015;26;0;16;5;0.2;0
06/06/2015;22;0;18;4;0.2;0
07/06/2015;25;1;14;3;0.2;0
08/06/2015;39;4;19;9;0.3;0
09/06/2015;39;0;24;7;0.2;0
10/06/2015;36;2;26;7;0.2;0
11/06/2015;32;0;23;7;0.2;0
12/06/2015;28;0;26;9;0.2;0
13/06/2015;18;0;17;4;0.2;0
14/06/2015;;;;;;
15/06/2015;;;;;;
16/06/2015;18;2;14;4;0.1;0
17/06/2015;41;1;14;4;0.2;0
18/06/2015;27;5;23;9;0.1;1
19/06/2015;15;1;18;7;0.1;0
20/06/2015;22;1;20;10;0.1;0
21/06/2015;22;2;22;7;0.1;1
22/06/2015;26;1;21;12;0.2;1
23/06/2015;19;0;21;8;0.2;0
24/06/2015;23;0;25;12;0.2;0
25/06/2015;32;1;24;12;0.3;0
26/06/2015;37;0;15;3;0.2;0
27/06/2015;23;0;21;7;0.2;0
28/06/2015;17;0;17;6;0.2;0
29/06/2015;19;0;21;9;0.2;0
30/06/2015;30;0;19;9;0.3;1
01/07/2015;25;0;14;4;0.2;0
02/07/2015;18;0;16;4;0.2;0
03/07/2015;29;0;22;9;0.3;0
04/07/2015;23;0;21;5;0.2;0
05/07/2015;14;0;11;3;0.2;0
06/07/2015;20;1;19;8;0.3;0
07/07/2015;20;0;13;6;0.2;0
08/07/2015;18;1;19;5;0.2;0
09/07/2015;21;0;22;10;0.2;0
10/07/2015;30;0;15;11;0.3;0
11/07/2015;20;0;20;6;0.2;0
12/07/2015;14;0;18;5;0.3;0
13/07/2015;18;1;25;14;0.3;0
14/07/2015;18;0;22;12;0.3;0
15/07/2015;19;0;20;4;0.2;0
16/07/2015;24;0;18;4;0.3;0
17/07/2015;31;1;28;10;0.3;0
18/07/2015;29;0;15;4;0.3;0
19/07/2015;23;0;19;4;0.3;0
20/07/2015;22;1;21;8;0.2;0
21/07/2015;28;0;24;12;0.2;0
22/07/2015;13;0;13;4;0.2;0
23/07/2015;19;1;22;15;0.3;0
24/07/2015;20;0;19;9;0.2;0
25/07/2015;22;1;18;4;0.1;0
26/07/2015;18;1;15;5;0.2;0
27/07/2015;20;0;10;3;0.2;0
28/07/2015;15;0;17;7;0.3;0
29/07/2015;13;0;26;8;0.3;0
30/07/2015;19;0;30;9;0.2;0
31/07/2015;14;0;28;9;0.2;0
01/08/2015;15;0;25;6;0.1;0
02/08/2015;17;1;26;9;0.2;0
03/08/2015;21;3;26;9;0.2;0
04/08/2015;12;0;19;4;0.2;0
05/08/2015;19;1;23;11;0.2;0
06/08/2015;17;2;26;11;0.3;0
07/08/2015;13;0;22;9;0.2;0
08/08/2015;17;0;13;5;0.1;0
09/08/2015;15;5;19;5;0.1;0
10/08/2015;20;0;27;12;0.3;0
11/08/2015;19;0;19;6;0.3;0
12/08/2015;18;0;19;8;0.3;0
13/08/2015;14;1;15;5;0.2;0
14/08/2015;13;0;7;3;0.2;0
15/08/2015;11;1;19;8;0.2;0
16/08/2015;18;2;16;8;0.2;0
17/08/2015;13;2;22;9;0.2;0
18/08/2015;12;0;23;11;0.3;0
19/08/2015;13;2;24;13;0.3;0
20/08/2015;19;2;26;17;0.3;0
21/08/2015;22;0;18;9;0.3;0
22/08/2015;21;0;15;4;0.3;0
23/08/2015;8;0;14;5;0.2;1
24/08/2015;11;0;16;6;0.2;0
25/08/2015;11;1;29;16;0.3;0
26/08/2015;12;1;29;20;0.3;1
27/08/2015;15;0;29;13;0.3;1
28/08/2015;11;1;17;7;0.2;0
29/08/2015;15;0;14;7;0.3;0
30/08/2015;18;0;19;6;0.3;0
31/08/2015;16;0;16;6;0.2;0
01/09/2015;11;0;26;7;0.3;0
02/09/2015;13;0;26;12;0.3;0
03/09/2015;8;0;25;7;0.3;0
04/09/2015;11;0;25;10;0.3;0
05/09/2015;9;2;26;11;0.4;0
06/09/2015;12;0;22;8;0.3;0
07/09/2015;15;0;33;17;0.3;0
08/09/2015;15;0;33;16;0.3;0
09/09/2015;19;1;32;15;0.3;0
10/09/2015;18;0;25;10;0.3;0
11/09/2015;17;0;27;15;0.3;0
12/09/2015;13;0;25;8;0.3;0
13/09/2015;8;0;14;5;0.3;0
14/09/2015;12;0;14;3;0.2;0
15/09/2015;11;0;17;6;0.2;0
16/09/2015;14;0;14;5;0.3;0
17/09/2015;15;0;20;6;0.2;0
18/09/2015;19;0;24;15;0.3;0
19/09/2015;17;1;26;9;0.3;0
20/09/2015;14;0;25;8;0.3;0
21/09/2015;19;0;22;19;0.3;0
22/09/2015;13;0;9;3;0.2;0
23/09/2015;9;0;13;4;0.3;0
24/09/2015;17;0;29;20;0.3;0
25/09/2015;26;0;31;15;0.4;0
26/09/2015;18;1;30;12;0.3;0
27/09/2015;15;0;28;14;0.3;0
28/09/2015;17;0;34;20;0.3;0
29/09/2015;18;1;34;18;0.3;0
30/09/2015;23;2;36;20;0.3;1
01/10/2015;23;1;24;18;0.3;0
02/10/2015;15;0;36;11;0.3;1
03/10/2015;17;1;34;10;0.3;1
04/10/2015;12;0;22;10;0.3;1
05/10/2015;10;1;25;11;0.3;2
06/10/2015;13;1;23;12;0.3;1
07/10/2015;17;1;33;29;0.3;1
08/10/2015;14;0;31;17;0.3;1
09/10/2015;16;1;39;33;0.4;1
10/10/2015;18;2;47;33;0.5;2
