Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
01/08/2015;1:00:00;20;2;26;2;44;273;1.5;0;0;929;22.6;0;0;0
01/08/2015;2:00:00;17;2;21;2;48;293;1.1;0;0;929;21.8;0;0;0
01/08/2015;3:00:00;13;2;15;2;52;266;1.5;0;0;929;21.3;0;0;0
01/08/2015;4:00:00;33;2;22;2;45;316;1.1;0;0;929;20.2;0;0;0
01/08/2015;5:00:00;13;2;31;3;37;136;0.5;0;0;930;19.3;0;0;0
01/08/2015;6:00:00;18;2;31;3;37;163;0.7;0;0;930;18.9;0;0;0
01/08/2015;7:00:00;23;2;30;2;37;163;0.8;0;0;930;18.4;0;0;0
01/08/2015;8:00:00;25;2;46;4;34;229;0.6;0;0;931;17.9;0;0;0
01/08/2015;9:00:00;8;2;50;8;28;146;1.2;0;0;931;20.9;0;0;0
01/08/2015;10:00:00;29;2;26;4;40;298;0.9;0;0;931;23.2;0;0;0
01/08/2015;11:00:00;27;2;17;3;47;338;1.2;0;0;932;25.2;0;0;0
01/08/2015;12:00:00;21;2;17;4;55;315;1.1;0;0;932;26.7;0;0;0
01/08/2015;13:00:00;7;2;16;3;62;11;1.3;0;0;932;28.5;0;0;0
01/08/2015;14:00:00;9;2;14;3;75;1;1.7;0;0;932;29.5;0;0;0
01/08/2015;15:00:00;15;2;18;2;91;346;1.6;0;0;931;30.8;0;0;0
01/08/2015;16:00:00;17;2;18;2;104;26;2.6;0;0;931;31.1;0;0;0
01/08/2015;17:00:00;29;3;17;2;104;181;1.7;0;0;930;31.9;0;0;0
01/08/2015;18:00:00;16;2;13;2;98;339;1.7;0;0;930;31.9;0;0;0
01/08/2015;19:00:00;19;2;15;2;99;180;1.6;0;0;930;32.2;0;0;0
01/08/2015;20:00:00;15;2;16;3;102;24;1.7;0;0;929;31.3;0;0;0
01/08/2015;21:00:00;19;2;20;4;101;26;1.8;0;0;930;30.4;0;0;0
01/08/2015;22:00:00;17;2;40;2;91;26;1.4;0;0;930;29;0;0;0
01/08/2015;23:00:00;25;2;39;3;86;47;1.5;0;0;931;27.8;0;0;0
01/08/2015;0:00:00;28;2;27;2;99;64;1.6;0;0;932;27.6;0;0;0
02/08/2015;1:00:00;9;12;58;3;80;157;1.6;0;0;932;26.8;0;0;0
02/08/2015;2:00:00;17;7;56;2;74;153;1.9;0;0;932;26.1;0;0;0
02/08/2015;3:00:00;26;4;71;3;46;298;1;0;0;932;23.2;0;0;0
02/08/2015;4:00:00;17;4;65;2;45;157;0.8;0;0;932;22.5;0;0;0
02/08/2015;5:00:00;20;3;18;2;81;203;1.2;0;0;932;23.4;0;0;0
02/08/2015;6:00:00;17;2;18;2;78;183;1.3;0;0;933;22.5;0;0;0
02/08/2015;7:00:00;24;2;13;2;81;167;2;0;0;933;22.3;0;0;0
02/08/2015;8:00:00;25;2;14;2;77;157;2;0;0;933;22.3;0;0;0
02/08/2015;9:00:00;36;2;20;2;68;155;1.2;0;0;934;24.2;0;0;0
02/08/2015;10:00:00;32;2;13;2;76;161;2.1;0;0;934;25.1;0;0;0
02/08/2015;11:00:00;43;2;12;2;78;154;2;0;0;934;27.5;0;0;0
02/08/2015;12:00:00;28;2;10;2;81;183;2.1;0;0;934;29.4;0;0;0
02/08/2015;13:00:00;24;2;8;2;84;141;2;0;0;934;30.7;0;0;0
02/08/2015;14:00:00;22;2;7;2;90;91;2.3;0;0;934;32.3;0;0;0
02/08/2015;15:00:00;23;2;8;2;91;173;2.2;0;0;933;33.6;0;0;0
02/08/2015;16:00:00;36;2;7;2;92;157;1.7;0;0;933;35.5;0;0;0
02/08/2015;17:00:00;27;2;7;2;97;245;2.4;0;0;932;35.9;0;0;0
