Fecha;NO;NO2;NOX;PM10;SO2;dd;HR;PRB;RS;TMP;vv
01/10/2015;24;77;71;28;4;334;88;1016.1;152.4;19.2;1.29
30/09/2015;20;87;78;26;4;151;80;1012.2;157.7;20.9;1.1
29/09/2015;25;56;71;30;4;355;92;1013.8;135.2;17.6;0.51
28/09/2015;14;72;58;;4;130;84;1017.8;166.7;19.6;0.91
27/09/2015;9;44;36;;4;358;89;1018.1;153.1;18;0.48
26/09/2015;9;47;39;;4;83;88;1015.3;144.8;20;0.66
25/09/2015;20;53;60;22;4;104;86;1016.2;165;19.2;0.69
24/09/2015;9;50;42;11;4;125;86;1016.8;162.5;19.8;0.99
23/09/2015;6;61;48;10;5;291;98;1014.8;49.1;17.2;0.2
22/09/2015;4;46;29;12;5;323;89;1012.4;98.3;18.7;2.67
21/09/2015;19;49;56;18;6;352;89;1014.2;172.1;18.5;0.97
20/09/2015;5;55;30;11;6;124;81;1018.6;204.4;18.9;0.52
19/09/2015;6;42;32;13;6;75;85;1021.2;174.9;18.8;0.49
18/09/2015;12;43;49;16;7;43;84;1017.6;155.7;17.6;0.27
17/09/2015;;40;;;;294;;;;;0.49
16/09/2015;;21;;;;206;;;;;5.05
15/09/2015;15;54;50;20;4;191;78;998.2;53.9;20.7;2.91
14/09/2015;5;69;36;15;4;340;83;1008.4;139.9;18.8;0.99
13/09/2015;6;37;27;14;4;216;78;1002.4;110.4;22;1.15
12/09/2015;3;42;22;14;3;24;93;1007.6;77.8;22;0.92
11/09/2015;13;45;48;19;7;315;87;1008.4;218.9;21.7;0.78
10/09/2015;8;67;45;21;6;337;92;1011.4;110.4;21.4;0.58
09/09/2015;18;52;63;27;8;335;88;1009.9;176.4;20.7;0.35
08/09/2015;15;62;60;23;9;194;80;1013.8;238.1;19.4;0.22
07/09/2015;16;61;58;21;;72;82;1019.1;168.3;18.1;0.82
06/09/2015;5;49;28;14;;82;81;1019.7;182.3;18.3;1.28
05/09/2015;4;48;29;14;;70;88;1018.2;131.1;18.4;0.39
04/09/2015;5;66;34;10;;355;91;1015.2;78.2;18.2;0.76
03/09/2015;5;55;36;12;8;336;91;1013.9;92.7;19.2;1.35
02/09/2015;14;54;48;21;8;8;89;1013.7;114.4;19.7;0.25
01/09/2015;4;58;35;11;6;325;90;1016.2;93.9;20.4;1.52
31/08/2015;8;58;38;30;6;335;93;1009.6;84.7;24.4;1.61
30/08/2015;4;32;24;34;9;169;70;1008.3;231.6;29.7;1.02
29/08/2015;8;37;31;31;8;337;87;1010.5;221.9;25.6;0.9
28/08/2015;11;42;44;24;8;307;89;1011.5;257.6;25.2;1.52
27/08/2015;11;50;43;14;9;191;64;1006.6;147.4;28.7;0.85
26/08/2015;19;70;69;32;12;243;73;1007.6;237.9;25.9;0.72
25/08/2015;8;40;35;15;10;131;71;1012.9;268.6;23.6;1.11
24/08/2015;5;64;25;11;8;333;68;1009.1;208.6;21.8;1.48
23/08/2015;3;21;15;5;7;227;65;1002.3;206.9;24.7;1.31
22/08/2015;4;30;23;22;7;329;96;1007.5;127.5;22.9;1.13
21/08/2015;10;46;42;31;8;323;88;1013.8;255.4;23.8;1.04
20/08/2015;10;48;48;20;8;245;77;1016.4;280.1;23.4;0.74
19/08/2015;11;44;41;11;6;48;78;1015.8;280.2;21.9;0.39
18/08/2015;7;45;31;13;6;41;82;1013;204.3;21.6;0.54
17/08/2015;6;33;28;14;6;351;85;1011.5;223.9;21.2;0.67
16/08/2015;6;25;26;12;7;154;88;1010.3;146.7;19.5;0.15
15/08/2015;4;28;20;10;7;332;88;1012.9;165.7;20;0.42
14/08/2015;3;24;19;13;7;322;75;1013.7;169.8;21.3;3.24
13/08/2015;4;38;24;12;7;322;83;1011.6;218;23.4;2.47
12/08/2015;9;51;43;28;7;325;91;1010.1;223.5;24.9;1.25
11/08/2015;11;55;44;27;7;319;90;1008.7;237.9;24.1;1.47
10/08/2015;10;36;35;16;6;118;77;1012.2;301;24.5;1.5
09/08/2015;3;37;20;11;6;1;83;1018.8;201.7;22;0.67
08/08/2015;3;30;21;9;6;340;88;1019.4;134.7;20.1;1.77
07/08/2015;4;49;30;12;6;326;95;1015;66.5;21.5;1.46
06/08/2015;15;52;48;25;6;317;88;1010.8;252.2;23.5;0.73
05/08/2015;9;35;34;17;5;8;89;1009.8;258.2;23.3;0.99
04/08/2015;5;45;33;11;5;318;96;1014.1;83.9;21.2;0.97
03/08/2015;7;55;36;19;5;312;87;1011.3;239;23.6;0.98
02/08/2015;4;30;24;15;5;170;69;1009;311.9;26.6;0.55
01/08/2015;4;42;24;13;5;96;81;1012.9;230.5;20.8;0.94
31/07/2015;3;50;28;13;5;65;95;1008.8;86.9;19;0.32
30/07/2015;8;55;36;14;5;58;86;1012.5;123.8;20.1;0.68
29/07/2015;12;54;43;23;5;62;96;1011.6;60.3;20.7;0.4
28/07/2015;6;36;29;12;4;34;78;1011.1;319.4;24.5;0.71
27/07/2015;7;40;31;16;5;334;89;1012.9;143.8;22.4;1.53
26/07/2015;5;32;25;16;9;338;77;1010.5;272.4;23.6;1.12
25/07/2015;3;32;17;13;8;340;79;1016;177.1;21.2;1.56
24/07/2015;14;47;46;20;8;331;86;1009.3;239.1;23.3;1.72
23/07/2015;7;43;32;14;8;51;84;1012.4;258.7;24.6;0.68
22/07/2015;9;43;42;;8;325;96;1015.7;96;23.1;1.55
21/07/2015;9;48;42;20;7;328;97;1012.2;64.8;24.5;0.78
20/07/2015;11;56;43;27;8;16;80;1011.9;316.3;27.4;0.87
19/07/2015;7;33;29;19;7;11;82;1012.3;284.4;26.2;0.61
18/07/2015;5;36;24;22;7;335;91;1011.2;181;25.4;0.71
17/07/2015;12;57;48;26;7;324;87;1013.1;244.8;24.5;1.11
16/07/2015;6;43;31;18;7;352;91;1010.8;170.6;24.1;1.46
15/07/2015;6;46;34;26;7;318;92;1013.6;179.6;23.9;1.54
14/07/2015;12;49;42;22;8;14;85;1017.3;270.1;24;0.9
13/07/2015;12;43;38;18;7;318;82;1018.7;313.3;22.8;0.82
12/07/2015;3;26;15;12;7;30;87;1019.1;152.5;22.4;0.96
11/07/2015;3;19;14;17;7;15;88;1019.6;113.6;22.6;1.48
10/07/2015;12;47;44;29;8;355;77;1012.3;338;24.3;1.8
09/07/2015;8;61;32;14;6;71;77;1017;256.9;22.6;1.4
08/07/2015;4;35;20;8;6;347;83;1018.6;152.7;21.6;2.17
07/07/2015;;52;;;;346;82;1015.1;377.5;24.6;2.69
06/07/2015;5;42;32;20;6;344;84;1013.5;356.6;25.2;1.39
05/07/2015;3;18;17;10;5;339;96;1016.5;79.6;22.5;1.58
04/07/2015;5;41;23;19;6;56;85;1016.7;325.1;24.5;1.69
03/07/2015;6;39;29;22;6;109;74;1012.7;296;28.1;1.02
02/07/2015;5;41;28;16;5;346;96;1015.9;128.9;22;2.02
01/07/2015;5;52;28;31;6;324;92;1009.6;257.2;23.7;2.09
30/06/2015;9;80;44;35;7;308;77;1008;323.4;27.7;0.71
29/06/2015;4;69;32;18;5;336;83;1014.6;289.5;26.4;0.13
28/06/2015;6;28;23;18;6;15;92;1017.5;193.6;22.6;1.06
27/06/2015;5;46;29;30;6;336;83;1017.6;326.9;23.9;0.71
26/06/2015;8;62;43;36;6;339;92;1017.8;203.7;22.4;1.15
25/06/2015;12;81;58;24;8;269;70;1015.9;350.9;25.4;0.43
24/06/2015;14;38;43;26;8;42;80;1015.4;314.4;22.4;0.28
23/06/2015;7;40;30;22;5;356;78;1012.7;323.1;22.4;1.28
22/06/2015;12;45;44;23;6;307;87;1011.2;324.9;22.4;1.44
21/06/2015;5;41;30;19;8;316;79;1015.7;352.2;22;0.88
20/06/2015;4;35;25;19;6;33;79;1018.6;336.3;21;0.55
19/06/2015;8;56;42;22;7;334;95;1019.5;122.8;18.9;0.83
18/06/2015;11;61;48;22;7;355;86;1021.1;232.8;19.7;0.81
17/06/2015;10;73;47;28;6;340;89;1022.6;236.2;19.1;1.84
16/06/2015;6;69;34;15;6;328;85;1021.2;218.8;18.3;2.91
15/06/2015;9;73;43;16;6;324;89;1015.3;147.2;18.5;2.13
14/06/2015;4;34;23;10;7;333;87;1009.1;259.9;18.8;0.97
13/06/2015;3;29;21;11;5;13;93;1006.7;164.2;19.5;0.63
12/06/2015;4;48;31;19;6;328;93;1007;140;19.5;0.85
11/06/2015;6;81;40;17;6;243;90;1005.9;160.5;20.9;0.11
10/06/2015;8;56;51;23;6;125;96;1008.9;88.3;18.5;1
09/06/2015;7;75;42;32;7;337;92;1014.6;159.7;18.8;0.89
08/06/2015;5;45;33;29;6;323;89;1016.7;312.1;21.7;2.01
07/06/2015;3;17;15;15;5;325;90;1019;227.8;21.3;1.41
06/06/2015;3;31;17;11;5;348;96;1020.8;67.1;19;1.16
05/06/2015;12;66;44;26;7;344;93;1016.2;195;20.6;1.92
04/06/2015;9;49;35;21;6;141;70;1013.5;333.2;27.3;0.85
03/06/2015;2;22;15;15;5;66;91;1018.3;105.4;21;0.89
02/06/2015;6;47;31;18;5;318;88;1015.7;296.2;21.5;1.35
01/06/2015;8;48;35;17;5;347;94;1014.9;107.4;19.9;1
31/05/2015;4;31;20;14;8;339;78;1014.6;332.8;20;1.22
30/05/2015;5;39;29;16;7;319;82;1015.2;275.3;17.9;0.45
29/05/2015;3;45;24;12;5;333;84;1014;216.4;18;1.56
28/05/2015;8;49;39;21;6;317;88;1015.8;211.1;18;1.05
27/05/2015;6;74;36;18;5;337;86;1019.3;237.7;18.2;1.6
26/05/2015;4;62;29;16;5;333;91;1020.1;134.7;16.6;2.49
25/05/2015;4;34;23;10;5;330;94;1018.6;135.1;17;3.13
24/05/2015;3;17;15;9;5;331;95;1017.4;88;16.9;2.9
23/05/2015;5;45;26;14;6;341;85;1019.6;204.4;15.6;1.9
22/05/2015;5;64;36;18;6;342;86;1024.1;154;14.7;1.38
21/05/2015;9;67;43;14;6;330;84;1025.9;215.1;14;1.93
20/05/2015;5;77;34;11;5;323;93;1019.9;142.5;13.4;2.53
19/05/2015;4;54;29;14;6;326;87;1015.3;139.3;14.1;2.76
18/05/2015;14;33;43;19;7;329;89;1013.2;236.9;15;1.43
17/05/2015;3;39;20;12;5;325;91;1022.4;167.9;16.8;1.59
16/05/2015;3;33;22;12;5;336;94;1027.5;106;15.4;2.15
15/05/2015;3;33;23;10;5;320;94;1021.9;81.5;14;5.23
14/05/2015;4;47;27;21;6;323;83;1015.6;93.2;16.7;3.8
13/05/2015;9;52;44;30;6;326;90;1015.2;146.1;18.9;1.54
12/05/2015;8;48;46;37;6;306;91;1015.5;277.8;19.1;2.09
11/05/2015;6;44;32;33;5;332;94;1016.2;243;18.3;1.96
10/05/2015;7;41;32;18;8;180;72;1016.1;306.5;22.9;0.59
09/05/2015;5;41;30;16;5;27;91;1021.7;159.7;18.2;0.31
08/05/2015;4;55;30;18;6;357;67;1013.3;265.6;21.8;1.28
07/05/2015;16;63;59;24;7;155;61;1009.1;255.8;22.2;1.82
06/05/2015;8;49;36;18;6;12;78;1015.7;237.7;15.6;0.82
05/05/2015;4;48;25;12;5;332;78;1008.2;147.8;17.1;1.46
04/05/2015;11;59;37;15;5;205;58;996.3;198;26.3;2.91
03/05/2015;3;39;23;15;5;257;69;1003.4;108.5;23.5;1.46
02/05/2015;5;35;24;10;4;168;77;1004.5;123.6;24.5;1.69
01/05/2015;3;22;15;7;5;252;77;1008.4;76.3;21.7;1.49
30/04/2015;11;51;42;16;7;183;64;1011.7;233.8;20.8;1.63
29/04/2015;17;47;58;21;7;1;87;1015.5;170.9;14.4;0.33
28/04/2015;10;55;37;15;4;70;73;1017;218.4;14.4;0.93
27/04/2015;4;48;27;10;1;327;91;1009;98.2;15;2.98
26/04/2015;2;37;21;9;2;283;84;1001.4;91.7;17.9;0.57
25/04/2015;6;41;28;13;2;197;62;1005.8;267.1;21.8;1.91
24/04/2015;21;55;71;27;4;190;86;1008.9;140.4;17.3;0.27
23/04/2015;9;63;48;19;2;264;85;1014.7;233.1;17;0.36
22/04/2015;4;61;33;16;2;124;62;1013.6;140.9;20.9;1.2
21/04/2015;18;61;60;29;4;131;63;1016;256.8;20.4;1.75
20/04/2015;15;52;59;28;4;271;80;1017.1;277;15.7;0.77
19/04/2015;4;36;27;12;2;348;86;1012.4;181.3;14.6;1.27
18/04/2015;8;46;38;18;1;340;92;1009;145.3;15.2;0.86
17/04/2015;;39;;20;1;124;93;1013.1;98.3;15.5;0.94
16/04/2015;;0;;33;3;230;84;1009.5;109.8;17.1;0.37
15/04/2015;;0;;20;3;142;31;1009.8;110.5;24;3.4
14/04/2015;;91;;41;19;152;42;1015.9;227.6;25.3;3.46
13/04/2015;10;82;59;46;13;143;49;1021.2;256.4;22.9;1.93
12/04/2015;6;62;35;24;7;158;64;1021.1;244.9;19.5;1.95
11/04/2015;5;51;31;14;4;88;82;1021.7;116.6;16.1;1.02
10/04/2015;4;54;32;15;4;175;73;1016.6;117.6;16.9;0.8
09/04/2015;3;47;23;14;4;145;39;1017.2;154.3;19.4;3.15
08/04/2015;3;31;20;15;5;146;41;1018.9;260.9;19.1;3.91
07/04/2015;17;80;63;20;9;115;65;1019.9;249.4;14.7;0.77
06/04/2015;8;58;36;15;6;73;75;1016.1;248.3;11.6;1
05/04/2015;3;41;20;8;3;55;86;1012.7;141.7;12.5;1.24
04/04/2015;3;45;20;8;3;337;92;1015.2;107;12.3;1.5
03/04/2015;10;39;36;18;8;326;87;1018.3;188.4;12.5;1.2
02/04/2015;8;37;39;17;5;249;69;1024.1;239.2;12.5;0.61
01/04/2015;3;42;24;25;3;342;80;1029.3;153.6;13.1;1.82
31/03/2015;5;44;28;18;4;334;90;1026.9;167.1;15;3.7
30/03/2015;14;49;49;21;5;348;87;1023.4;98.3;15.4;1.81
29/03/2015;10;54;46;21;5;67;84;1022.5;175.3;15.8;0.17
28/03/2015;5;55;32;17;3;330;94;1025.5;104.6;14.4;0.97
27/03/2015;7;74;44;12;3;328;97;1023.6;71.5;13.1;1.87
26/03/2015;15;66;66;13;3;308;98;1013.8;44.1;10.8;0.82
25/03/2015;4;62;33;10;3;343;85;1010.2;78.1;8.6;3.02
24/03/2015;16;70;68;16;3;335;96;1006.9;47.3;9.4;1.38
23/03/2015;22;87;91;14;3;146;98;1006.5;32;7.8;0.55
22/03/2015;4;54;21;12;3;351;89;1010.2;54.1;10.5;2.13
21/03/2015;4;46;36;20;3;345;97;1010.5;26.2;10.1;1.01
20/03/2015;4;54;28;33;3;355;90;1014.5;34.3;11.2;1.78
