Fecha;BEN;CO;EBN;NO;NO2;NOX;PM10;PM25;SO2;TOL;dd;HR;PRB;LL;RS;TMP;vv
01/10/2015;0.74;0.59;2.79;24;55;67;29;14;5;20.11;190;79;1001.4;0.7;130.4;16.3;0.3
30/09/2015;0.22;0.24;2.08;8;64;47;16;;4;22.64;165;72;998.4;0;167.8;18.2;0.05
29/09/2015;0.66;0.53;1.71;11;45;44;27;11;4;16.75;56;85;999.1;0.1;129.4;16.2;0.49
28/09/2015;1.61;0.25;2.76;14;43;50;31;14;5;13.71;61;84;1003.6;0;159.6;15.7;0.25
27/09/2015;0.7;0.78;1.3;6;33;27;18;;4;2.22;55;84;1003.4;0;162.9;15.1;0.31
26/09/2015;0.39;0.35;2.45;5;30;27;16;7;4;11.76;43;83;1000.7;0;179.4;17;1.15
25/09/2015;0.53;0.55;2.19;15;38;46;26;12;4;7.47;43;85;1001.9;0;154.1;15.8;0.71
24/09/2015;0.25;0.28;1.78;11;34;38;16;;4;3.48;40;82;1002.5;0;195.4;15.9;0.73
23/09/2015;0.16;0.19;1.33;6;50;32;11;3;3;2.52;289;89;1000.2;3.5;70.9;14.5;0.09
22/09/2015;0.25;0.25;1.42;5;97;31;13;6;4;2.12;219;80;997.6;1;102.3;16.5;0.71
21/09/2015;0.43;0.3;1.47;12;38;43;21;;4;3.16;58;81;999.6;0;195.8;16.5;0.6
20/09/2015;0.31;0.42;1.27;6;33;28;18;;4;2.11;44;82;1004.1;0;207.7;15.8;0.62
19/09/2015;0.2;0.2;2.22;7;37;28;12;4;4;7.83;54;81;1006.7;0;187.8;14.9;0.87
18/09/2015;0.24;0.23;2.03;11;41;38;16;5;4;13.61;57;79;1003.2;0.1;161;14.4;0.56
17/09/2015;0.12;0.19;1.22;6;63;34;11;2;;1.21;216;67;993.5;0.5;83;16;1.31
16/09/2015;0.12;0.21;1.21;5;35;28;11;3;;0.92;217;57;979.1;1.7;101.3;21.7;3
15/09/2015;0.44;0.3;3.43;19;47;57;17;9;6;7.01;219;71;986;0.1;52.8;17.2;2.26
14/09/2015;0.18;0.2;1.57;5;43;32;12;4;6;2.83;45;75;994;0;124.7;16.4;0.59
13/09/2015;0.19;0.26;1.41;4;35;26;9;;6;1.7;218;68;988.6;0;65.1;19.7;1.72
12/09/2015;0.16;0.19;1.78;3;29;21;18;9;6;2.16;49;87;993.2;0;35.9;19;0.51
11/09/2015;0.34;0.35;2.54;14;45;46;28;12;6;4.77;179;76;994;0;218.7;20.3;0.3
10/09/2015;0.33;0.28;2.33;7;58;41;21;10;6;5.7;48;88;997.1;0.1;48.1;17.6;0.36
09/09/2015;0.62;0.4;2.86;16;45;54;28;18;6;8.33;157;74;995.5;0;190.1;19.5;0.17
08/09/2015;0.33;0.27;2.6;13;44;44;18;;6;7.93;59;77;999.4;0;233.8;16.4;0.5
07/09/2015;0.27;0.33;2.39;12;42;40;15;;5;6.69;28;77;1004.2;0;197;15.5;0.54
06/09/2015;0.13;0.27;1.43;5;23;21;15;5;6;1.21;39;77;1004.9;0;196.5;15.4;0.39
05/09/2015;0.09;0.15;1.48;3;27;19;8;;6;1.37;41;79;1003.5;0;148.1;15.7;0.88
04/09/2015;0.1;0.2;1.59;4;41;21;11;3;5;2.3;32;79;1000.3;0;130.9;16.1;1.09
03/09/2015;0.17;0.23;2.07;7;50;35;9;;5;4.55;207;88;998.9;1.3;71.4;16.5;0.27
02/09/2015;0.21;0.29;1.71;8;30;28;15;;6;4.28;42;79;999;5.8;172;17.2;0.97
01/09/2015;0.16;0.23;1.87;5;54;28;10;3;6;3.04;27;87;1001.2;2.5;59.7;17.8;0.31
31/08/2015;0.25;0.22;1.77;3;46;28;21;7;7;3.16;242;72;995.2;13.2;95.7;23.6;0.38
