Fecha;PM25;SO2;CO;NO;NO2;PM10;NOX
01/01/2015;4;3;0.3;2;4;6;7
02/01/2015;3;3;0.3;8;10;4;22
03/01/2015;3;3;0.3;8;11;4;24
04/01/2015;2;3;0.2;3;6;3;11
05/01/2015;3;3;0.3;6;7;3;15
06/01/2015;7;3;0.4;3;7;7;11
07/01/2015;6;3;0.4;5;7;6;14
08/01/2015;9;3;0.6;8;9;9;21
09/01/2015;10;3;0.6;15;12;11;35
10/01/2015;5;3;0.4;13;12;6;32
11/01/2015;2;3;0.3;3;6;3;11
12/01/2015;3;3;;4;6;4;11
13/01/2015;5;3;;6;9;6;19
14/01/2015;4;3;;11;11;6;28
15/01/2015;7;3;;14;12;13;33
16/01/2015;4;3;;4;7;7;13
17/01/2015;;3;0.1;4;8;;13
18/01/2015;;3;0.1;3;5;;9
19/01/2015;2;5;0.1;2;4;2;6
20/01/2015;3;5;0.1;6;12;9;21
21/01/2015;3;5;0.2;10;15;6;30
22/01/2015;1;3;0.2;3;7;2;10
23/01/2015;2;3;0.2;2;4;4;6
24/01/2015;3;3;0.1;3;7;6;9
25/01/2015;1;3;0.1;2;4;5;6
26/01/2015;4;4;0.1;7;16;15;26
27/01/2015;3;6;0.1;4;10;10;15
28/01/2015;2;;0.2;4;9;5;15
29/01/2015;5;;0.2;9;19;18;33
30/01/2015;2;;0.1;2;6;7;9
31/01/2015;1;3;0.2;2;5;1;7
01/02/2015;1;3;0.1;2;5;2;8
02/02/2015;4;3;0.2;3;10;8;14
03/02/2015;1;6;0.2;4;9;2;14
04/02/2015;3;5;0.2;2;4;4;7
05/02/2015;4;3;0.1;2;4;8;7
06/02/2015;3;3;0.3;2;4;3;7
07/02/2015;8;3;0.2;3;7;10;12
08/02/2015;8;5;0.3;3;10;11;15
09/02/2015;9;3;0.2;5;14;13;22
10/02/2015;7;3;0.3;5;14;14;21
11/02/2015;6;4;0.3;3;11;10;15
12/02/2015;10;4;0.2;9;19;17;32
13/02/2015;11;5;0.2;16;21;19;45
14/02/2015;5;6;0.2;8;19;12;31
15/02/2015;3;8;0.1;4;11;7;17
16/02/2015;2;5;0.1;5;12;5;18
17/02/2015;2;3;0.2;2;4;3;6
18/02/2015;5;3;0.2;2;6;10;9
19/02/2015;13;3;0.3;3;9;17;13
20/02/2015;36;4;0.3;4;13;47;20
21/02/2015;22;8;0.3;3;9;31;14
22/02/2015;4;6;0.1;2;5;6;7
23/02/2015;6;7;0.1;6;14;20;23
24/02/2015;3;3;0.1;2;4;10;7
25/02/2015;1;3;0.1;2;4;4;6
26/02/2015;2;3;0.1;3;8;6;12
27/02/2015;1;3;0.1;2;5;3;8
28/02/2015;3;3;0.1;3;11;7;16
01/03/2015;5;3;0.1;5;16;11;24
02/03/2015;5;3;0.1;7;14;13;24
03/03/2015;5;3;0.1;6;12;8;20
04/03/2015;7;4;0.1;9;13;12;25
05/03/2015;2;3;0.1;5;13;10;20
06/03/2015;5;3;0.1;7;13;18;24
07/03/2015;7;5;0.1;6;15;16;24
08/03/2015;8;4;0.1;3;10;13;14
09/03/2015;15;8;0.1;6;17;20;26
10/03/2015;12;5;0.1;7;19;16;30
11/03/2015;18;7;0.1;12;25;23;43
12/03/2015;18;7;0.1;8;16;25;29
13/03/2015;22;3;0.1;3;11;32;15
14/03/2015;2;3;0.1;2;5;11;7
15/03/2015;11;4;0.1;2;8;13;10
16/03/2015;10;3;0.1;4;11;12;16
17/03/2015;13;4;0.1;4;10;16;16
18/03/2015;4;3;0.1;2;5;6;7
19/03/2015;12;3;0.1;2;4;15;6
20/03/2015;11;4;0.1;2;4;13;6
21/03/2015;5;5;0.1;2;5;7;8
22/03/2015;4;4;0.1;2;4;5;6
23/03/2015;9;4;0.1;2;4;12;7
24/03/2015;10;6;0.1;2;4;13;6
25/03/2015;1;4;0.1;2;4;2;6
26/03/2015;2;3;0.1;3;8;7;12
27/03/2015;2;3;0.1;3;8;5;12
28/03/2015;2;3;0.1;3;7;5;10
29/03/2015;5;3;0.1;3;10;12;15
30/03/2015;4;3;0.1;9;19;15;32
31/03/2015;4;3;0.1;6;15;14;24
01/04/2015;5;3;0.1;3;8;11;12
02/04/2015;8;3;0.1;6;14;15;23
03/04/2015;9;4;0.1;5;10;14;17
04/04/2015;7;5;0.1;3;8;10;12
05/04/2015;4;5;0.1;3;7;6;10
06/04/2015;5;3;0.1;2;5;12;7
07/04/2015;6;3;0.1;2;5;10;8
08/04/2015;4;;0.2;3;9;8;12
09/04/2015;4;;0.1;2;7;8;10
10/04/2015;5;;0.1;3;10;8;14
11/04/2015;9;;0.2;2;5;14;8
12/04/2015;6;;0.1;2;4;13;6
13/04/2015;5;;0.1;3;11;14;16
14/04/2015;8;;0.1;5;15;18;22
15/04/2015;10;;0.1;4;12;26;18
16/04/2015;14;;0.1;4;12;23;18
17/04/2015;6;3;0.3;7;16;9;26
18/04/2015;8;3;0.3;3;9;10;12
19/04/2015;2;3;0.3;2;7;4;9
20/04/2015;4;3;;3;9;6;13
21/04/2015;5;3;;3;8;7;12
24/04/2015;12;3;;5;11;16;19
25/04/2015;17;5;;6;12;26;21
26/04/2015;11;4;;5;10;18;17
27/04/2015;1;3;;4;8;3;15
28/04/2015;2;3;;4;10;5;16
29/04/2015;5;3;;6;14;9;24
30/04/2015;8;3;0.2;6;13;10;23
01/05/2015;11;5;0.2;8;16;22;27
02/05/2015;6;3;0.2;5;11;9;19
03/05/2015;9;4;0.2;5;12;14;20
04/05/2015;8;5;0.2;5;11;13;19
05/05/2015;11;5;0.2;9;18;23;31
06/05/2015;6;3;0.2;7;15;14;25
07/05/2015;6;3;0.1;6;12;10;21
08/05/2015;9;4;0.2;6;13;26;22
09/05/2015;8;3;0.2;5;11;19;18
10/05/2015;7;3;0.1;4;10;12;17
11/05/2015;4;3;0.2;7;15;10;25
12/05/2015;7;3;0.1;8;16;12;27
13/05/2015;8;3;0.1;7;15;13;25
14/05/2015;14;7;0.2;11;18;48;35
15/05/2015;3;3;0.2;4;6;22;12
16/05/2015;1;3;0.1;4;8;5;14
17/05/2015;2;3;0.1;5;12;7;19
18/05/2015;4;3;0.1;6;13;14;23
19/05/2015;4;3;0.1;4;8;7;14
20/05/2015;2;3;0.1;4;8;3;14
21/05/2015;2;3;0.2;4;8;3;14
22/05/2015;2;3;0.1;4;9;4;15
23/05/2015;4;5;0.2;4;10;8;17
24/05/2015;4;5;0.1;4;10;8;17
25/05/2015;5;6;0.2;5;11;9;19
26/05/2015;3;4;0.1;4;8;5;14
27/05/2015;6;4;0.1;6;12;9;21
28/05/2015;10;4;0.1;5;12;14;20
29/05/2015;7;5;0.1;5;12;10;20
30/05/2015;6;5;0.1;5;10;9;17
31/05/2015;6;5;0.1;4;8;8;14
01/06/2015;5;5;0.1;4;8;7;14
02/06/2015;9;5;0.1;5;11;13;19
03/06/2015;5;5;0.1;6;14;8;24
04/06/2015;5;6;0.1;7;15;7;25
05/06/2015;4;6;0.1;6;14;5;24
06/06/2015;4;12;0.1;6;16;5;25
07/06/2015;3;6;0.1;5;12;4;19
08/06/2015;3;8;0.1;5;12;4;21
09/06/2015;5;8;0.1;8;15;7;26
10/06/2015;4;8;0.1;4;8;6;14
11/06/2015;8;8;0.1;4;8;10;14
12/06/2015;;5;0.1;6;13;;22
