Fecha;SO2;NO;NO2;PM10
01/01/2015;1;6;26;Sense dades
02/01/2015;5;16;42;19
03/01/2015;3;15;36;Sense dades
04/01/2015;3;16;41;Sense dades
05/01/2015;2;17;34;22
06/01/2015;2;10;29;Sense dades
07/01/2015;2;22;29;26
08/01/2015;2;37;35;19
09/01/2015;3;27;37;21
10/01/2015;4;21;36;Sense dades
11/01/2015;4;11;27;Sense dades
12/01/2015;2;15;38;Sense dades
13/01/2015;2;19;34;Sense dades
14/01/2015;2;16;35;26
15/01/2015;3;17;38;41
16/01/2015;4;11;28;7
17/01/2015;2;6;22;Sense dades
18/01/2015;3;5;24;Sense dades
19/01/2015;3;11;33;11
20/01/2015;2;8;27;15
21/01/2015;4;13;29;Sense dades
22/01/2015;3;5;21;8
23/01/2015;3;3;11;13
24/01/2015;2;1;7;Sense dades
25/01/2015;2;1;5;Sense dades
26/01/2015;3;9;24;14
27/01/2015;2;1;8;10
28/01/2015;2;3;15;13
29/01/2015;3;2;13;18
30/01/2015;4;1;9;Sense dades
31/01/2015;4;2;6;Sense dades
01/02/2015;4;1;3;Sense dades
02/02/2015;4;6;22;15
03/02/2015;3;3;19;6
04/02/2015;1;3;15;Sense dades
05/02/2015;1;2;9;8
06/02/2015;1;2;11;14
07/02/2015;1;8;27;Sense dades
08/02/2015;1;3;15;Sense dades
09/02/2015;1;9;28;24
10/02/2015;3;16;44;24
11/02/2015;1;13;48;Sense dades
12/02/2015;1;9;42;38
13/02/2015;2;10;40;26
14/02/2015;1;3;18;Sense dades
15/02/2015;1;3;19;Sense dades
16/02/2015;1;12;37;Sense dades
17/02/2015;1;11;40;22
18/02/2015;2;8;28;29
19/02/2015;1;11;41;32
20/02/2015;1;6;37;24
21/02/2015;1;2;22;Sense dades
22/02/2015;1;2;7;Sense dades
23/02/2015;1;3;17;11
24/02/2015;1;1;4;Sense dades
25/02/2015;1;2;7;10
26/02/2015;1;6;29;16
27/02/2015;1;2;10;Sense dades
28/02/2015;1;3;15;Sense dades
01/03/2015;1;4;27;Sense dades
02/03/2015;1;3;18;16
03/03/2015;1;6;27;25
04/03/2015;1;10;28;24
05/03/2015;1;1;7;16
06/03/2015;2;9;27;22
07/03/2015;1;5;30;Sense dades
08/03/2015;1;4;28;Sense dades
09/03/2015;1;5;32;33
10/03/2015;1;9;33;36
11/03/2015;2;16;61;46
12/03/2015;2;7;37;38
13/03/2015;2;5;31;29
14/03/2015;1;2;10;Sense dades
15/03/2015;1;3;18;Sense dades
16/03/2015;2;7;29;19
17/03/2015;2;7;32;15
18/03/2015;1;2;20;19
19/03/2015;2;3;21;28
20/03/2015;2;3;21;20
21/03/2015;3;1;9;Sense dades
22/03/2015;3;2;13;Sense dades
23/03/2015;3;2;14;20
24/03/2015;4;3;22;7
25/03/2015;4;1;5;7
26/03/2015;4;2;8;Sense dades
27/03/2015;3;2;7;10
28/03/2015;3;1;4;Sense dades
29/03/2015;3;2;7;Sense dades
30/03/2015;4;2;10;26
31/03/2015;5;10;24;18
01/04/2015;3;3;14;Sense dades
02/04/2015;3;4;17;27
03/04/2015;4;3;13;Sense dades
04/04/2015;5;3;14;Sense dades
05/04/2015;5;2;8;Sense dades
06/04/2015;4;1;10;Sense dades
07/04/2015;4;5;19;15
08/04/2015;5;6;23;15
09/04/2015;5;4;21;17
10/04/2015;3;4;24;18
11/04/2015;1;3;13;Sense dades
12/04/2015;1;2;15;Sense dades
13/04/2015;4;9;38;32
14/04/2015;5;9;38;26
15/04/2015;4;2;18;34
16/04/2015;3;3;19;30
17/04/2015;3;7;21;24
18/04/2015;4;3;19;Sense dades
19/04/2015;3;1;6;Sense dades
20/04/2015;3;5;14;13
21/04/2015;3;4;22;Sense dades
22/04/2015;4;6;34;Sense dades
23/04/2015;5;4;24;23
24/04/2015;2;5;17;26
25/04/2015;1;2;13;Sense dades
26/04/2015;2;1;11;Sense dades
27/04/2015;3;1;6;8
28/04/2015;2;1;10;14
29/04/2015;3;5;28;19
30/04/2015;3;5;21;21
01/05/2015;3;2;15;Sense dades
02/05/2015;4;3;27;Sense dades
03/05/2015;5;4;31;Sense dades
04/05/2015;3;3;34;30
05/05/2015;1;4;30;26
06/05/2015;1;4;26;21
07/05/2015;1;3;20;21
08/05/2015;1;3;20;28
09/05/2015;1;3;23;Sense dades
10/05/2015;1;4;20;Sense dades
11/05/2015;1;5;27;18
12/05/2015;1;7;39;22
13/05/2015;1;6;30;Sense dades
14/05/2015;2;10;34;68
15/05/2015;2;1;5;44
16/05/2015;1;1;7;Sense dades
17/05/2015;2;2;12;Sense dades
18/05/2015;2;4;20;23
19/05/2015;2;3;21;11
20/05/2015;1;2;8;Sense dades
21/05/2015;1;2;10;16
22/05/2015;1;3;13;Sense dades
23/05/2015;1;1;10;Sense dades
24/05/2015;1;2;10;Sense dades
25/05/2015;2;4;21;20
26/05/2015;1;1;8;18
27/05/2015;1;2;12;18
28/05/2015;1;3;14;20
29/05/2015;2;4;18;19
30/05/2015;3;2;19;Sense dades
31/05/2015;2;2;14;Sense dades
01/06/2015;3;4;25;17
02/06/2015;2;4;22;18
03/06/2015;3;6;29;25
04/06/2015;3;4;27;21
05/06/2015;3;3;26;26
06/06/2015;3;4;27;Sense dades
07/06/2015;4;4;34;Sense dades
08/06/2015;5;4;34;27
09/06/2015;3;2;23;21
10/06/2015;1;2;21;Sense dades
11/06/2015;3;2;25;21
12/06/2015;2;4;21;72
13/06/2015;2;2;13;Sense dades
14/06/2015;3;2;15;Sense dades
15/06/2015;3;4;24;11
16/06/2015;3;3;24;10
17/06/2015;4;1;10;15
18/06/2015;4;1;13;18
19/06/2015;6;2;16;Sense dades
20/06/2015;7;3;16;Sense dades
21/06/2015;6;2;15;14
22/06/2015;4;3;18;19
23/06/2015;3;2;18;Sense dades
24/06/2015;3;2;15;Sense dades
25/06/2015;2;5;20;16
26/06/2015;2;10;25;Sense dades
27/06/2015;3;6;25;Sense dades
28/06/2015;3;1;12;Sense dades
29/06/2015;3;4;24;19
30/06/2015;4;5;28;19
01/07/2015;4;2;20;Sense dades
02/07/2015;4;2;23;23
03/07/2015;4;3;23;24
04/07/2015;6;3;32;Sense dades
05/07/2015;6;4;24;Sense dades
06/07/2015;5;5;31;23
07/07/2015;5;6;28;23
08/07/2015;4;2;15;24
09/07/2015;4;1;8;28
10/07/2015;5;4;19;24
11/07/2015;4;2;12;Sense dades
12/07/2015;5;3;15;Sense dades
13/07/2015;5;2;15;27
14/07/2015;5;2;12;21
15/07/2015;5;2;13;21
16/07/2015;3;2;16;20
17/07/2015;1;2;18;Sense dades
18/07/2015;2;2;15;Sense dades
19/07/2015;3;2;15;Sense dades
20/07/2015;4;2;13;20
21/07/2015;5;4;15;16
22/07/2015;2;1;12;Sense dades
23/07/2015;1;2;10;18
24/07/2015;2;2;10;18
25/07/2015;3;1;9;Sense dades
26/07/2015;4;2;11;Sense dades
