Fecha;dd;HR;PRB;RS;TMP;vv
01/10/2015;289;86;1006.7;132.7;15.8;1.17
30/09/2015;106;77;1003;184.1;17.6;1.02
29/09/2015;333;91;1004.3;109.8;14.6;0.33
28/09/2015;90;84;1008.4;197.1;16.1;1.35
27/09/2015;314;87;1008.6;186.4;15.1;0.35
26/09/2015;66;87;1005.9;172.7;16.3;0.73
25/09/2015;80;84;1006.8;182.9;15.9;0.98
24/09/2015;87;84;1007.4;183.8;16.5;0.88
23/09/2015;292;97;1005.3;54.3;14.3;0.36
22/09/2015;285;87;1003;99.9;15.4;2.01
21/09/2015;305;86;1004.7;193.3;15.6;0.61
20/09/2015;88;83;1009.1;213.4;15.4;0.85
19/09/2015;70;82;1011.6;173;15.5;0.72
18/09/2015;7;81;1008.1;186.1;14.6;0.41
17/09/2015;260;76;998.5;83;14.9;1.31
16/09/2015;230;56;982.3;205;22.4;3.77
15/09/2015;190;76;989.5;39.2;17.1;1.03
14/09/2015;292;81;999.2;120.2;15.6;0.74
13/09/2015;230;78;993.4;74;18.3;1.23
12/09/2015;62;88;998.5;59;18.5;0.73
11/09/2015;283;82;999.1;222.1;18.5;0.59
10/09/2015;2;86;1002.2;90.7;17.9;0.41
09/09/2015;310;83;1000.6;178.4;17.9;0.33
08/09/2015;93;80;1004.3;262.7;15.8;0.81
07/09/2015;55;81;1009.5;206.8;14.6;0.76
06/09/2015;75;79;1010.1;222.7;15.2;1.03
05/09/2015;23;84;1008.8;120.6;15.1;0.43
04/09/2015;341;87;1005.8;77.1;15.3;0.4
03/09/2015;302;90;1004.5;79;16.1;0.8
02/09/2015;49;85;1004.3;111.1;16.6;0.6
01/09/2015;301;89;1006.8;93.3;17.4;0.76
31/08/2015;297;86;1000.5;81.4;21.5;1.06
30/08/2015;213;62;999.2;209.2;26.5;0.67
29/08/2015;275;81;1001.3;223.6;23.5;1
28/08/2015;355;82;1002.3;257.9;22.1;0.11
27/08/2015;215;61;997.8;142.2;24.3;0.79
26/08/2015;171;60;998.6;256.3;23.8;0.43
25/08/2015;86;69;1003.7;272.8;19.8;1.48
24/08/2015;287;64;999.6;208.5;18.4;1.38
23/08/2015;226;65;993.5;198.1;21.2;1.79
22/08/2015;294;92;998.5;154.3;20;0.86
21/08/2015;302;83;1004.6;262.9;21.1;0.72
20/08/2015;88;77;1007.1;298.7;20.2;0.64
19/08/2015;65;77;1006.5;282.1;18.2;0.61
18/08/2015;25;81;1003.8;185.9;18;0.47
17/08/2015;38;84;1002.3;214.6;18.2;0.54
16/08/2015;59;87;1001.1;138.4;16.5;0.35
15/08/2015;311;87;1003.6;193.3;17;0.52
14/08/2015;286;76;1004.6;143.5;17.6;2.13
13/08/2015;296;80;1002.5;198;20.3;1.37
12/08/2015;294;85;1001;214.1;22;0.6
11/08/2015;303;85;999.6;226.2;21.2;0.79
10/08/2015;86;77;1003.1;290.7;20.5;1.68
09/08/2015;21;83;1009.6;188.9;18.4;0.43
08/08/2015;297;89;1010.2;95.6;16.5;0.68
07/08/2015;292;95;1005.9;46.1;18.2;0.99
06/08/2015;66;86;1001.8;231.5;19.8;0.81
05/08/2015;325;83;1000.7;246.9;20.4;0.64
04/08/2015;30;92;1004.9;79.7;18.3;0.56
03/08/2015;310;80;1002.2;248.1;20.7;0.51
02/08/2015;191;66;999.9;309.4;23.1;0.38
01/08/2015;73;79;1003.8;221.1;17.6;1.12
31/07/2015;336;91;999.7;58.7;15.9;0.18
30/07/2015;71;81;1003.4;176.7;17;0.86
29/07/2015;52;91;1002.4;60.8;17.5;0.74
28/07/2015;340;75;1002;308.1;21.2;0.45
27/07/2015;303;86;1003.5;113.8;19;0.67
26/07/2015;360;76;1001.4;266;20.2;0.7
25/07/2015;357;78;1006.8;166.3;17.8;0.63
24/07/2015;312;83;1000.2;241.5;20;0.95
23/07/2015;66;83;1003.4;274.7;20.8;1.19
22/07/2015;291;96;1006.5;49.1;19.4;1.24
21/07/2015;;;;;;
30/06/2015;;;;;;
29/06/2015;74;79;1005.4;296.9;22.2;2.09
28/06/2015;3;88;1007.9;170.5;19.3;0.73
27/06/2015;59;78;1008.1;304.6;20.8;0.81
26/06/2015;309;87;1008.1;204.2;19.3;0.88
25/06/2015;59;70;1006.4;367.9;21.6;1.01
24/06/2015;72;76;1005.8;297.2;19;1.05
23/06/2015;39;74;1003.2;365;19;0.96
22/06/2015;302;81;1001.7;334.2;19.7;0.71
21/06/2015;72;75;1006.1;356.7;18.7;0.92
20/06/2015;64;79;1008.9;351.9;17.6;0.96
19/06/2015;294;92;1009.8;120.9;15.7;0.72
18/06/2015;344;83;1011.3;170;16.4;0.56
17/06/2015;296;83;1012.7;249.9;16.1;1.36
16/06/2015;288;82;1011.3;227.7;15.3;1.78
15/06/2015;293;89;1005.6;112.2;15.2;1.12
14/06/2015;326;86;999.5;214.3;15.8;0.24
13/06/2015;67;92;997.3;117.9;16.4;0.34
12/06/2015;56;90;997.6;164.7;16.7;0.67
11/06/2015;106;84;996.6;133.8;18;0.76
10/06/2015;96;92;999.5;88.5;15.5;0.71
09/06/2015;314;88;1004.9;158.6;15.9;0.77
08/06/2015;285;84;1007;304.8;19.1;1.51
07/06/2015;320;85;1009.4;202;18.4;0.47
06/06/2015;24;91;1011.1;85.1;16;0.6
05/06/2015;305;86;1006.5;242.4;17.5;0.87
04/06/2015;100;65;1004.1;349.7;23.8;0.74
03/06/2015;75;86;1008.8;105.9;17.5;1.15
02/06/2015;306;83;1006.1;270.3;18.8;0.61
01/06/2015;342;88;1005.3;106.6;16.9;0.48
31/05/2015;337;72;1005;359.3;17.5;0.58
30/05/2015;38;78;1005.5;290.2;15.1;0.59
29/05/2015;326;82;1004.3;156.1;14.8;0.53
28/05/2015;58;82;1006;251.6;15.6;0.77
27/05/2015;37;78;1009.5;299.1;15.5;0.69
26/05/2015;302;88;1010.2;131.4;13.6;0.96
25/05/2015;301;90;1008.7;107;14.1;1.29
24/05/2015;291;92;1007.6;82.7;14.1;1.23
23/05/2015;319;83;1009.6;171;12.7;0.77
22/05/2015;325;84;1013.9;129.4;11.5;0.55
21/05/2015;300;84;1015.7;156.4;11;1.03
20/05/2015;289;91;1009.8;132.5;10.7;1.1
19/05/2015;297;86;1005.3;134.7;11.5;1.27
18/05/2015;306;86;1003.4;249.3;12.9;0.74
17/05/2015;12;88;1012.5;136.8;14.2;0.56
16/05/2015;291;94;1017.4;98.4;12.5;0.93
15/05/2015;285;92;1011.7;68.1;11.1;2.89
14/05/2015;288;82;1005.9;95;13.6;2.07
13/05/2015;316;87;1005.6;123.8;16;0.55
12/05/2015;302;85;1005.9;296.8;17.3;1.17
11/05/2015;299;89;1006.4;261.5;16.1;1.16
10/05/2015;94;70;1006.6;326.2;19.6;0.17
09/05/2015;75;85;1012;170;15;1.2
08/05/2015;27;63;1003.9;249;18.5;0.72
07/05/2015;118;57;999.8;296.8;19.1;0.63
06/05/2015;31;74;1005.9;218.8;12.9;0.89
05/05/2015;21;74;998.6;195.2;14.4;0.36
04/05/2015;220;54;987.3;214.7;23;2.77
03/05/2015;242;68;994.2;101.7;20;1.5
02/05/2015;203;75;995.5;125.2;20.2;0.65
01/05/2015;252;75;999.1;67.2;18.1;2.05
30/04/2015;234;65;1002.2;199.5;17.3;1.64
29/04/2015;348;81;1005.6;140.4;11.6;0.54
28/04/2015;66;74;1007.1;234;11.2;1.44
27/04/2015;288;91;999.1;84.4;11.7;1.9
26/04/2015;261;82;992;80.3;14.7;1.5
25/04/2015;226;63;996.5;240;18.2;1.36
24/04/2015;342;81;999.3;155.8;14.4;0.39
23/04/2015;62;81;1005;181.7;14.2;1.14
22/04/2015;138;57;1004.2;157.6;17.8;0.48
21/04/2015;93;62;1006.4;274.2;16.8;1.99
20/04/2015;61;75;1007.3;277;13.1;1.26
19/04/2015;314;82;1002.6;154.6;11.7;0.88
18/04/2015;314;87;999.3;131.3;12.8;0.4
17/04/2015;95;91;1003.5;69.1;12.3;0.88
16/04/2015;272;73;999.9;108.8;14.8;0.5
15/04/2015;191;24;1000.6;116.5;20.5;1.01
14/04/2015;111;33;1006.7;259;22.1;1.53
13/04/2015;95;40;1011.7;278.5;20.3;1.66
12/04/2015;108;64;1011.4;282.9;16.3;1.19
11/04/2015;80;80;1011.8;156.3;13.3;1.46
10/04/2015;225;67;1006.9;88.2;14.5;0.9
09/04/2015;193;30;1007.5;138.7;16.7;1.79
08/04/2015;157;35;1009.4;260.2;16.3;1.99
07/04/2015;83;64;1010;246.8;11.4;1.67
06/04/2015;74;75;1006.1;244.4;8.4;1.48
05/04/2015;63;83;1002.9;181.4;9.8;1.12
04/04/2015;305;88;1005.2;104.4;9.8;0.87
03/04/2015;292;80;1008.3;206;10.4;0.88
02/04/2015;2;70;1014;253.8;10.1;0.14
01/04/2015;339;78;1019.1;155.6;10.4;0.75
31/03/2015;295;86;1016.9;151.1;12.2;2.13
30/03/2015;300;81;1013.5;68.5;12.2;1.37
29/03/2015;302;80;1012.6;176.8;12.9;0.57
28/03/2015;305;88;1015.5;78.7;11.7;1.01
27/03/2015;285;95;1013.6;51.6;10.3;1.39
26/03/2015;282;95;1003.8;34;8;1.17
25/03/2015;321;84;1000.1;119.8;5.8;1.05
24/03/2015;298;94;997;30.3;6.8;0.84
23/03/2015;174;95;996.6;21.8;5.3;0.08
22/03/2015;10;85;1000.2;35.5;7.9;1.08
21/03/2015;320;95;1000.6;14.6;7.4;0.16
20/03/2015;320;87;1004.5;19.9;8.5;0.57
19/03/2015;52;84;1006.1;123.3;10.6;0.77
18/03/2015;77;64;1005.6;108.1;11.4;0.87
17/03/2015;164;49;1002.2;184.4;12.8;1.16
16/03/2015;94;82;1003.8;118.4;7;1.58
15/03/2015;267;91;1006.1;35.6;5.3;0.41
14/03/2015;283;93;1010;26.2;5.6;1.28
13/03/2015;285;84;1012.2;100.4;8.6;1.85
12/03/2015;285;84;1008.8;146.2;10.1;0.57
11/03/2015;18;92;1012.5;26.3;9.3;0.27
10/03/2015;86;74;1011.6;172.9;10.7;0.44
09/03/2015;79;72;1011.6;171.5;10.5;0.22
08/03/2015;289;74;1012.2;172.7;9.7;0.53
07/03/2015;57;68;1013.6;191.8;11.1;0.27
06/03/2015;88;74;1017.2;170;7.5;1.34
05/03/2015;65;72;1023.5;159.4;6.4;1.02
04/03/2015;309;83;1021;98.8;7.6;1.48
03/03/2015;;;;;;
02/03/2015;;;;;;
01/03/2015;201;86;1005.6;53.2;13.6;0.49
28/02/2015;107;96;1007.8;24.8;8.4;0.29
27/02/2015;310;83;1011.6;99.6;7.5;1.07
26/02/2015;284;96;1010.3;22.2;10.3;2.72
25/02/2015;282;94;1012.8;8.4;9;3.85
24/02/2015;281;88;1009.1;43.7;5.9;3
23/02/2015;287;92;998.7;28.5;8;1.49
22/02/2015;274;92;1000.9;39.4;7.2;0.67
21/02/2015;288;86;996.3;36.2;7;1.83
20/02/2015;217;74;1002.8;39.9;8.3;1.86
19/02/2015;210;74;1014.8;142.1;6.7;0.26
18/02/2015;94;87;1021.2;42.8;5.1;0.36
17/02/2015;343;82;1019;22.2;7;1.32
16/02/2015;289;91;1005.9;36.3;8.4;1.37
15/02/2015;295;95;997.9;16.6;8.8;0.49
14/02/2015;82;92;998.6;9.6;6.8;0.07
13/02/2015;235;69;1002.8;80;9;1.53
12/02/2015;236;64;1004.5;99.2;8.9;1.07
11/02/2015;217;70;1006.1;66.8;5.5;0.77
10/02/2015;178;71;1009;136.5;4.4;0.35
09/02/2015;78;73;1014.1;121.5;4.2;1.48
08/02/2015;22;89;1015.3;34.7;2.3;0.4
07/02/2015;75;93;1007.4;9.4;0.7;0.58
06/02/2015;301;94;1000.4;16.5;0.5;0.52
05/02/2015;3;76;1003.1;48.8;3.3;1.59
04/02/2015;351;88;995.6;13.1;1.3;0.94
03/02/2015;308;89;987.4;34.3;3.7;0.18
02/02/2015;197;85;991.2;54.4;5.3;0.73
01/02/2015;285;84;996.8;30.8;3.9;1.32
31/01/2015;278;86;983.2;28.9;5.5;3.05
30/01/2015;281;94;981.6;2.3;8.1;3.11
29/01/2015;272;87;993.9;26;9.2;2.09
28/01/2015;265;95;1010.3;25.1;7.9;0.45
27/01/2015;290;96;1016.6;18.2;7.6;0.91
26/01/2015;303;86;1018.1;24.7;5.9;0.36
25/01/2015;46;85;1019;58.3;5.2;0.54
24/01/2015;61;91;1016;37.7;4.2;0.87
23/01/2015;316;87;1011.8;74.7;5.3;0.57
22/01/2015;301;89;1000.7;33.4;5.4;1.05
21/01/2015;261;89;993.5;24.3;4.7;1.79
20/01/2015;97;88;996;39.5;4.2;0.74
19/01/2015;318;80;999.3;52.2;5.5;0.8
18/01/2015;211;65;995.9;53.8;7.3;1.94
17/01/2015;247;78;1005.9;64.5;6.1;0.26
16/01/2015;270;89;997.9;32.3;6;1.18
15/01/2015;225;58;996;3.7;12.6;2.78
14/01/2015;221;67;1008;86.6;10.7;1.26
13/01/2015;250;55;1007.1;51.6;12.7;2.09
12/01/2015;170;67;1013.8;93.1;9.2;0.63
11/01/2015;48;90;1019.8;25.1;9;0.28
10/01/2015;319;93;1020.1;62.2;8.3;0.09
09/01/2015;65;84;1026.8;85;9.9;0.43
08/01/2015;78;85;1022.9;55.6;7.6;0.47
07/01/2015;92;89;1016.6;67.6;7.8;0.81
06/01/2015;68;86;1013.3;24.8;8.3;0.19
