Fecha;NO;NO2;O3;PM10;PM25;SO2
01/01/2015;4;20;38;;;
02/01/2015;8;30;32;;;
03/01/2015;7;28;32;;;
04/01/2015;4;18;46;;;
05/01/2015;6;19;24;;;
06/01/2015;4;17;29;;;
07/01/2015;4;18;31;;;
08/01/2015;6;26;29;;;
09/01/2015;8;21;20;;;
10/01/2015;6;17;13;;;
11/01/2015;5;18;48;;;
12/01/2015;10;23;20;;;
13/01/2015;13;28;19;;;
14/01/2015;15;30;18;;;
15/01/2015;26;34;15;;;
16/01/2015;5;23;39;;;
17/01/2015;4;15;62;;;
18/01/2015;4;17;42;;;
19/01/2015;4;14;56;;;
20/01/2015;4;24;42;;;
21/01/2015;4;21;41;;;
22/01/2015;5;13;57;;;
23/01/2015;4;14;64;;;
24/01/2015;4;14;60;;;
25/01/2015;4;14;73;;;
26/01/2015;4;15;67;;;
27/01/2015;4;15;64;;;
28/01/2015;5;16;66;;;
29/01/2015;4;20;50;;;
30/01/2015;4;17;63;;;
31/01/2015;4;16;70;;;
01/02/2015;5;14;77;;;
02/02/2015;6;20;54;;;
03/02/2015;5;19;57;;;
04/02/2015;4;13;68;;;
05/02/2015;4;13;64;;;
06/02/2015;6;16;52;;;
07/02/2015;6;16;39;;;
08/02/2015;5;16;55;;;
09/02/2015;6;13;49;;;
10/02/2015;9;16;46;;;
11/02/2015;6;26;47;;;
12/02/2015;7;31;39;;;
13/02/2015;10;31;38;;;
14/02/2015;5;19;51;;;
15/02/2015;5;14;53;;;
16/02/2015;4;13;70;;;
17/02/2015;6;13;62;;;
18/02/2015;5;19;55;;;
19/02/2015;7;31;49;;;
20/02/2015;5;25;63;;;
21/02/2015;;;;;;
22/02/2015;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato;No hay dato
23/02/2015;;;;;;
24/02/2015;4;13;74;;;
25/02/2015;5;15;76;;;
26/02/2015;4;13;66;;;
27/02/2015;3;13;80;;;
28/02/2015;5;15;67;;;
01/03/2015;7;17;42;;;
02/03/2015;4;16;46;;;
03/03/2015;5;29;45;;;
04/03/2015;5;16;69;;;
05/03/2015;7;13;74;;;
06/03/2015;7;24;57;;;
07/03/2015;4;27;62;;;
08/03/2015;4;19;74;;;
09/03/2015;6;25;55;;;
10/03/2015;8;30;66;;;
11/03/2015;6;28;68;;;
12/03/2015;4;19;72;;;
13/03/2015;4;14;72;;;
14/03/2015;3;13;78;;;
15/03/2015;5;14;66;;;
16/03/2015;;;;No hay dato;No hay dato;No hay dato
17/03/2015;;;;No hay dato;No hay dato;No hay dato
18/03/2015;5;20;61;No hay dato;No hay dato;No hay dato
19/03/2015;5;22;69;No hay dato;No hay dato;No hay dato
20/03/2015;4;21;68;No hay dato;No hay dato;No hay dato
21/03/2015;4;15;76;No hay dato;No hay dato;No hay dato
22/03/2015;4;17;48;No hay dato;No hay dato;No hay dato
23/03/2015;4;20;60;No hay dato;No hay dato;No hay dato
24/03/2015;5;16;76;No hay dato;No hay dato;No hay dato
25/03/2015;5;14;82;No hay dato;No hay dato;No hay dato
26/03/2015;5;13;72;No hay dato;No hay dato;No hay dato
27/03/2015;5;14;80;No hay dato;No hay dato;No hay dato
28/03/2015;5;13;65;No hay dato;No hay dato;No hay dato
29/03/2015;5;13;75;No hay dato;No hay dato;No hay dato
30/03/2015;4;17;68;No hay dato;No hay dato;No hay dato
31/03/2015;4;17;70;No hay dato;No hay dato;No hay dato
01/04/2015;3;14;84;No hay dato;No hay dato;No hay dato
02/04/2015;5;16;66;No hay dato;No hay dato;No hay dato
03/04/2015;5;15;58;No hay dato;No hay dato;No hay dato
04/04/2015;5;13;78;No hay dato;No hay dato;No hay dato
05/04/2015;4;14;69;No hay dato;No hay dato;No hay dato
06/04/2015;4;14;74;No hay dato;No hay dato;No hay dato
07/04/2015;3;18;86;No hay dato;No hay dato;No hay dato
08/04/2015;4;19;91;No hay dato;No hay dato;No hay dato
09/04/2015;8;18;95;No hay dato;No hay dato;No hay dato
10/04/2015;5;16;91;No hay dato;No hay dato;No hay dato
11/04/2015;3;14;90;No hay dato;No hay dato;No hay dato
12/04/2015;3;15;96;No hay dato;No hay dato;No hay dato
13/04/2015;3;20;95;No hay dato;No hay dato;No hay dato
14/04/2015;3;15;96;;;
15/04/2015;4;25;74;;;
16/04/2015;4;20;76;;;
17/04/2015;4;18;73;;;
18/04/2015;4;17;80;;;
19/04/2015;4;18;75;;;
20/04/2015;4;21;78;;;
21/04/2015;3;19;80;;;
22/04/2015;4;23;79;;;
23/04/2015;6;16;84;;;
24/04/2015;5;21;78;;;
25/04/2015;5;18;72;;;
26/04/2015;4;16;59;;;
27/04/2015;3;12;81;;;
28/04/2015;4;16;84;;;
29/04/2015;3;20;70;;;
30/04/2015;3;24;71;;;
01/05/2015;4;17;62;;;
02/05/2015;3;16;53;;;
03/05/2015;3;19;60;;;
04/05/2015;5;19;73;;;
05/05/2015;4;19;83;;;
06/05/2015;4;24;78;;;
07/05/2015;5;19;86;;;
08/05/2015;3;15;86;;;
09/05/2015;3;17;84;;;
10/05/2015;4;16;85;;;
11/05/2015;5;18;99;;;
12/05/2015;4;19;98;;;
13/05/2015;4;21;91;;;
14/05/2015;5;18;88;;;
15/05/2015;4;13;91;;;
16/05/2015;4;13;88;;;
17/05/2015;3;14;74;;;
18/05/2015;4;17;82;;;
19/05/2015;6;12;72;;;
20/05/2015;4;12;85;;;
21/05/2015;4;12;85;;;
22/05/2015;5;13;86;;;
23/05/2015;5;14;84;;;
24/05/2015;4;14;73;;;
25/05/2015;3;16;70;;;
26/05/2015;4;13;81;;;
27/05/2015;4;17;88;;;
28/05/2015;4;20;94;;;
29/05/2015;5;15;95;;;
30/05/2015;5;16;85;;;
31/05/2015;4;20;79;;;
01/06/2015;4;21;88;;;
02/06/2015;4;19;95;;;
03/06/2015;4;16;92;;;
04/06/2015;4;18;90;;;
05/06/2015;4;19;94;;;
06/06/2015;5;16;97;;;
07/06/2015;4;18;88;;;
08/06/2015;5;17;94;;;
09/06/2015;5;18;81;;;
10/06/2015;4;21;51;;;
11/06/2015;4;19;44;;;
12/06/2015;4;17;68;;;
13/06/2015;;;;;;
