Fecha;PM10;PM25;SO2
09/10/2015;null(null);10.0;7.5
10/10/2015;null(null);12.0;7.4
11/10/2015;null(null);9.6;6.3
12/10/2015;null(null);12.0;6.1
13/10/2015;null(null);12.0;6.3
14/10/2015;null(null);9.7;7.4
15/10/2015;null(null);8.7;8.1
16/10/2015;null(null);9.3;9.1
17/10/2015;null(null);12.0;10.0
18/10/2015;null(null);10.0;6.9
19/10/2015;null(null);7.1;6.6
20/10/2015;null(null);11.0;6.5
21/10/2015;null(null);7.8;null(null)
22/10/2015;null(null);8.0;null(null)
23/10/2015;null(null);12.0;9.2
24/10/2015;null(null);8.7;7.7
25/10/2015;null(null);6.5;5.9
26/10/2015;null(null);6.5;5.6
27/10/2015;null(null);5.5;6.0
28/10/2015;null(null);6.5;6.8
29/10/2015;null(null);5.5;5.8
30/10/2015;null(null);7.4;5.9
31/10/2015;null(null);9.2;8.2
01/11/2015;null(null);7.7;6.0
02/11/2015;null(null);11.0;6.1
03/11/2015;null(null);9.0;7.0
04/11/2015;null(null);6.7;6.0
05/11/2015;null(null);6.1;5.5
06/11/2015;null(null);5.7;5.1
07/11/2015;null(null);7.5;8.2
08/11/2015;null(null);9.4;7.3
08/09/2015;null(null);11.0;6.9
09/09/2015;null(null);9.7;8.0
10/09/2015;null(null);7.3;4.9
11/09/2015;null(null);11.0;11.0
12/09/2015;null(null);6.0;5.5
13/09/2015;null(null);7.0;5.9
14/09/2015;null(null);7.3;5.9
15/09/2015;null(null);5.5;6.2
16/09/2015;null(null);7.3;6.4
17/09/2015;null(null);7.1;5.8
18/09/2015;null(null);7.3;6.1
19/09/2015;null(null);7.4;6.2
20/09/2015;null(null);9.8;6.9
21/09/2015;null(null);8.7;7.1
22/09/2015;null(null);6.3;6.3
23/09/2015;null(null);7.7;6.1
24/09/2015;null(null);8.7;5.9
25/09/2015;null(null);7.8;5.5
26/09/2015;null(null);8.3;5.4
27/09/2015;null(null);8.5;5.4
28/09/2015;null(null);11.0;7.0
29/09/2015;null(null);13.0;7.5
30/09/2015;null(null);11.0;7.3
01/10/2015;null(null);15.0;7.9
02/10/2015;null(null);9.4;6.6
03/10/2015;null(null);9.8;7.8
04/10/2015;null(null);7.3;6.3
05/10/2015;null(null);6.5;5.8
06/10/2015;null(null);7.6;6.0
07/10/2015;null(null);6.8;7.5
08/10/2015;null(null);6.8;7.5
07/08/2015;null(null);7.4;5.3
08/08/2015;null(null);8.9;4.0
09/08/2015;null(null);7.5;4.1
10/08/2015;null(null);11.0;6.1
11/08/2015;null(null);7.8;4.1
12/08/2015;null(null);12.0;4.3
13/08/2015;null(null);5.6;4.3
14/08/2015;null(null);6.2;4.8
15/08/2015;null(null);8.6;5.5
16/08/2015;null(null);8.0;4.9
17/08/2015;null(null);7.2;4.9
18/08/2015;null(null);6.7;4.3
19/08/2015;null(null);7.0;4.8
20/08/2015;null(null);11.0;6.9
21/08/2015;null(null);8.3;4.2
22/08/2015;null(null);7.8;4.8
23/08/2015;null(null);6.5;5.3
24/08/2015;null(null);6.7;5.3
25/08/2015;null(null);6.1;4.4
26/08/2015;null(null);6.0;4.6
27/08/2015;null(null);6.0;4.9
28/08/2015;null(null);5.9;4.7
29/08/2015;null(null);10.0;6.4
30/08/2015;null(null);15.0;5.2
31/08/2015;null(null);8.3;4.6
01/09/2015;null(null);6.6;5.0
02/09/2015;null(null);6.2;5.2
03/09/2015;null(null);6.3;5.3
04/09/2015;null(null);6.2;5.3
05/09/2015;null(null);6.6;5.1
06/09/2015;null(null);7.6;6.8
07/09/2015;null(null);8.4;7.0
06/07/2015;null(null);12.0;5.0
07/07/2015;null(null);9.3;5.9
08/07/2015;null(null);6.9;3.4
09/07/2015;null(null);8.6;3.6
10/07/2015;null(null);11.0;7.8
11/07/2015;null(null);8.1;4.1
12/07/2015;null(null);6.7;3.1
13/07/2015;null(null);6.8;3.3
14/07/2015;null(null);8.5;3.4
15/07/2015;null(null);8.1;null(null)
16/07/2015;null(null);11.0;3.7
17/07/2015;null(null);7.1;6.9
18/07/2015;null(null);8.6;4.9
19/07/2015;null(null);8.2;4.9
20/07/2015;null(null);6.8;5.0
21/07/2015;null(null);10.0;7.8
22/07/2015;null(null);7.2;3.9
23/07/2015;null(null);8.3;5.5
24/07/2015;null(null);6.6;5.1
25/07/2015;null(null);7.5;5.2
26/07/2015;null(null);8.1;11.0
27/07/2015;null(null);7.9;3.8
28/07/2015;null(null);7.6;7.1
29/07/2015;null(null);5.4;4.1
30/07/2015;null(null);7.1;4.7
31/07/2015;null(null);8.0;4.8
01/08/2015;null(null);8.4;5.2
02/08/2015;null(null);12.0;8.4
03/08/2015;null(null);7.4;9.0
04/08/2015;null(null);7.6;4.6
05/08/2015;null(null);8.5;7.7
06/08/2015;null(null);7.2;4.1
5/06/2015;null(null);8.2;3.1
6/06/2015;null(null);6.7;3.3
7/06/2015;null(null);9.7;3.6
8/06/2015;null(null);12.0;3.6
9/06/2015;null(null);12.0;3.8
10/06/2015;null(null);13.0;4.1
11/06/2015;null(null);11.0;8.4
12/06/2015;null(null);8.8;5.5
13/06/2015;null(null);9.0;4.4
14/06/2015;null(null);8.6;4.3
15/06/2015;null(null);7.7;3.4
16/06/2015;null(null);7.0;3.2
17/06/2015;null(null);8.8;3.2
18/06/2015;null(null);7.9;3.8
19/06/2015;null(null);5.9;3.2
20/06/2015;null(null);8.3;3.4
21/06/2015;null(null);8.1;3.7
22/06/2015;null(null);9.7;4.5
23/06/2015;null(null);9.1;3.5
24/06/2015;null(null);10.0;6.0
25/06/2015;null(null);12.0;4.7
26/06/2015;null(null);12.0;4.9
27/06/2015;null(null);7.3;2.9
28/06/2015;null(null);11.0;3.2
29/06/2015;null(null);9.3;4.1
30/06/2015;null(null);13.0;8.7
1/07/2015;null(null);10.0;3.8
2/07/2015;null(null);8.3;4.8
3/07/2015;null(null);9.6;6.2
4/07/2015;null(null);8.1;3.8
5/07/2015;null(null);8.1;3.5
4/05/2015;null(null);7.9;3.7
5/05/2015;null(null);7.8;4.4
6/05/2015;null(null);8.6;4.9
7/05/2015;null(null);11.0;5.4
8/05/2015;null(null);8.1;6.6
9/05/2015;null(null);7.1;3.8
10/05/2015;null(null);11.0;7.1
11/05/2015;null(null);10.0;2.8
12/05/2015;null(null);16.0;4.5
13/05/2015;null(null);16.0;7.0
14/05/2015;null(null);8.1;4.7
15/05/2015;null(null);10.0;3.5
16/05/2015;null(null);7.7;2.6
17/05/2015;null(null);6.6;3.0
18/05/2015;null(null);6.8;3.2
19/05/2015;null(null);8.5;3.4
20/05/2015;null(null);9.9;3.8
21/05/2015;null(null);7.7;3.1
22/05/2015;null(null);9.1;3.1
23/05/2015;null(null);7.5;3.3
24/05/2015;null(null);6.6;3.2
25/05/2015;null(null);6.8;3.2
26/05/2015;null(null);8.4;3.2
27/05/2015;null(null);8.9;3.3
28/05/2015;null(null);9.3;3.3
29/05/2015;null(null);7.5;3.4
30/05/2015;null(null);7.7;3.6
31/05/2015;null(null);7.7;6.2
1/06/2015;null(null);7.4;4.6
2/06/2015;null(null);12.0;9.4
3/06/2015;null(null);7.5;3.3
4/06/2015;null(null);15.0;4.3
2/03/2015;null(null);6.3;2.5
3/03/2015;null(null);5.8;2.5
4/03/2015;null(null);8.0;2.1
5/03/2015;null(null);8.8;2.9
6/03/2015;null(null);13.0;10.0
7/03/2015;null(null);14.0;13.0
8/03/2015;null(null);14.0;16.0
9/03/2015;null(null);16.0;4.2
10/03/2015;null(null);24.0;5.3
11/03/2015;null(null);17.0;6.2
12/03/2015;null(null);23.0;4.7
13/03/2015;null(null);6.3;2.4
14/03/2015;null(null);7.4;2.4
15/03/2015;null(null);11.0;2.6
16/03/2015;null(null);12.0;6.3
17/03/2015;null(null);13.0;7.2
18/03/2015;null(null);9.1;2.8
19/03/2015;null(null);18.0;2.7
