Fecha;CO;NO;NO2;O3;PM10;SH2;PM25;PST;SO2
01/01/2014;;1;1;63;6;;5;;4
02/01/2014;;1;2;63;5;;5;;4
03/01/2014;;1;4;65;8;;4;;6
04/01/2014;;1;3;74;7;;5;;7
05/01/2014;;1;1;68;6;;4;;4
06/01/2014;;1;1;66;8;;6;;3
07/01/2014;;1;3;56;6;;5;;3
08/01/2014;;2;8;58;9;;6;;2
09/01/2014;;4;19;46;10;;6;;3
10/01/2014;;41;39;19;21;;12;;12
11/01/2014;;13;25;23;30;;19;;10
12/01/2014;;6;10;47;22;;14;;4
13/01/2014;;1;6;67;6;;6;;6
14/01/2014;;2;15;52;6;;4;;7
15/01/2014;;1;4;58;8;;5;;7
16/01/2014;;1;3;69;6;;5;;3
17/01/2014;;1;7;63;6;;4;;5
18/01/2014;;1;4;62;5;;5;;10
19/01/2014;;6;18;48;8;;6;;14
20/01/2014;;7;15;53;5;;6;;15
21/01/2014;;1;7;58;6;;6;;13
22/01/2014;;2;12;58;5;;6;;6
23/01/2014;;18;29;47;9;;7;;7
24/01/2014;;5;20;44;15;;10;;6
25/01/2014;;2;13;43;10;;8;;5
26/01/2014;;1;5;49;7;;6;;5
27/01/2014;;1;4;70;7;;4;;4
28/01/2014;;1;5;67;4;;5;;8
29/01/2014;;4;15;60;4;;6;;5
30/01/2014;;1;10;58;6;;5;;9
31/01/2014;;1;8;55;6;;4;;8
01/02/2014;;1;3;71;6;;4;;2
02/02/2014;;2;6;60;6;;5;;4
03/02/2014;;1;6;66;5;;5;;4
04/02/2014;;1;3;70;4;;5;;3
05/02/2014;;1;5;75;7;;6;;7
06/02/2014;;1;3;69;7;;4;;8
07/02/2014;;1;3;71;5;;5;;6
08/02/2014;;1;3;76;6;;3;;4
09/02/2014;;1;2;75;6;;5;;9
10/02/2014;;1;6;78;6;;3;;13
11/02/2014;;6;17;57;8;;4;;10
12/02/2014;;1;4;67;9;;3;;4
13/02/2014;;1;5;69;8;;4;;5
14/02/2014;;1;1;59;6;;3;;5
15/02/2014;;1;3;77;6;;2;;5
16/02/2014;;1;6;61;7;;3;;11
17/02/2014;;2;13;66;8;;3;;10
18/02/2014;;11;26;47;13;;7;;10
19/02/2014;;30;28;43;14;;9;;7
20/02/2014;;1;5;59;9;;7;;3
21/02/2014;;1;8;72;8;;6;;5
22/02/2014;;1;5;64;10;;6;;6
23/02/2014;;1;8;71;9;;7;;4
24/02/2014;;1;6;74;9;;7;;5
25/02/2014;;2;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;10;;5;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
26/02/2014;;2;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;4;;4;;No cumple el anexo IV de la Decisión del Consejo 97/101/CE
27/02/2014;;1;7;62;10;;6;;6
28/02/2014;;3;11;69;11;;5;;6
01/03/2014;;1;7;64;6;;3;;5
02/03/2014;;1;6;51;6;;5;;2
03/03/2014;;1;3;80;8;;4;;6
04/03/2014;;1;7;65;7;;4;;4
05/03/2014;;2;15;57;21;;15;;4
06/03/2014;;12;29;47;15;;10;;7
07/03/2014;;19;34;51;20;;13;;13
08/03/2014;;11;29;60;17;;13;;15
09/03/2014;;1;14;83;19;;10;;12
10/03/2014;;7;29;67;23;;16;;16
11/03/2014;;2;24;91;38;;25;;15
12/03/2014;;20;50;61;46;;34;;15
13/03/2014;;19;44;53;34;;23;;12
14/03/2014;;18;33;60;29;;20;;11
15/03/2014;;2;22;86;42;;35;;7
16/03/2014;;2;18;84;42;;31;;5
17/03/2014;;26;37;47;20;;12;;6
18/03/2014;;7;23;59;41;;30;;6
19/03/2014;;19;19;67;20;;12;;6
20/03/2014;;9;22;62;22;;12;;7
21/03/2014;;1;8;68;21;;15;;5
22/03/2014;;1;10;66;9;;4;;11
23/03/2014;;6;14;62;8;;4;;16
24/03/2014;;8;19;54;10;;6;;8
25/03/2014;;1;7;75;11;;4;;12
26/03/2014;;2;13;81;8;;6;;14
27/03/2014;;2;20;65;10;;8;;16
28/03/2014;;1;17;74;12;;9;;21
29/03/2014;;1;8;88;19;;8;;16
30/03/2014;;1;7;80;22;;11;;9
31/03/2014;;1;10;76;8;;6;;11
01/04/2014;;1;8;82;11;;8;;13
02/04/2014;;1;12;75;10;;5;;11
03/04/2014;;1;8;79;7;;3;;11
04/04/2014;;2;15;65;11;;7;;9
05/04/2014;;2;11;54;5;;5;;4
06/04/2014;;3;15;54;9;;6;;9
07/04/2014;;2;13;61;12;;7;;7
08/04/2014;;2;15;69;26;;20;;12
09/04/2014;;15;29;57;17;;8;;21
10/04/2014;;13;24;60;20;;11;;8
11/04/2014;;2;14;75;23;;19;;11
12/04/2014;;1;11;90;37;;31;;17
13/04/2014;;2;14;84;26;;19;;10
14/04/2014;;2;21;83;27;;19;;10
15/04/2014;;14;34;58;20;;12;;5
16/04/2014;;24;31;64;21;;15;;11
17/04/2014;;5;26;80;21;;13;;9
18/04/2014;;3;23;76;11;;9;;11
19/04/2014;;2;14;82;18;;11;;7
20/04/2014;;1;12;75;16;;13;;10
21/04/2014;;1;10;64;11;;9;;6
22/04/2014;;2;11;65;9;;8;;11
23/04/2014;;1;9;66;8;;8;;10
24/04/2014;;1;9;73;11;;6;;7
25/04/2014;;1;10;76;9;;4;;8
