Fecha;vv;dd;TMP;HR;RS;LL;SO2;NO;NO2;PM10;NOX;O3
01/01/2015;;;;;;0;3;17;34;29;60;32
02/01/2015;;;;;;0;3;41;48;29;110;28
03/01/2015;;;;;;0;3;21;44;27;76;23
04/01/2015;;;;;;0;3;18;39;22;67;36
05/01/2015;;;;;;0;5;22;39;42;74;24
06/01/2015;;;;;;0;3;18;31;38;58;26
07/01/2015;;;;;;0;3;24;36;;72;23
08/01/2015;;;;;;0;3;31;42;46;90;21
09/01/2015;;;;;;0;3;43;52;37;117;20
10/01/2015;;;13.4;50;;0;4;42;49;33;112;24
11/01/2015;;;13.3;50;;0;3;42;43;25;107;31
12/01/2015;;;12.3;70;;0;6;29;44;31;89;22
13/01/2015;0.7;285;12.7;67;;0;6;26;42;35;82;21
14/01/2015;0.7;289;12.9;61;;0;3;25;41;33;80;23
15/01/2015;1.3;267;14.3;50;;0;3;25;45;38;83;30
16/01/2015;2.4;263;13.8;40;;0;3;13;31;;50;56
17/01/2015;1.5;302;10.3;43;;0;4;11;28;21;45;49
18/01/2015;0.9;279;8.4;51;;0;3;3;12;19;16;49
19/01/2015;0.6;303;8.4;73;;0;3;8;26;15;37;27
20/01/2015;0.7;275;7.7;50;;0;3;20;33;19;63;31
21/01/2015;2.2;280;8.8;53;;0;3;10;23;14;38;38
22/01/2015;1.6;317;9.6;46;;0;3;9;21;9;33;49
23/01/2015;2.3;308;11.3;32;;0;3;13;18;;36;67
24/01/2015;2;264;11.3;36;;0;4;3;20;13;24;54
25/01/2015;2.3;317;13.6;24;;0;3;7;31;16;41;60
26/01/2015;0.9;291;10.1;41;94;0;4;15;43;27;65;33
27/01/2015;2.1;302;12.7;45;90;0;3;6;27;28;36;48
28/01/2015;1;270;11.7;51;100;0;3;10;38;18;52;42
29/01/2015;3.3;262;14.4;47;77;0;3;3;27;23;30;48
30/01/2015;7.2;287;18.5;53;107;0;3;4;18;24;23;58
31/01/2015;3.9;289;13.8;49;;0;3;2;13;4;15;68
01/02/2015;3.4;282;10.7;32;;0;3;2;12;4;15;73
02/02/2015;3;260;9.9;50;;0;3;7;25;25;36;47
03/02/2015;3.4;266;12.3;48;;0;3;2;32;5;34;64
04/02/2015;2.6;307;7.6;42;;0;3;4;23;;28;68
05/02/2015;3.4;315;7.8;26;143;0;3;3;20;10;25;67
06/02/2015;2.1;314;6.9;33;157;0;3;4;26;9;30;59
07/02/2015;0.5;317;6.2;49;39;0;3;16;41;25;64;25
08/02/2015;1.6;280;8.6;43;169;0;3;3;24;15;28;52
09/02/2015;1.1;355;8.6;54;130;0.1;3;20;42;27;72;45
10/02/2015;0.7;345;10.3;61;82;0;3;10;40;;55;50
11/02/2015;0.7;15;11.3;70;46;0;3;6;26;;34;54
12/02/2015;0.5;291;10.6;81;18;10.6;3;13;36;24;55;25
13/02/2015;1.2;248;12.5;62;97;10.3;3;13;23;;42;26
14/02/2015;2.6;266;14.9;49;57;0.1;3;3;12;8;15;60
15/02/2015;1.5;278;16.4;48;124;2.2;3;4;14;;19;53
16/02/2015;1.4;333;14.4;59;172;3.2;3;11;20;;36;49
17/02/2015;0.8;11;12.7;63;33;10.6;3;4;12;10;18;49
18/02/2015;1;1;11.9;56;77;0;3;8;22;;34;42
19/02/2015;1;341;10.6;66;83;3.1;3;22;34;;67;49
20/02/2015;1.2;307;10.6;64;176;4.7;4;4;19;25;25;58
21/02/2015;2.6;299;12.4;51;95;4.1;3;2;11;12;14;63
22/02/2015;2.6;315;13.3;37;162;0;3;2;10;4;12;75
23/02/2015;3.2;270;15.9;47;111;0.4;3;5;13;8;20;48
24/02/2015;3.8;301;14.2;30;183;0;3;3;8;4;12;75
25/02/2015;2.8;315;15.1;36;65;0;3;3;9;5;11;73
26/02/2015;2.6;325;19.1;39;225;1.3;3;6;13;5;21;62
27/02/2015;3.5;318;15.5;34;199;0;3;5;11;10;18;70
28/02/2015;0.9;244;13;42;194;0;3;5;26;15;34;60
01/03/2015;2;251;18.7;44;194;4.7;3;5;14;7;21;52
02/03/2015;2.5;261;21.4;45;216;5.6;3;7;12;8;22;39
03/03/2015;1.1;83;16.3;69;154;36;3;5;22;21;29;43
04/03/2015;2.3;328;15.4;54;173;15.1;3;4;20;24;25;53
05/03/2015;2;303;13.4;26;236;0;3;6;27;9;35;62
06/03/2015;1.1;347;12.3;43;232;0;3;11;33;17;49;48
07/03/2015;0.8;153;14.1;49;233;0;3;8;19;24;30;53
08/03/2015;0.8;110;12.4;68;147;0;3;3;15;25;19;65
09/03/2015;0.7;318;13.8;63;193;0;3;11;32;32;49;50
10/03/2015;0.9;17;13.6;59;227;0;3;8;33;37;45;54
11/03/2015;0.7;14;14;66;210;0;3;16;37;50;61;42
12/03/2015;1.3;3;16.3;54;222;0;4;7;21;35;31;70
13/03/2015;0.8;16;14.4;69;180;1.3;3;4;20;40;25;74
