Fecha;vv;dd;TMP;HR;PRB;RS;LL;PM25;SO2;CO;NO;NO2;PM10;NOX;O3
07/01/2015;;;;;;;0.4;;;;;;;
08/01/2015;0.7;307;9.9;78;1028;110;0;21;3;0.2;7;8;27;18;26
09/01/2015;0.5;289;9.4;78;1033;114;0;20;3;0.3;12;11;26;29;21
10/01/2015;0.5;313;10.8;70;1020;117;0;15;5;0.2;10;12;21;27;18
11/01/2015;0.8;314;11.5;65;1016;98;0;10;5;0.2;4;8;14;13;33
12/01/2015;1;286;11.8;75;1022;111;0;10;3;0.1;3;8;14;12;36
13/01/2015;0.4;294;11.2;78;1011;107;0;19;6;0.2;11;11;26;28;19
14/01/2015;0.5;343;11.6;70;1010;115;0;14;7;0.2;11;11;21;28;25
15/01/2015;0.9;235;12.3;70;999;111;0;15;9;0.2;8;12;23;24;27
16/01/2015;2;247;13.6;50;991;74;0;5;8;0.2;2;5;8;7;61
17/01/2015;1;295;9.4;53;1004;122;0;7;6;0.2;3;7;10;11;52
18/01/2015;1.1;258;8.6;56;995;72;0.2;6;8;0.2;2;6;9;9;49
19/01/2015;1.4;340;9.4;69;986;31;0.6;5;;0.1;3;7;7;11;42
20/01/2015;0.9;295;7.4;57;988;82;0;6;;0.2;5;9;9;16;42
21/01/2015;0.9;296;8.9;62;985;91;0;7;;0.2;7;9;10;19;38
22/01/2015;0.5;306;7.5;66;990;106;0;7;;0.2;6;10;9;18;37
23/01/2015;0.9;269;8.7;53;1000;131;0;7;;0.2;5;10;10;17;46
24/01/2015;2.3;295;11.7;43;1005;122;0;5;6;0.1;2;6;7;8;65
25/01/2015;1.7;321;11.5;38;1006;127;0.2;4;5;0.2;2;6;7;9;65
26/01/2015;0.9;323;9.5;52;1012;123;0;7;3;0.2;5;9;12;17;49
27/01/2015;0.9;281;11;66;1008;122;0;10;4;0.1;7;11;15;21;33
28/01/2015;1;296;10.8;59;1005;128;0;6;3;0.1;4;8;9;14;51
29/01/2015;2.4;253;14.7;54;986;100;0;5;6;0.2;3;6;9;9;49
30/01/2015;2.3;295;19.1;53;966;125;0;2;9;0.1;2;4;5;7;57
31/01/2015;3.1;305;13.5;53;965;130;0.2;2;9;0.2;2;5;2;7;68
01/02/2015;2.8;294;10.7;38;986;142;0;2;5;0.2;2;4;2;6;77
02/02/2015;1.6;244;11.5;49;986;106;0;3;5;0.1;2;4;4;7;61
03/02/2015;2.9;259;12.6;50;972;148;0;2;8;0.1;2;5;4;7;60
04/02/2015;1.7;332;7.1;59;973;83;0.8;3;7;0.2;2;5;4;7;61
05/02/2015;2.5;303;7.6;33;982;130;0;5;6;0.4;3;5;8;8;64
06/02/2015;1;290;5.5;42;988;135;0;5;5;0.2;4;8;7;13;54
07/02/2015;0.7;337;5.7;63;1001;86;0;10;5;0.3;4;7;12;13;32
