Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3
01/01/2014;00:00:00;2;1;11;44;25;43
01/01/2014;01:00:00;1;2;8;37;21;47
01/01/2014;02:00:00;1;1;6;36;19;54
01/01/2014;03:00:00;2;2;6;34;18;56
01/01/2014;04:00:00;2;2;5;32;18;52
01/01/2014;05:00:00;2;1;5;31;17;53
01/01/2014;06:00:00;1;1;6;29;16;69
01/01/2014;07:00:00;1;2;5;30;14;44
01/01/2014;08:00:00;1;2;4;44;13;59
01/01/2014;09:00:00;2;1;4;48;14;76
01/01/2014;10:00:00;2;2;6;53;15;75
01/01/2014;11:00:00;2;3;12;36;12;76
01/01/2014;12:00:00;3;4;14;17;7;83
01/01/2014;13:00:00;3;3;12;14;6;87
01/01/2014;14:00:00;3;3;14;12;6;76
01/01/2014;15:00:00;3;3;16;12;5;80
01/01/2014;16:00:00;3;2;17;12;5;80
01/01/2014;17:00:00;2;2;5;12;5;86
01/01/2014;18:00:00;1;1;5;11;5;79
01/01/2014;19:00:00;1;2;6;12;7;69
01/01/2014;20:00:00;1;2;5;12;6;70
01/01/2014;21:00:00;1;2;4;11;6;77
01/01/2014;22:00:00;1;1;5;12;6;71
01/01/2014;23:00:00;2;1;5;14;8;63
02/01/2014;00:00:00;1;2;3;15;8;66
02/01/2014;01:00:00;1;2;3;14;8;66
02/01/2014;02:00:00;1;2;3;14;8;65
02/01/2014;03:00:00;2;2;3;13;7;64
02/01/2014;04:00:00;2;2;3;12;7;62
02/01/2014;05:00:00;2;2;5;12;7;55
02/01/2014;06:00:00;2;2;9;12;7;46
02/01/2014;07:00:00;1;2;5;12;6;67
02/01/2014;08:00:00;2;2;6;16;6;66
02/01/2014;09:00:00;2;2;6;18;6;74
02/01/2014;10:00:00;2;2;9;17;6;77
02/01/2014;11:00:00;2;3;10;18;5;80
02/01/2014;12:00:00;3;2;12;21;7;82
02/01/2014;13:00:00;2;2;11;25;8;87
02/01/2014;14:00:00;2;2;12;22;7;87
02/01/2014;15:00:00;3;3;24;16;6;68
02/01/2014;16:00:00;3;3;22;14;5;70
02/01/2014;17:00:00;3;2;33;18;6;51
02/01/2014;18:00:00;2;1;39;24;8;43
02/01/2014;19:00:00;2;1;20;14;7;62
