Fecha;Hora;SO2;NO;NO2;PM10;PM25;O3;CO;dd;vv;TMP;HR;PRB;;
01/01/2014;00:00:00;19;7;23;19;4;36;0.1;296;1.7;15.0;84;1020;;
01/01/2014;01:00:00;15;5;14;20;6;45;0.1;292;1.7;14.7;86;1020;;
01/01/2014;02:00:00;16;5;10;13;3;51;0.1;297;1.8;14.7;70;1019;;
01/01/2014;03:00:00;29;3;18;16;5;46;0.1;291;1.6;14.2;73;1019;;
01/01/2014;04:00:00;29;5;16;13;2;47;0.1;294;1.9;14.3;63;1019;;
01/01/2014;05:00:00;49;5;26;16;8;39;0.1;296;1.9;14.1;74;1019;;
01/01/2014;06:00:00;49;10;23;16;6;39;0.1;297;1.5;15.5;67;1020;;
01/01/2014;07:00:00;36;9;12;24;13;51;0.1;324;0.5;21.5;49;1021;;
01/01/2014;08:00:00;23;4;5;19;12;68;0.1;66;1.0;22.4;48;1021;;
01/01/2014;09:00:00;21;5;2;16;4;78;0.1;90;1.4;22.0;47;1021;;
01/01/2014;10:00:00;22;3;2;14;7;81;0.1;92;1.8;21.9;49;1021;;
01/01/2014;11:00:00;17;3;2;10;4;83;0.1;91;1.6;20.6;61;1020;;
01/01/2014;12:00:00;18;4;2;9;2;85;0.1;91;1.4;20.7;63;1019;;
01/01/2014;13:00:00;19;3;2;10;6;87;0.1;92;1.4;22.7;56;1019;;
01/01/2014;14:00:00;17;3;2;8;1;85;0.1;91;1.5;19.6;69;1019;;
01/01/2014;15:00:00;19;3;2;9;1;81;0.1;94;0.8;17.9;82;1019;;
01/01/2014;16:00:00;20;11;18;8;2;62;0.2;94;0.3;16.4;95;1019;;
01/01/2014;17:00:00;22;12;31;8;5;38;0.2;102;1.4;16.4;99;1019;;
01/01/2014;18:00:00;21;9;24;9;5;44;0.1;288;1.7;16.1;98;1020;;
01/01/2014;19:00:00;24;9;23;6;4;43;0.1;292;1.4;15.7;98;1020;;
01/01/2014;20:00:00;34;7;23;6;2;44;0.1;296;1.3;15.2;96;1020;;
01/01/2014;21:00:00;26;4;14;9;4;50;0.1;295;1.3;14.9;97;1020;;
01/01/2014;22:00:00;21;4;13;8;5;52;0.1;294;1.6;14.6;100;1020;;
01/01/2014;23:00:00;20;3;11;6;2;52;0.1;292;1.1;14.1;100;1019;;
02/01/2014;00:00:00;33;3;19;6;1;47;0.1;292;0.9;13.8;100;1019;;
02/01/2014;01:00:00;28;3;13;6;2;57;0.1;292;1.1;14.1;100;1019;;
02/01/2014;02:00:00;42;3;25;6;2;45;0.1;292;1.1;13.9;100;1018;;
02/01/2014;03:00:00;34;6;30;5;1;36;0.1;292;1.4;14.0;99;1018;;
02/01/2014;04:00:00;20;16;42;7;2;34;0.1;290;1.6;14.3;96;1018;;
02/01/2014;05:00:00;19;15;42;8;5;30;0.1;289;2.0;14.5;96;1019;;
02/01/2014;06:00:00;21;17;41;10;5;33;0.1;284;1.8;16.2;82;1020;;
02/01/2014;07:00:00;28;5;10;11;11;65;0.1;83;1.4;20.7;65;1020;;
02/01/2014;08:00:00;20;3;5;10;8;77;0.1;89;1.8;21.5;60;1021;;
02/01/2014;09:00:00;20;5;5;8;2;77;0.1;92;1.6;21.9;57;1021;;
02/01/2014;10:00:00;19;3;2;6;4;80;0.1;91;1.6;22.0;52;1020;;
02/01/2014;11:00:00;19;4;2;8;3;84;0.1;91;1.4;22.0;54;1019;;
02/01/2014;12:00:00;17;4;3;8;1;81;0.1;90;1.4;22.9;56;1018;;
02/01/2014;13:00:00;17;2;3;9;6;83;0.1;91;1.1;23.4;55;1018;;
02/01/2014;14:00:00;18;3;3;9;1;82;0.1;91;1.2;19.8;73;1019;;
02/01/2014;15:00:00;18;5;4;7;1;78;0.1;91;1.2;17.8;89;1019;;
02/01/2014;16:00:00;17;4;5;8;4;77;0.1;90;1.3;17.3;99;1019;;
02/01/2014;17:00:00;21;6;15;9;5;72;0.1;90;1.1;17.1;100;1020;;
02/01/2014;18:00:00;24;16;55;10;4;17;0.2;90;1.0;16.2;100;1020;;
02/01/2014;19:00:00;24;18;51;10;7;19;0.2;90;0.9;16.0;100;1020;;
02/01/2014;20:00:00;32;13;47;9;6;16;0.2;90;1.2;15.7;100;1021;;
02/01/2014;21:00:00;40;10;44;7;5;18;0.1;90;1.1;15.5;100;1021;;
02/01/2014;22:00:00;24;8;37;6;3;22;0.1;90;0.5;14.9;100;1020;;
02/01/2014;23:00:00;23;4;24;5;3;34;0.1;90;0.9;15.2;100;1020;;
03/01/2014;00:00:00;19;3;11;4;2;49;0.1;90;0.9;15.4;100;1020;;
03/01/2014;01:00:00;12;4;8;3;1;56;0.1;90;1.2;15.4;100;1020;;
03/01/2014;02:00:00;11;3;9;3;1;56;0.1;90;1.0;15.2;100;1020;;
03/01/2014;03:00:00;20;7;27;3;1;43;0.1;90;0.8;14.9;100;1020;;
03/01/2014;04:00:00;50;27;55;6;1;7;0.1;90;0.9;14.7;100;1020;;
03/01/2014;05:00:00;38;30;53;5;3;10;0.1;102;1.5;15.0;97;1020;;
03/01/2014;06:00:00;20;16;37;9;4;22;0.1;283;1.8;16.6;90;1021;;
03/01/2014;07:00:00;22;6;11;9;8;57;0.1;59;1.6;20.9;70;1021;;
03/01/2014;08:00:00;11;4;3;9;6;72;0.1;90;1.9;22.0;61;1022;;
03/01/2014;09:00:00;13;4;4;6;1;74;0.1;88;2.0;22.0;59;1022;;
03/01/2014;10:00:00;11;3;2;6;2;79;0.1;85;1.8;22.3;55;1021;;
03/01/2014;11:00:00;10;3;2;6;1;80;0.1;86;1.6;22.7;55;1021;;
03/01/2014;12:00:00;11;2;2;6;1;81;0.1;88;1.6;23.4;55;1021;;
03/01/2014;13:00:00;12;4;2;9;5;82;0.1;95;1.0;24.1;52;1020;;
03/01/2014;14:00:00;9;3;4;10;1;78;0.1;95;0.6;21.7;60;1020;;
03/01/2014;15:00:00;13;10;16;12;2;67;0.2;95;0.5;18.9;82;1021;;
03/01/2014;16:00:00;11;4;6;11;4;69;0.1;95;1.0;18.6;92;1021;;
03/01/2014;17:00:00;11;6;14;7;3;64;0.1;104;1.5;18.2;96;1021;;
03/01/2014;18:00:00;10;13;29;5;1;37;0.1;284;1.4;17.2;86;1021;;
03/01/2014;19:00:00;13;17;35;6;3;29;0.2;292;1.1;16.6;84;1022;;
03/01/2014;20:00:00;13;13;34;4;1;30;0.1;293;1.3;16.4;75;1022;;
03/01/2014;21:00:00;12;7;29;4;1;35;0.1;297;1.2;16.2;64;1022;;
03/01/2014;22:00:00;12;6;17;2;1;44;0.1;296;1.4;16.2;47;1022;;
03/01/2014;23:00:00;13;4;10;4;1;50;0.1;294;1.4;16.1;52;1022;;
04/01/2014;00:00:00;24;3;14;6;4;48;0.1;290;1.2;16.2;59;1022;;
04/01/2014;01:00:00;29;4;13;6;6;43;0.1;287;1.2;16.3;72;1022;;
04/01/2014;02:00:00;17;4;13;6;4;40;0.1;287;0.7;16.9;79;1021;;
04/01/2014;03:00:00;29;5;12;8;5;42;0.1;21;2.3;17.9;84;1021;;
04/01/2014;04:00:00;20;5;11;3;2;49;0.1;331;1.5;17.5;78;1022;;
04/01/2014;05:00:00;12;9;20;6;1;35;0.1;301;1.8;17.0;74;1023;;
04/01/2014;06:00:00;12;6;13;9;6;41;0.1;327;1.2;18.2;82;1023;;
04/01/2014;07:00:00;19;7;10;10;8;46;0.1;110;1.4;20.3;75;1024;;
04/01/2014;08:00:00;12;4;3;11;10;59;0.1;83;2.3;20.2;89;1025;;
04/01/2014;09:00:00;10;4;2;7;4;62;0.1;83;2.7;21.5;78;1024;;
04/01/2014;10:00:00;8;4;1;6;3;63;0.1;82;3.0;22.3;68;1024;;
04/01/2014;11:00:00;9;3;1;6;1;63;0.1;81;4.3;21.3;84;1023;;
04/01/2014;12:00:00;9;4;1;9;3;62;0.1;85;4.8;21.5;93;1022;;
04/01/2014;13:00:00;10;3;1;7;2;61;0.1;82;5.0;20.8;100;1022;;
04/01/2014;14:00:00;11;3;2;7;1;60;0.1;77;4.2;20.7;97;1022;;
04/01/2014;15:00:00;9;3;2;7;1;60;0.1;80;4.0;19.6;100;1022;;
04/01/2014;16:00:00;8;3;2;8;1;58;0.1;72;2.2;18.9;100;1022;;
04/01/2014;17:00:00;9;5;5;7;1;51;0.1;79;1.8;18.9;100;1022;;
04/01/2014;18:00:00;8;4;10;8;1;48;0.1;62;1.5;18.5;100;1022;;
04/01/2014;19:00:00;9;8;17;7;2;39;0.1;38;0.9;18.2;100;1023;;
04/01/2014;20:00:00;10;6;17;5;2;37;0.1;63;1.3;18.1;99;1023;;
04/01/2014;21:00:00;14;4;6;6;2;52;0.1;62;1.4;19.2;97;1023;;
04/01/2014;22:00:00;18;3;5;10;4;54;0.1;71;1.2;18.6;100;1022;;
04/01/2014;23:00:00;20;6;15;5;1;37;0.1;38;0.4;17.9;100;1022;;
05/01/2014;00:00:00;20;3;8;6;1;45;0.1;49;0.8;18.0;100;1022;;
05/01/2014;01:00:00;19;4;7;9;3;55;0.1;87;0.8;17.7;100;1021;;
05/01/2014;02:00:00;24;4;7;3;1;51;0.1;305;1.3;16.6;99;1021;;
05/01/2014;03:00:00;23;3;9;3;1;52;0.1;297;0.8;16.3;100;1020;;
05/01/2014;04:00:00;29;5;17;2;1;46;0.1;307;0.8;15.8;95;1020;;
05/01/2014;05:00:00;25;6;18;6;1;49;0.1;301;1.0;15.8;95;1020;;
05/01/2014;06:00:00;49;10;27;12;4;40;0.1;8;1.0;17.4;87;1021;;
05/01/2014;07:00:00;66;8;11;17;11;55;0.1;65;2.0;21.1;68;1021;;
05/01/2014;08:00:00;19;4;2;14;8;76;0.1;84;2.5;21.4;66;1021;;
05/01/2014;09:00:00;20;3;2;10;2;79;0.1;83;2.8;21.2;65;1021;;
05/01/2014;10:00:00;20;3;2;11;5;79;0.1;86;2.5;21.5;62;1020;;
05/01/2014;11:00:00;19;3;2;10;3;77;0.1;86;2.2;21.8;61;1020;;
05/01/2014;12:00:00;19;3;2;12;3;77;0.1;85;2.3;22.2;65;1019;;
05/01/2014;13:00:00;19;4;2;13;6;77;0.1;85;2.3;22.1;66;1018;;
05/01/2014;14:00:00;19;3;2;13;2;78;0.1;83;2.4;19.8;85;1019;;
05/01/2014;15:00:00;18;3;2;11;1;77;0.1;81;2.4;18.4;100;1019;;
05/01/2014;16:00:00;20;3;2;13;3;77;0.1;81;2.2;18.0;100;1019;;
05/01/2014;17:00:00;22;3;2;13;4;77;0.1;81;2.1;17.8;100;1019;;
05/01/2014;18:00:00;26;5;12;10;3;64;0.1;44;1.5;17.3;100;1019;;
05/01/2014;19:00:00;22;12;27;9;1;38;0.1;298;1.8;16.3;100;1019;;
05/01/2014;20:00:00;25;9;22;10;4;37;0.1;301;1.5;15.8;100;1020;;
05/01/2014;21:00:00;24;5;19;9;5;43;0.1;299;1.7;15.6;100;1020;;
05/01/2014;22:00:00;15;4;10;6;3;56;0.1;285;2.4;15.5;100;1019;;
05/01/2014;23:00:00;13;4;7;6;1;62;0.1;286;2.3;15.4;100;1018;;
06/01/2014;00:00:00;14;3;5;5;1;64;0.1;291;2.2;15.1;100;1018;;
06/01/2014;01:00:00;13;3;5;5;1;66;0.1;287;2.4;14.9;100;1018;;
06/01/2014;02:00:00;12;3;4;6;1;66;0.1;287;2.3;14.8;100;1017;;
06/01/2014;03:00:00;11;3;4;6;2;67;0.1;283;2.3;14.6;100;1017;;
06/01/2014;04:00:00;13;4;7;7;3;65;0.1;286;2.2;14.6;100;1017;;
06/01/2014;05:00:00;15;5;7;6;3;64;0.1;286;2.4;14.6;100;1017;;
06/01/2014;06:00:00;14;5;9;8;4;63;0.1;287;2.0;15.1;100;1018;;
06/01/2014;07:00:00;21;10;17;12;6;55;0.1;314;1.0;17.8;92;1018;;
06/01/2014;08:00:00;14;3;3;13;9;74;0.1;23;1.2;21.7;62;1019;;
06/01/2014;09:00:00;14;4;2;10;4;79;0.1;71;1.4;22.1;55;1018;;
06/01/2014;10:00:00;11;3;2;10;6;82;0.1;87;1.4;22.0;53;1017;;
06/01/2014;11:00:00;15;3;2;9;2;83;0.1;88;1.3;22.1;55;1016;;
06/01/2014;12:00:00;17;3;3;11;4;84;0.1;87;1.3;22.7;59;1015;;
06/01/2014;13:00:00;15;4;2;11;7;80;0.1;86;1.3;22.8;60;1015;;
06/01/2014;14:00:00;13;4;1;10;2;78;0.1;86;1.1;19.8;81;1015;;
06/01/2014;15:00:00;15;3;2;10;1;75;0.1;86;0.9;17.4;100;1015;;
06/01/2014;16:00:00;14;3;3;10;3;77;0.1;86;1.1;16.8;100;1016;;
06/01/2014;17:00:00;18;4;12;11;6;66;0.1;81;1.3;17.2;100;1016;;
06/01/2014;18:00:00;30;11;32;12;5;36;0.2;55;0.8;17.1;100;1016;;
06/01/2014;19:00:00;18;11;27;12;7;37;0.2;23;1.1;17.2;100;1017;;
06/01/2014;20:00:00;16;6;17;10;5;50;0.1;296;1.4;16.7;100;1016;;
