Fecha;Hora;SO2;NO2;NO;O3;BEN;TOL;XIL
01/08/2015;1:00:00;4;10;2;78;0;0;0
01/08/2015;2:00:00;6;7;2;85;0;0;0
01/08/2015;3:00:00;7;5;2;83;0;0;0
01/08/2015;4:00:00;7;9;2;73;0;0;0
01/08/2015;5:00:00;7;9;2;65;0;0;0
01/08/2015;6:00:00;7;9;2;65;0;0;0
01/08/2015;7:00:00;7;11;2;63;0;0;0
01/08/2015;8:00:00;6;15;2;60;0;0;0
01/08/2015;9:00:00;6;15;2;58;0;0;0
01/08/2015;10:00:00;7;15;3;64;0;0;0
01/08/2015;11:00:00;7;15;3;70;0;0;0
01/08/2015;12:00:00;7;19;4;74;0;0;0
01/08/2015;13:00:00;7;23;3;83;0;0;0
01/08/2015;14:00:00;7;21;4;92;0;0;0
01/08/2015;15:00:00;7;26;2;97;0;0;0
01/08/2015;16:00:00;6;19;3;114;0;0;0
01/08/2015;17:00:00;6;18;2;116;0;0;0
01/08/2015;18:00:00;6;17;2;112;0;0;0
01/08/2015;19:00:00;6;24;2;110;0;0;0
01/08/2015;20:00:00;6;23;2;110;0;0;0
01/08/2015;21:00:00;5;35;3;102;0;0;0
01/08/2015;22:00:00;6;60;6;84;0;0;0
01/08/2015;23:00:00;6;44;5;94;0;0;0
01/08/2015;0:00:00;6;32;2;99;0;0;0
02/08/2015;1:00:00;6;38;2;81;0;0;0
02/08/2015;2:00:00;4;31;2;79;0;0;0
02/08/2015;3:00:00;4;26;2;75;0;0;0
02/08/2015;4:00:00;4;25;2;68;0;0;0
02/08/2015;5:00:00;4;13;2;87;0;0;0
02/08/2015;6:00:00;5;11;2;87;0;0;0
02/08/2015;7:00:00;4;9;3;91;0;0;0
02/08/2015;8:00:00;5;8;2;87;0;0;0
02/08/2015;9:00:00;5;9;2;81;0;0;0
02/08/2015;10:00:00;5;8;2;81;0;0;0
02/08/2015;11:00:00;5;12;2;83;0;0;0
02/08/2015;12:00:00;5;11;2;88;0;0;0
02/08/2015;13:00:00;4;13;3;89;0;0;0
02/08/2015;14:00:00;4;18;4;92;0;0;0
02/08/2015;15:00:00;4;16;3;91;0;0;0
02/08/2015;16:00:00;4;14;3;94;0;0;0
02/08/2015;17:00:00;4;11;3;101;0;0;0
02/08/2015;18:00:00;4;7;2;105;0;0;0
02/08/2015;19:00:00;4;6;2;108;0;0;0
02/08/2015;20:00:00;4;9;2;103;0;0;0
02/08/2015;21:00:00;4;11;2;105;0;0;0
02/08/2015;22:00:00;4;15;2;102;0;0;0
02/08/2015;23:00:00;3;11;2;104;0;0;0
02/08/2015;0:00:00;4;29;4;84;0;0;0
03/08/2015;1:00:00;4;27;5;71;0;0;0
03/08/2015;2:00:00;4;25;2;68;0;0;0
03/08/2015;3:00:00;3;19;2;66;0;0;0
03/08/2015;4:00:00;3;11;2;73;0;0;0
03/08/2015;5:00:00;3;9;2;66;0;0;0
03/08/2015;6:00:00;4;7;2;71;0;0;0
03/08/2015;7:00:00;3;14;2;66;0;0;0
03/08/2015;8:00:00;3;23;2;58;0;0;0
03/08/2015;9:00:00;3;29;3;54;0;0;0
03/08/2015;10:00:00;3;32;3;62;0;0;0
03/08/2015;11:00:00;3;35;6;64;0;0;0
03/08/2015;12:00:00;3;33;8;71;0;0;0
03/08/2015;13:00:00;3;21;3;80;0;0;0
03/08/2015;14:00:00;3;21;3;82;0;0;0
03/08/2015;15:00:00;3;19;2;87;0;0;0
03/08/2015;16:00:00;3;11;2;94;0;0;0
03/08/2015;17:00:00;3;9;2;94;0;0;0
03/08/2015;18:00:00;3;12;2;96;0;0;0
03/08/2015;19:00:00;3;15;2;98;0;0;0
03/08/2015;20:00:00;3;19;3;91;0;0;0
03/08/2015;21:00:00;3;14;2;98;0;0;0
03/08/2015;22:00:00;2;16;2;93;0;0;0
03/08/2015;23:00:00;3;12;2;91;0;0;0
03/08/2015;0:00:00;3;7;2;101;0;0;0
04/08/2015;1:00:00;3;4;2;101;0;0;0
04/08/2015;2:00:00;5;4;2;89;0;0;0
04/08/2015;3:00:00;5;5;2;85;0;0;0
04/08/2015;4:00:00;6;5;2;89;0;0;0
04/08/2015;5:00:00;6;4;2;89;0;0;0
04/08/2015;6:00:00;6;7;2;82;0;0;0
04/08/2015;7:00:00;5;9;2;76;0;0;0
04/08/2015;8:00:00;5;11;2;73;0;0;0
04/08/2015;9:00:00;6;18;3;68;0;0;0
04/08/2015;10:00:00;6;13;2;78;0;0;0
04/08/2015;11:00:00;5;22;4;77;0;0;0
04/08/2015;12:00:00;6;24;4;80;0;0;0
04/08/2015;13:00:00;6;15;4;94;0;0;0
04/08/2015;14:00:00;6;20;3;100;0;0;0
04/08/2015;15:00:00;6;16;3;102;0;0;0
04/08/2015;16:00:00;6;12;2;113;0;0;0
04/08/2015;17:00:00;5;14;4;120;0;0;0
04/08/2015;18:00:00;5;7;2;128;0;0;0
04/08/2015;19:00:00;6;8;2;127;0;0;0
04/08/2015;20:00:00;6;8;2;129;0;0;0
04/08/2015;21:00:00;6;10;2;132;0;0;0
04/08/2015;22:00:00;6;11;2;126;0;0;0
04/08/2015;23:00:00;5;10;2;124;0;0;0
04/08/2015;0:00:00;5;14;2;109;0;0;0
05/08/2015;1:00:00;6;16;2;104;0;0;0
05/08/2015;2:00:00;5;19;2;95;0;0;0
05/08/2015;3:00:00;5;15;2;94;0;0;0
05/08/2015;4:00:00;5;18;2;86;0;0;0
05/08/2015;5:00:00;5;16;2;88;0;0;0
05/08/2015;6:00:00;5;13;2;93;0;0;0
05/08/2015;7:00:00;5;16;2;86;0;0;0
