Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
13/04/2015;14:00:00;61.5;95.25;21;5;78.25;152;2.1;n;0;939;18.775;0.333333;0.8;0.766667
13/04/2015;15:00:00;71.25;47.25;10.75;2.5;85.75;139;3.8;n;0;939;20.4;0.725;1.2;0.8
13/04/2015;16:00:00;57.25;9.25;3.75;2;99;165;3.6;n;0;938.5;21.525;0.625;0.9;0.2
13/04/2015;17:00:00;42.25;3;2.5;2;97.5;162;4.5;n;0;938;22.45;0.65;1.075;1.175
13/04/2015;18:00:00;47.25;2;2.5;2;94.25;158;6.1;n;0;938;22.6;0.5;0.75;0.8
13/04/2015;19:00:00;51;2;2.5;2;92.75;158;4.8;n;0;938;22.375;0.525;0.775;0.75
13/04/2015;20:00:00;52;85.75;9.5;2;82.25;139;3.1;n;0;937.75;21.725;0.675;1.4;1.075
13/04/2015;21:00:00;48.25;11.5;6.5;2.25;83.75;102;2.5;n;0;938;19.225;0.675;4.275;1
13/04/2015;22:00:00;49;12.25;18;2.25;72;91;2;n;0;938;17.375;0.675;8.3;0.55
13/04/2015;23:00:00;50.25;44;15.5;2;72.75;94;2;n;0;939;16.6;1.55;4;0.65
13/04/2015;0:00:00;53.75;47.25;19;3.5;60;108;1.4;n;0;939;14.8;0.25;5.8;0.825
14/04/2015;1:00:00;48.5;6.25;8.5;2;69;110;0.9;n;0;939;13.8;0.5;12.075;0.725
14/04/2015;2:00:00;54;7.75;18.75;2;70.5;113;1.7;n;0;939;13.275;0.45;9.025;1.75
14/04/2015;3:00:00;52.5;12;11.75;2;78.5;87;1.8;n;0;939;12.575;0.325;7.675;0.75
14/04/2015;4:00:00;60.25;18.5;11;2;79.5;86;1.6;n;0;938;12.45;0.425;7.2;0.525
14/04/2015;5:00:00;62;15.5;15;2;77.75;86;1.7;n;0;937.25;12.325;0.6;3.375;0.5
14/04/2015;6:00:00;63;26.25;16.75;2;76;69;1.2;n;0;936.75;12.2;0.65;6.4;0.5
14/04/2015;7:00:00;64;35.75;16;2;70.25;67;1.1;n;0;936.5;11.9;0.875;2.35;0.825
14/04/2015;8:00:00;63.25;24.25;19.75;2;64.25;89;1.7;n;0;936;11.6;0.55;2.775;0.65
14/04/2015;9:00:00;65.75;40.75;30.25;2.5;53.25;90;2.1;n;0;936;12.025;1.075;5.95;1.075
14/04/2015;10:00:00;63.5;60;30.5;4;56.25;92;1.9;n;0;936;13.5;0.75;6.225;0.375
14/04/2015;11:00:00;57;58;35.25;9.25;57.75;96;2.2;n;0;936;15.825;0.4;6.55;0.875
14/04/2015;12:00:00;60.5;226.75;27.5;7.25;66;139;3.5;n;0;936;19.275;0.5;10;0.675
14/04/2015;13:00:00;70;145.75;15.25;3.5;76;135;4.6;n;0;935.75;22.525;0.275;4;0.95
14/04/2015;14:00:00;81;91.5;16.5;3.5;79.5;130;4.6;n;0;935;23.85;0.475;7.6;0.6
14/04/2015;15:00:00;97.75;110.75;12.25;2.75;78.25;139;4.8;n;0;934;24.175;0.65;1.7;1.2
14/04/2015;16:00:00;94.25;12;3;2;84;163;4.9;n;0;934;24.275;0.85;1.05;0.825
14/04/2015;17:00:00;99;2;2;2;87.75;179;4.6;n;0;934;24.1;0.45;1.375;0.5
14/04/2015;18:00:00;98.25;2;2;2;85.75;172;4.8;n;0;933.5;22.9;0.625;1.525;0.275
14/04/2015;19:00:00;84.75;2;2;2;81.5;144;4;n;0;933;22.175;0.575;0.95;0.35
14/04/2015;20:00:00;77.75;6.75;9.5;2;83;135;4.5;n;0;933;21.625;0.55;1.825;0.525
14/04/2015;21:00:00;89.75;180.25;16.25;2;78;129;3.8;n;0;932.25;21.025;0.475;7.075;0.425
14/04/2015;22:00:00;87.5;44.25;8.5;2;82.25;131;3.3;n;0;932.25;18.85;0.525;1.775;0.35
14/04/2015;23:00:00;77.75;67.5;9.5;2;75.5;137;2.7;n;0;932.5;17.75;0.425;4.525;0.725
14/04/2015;0:00:00;74.25;6.5;9;2;73.25;109;2.2;n;0;934.25;16.8;1.3;1.8;0.45
15/04/2015;1:00:00;61.75;13.5;4.5;2;84.25;118;0.9;n;0;934.75;17;1.2;7.65;0.325
15/04/2015;2:00:00;60.5;3.25;5.5;2;73;128;0.8;n;0;934;16.1;1.425;0.925;0.375
15/04/2015;3:00:00;70.25;3.25;5.25;2;69.25;80;0.7;n;0;933.5;15.575;1.1;3.425;0.775
15/04/2015;4:00:00;76.5;7.5;7;2;63;105;2;n;0;933.25;14.925;0.775;0.6;0.525
15/04/2015;5:00:00;69;19.5;9.5;2;54.75;160;2.4;n;0;931.5;13.4;0.325;1.55;0.85
15/04/2015;6:00:00;71;13.25;8.25;2;60.75;5;1.7;n;0;930.75;13.025;1.075;2.5;0.35
15/04/2015;7:00:00;69.5;7;20.75;2;38.5;314;1.5;n;0;931.5;12.025;1.125;3.175;0.825
15/04/2015;8:00:00;60.75;6.25;13.5;2;49;321;1.9;n;0;932;11.875;1.325;1.525;1.3
15/04/2015;9:00:00;59.75;3.25;10.25;2;51.25;355;3;n;0;932;11.175;1.55;0.9;0.575
15/04/2015;10:00:00;55.5;2.25;19.25;2.5;40;317;1.5;n;0;932;10.8;0.65;1.525;0.5
15/04/2015;11:00:00;49.25;2.75;18.25;3.25;35.5;271;1.2;n;0;932;11.55;0.45;0.725;0.825
15/04/2015;12:00:00;52.5;3;13.25;3.25;39.25;230;0.4;n;0;932;12.45;0.675;1.4;0.8
15/04/2015;13:00:00;63;3.5;6.25;2;57;106;1.2;n;0;933;14.675;0.8;2.45;0.525
15/04/2015;14:00:00;62.75;3;3.75;2;71.5;119;1.1;n;0;933;16.8;0.65;1.125;0.475
15/04/2015;15:00:00;60.25;2;2;2;85;272;2.2;n;0;932;16.95;1.25;1.65;0.725
15/04/2015;16:00:00;66;2;2;2;87.5;222;2.9;n;0;931.5;18.1;0.875;1.1;0.65
15/04/2015;17:00:00;64.25;2;2;2;89;226;3.7;n;0;931;18.275;0.4;0.7;0.3
15/04/2015;18:00:00;49.75;2;2;2;92;242;3.9;n;0;930;18.55;1.125;1.15;0.575
15/04/2015;19:00:00;46;2;3;2;88.5;248;4.8;n;0.32;930.75;15.375;0.675;0.95;0.55
15/04/2015;20:00:00;43;2;2.5;2;85;285;5.6;n;0;931.5;12.825;1.125;0.775;0.225
15/04/2015;21:00:00;20.75;2;3.25;2;74;277;3.4;n;0;931.5;10.375;0.875;0.6;0.575
15/04/2015;22:00:00;15;2;2.5;2;84;285;3.9;n;1.95;932.25;10.05;0.575;0.775;0.95
15/04/2015;23:00:00;12.75;2;2;2;98.5;87;2.2;n;3.24;933.25;8.825;0.675;0.55;0.725
15/04/2015;0:00:00;11;2;3;2;94;86;1.1;n;0;933;9.55;1.225;0.6;0.6
16/04/2015;1:00:00;11;2;2.25;2;82;132;1.5;n;0;933;9.575;0.725;0.85;0.6
16/04/2015;2:00:00;14;2;2;2;79.5;154;1.8;n;0;933;9.2;0.55;1.975;0.55
16/04/2015;3:00:00;14;2;2;2;76.5;294;1.4;n;0;933;9.325;0.95;1.7;0.75
16/04/2015;4:00:00;14;2;2;2;70.75;266;1.4;n;0;932.25;8.55;0.9;2.1;0.4
16/04/2015;5:00:00;16;2;2.25;2;68;88;0.5;n;0;932;8.975;1;1.4;1.175
16/04/2015;6:00:00;14.25;2;4.75;2;61.25;205;0.2;n;0;932;9.225;0.6;1.925;0.525
16/04/2015;7:00:00;17;2;2.5;2;56.75;143;0.7;n;0.32;932;9.025;0.475;1.5;0.4
16/04/2015;8:00:00;14.75;2;2.25;2;59;155;0.3;n;0.32;932;8.75;0.75;0.85;0.475
16/04/2015;9:00:00;11.5;2;2.75;2;67;136;0.1;n;0.32;933;8.8;0.75;1.7;0.425
16/04/2015;10:00:00;12.25;2;5.25;2;64.75;199;0.3;n;0;933.75;9.75;1.125;1.475;1.075
16/04/2015;11:00:00;15.75;2;5.25;4.25;70;270;2.5;n;0;934;10.975;0.9;0.95;0.675
16/04/2015;12:00:00;10;2;4.5;4.5;75.75;257;2.4;n;0;934.5;11.375;0.7;1.025;0.7
16/04/2015;13:00:00;10;2;5.25;5.5;73.5;225;3.1;n;0;935;12.275;0.55;1.025;0.85
16/04/2015;14:00:00;9;2;5.25;5;79.25;229;3.7;n;0;935;13.025;1.525;1.175;0.775
16/04/2015;15:00:00;10;2;6;5.25;82.75;267;4.4;n;0;935;13.525;1.075;1.425;0.95
16/04/2015;16:00:00;9.5;2;5;4.25;81.75;275;3.4;n;0;935;13.55;1.1;2.175;0.475
16/04/2015;17:00:00;18.75;2;6.5;5.25;81;273;4.3;n;0;935;14.575;2.175;1.575;0.5
16/04/2015;18:00:00;13.75;2;6.5;4.75;80;270;4.3;n;0;935;14.85;0.85;1.625;0.6
16/04/2015;19:00:00;9.25;2;6.5;5.25;79;271;4.6;n;0;935;14.7;1.475;3.1;0.825
16/04/2015;20:00:00;13.75;2;7.25;5.25;80.5;272;4;n;0;935;14.675;0.725;1.025;0.625
16/04/2015;21:00:00;11.25;2;8.25;4.75;76.5;276;2.5;n;0;935;13.475;0.65;3.3;0.25
16/04/2015;22:00:00;16.5;2;14.25;8;55;275;1.1;n;0;935.25;11.5;0.9;1.725;0.6
16/04/2015;23:00:00;25.75;2.5;13.5;24;50.75;252;0.3;n;0;936;10.65;1.075;1.55;0.725
16/04/2015;0:00:00;20.25;3;28.75;15.5;31.5;294;0.6;n;0;936;10.525;1.65;1.575;0.5
17/04/2015;1:00:00;26.75;3.25;15.5;20.25;39;313;0.4;n;0;936;9.675;0.825;1.2;1.95
17/04/2015;2:00:00;21;4.25;13.25;29.5;42.75;317;1.1;n;0;936;9.275;0.625;1.3;0.45
17/04/2015;3:00:00;18;3;9.25;16.75;38.5;67;0.3;n;0;936;8.45;2.225;1.4;0.85
17/04/2015;4:00:00;20.75;4.5;9.25;44.25;32.25;25;0.1;n;0;935;7.125;0.7;1.8;1.075
17/04/2015;5:00:00;14.25;5;8.5;37.75;34.75;333;0.1;n;0;935;7.2;1.175;0.4;0.225
17/04/2015;6:00:00;16;4;9;18;38;87;0.4;n;0;935;7.675;1.075;0.725;0.4
17/04/2015;7:00:00;16;5;17.25;35.75;19.75;270;0.7;n;0.32;935;6.025;0.8;1.55;0.775
17/04/2015;8:00:00;18.5;4.75;34.5;34;8;350;0.4;n;0;935.25;6.725;1.2;0.95;0.25
17/04/2015;9:00:00;29.75;6.25;30.5;66;5.25;248;0.3;n;0;936;7.275;0.975;1.925;0.325
17/04/2015;10:00:00;24.75;7.25;26.75;73.5;17;164;0.4;n;0;936;9.475;1.075;0.825;0.55
17/04/2015;11:00:00;23.5;6.75;28.5;57;53;159;0.6;n;0;936;13.25;0.85;0.6;0.425
17/04/2015;12:00:00;34.75;43.5;31.25;50.5;76.75;265;1.4;n;0;936;15.15;0.875;1.3;0.9
17/04/2015;13:00:00;29.75;5.5;11.75;11.75;87.75;313;2.2;n;0;936;15.6;0.625;1.05;1.2
17/04/2015;14:00:00;21.75;3.5;11.75;14;84;144;1.3;n;0;936;16.6;0.9;2.5;0.325
17/04/2015;15:00:00;15.75;2.25;10.25;10.25;82.5;272;1.6;n;0;936;17.525;0.825;0.775;0.375
17/04/2015;16:00:00;13.25;2;8.75;10;80.25;24;2.2;n;0;935;17.95;0.875;1.2;0.425
17/04/2015;17:00:00;16;2;7;7.25;81;345;1.6;n;0;934.5;18.5;0.875;1.4;0.6
17/04/2015;18:00:00;16.75;2;5.75;6.5;81.5;250;2;n;0;934;18.675;1.4;1.075;0.475
