Fecha;BEN;CO;NO;NO2;NOX;O3;PM10;SO2
1/08/15;null(null);0.1;1.8;7.7;10.0;64.0;null(null);1.0
2/08/15;null(null);0.1;2.0;5.7;8.1;53.0;null(null);1.0
3/08/15;null(null);0.1;2.0;5.6;8.3;36.0;null(null);1.0
4/08/15;null(null);0.1;1.9;1.3;3.3;55.0;null(null);1.0
5/08/15;null(null);0.1;2.0;7.1;10.0;37.0;null(null);1.0
6/08/15;null(null);0.1;2.4;4.7;7.9;38.0;null(null);1.0
7/08/15;null(null);0.1;2.0;7.3;10.0;49.0;null(null);1.0
8/08/15;null(null);0.1;2.1;3.2;5.5;45.0;null(null);1.0
9/08/15;null(null);0.1;2.0;5.1;7.5;52.0;null(null);1.0
10/08/15;null(null);0.12;2.0;6.9;9.3;49.0;null(null);1.0
11/08/15;null(null);0.1;1.8;5.9;8.3;52.0;null(null);1.0
12/08/15;null(null);0.1;1.9;1.3;3.0;38.0;null(null);1.0
13/08/15;null(null);0.1;1.9;2.0;4.0;41.0;null(null);1.0
14/08/15;null(null);0.1;2.2;7.8;11.0;29.0;null(null);1.0
15/08/15;null(null);0.1;2.0;12.0;15.0;29.0;null(null);1.0
16/08/15;null(null);0.1;2.0;5.8;8.5;32.0;null(null);1.0
17/08/15;null(null);0.1;5.6;7.2;13.0;30.0;null(null);1.0
18/08/15;null(null);0.1;2.4;5.3;8.3;37.0;null(null);1.0
19/08/15;null(null);0.1;1.8;6.4;8.7;39.0;null(null);1.0
20/08/15;null(null);0.1;1.9;6.5;8.9;44.0;null(null);1.0
21/08/15;null(null);0.1;1.9;7.2;9.9;35.0;null(null);1.0
22/08/15;null(null);0.1;3.1;1.0;4.3;24.0;null(null);1.0
23/08/15;null(null);0.1;7.9;42.0;53.0;41.0;null(null);1.0
24/08/15;null(null);0.1;2.8;3.3;6.7;44.0;null(null);1.0
25/08/15;null(null);0.1;1.9;4.3;6.9;39.0;null(null);1.0
26/08/15;null(null);0.1;2.3;3.4;6.2;31.0;null(null);1.0
27/08/15;null(null);0.1;2.1;2.3;4.3;27.0;null(null);1.0
28/08/15;null(null);0.1;2.3;6.1;9.3;22.0;null(null);1.0
29/08/15;null(null);0.1;2.8;6.2;9.9;27.0;null(null);1.0
30/08/15;null(null);0.1;5.1;13.0;20.0;50.0;null(null);1.0
31/08/15;null(null);0.13;1.8;4.6;7.0;49.0;null(null);1.0
1/10/15;null(null);0.1;2.7;6.0;9.4;51.0;null(null);1.0
2/10/15;null(null);0.1;2.3;8.5;12.0;62.0;null(null);1.0
3/10/15;null(null);0.1;4.9;14.0;21.0;34.0;9.9;1.0
4/10/15;null(null);0.1;2.0;4.7;7.4;55.0;11.0;1.0
5/10/15;null(null);0.1;2.0;4.4;7.1;68.0;7.8;1.0
6/10/15;null(null);0.1;2.0;4.8;7.7;61.0;9.4;1.0
7/10/15;null(null);0.1;3.9;11.0;16.0;34.0;9.2;1.0
8/10/15;null(null);0.1;6.5;13.0;21.0;38.0;9.5;1.0
9/10/15;null(null);0.1;5.2;16.0;24.0;35.0;9.3;1.0
10/10/15;null(null);0.1;2.3;8.9;12.0;47.0;11.0;1.0
11/10/15;null(null);0.1;2.2;4.8;7.7;46.0;11.0;1.0
12/10/15;null(null);0.1;1.8;6.1;8.5;60.0;7.7;1.0
13/10/15;null(null);0.1;2.1;12.0;14.0;63.0;8.5;1.0
14/10/15;null(null);0.1;2.7;16.0;19.0;44.0;8.0;1.0
15/10/15;null(null);0.1;4.7;16.0;22.0;40.0;7.7;1.0
16/10/15;null(null);0.1;6.5;21.0;30.0;24.0;14.0;1.0
17/10/15;null(null);0.1;2.1;8.9;12.0;55.0;18.0;1.0
18/10/15;null(null);0.1;2.4;9.3;12.0;37.0;17.0;1.0
19/10/15;null(null);0.1;2.1;6.5;9.5;48.0;13.0;1.0
20/10/15;null(null);0.1;1.8;6.7;9.0;67.0;5.3;1.0
21/10/15;null(null);0.1;2.0;13.0;16.0;59.0;3.8;1.0
22/10/15;null(null);0.11;2.5;19.0;22.0;45.0;6.4;1.0
23/10/15;null(null);0.1;7.5;13.0;23.0;46.0;3.8;1.0
24/10/15;null(null);0.1;2.0;6.3;9.0;61.0;7.5;1.0
25/10/15;null(null);0.1;2.0;6.5;9.2;55.0;6.6;1.0
26/10/15;null(null);0.1;2.0;5.3;7.6;58.0;5.4;1.0
27/10/15;null(null);0.1;1.9;8.5;11.0;61.0;2.9;1.0
28/10/15;null(null);0.1;2.1;8.4;11.0;68.0;4.7;1.0
29/10/15;null(null);0.1;1.9;4.2;6.5;66.0;16.0;1.0
30/10/15;null(null);0.1;2.4;4.9;7.6;58.0;11.0;1.0
31/10/15;null(null);0.1;2.1;6.0;8.5;66.0;12.0;1.0
1/09/15;null(null);0.1;1.8;2.7;4.8;59.0;null(null);1.0
2/09/15;null(null);0.1;1.8;2.9;5.3;65.0;null(null);1.0
3/09/15;null(null);0.1;1.9;2.5;4.8;63.0;null(null);1.0
4/09/15;null(null);0.1;1.9;6.8;9.3;60.0;null(null);1.0
5/09/15;null(null);0.1;1.9;6.0;8.4;62.0;null(null);1.0
6/09/15;null(null);0.1;1.9;4.9;7.5;62.0;null(null);1.0
7/09/15;null(null);0.11;2.1;8.7;12.0;59.0;null(null);1.0
8/09/15;null(null);0.1;3.4;14.0;19.0;57.0;null(null);1.0
9/09/15;null(null);0.1;1.9;8.1;11.0;43.0;null(null);1.0
10/09/15;null(null);0.1;3.5;11.0;16.0;41.0;null(null);1.0
11/09/15;null(null);0.1;4.3;15.0;21.0;34.0;null(null);1.0
12/09/15;null(null);0.1;1.9;3.7;6.3;45.0;null(null);1.0
13/09/15;null(null);0.1;2.0;2.7;5.0;49.0;null(null);1.0
14/09/15;null(null);0.11;2.1;12.0;15.0;51.0;null(null);1.0
15/09/15;null(null);0.1;2.0;4.8;7.3;40.0;null(null);1.0
16/09/15;null(null);0.1;1.8;4.3;6.8;64.0;null(null);1.0
17/09/15;null(null);0.1;2.3;5.8;8.6;42.0;null(null);1.0
18/09/15;null(null);0.1;5.7;15.0;23.0;43.0;null(null);1.0
19/09/15;null(null);0.1;2.3;6.8;9.9;48.0;null(null);1.0
20/09/15;null(null);0.1;2.6;8.1;11.0;49.0;null(null);1.0
21/09/15;null(null);0.1;3.6;6.4;11.0;44.0;null(null);1.0
22/09/15;null(null);0.1;2.0;3.9;6.3;46.0;null(null);1.0
23/09/15;null(null);0.1;2.1;7.3;10.0;38.0;null(null);1.0
24/09/15;null(null);0.1;1.8;8.0;11.0;42.0;null(null);1.0
25/09/15;null(null);0.1;2.6;14.0;17.0;35.0;null(null);1.0
26/09/15;null(null);0.1;2.3;8.3;12.0;42.0;null(null);1.0
27/09/15;null(null);0.1;2.3;10.0;13.0;44.0;null(null);1.0
28/09/15;null(null);0.1;2.5;12.0;16.0;52.0;null(null);1.0
29/09/15;null(null);0.1;3.0;17.0;21.0;50.0;null(null);1.0
30/09/15;null(null);0.1;2.3;6.9;10.0;52.0;null(null);1.0
1/05/15;null(null);0.1;2.0;3.5;6.2;49.0;null(null);1.0
2/05/15;null(null);0.1;2.0;4.0;6.8;52.0;null(null);1.0
