Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;PRB;LL
01/01/2015;1:00:00;0;1.7;5;20;67;147;0.4;9.6;1021;0.0
01/01/2015;2:00:00;0;1.8;5;21;68;132;0.9;10.0;1022;0.0
01/01/2015;3:00:00;0;1.8;5;21;67;135;0.8;9.7;1022;0.0
01/01/2015;4:00:00;0;1.8;4;20;66;136;0.9;9.7;1023;0.0
01/01/2015;5:00:00;0;2.1;5;20;64;175;0.8;9.9;1023;0.0
01/01/2015;6:00:00;;1.7;4;19;65;143;0.4;9.7;1023;0.0
01/01/2015;7:00:00;;1.8;4;18;63;85;0.2;9.5;1024;0.0
01/01/2015;8:00:00;;1.7;3;17;62;157;0.4;9.4;1025;0.0
01/01/2015;9:00:00;;1.8;4;16;62;151;0.8;10.1;1025;0.0
01/01/2015;10:00:00;;1.8;4;15;62;133;1.1;10.8;1026;0.0
01/01/2015;11:00:00;0;1.9;4;15;60;150;1.2;11.9;1027;0.0
01/01/2015;12:00:00;0;1.9;4;13;62;127;0.9;13.0;1027;0.0
01/01/2015;13:00:00;0;1.9;4;12;66;102;0.9;13.5;1027;0.0
01/01/2015;14:00:00;0;2.0;4;11;71;91;1.0;13.5;1026;0.0
01/01/2015;15:00:00;1;1.9;4;11;74;85;1.0;13.4;1026;0.0
01/01/2015;16:00:00;0;1.9;4;11;75;103;0.7;13.3;1026;0.0
01/01/2015;17:00:00;0;1.8;4;12;73;250;0.6;12.7;1026;0.0
01/01/2015;18:00:00;0;1.7;3;14;70;256;0.4;10.1;1026;0.0
01/01/2015;19:00:00;;1.7;3;15;61;303;0.2;8.6;1027;0.0
01/01/2015;20:00:00;;1.8;3;15;51;316;0.1;7.3;1027;0.0
01/01/2015;21:00:00;;1.7;3;15;41;275;0.0;5.9;1027;0.0
01/01/2015;22:00:00;;1.7;3;15;41;275;0.1;5.1;1027;0.0
01/01/2015;23:00:00;;1.8;3;14;39;304;0.1;4.6;1027;0.0
01/01/2015;0:00:00;;1.7;3;14;42;316;0.1;4.6;1027;0.0
02/01/2015;1:00:00;;1.7;4;14;38;323;0.2;4.5;1027;0.0
02/01/2015;2:00:00;;1.8;4;13;39;324;0.2;4.4;1027;0.0
02/01/2015;3:00:00;;1.8;4;13;48;240;0.5;4.6;1027;0.0
02/01/2015;4:00:00;0;1.9;4;13;60;210;0.5;7.0;1027;0.0
02/01/2015;5:00:00;0;2.3;8;12;57;193;0.4;7.1;1027;0.0
02/01/2015;6:00:00;;3.2;14;12;38;331;0.2;6.0;1027;0.0
02/01/2015;7:00:00;;2.0;7;12;38;334;0.2;5.1;1027;0.0
02/01/2015;8:00:00;;2.1;7;12;35;327;0.2;4.5;1027;0.0
02/01/2015;9:00:00;;2.2;7;12;35;312;0.1;4.6;1028;0.0
02/01/2015;10:00:00;;2.4;6;12;41;287;0.1;6.6;1029;0.0
02/01/2015;11:00:00;0;2.5;5;10;60;283;0.2;11.2;1029;0.0
02/01/2015;12:00:00;0;3.3;8;7;60;224;0.3;14.5;1029;0.0
02/01/2015;13:00:00;0;9.5;23;6;49;196;0.3;15.7;1029;0.0
02/01/2015;14:00:00;0;8.8;23;7;51;134;0.3;16.5;1028;0.0
02/01/2015;15:00:00;0;3.1;8;7;70;184;0.5;17.1;1027;0.0
02/01/2015;16:00:00;0;1.6;3;7;78;269;0.7;17.5;1027;0.0
02/01/2015;17:00:00;0;1.9;5;7;67;328;0.2;17.0;1027;0.0
02/01/2015;18:00:00;0;2.1;8;9;44;294;0.1;12.3;1028;0.0
02/01/2015;19:00:00;;2.3;10;14;43;303;0.2;9.2;1028;0.0
02/01/2015;20:00:00;0;2.4;11;15;38;326;0.3;8.1;1028;0.0
02/01/2015;21:00:00;0;1.8;5;13;45;329;0.2;7.0;1028;0.0
02/01/2015;22:00:00;0;1.8;7;13;45;336;0.2;6.5;1028;0.0
02/01/2015;23:00:00;0;1.7;5;12;44;339;0.1;5.7;1028;0.0
02/01/2015;0:00:00;0;1.8;4;11;45;341;0.2;5.2;1028;0.0
03/01/2015;1:00:00;;2.0;7;11;43;335;0.2;5.0;1028;0.0
03/01/2015;2:00:00;;2.5;11;10;37;330;0.1;4.4;1028;0.0
03/01/2015;3:00:00;;1.9;7;9;43;342;0.2;3.7;1028;0.0
03/01/2015;4:00:00;;1.9;7;8;42;330;0.3;4.2;1027;0.0
03/01/2015;5:00:00;0;1.9;7;8;39;291;0.2;4.5;1027;0.0
03/01/2015;6:00:00;0;4.0;18;7;28;311;0.3;3.7;1027;0.0
03/01/2015;7:00:00;10;31.5;60;7;3;339;0.3;4.0;1026;0.0
03/01/2015;8:00:00;12;7.8;39;6;19;337;0.5;5.7;1026;0.0
03/01/2015;9:00:00;4;5.0;18;6;32;328;0.2;5.7;1027;0.0
03/01/2015;10:00:00;3;4.5;13;5;38;279;0.3;7.7;1027;0.0
03/01/2015;11:00:00;2;6.1;17;5;53;266;0.7;12.7;1027;0.0
03/01/2015;12:00:00;0;6.6;18;6;56;223;0.3;15.8;1027;0.0
03/01/2015;13:00:00;0;7.3;19;8;55;106;0.3;17.4;1026;0.0
03/01/2015;14:00:00;;5.8;17;10;61;74;0.5;17.7;1025;0.0
03/01/2015;15:00:00;;6.0;20;12;59;100;0.2;18.3;1025;0.0
03/01/2015;16:00:00;0;4.6;18;14;63;77;0.5;18.0;1025;0.0
03/01/2015;17:00:00;0;6.0;24;15;52;44;0.1;17.2;1024;0.0
03/01/2015;18:00:00;0;2.3;10;19;38;125;0.1;14.1;1024;0.0
03/01/2015;19:00:00;0;2.1;10;21;34;337;0.1;11.0;1024;0.0
03/01/2015;20:00:00;0;2.0;9;23;31;338;0.1;9.4;1024;0.0
03/01/2015;21:00:00;0;2.0;8;23;27;316;0.2;8.6;1024;0.0
03/01/2015;22:00:00;0;2.0;8;23;27;327;0.2;8.1;1024;0.0
03/01/2015;23:00:00;;2.4;10;22;22;331;0.1;7.6;1024;0.0
03/01/2015;0:00:00;0;2.1;8;21;18;331;0.1;6.7;1024;0.0
04/01/2015;1:00:00;;2.1;8;20;16;331;0.1;6.6;1024;0.0
04/01/2015;2:00:00;;1.9;7;20;16;331;0.1;6.0;1023;0.0
04/01/2015;3:00:00;0;1.9;6;20;22;331;0.1;6.4;1023;0.0
04/01/2015;4:00:00;0;1.9;6;19;23;331;0.2;6.1;1023;0.0
04/01/2015;5:00:00;0;1.9;6;17;25;331;0.1;6.1;1022;0.0
04/01/2015;6:00:00;;1.9;6;16;25;275;0.3;5.6;1022;0.1
04/01/2015;7:00:00;;1.9;5;15;27;298;0.3;5.4;1022;0.2
04/01/2015;8:00:00;;2.3;7;14;21;163;0.1;5.0;1023;0.2
04/01/2015;9:00:00;;2.4;6;14;20;177;0.2;4.8;1023;0.2
04/01/2015;10:00:00;;2.2;6;15;24;282;0.1;6.8;1023;0.2
04/01/2015;11:00:00;;5.2;13;38;38;276;0.3;11.4;1024;0.2
04/01/2015;12:00:00;;2.5;7;20;58;226;0.9;14.6;1024;0.2
04/01/2015;13:00:00;;2.4;7;7;63;225;0.6;16.3;1023;0.2
04/01/2015;14:00:00;;1.9;5;4;70;262;1.0;17.2;1022;0.2
04/01/2015;15:00:00;;2.0;6;5;73;254;0.9;18.0;1022;0.2
04/01/2015;16:00:00;;1.9;6;7;72;244;0.9;18.2;1021;0.2
04/01/2015;17:00:00;0;1.9;7;8;69;242;0.7;17.3;1021;0.2
04/01/2015;18:00:00;0;1.8;7;11;51;297;0.0;14.7;1021;0.2
04/01/2015;19:00:00;0;4.1;16;14;38;247;0.1;11.5;1022;0.2
04/01/2015;20:00:00;;2.8;16;16;41;226;0.1;11.1;1022;0.2
04/01/2015;21:00:00;;2.3;11;17;29;189;0.0;9.9;1023;0.2
04/01/2015;22:00:00;;1.9;7;16;23;187;0.0;8.5;1023;0.2
04/01/2015;23:00:00;;1.8;5;15;23;187;0.0;7.7;1023;0.2
04/01/2015;0:00:00;;1.8;4;15;23;187;0.0;7.3;1023;0.2
05/01/2015;1:00:00;0;1.6;4;14;23;187;0.0;7.4;1023;0.4
05/01/2015;2:00:00;;1.6;3;14;21;210;0.0;7.2;1023;0.1
05/01/2015;3:00:00;;1.5;3;13;18;219;0.1;7.3;1023;0.0
05/01/2015;4:00:00;0;1.6;3;13;19;232;0.1;7.9;1023;0.0
05/01/2015;5:00:00;0;16.7;24;12;4;235;0.1;7.1;1023;0.0
05/01/2015;6:00:00;0;3.7;12;11;12;236;0.1;6.7;1022;0.0
05/01/2015;7:00:00;0;1.7;4;10;17;242;0.0;6.3;1022;0.0
05/01/2015;8:00:00;0;1.8;5;9;17;242;0.1;6.0;1022;0.1
05/01/2015;9:00:00;;2.2;5;9;14;242;0.0;6.1;1022;0.2
05/01/2015;10:00:00;;4.1;8;13;16;242;0.0;7.9;1023;0.2
05/01/2015;11:00:00;;4.8;10;39;31;241;0.0;11.6;1023;0.2
05/01/2015;12:00:00;;4.4;11;18;49;217;0.4;13.5;1023;0.2
05/01/2015;13:00:00;;3.3;9;3;59;181;0.2;15.8;1022;0.2
05/01/2015;14:00:00;;2.5;6;3;65;148;0.2;16.9;1021;0.2
05/01/2015;15:00:00;0;4.1;12;3;61;125;0.4;17.1;1021;0.2
05/01/2015;16:00:00;0;3.1;12;3;64;99;0.4;16.5;1020;0.2
05/01/2015;17:00:00;0;2.3;10;3;64;77;0.2;15.7;1020;0.2
05/01/2015;18:00:00;0;1.6;5;5;41;94;0.0;13.1;1020;0.2
05/01/2015;19:00:00;0;1.7;4;7;32;77;0.0;9.7;1020;0.2
05/01/2015;20:00:00;0;1.6;4;8;32;69;0.0;8.3;1020;0.2
05/01/2015;21:00:00;;1.7;5;10;29;69;0.0;7.8;1020;0.2
